,PRICE,TIME,ID
0,997019,39748,748
1,996948,39999,-1
2,996919,39740,740
3,996836,39877,877
4,996791,39526,526
5,996776,39193,193
6,996769,39410,410
7,996752,39542,542
8,996729,39614,614
9,996706,39178,178
10,996690,39967,967
11,996682,39256,256
12,996679,39451,451
13,996532,39093,93
14,996502,39378,378
15,996423,39060,60
16,996357,39152,152
17,996268,39047,47
18,996231,39257,257
19,996168,39003,3
20,996164,39512,512
21,996128,39205,205
22,996071,38935,935
23,996057,39471,471
24,996026,38919,919
25,995987,39106,106
26,995980,38926,926
27,995860,39022,22
28,995829,38952,952
29,995825,39126,126
30,995824,38908,908
31,995724,39118,118
32,995650,38892,892
33,995631,38759,759
34,995610,38951,951
35,995578,38551,551
36,995564,38790,790
37,995556,38590,590
38,995544,38691,691
39,995542,38745,745
40,995482,38856,856
41,995459,38860,860
42,995432,39697,697
43,995365,38836,836
44,995348,39011,11
45,995325,38822,822
46,995289,39038,38
47,995253,39104,104
48,995252,38871,871
49,995236,39207,207
50,995234,25825,825
51,995233,32604,604
52,995232,33348,348
53,995232,37563,563
54,995231,36601,601
55,995230,38413,413
56,995229,20406,406
57,995229,36927,927
58,995228,35246,246
59,995227,29748,748
60,995227,34187,187
61,995226,31618,618
62,995225,34561,561
63,995225,34729,729
64,995225,38900,900
65,995224,26429,429
66,995224,33370,370
67,995224,37822,822
68,995224,38925,925
69,995222,36551,551
70,995221,32893,893
71,995221,35782,782
72,995220,23540,540
73,995220,35309,309
74,995220,35431,431
75,995219,35055,55
76,995218,26377,377
77,995216,29621,621
78,995216,38955,955
79,995215,29461,461
80,995214,23412,412
81,995214,29391,391
82,995213,23385,385
83,995213,38408,408
84,995212,34984,984
85,995212,36567,567
86,995211,24945,945
87,995211,31370,370
88,995210,37667,667
89,995209,36983,983
90,995209,38055,55
91,995208,24292,292
92,995208,32438,438
93,995207,28838,838
94,995206,20861,861
95,995206,32722,722
96,995205,27838,838
97,995204,36654,654
98,995203,25209,209
99,995202,24423,423
100,995202,31418,418
101,995201,34327,327
102,995200,36306,306
103,995199,23958,958
104,995199,24209,209
105,995199,28804,804
106,995198,37823,823
107,995196,23769,769
108,995196,33403,403
109,995194,30021,21
110,995193,25185,185
111,995193,28641,641
112,995192,26628,628
113,995192,27347,347
114,995192,27616,616
115,995192,30844,844
116,995192,37612,612
117,995191,38325,325
118,995190,28154,154
119,995190,36433,433
120,995190,37558,558
121,995189,29112,112
122,995189,32677,677
123,995189,33081,81
124,995189,33699,699
125,995189,34466,466
126,995189,35802,802
127,995189,35983,983
128,995187,29647,647
129,995187,31651,651
130,995186,25628,628
131,995186,28583,583
132,995186,32183,183
133,995186,38100,100
134,995185,33966,966
135,995185,35139,139
136,995185,36398,398
137,995185,36602,602
138,995184,22889,889
139,995184,30252,252
140,995184,37397,397
141,995183,24817,817
142,995182,31607,607
143,995181,27804,804
144,995181,34782,782
145,995180,35463,463
146,995179,31708,708
147,995179,34535,535
148,995178,31590,590
149,995176,27850,850
150,995176,29440,440
151,995176,30895,895
152,995176,31211,211
153,995176,31679,679
154,995174,37257,257
155,995173,30264,264
156,995173,31008,8
157,995173,34307,307
158,995173,35480,480
159,995173,35973,973
160,995171,33801,801
161,995171,38155,155
162,995169,25504,504
163,995166,31630,630
164,995165,32211,211
165,995165,36875,875
166,995164,23797,797
167,995164,33658,658
168,995164,35595,595
169,995163,26921,921
170,995163,28010,10
171,995163,29812,812
172,995163,36693,693
173,995162,25889,889
174,995162,37653,653
175,995160,38087,87
176,995159,34632,632
177,995158,29876,876
178,995158,33807,807
179,995158,35862,862
180,995157,34068,68
181,995157,35491,491
182,995156,22551,551
183,995155,23734,734
184,995154,27340,340
185,995154,33012,12
186,995154,36932,932
187,995153,22460,460
188,995153,38002,2
189,995152,25921,921
190,995150,30607,607
191,995149,28895,895
192,995149,33407,407
193,995147,29495,495
194,995147,36041,41
195,995146,34507,507
196,995145,26080,80
197,995145,31461,461
198,995144,22723,723
199,995144,26236,236
200,995144,27255,255
201,995144,29163,163
202,995142,31609,609
203,995141,29620,620
204,995140,30855,855
205,995139,25225,225
206,995138,20238,238
207,995138,22707,707
208,995138,32864,864
209,995137,30418,418
210,995137,33205,205
211,995137,35982,982
212,995135,33530,530
213,995134,24962,962
214,995134,33095,95
215,995133,35896,896
216,995132,37343,343
217,995131,21941,941
218,995131,27628,628
219,995131,33591,591
220,995131,34260,260
221,995131,37138,138
222,995130,23034,34
223,995130,27054,54
224,995130,28657,657
225,995130,29766,766
226,995129,35257,257
227,995128,31561,561
228,995128,35255,255
229,995128,36218,218
230,995128,37102,102
231,995127,38150,150
232,995125,37798,798
233,995125,38346,346
234,995124,26653,653
235,995123,35416,416
236,995123,35514,514
237,995122,26504,504
238,995121,32307,307
239,995120,32043,43
240,995120,34533,533
241,995119,35712,712
242,995118,32966,966
243,995117,24265,265
244,995117,35335,335
245,995116,27490,490
246,995116,30239,239
247,995116,37148,148
248,995115,29357,357
249,995114,23460,460
250,995113,24925,925
251,995111,37691,691
252,995110,32534,534
253,995109,23182,182
254,995109,35886,886
255,995107,30499,499
256,995107,34596,596
257,995104,36372,372
258,995104,36726,726
259,995103,34831,831
260,995099,26209,209
261,995097,24251,251
262,995097,34971,971
263,995096,32942,942
264,995096,33385,385
265,995096,34370,370
266,995096,38527,527
267,995094,23197,197
268,995094,30342,342
269,995094,33782,782
270,995093,27902,902
271,995092,34232,232
272,995092,38396,396
273,995091,33880,880
274,995091,34571,571
275,995090,31632,632
276,995090,32474,474
277,995090,35949,949
278,995090,36498,498
279,995089,31866,866
280,995089,34295,295
281,995089,35025,25
282,995088,33896,896
283,995088,36475,475
284,995088,36644,644
285,995087,35796,796
286,995087,37066,66
287,995086,34405,405
288,995086,36560,560
289,995085,27945,945
290,995085,37125,125
291,995084,33922,922
292,995084,38154,154
293,995083,25109,109
294,995083,29641,641
295,995082,34442,442
296,995082,36140,140
297,995082,36707,707
298,995081,34304,304
299,995081,34767,767
300,995080,29288,288
301,995078,29650,650
302,995077,29636,636
303,995077,31237,237
304,995076,23178,178
305,995076,26066,66
306,995076,29892,892
307,995075,25265,265
308,995075,27364,364
309,995075,33597,597
310,995075,37242,242
311,995075,37749,749
312,995073,34528,528
313,995073,35389,389
