,PRICE
0,1000000
1,1000000
2,1000000
3,999633
4,998974
5,999487
6,999735
7,999735
8,999735
9,999933
10,999933
11,999933
12,1000471
13,1000757
14,1000757
15,1000819
16,1000819
17,1000908
18,1000908
19,1000908
20,1000908
21,1001316
22,1001316
23,1001662
24,1001662
25,1001717
26,1001719
27,1001719
28,1001719
29,1001719
30,1001722
31,1002099
32,1002099
33,1002099
34,1002099
35,1002386
36,1002394
37,1002394
38,1002394
39,1002394
40,1002394
41,1002396
42,1002687
43,1002832
44,1002904
45,1002904
46,1002940
47,1002958
48,1002958
49,1002958
50,1002967
51,1002967
52,1002972
53,1002972
54,1002972
55,1002974
56,1002974
57,1002975
58,1002975
59,1002976
60,1002976
61,1002976
62,1001976
63,1002686
64,1001831
65,1002614
66,1002614
67,1002614
68,1002614
69,1002614
70,1002614
71,1002977
72,1003034
73,1003112
74,1003112
75,1003155
76,1003267
77,1003267
78,1003267
79,1002318
80,1003241
81,1003241
82,1003241
83,1003241
84,1003241
85,1003241
86,1003305
87,1003337
88,1003337
89,1003353
90,1003353
91,1003353
92,1003361
93,1003365
94,1003367
95,1003367
96,1003368
97,1003369
98,1003369
99,1003369
100,1002369
101,1002369
102,1003266
103,1003266
104,1003266
105,1003266
106,1003318
107,1003344
108,1003357
109,1003363
110,1003363
111,1003363
112,1003366
113,1002368
114,1002368
115,1002368
116,1003370
117,1003370
118,1003370
119,1003139
120,1003430
121,1003430
122,1003619
123,1003828
124,1003893
125,1002898
126,1003896
127,1003896
128,1003896
129,1003964
130,1003998
131,1003998
132,1003998
133,1003998
134,1003998
135,1003998
136,1003998
137,1004015
138,1004024
139,1004028
140,1004028
141,1004030
142,1004030
143,1004031
144,1004032
145,1004032
146,1004032
147,1003032
148,1003032
149,1003598
150,1003598
151,1003815
152,1003924
153,1003924
154,1003978
155,1004005
156,1004005
157,1004005
158,1004019
159,1004019
160,1004033
161,1004033
162,1004067
163,1004067
164,1004067
165,1004067
166,1004067
167,1004181
168,1004198
169,1004198
170,1004198
171,1004205
172,1004205
173,1004205
174,1004348
175,1004348
176,1004386
177,1004506
178,1004762
179,1004848
180,1004848
181,1004848
182,1004851
183,1004851
184,1004853
185,1004853
186,1004853
187,1004855
188,1004855
189,1004965
190,1004965
191,1005007
192,1005007
193,1005045
194,1005045
195,1005045
196,1004403
197,1004873
198,1004873
199,1005045
200,1005061
201,1005061
202,1005069
203,1005073
204,1005073
205,1005075
206,1005076
207,1005076
208,1005076
209,1005076
210,1005076
211,1005076
212,1005076
213,1005076
214,1004278
215,1004830
216,1004045
217,1004045
218,1004045
219,1005029
220,1004053
221,1004053
222,1004053
223,1004053
224,1005033
225,1005055
226,1005055
227,1005055
228,1005055
229,1005066
230,1005071
231,1005071
232,1005071
233,1005071
234,1005071
235,1005074
236,1005075
237,1005076
238,1005076
239,1005076
240,1005076
241,1005076
242,1005076
243,1005076
244,1005076
245,1005076
246,1005076
247,1005076
248,1005076
249,1005076
250,1005076
251,1005076
252,1005076
253,1005076
254,1005076
255,1005076
256,1005076
257,1005076
258,1005076
259,1005076
260,1005076
261,1005076
262,1005076
263,1005076
264,1005076
265,1005076
266,1005076
267,1005076
268,1005076
269,1005076
270,1005076
271,1005076
272,1005076
273,1005076
274,1005076
275,1005076
276,1005076
277,1005076
278,1005076
279,1005076
280,1005076
281,1005076
282,1005076
283,1005076
284,1005076
285,1005076
286,1005076
287,1005076
288,1005076
289,1005076
290,1005076
291,1005076
292,1005076
293,1005076
294,1005076
295,1005076
296,1005076
297,1005076
298,1005076
299,1005076
300,1005076
301,1005076
302,1005076
303,1005076
304,1005076
305,1005076
306,1005076
307,1005076
308,1005076
309,1005076
310,1005076
311,1005076
312,1004076
313,1005045
314,1005045
315,1005061
316,1005061
317,1005061
318,1005061
319,1005061
320,1005077
321,1005077
322,1004446
323,1004446
324,1005129
325,1005136
326,1005152
327,1005152
328,1005169
329,1005178
330,1005182
331,1005182
332,1005182
333,1005184
334,1005185
335,1005185
336,1005185
337,1005186
338,1005186
339,1005186
340,1005186
341,1005186
342,1005186
343,1005186
344,1005186
345,1005186
346,1005186
347,1005186
348,1005186
349,1005186
350,1005186
351,1005186
352,1005186
353,1005186
354,1005186
355,1005186
356,1005186
357,1005186
358,1005186
359,1005186
360,1005186
361,1005186
362,1005186
363,1005186
364,1005186
365,1005186
366,1005186
367,1005186
368,1005186
369,1005186
370,1005186
371,1005186
372,1005186
373,1005186
374,1005186
375,1005186
376,1005186
377,1005186
378,1005186
379,1005186
380,1005186
381,1005186
382,1005186
383,1005186
384,1005186
385,1005186
386,1005186
387,1005186
388,1005186
389,1005186
390,1005186
391,1005186
392,1005186
393,1005186
394,1005186
395,1005186
396,1005186
397,1005186
398,1005186
399,1005186
400,1004186
401,1004186
402,1005100
403,1004143
404,1005078
405,1005078
406,1005132
407,1005132
408,1005132
409,1004693
410,1004693
411,1004693
412,1004693
413,1004693
414,1005011
415,1005100
416,1005100
417,1004499
418,1004499
419,1004499
420,1004989
421,1005100
422,1005143
423,1005143
424,1005165
425,1005176
426,1005176
427,1005176
428,1005181
429,1005184
430,1005185
431,1005186
432,1005186
433,1005186
434,1005186
435,1005186
436,1005186
437,1005186
438,1005186
439,1005186
440,1005186
441,1005186
442,1005186
443,1005186
444,1005186
445,1004516
446,1004516
447,1004516
448,1004516
449,1004516
450,1004516
451,1005139
452,1005141
453,1005141
454,1005141
455,1005164
456,1005164
457,1005164
458,1005175
459,1005181
460,1005184
461,1005184
462,1005185
463,1005186
464,1005186
465,1005186
466,1005186
467,1005186
468,1005186
469,1005186
470,1005186
471,1005186
472,1005186
473,1004234
474,1004234
475,1004938
476,1005100
477,1005143
478,1005165
479,1005165
480,1005176
481,1005181
482,1005184
483,1005185
484,1005185
485,1005186
486,1005186
487,1005186
488,1005186
489,1005186
490,1005186
491,1005186
492,1005186
493,1005186
494,1005186
495,1005186
496,1005186
497,1005186
498,1005186
499,1005186
500,1005186
501,1005186
502,1005186
503,1005186
504,1005186
505,1005186
506,1005186
507,1005186
508,1005186
509,1005186
510,1005186
511,1005186
512,1005186
513,1005186
514,1005187
515,1005329
516,1005378
517,1005185
518,1005402
519,1005402
520,1005455
521,1005466
522,1005473
523,1005475
524,1005538
525,1005538
526,1005569
527,1005569
528,1005585
529,1005593
530,1005597
531,1005597
532,1005597
533,1005599
534,1005599
535,1005600
536,1005600
537,1005600
538,1005600
539,1005600
540,1004600
541,1005307
542,1005307
543,1005307
544,1005454
545,1005527
546,1005527
547,1005527
548,1005601
549,1005601
550,1005601
551,1005676
552,1005751
553,1005751
554,1005751
555,1005817
556,1005831
557,1005831
558,1005831
559,1005831
560,1005831
561,1005844
562,1005844
563,1005857
564,1005857
565,1005931
566,1005995
567,1006056
568,1006112
569,1006112
570,1006227
571,1006266
572,1006266
573,1006267
574,1006276
575,1006292
576,1006292
577,1006298
578,1006298
579,1006301
580,1006301
581,1006302
582,1006303
583,1006303
584,1006303
585,1006303
586,1006303
587,1006303
588,1006303
589,1006303
590,1006303
591,1006304
592,1006365
593,1006455
594,1006498
595,1006529
596,1006535
597,1006538
598,1006538
599,1006538
600,1006539
601,1006539
602,1006540
603,1006540
604,1006540
605,1006540
606,1006540
607,1006540
608,1006540
609,1006540
610,1006540
611,1006540
612,1006540
613,1006540
614,1006540
615,1006541
616,1006631
617,1006631
618,1006631
619,1006631
620,1006638
621,1006663
622,1006663
623,1006663
624,1006663
625,1006674
626,1006675
627,1006762
628,1006774
629,1006786
630,1006786
631,1006786
632,1006786
633,1006796
634,1006796
635,1006821
636,1006821
637,1006833
638,1006847
639,1006847
640,1006847
641,1006847
642,1006927
643,1006927
644,1006927
645,1006943
646,1006955
647,1006981
648,1006981
649,1006981
650,1006981
651,1006984
652,1006984
653,1007019
654,1007019
655,1007108
656,1007120
657,1007120
658,1007120
659,1007164
660,1007202
661,1007210
662,1007210
663,1007262
664,1007262
665,1007262
666,1007299
667,1007299
668,1007302
669,1007302
670,1007302
671,1007304
672,1007317
673,1007317
674,1007361
675,1007373
676,1007393
677,1007393
678,1007393
679,1007393
680,1007393
681,1007401
682,1007405
683,1007405
684,1007407
685,1007407
686,1007407
687,1007408
688,1007409
689,1007409
690,1007409
691,1007409
692,1007409
693,1007409
694,1007409
695,1006409
696,1006409
697,1006393
698,1006393
699,1007385
700,1007385
701,1007385
702,1007397
703,1007397
704,1007403
705,1007403
706,1007403
707,1007406
708,1007408
709,1007408
710,1007409
711,1007409
712,1007409
713,1007409
714,1007409
715,1007409
716,1007409
717,1007409
718,1007409
719,1007409
720,1007409
721,1007409
722,1007409
723,1007409
724,1007409
725,1007409
726,1007409
727,1007409
728,1007409
729,1007409
730,1007409
731,1007409
732,1007409
733,1007409
734,1007409
735,1007409
736,1007409
737,1007409
738,1007409
739,1007409
740,1007409
741,1007409
742,1007409
743,1007409
744,1007409
745,1007409
746,1007409
747,1007409
748,1007409
749,1007409
750,1007409
751,1007409
752,1007409
753,1007409
754,1007409
755,1007409
756,1007409
757,1007409
758,1007409
759,1007409
760,1007409
761,1007409
762,1007409
763,1007409
764,1007409
765,1007409
766,1007409
767,1007409
768,1007409
769,1007409
770,1007409
771,1007409
772,1007409
773,1007409
774,1007409
775,1007409
776,1007409
777,1007409
778,1007409
779,1007409
780,1007409
781,1006409
782,1006409
783,1006409
784,1007393
785,1007401
786,1007401
787,1007401
788,1007405
789,1007407
790,1007408
791,1007408
792,1007408
793,1007409
794,1007409
795,1007409
796,1007409
797,1007409
798,1007409
799,1007409
800,1007409
801,1007409
802,1007409
803,1007409
804,1007409
805,1007409
806,1007409
807,1007409
808,1007409
809,1007409
810,1007409
811,1007409
812,1007409
813,1007409
814,1007409
815,1007409
816,1007409
817,1007410
818,1007410
819,1007410
820,1007437
821,1007480
822,1007494
823,1007531
824,1007531
825,1007531
826,1007531
827,1007536
828,1007536
829,1007559
830,1007562
831,1007626
832,1007626
833,1007649
834,1007125
835,1007125
836,1007125
837,1007284
838,1007284
839,1007529
840,1007529
841,1007626
842,1007675
843,1007699
844,1007699
845,1007699
846,1007711
847,1007717
848,1007717
849,1007717
850,1007717
851,1007717
852,1007724
853,1007735
854,1007774
855,1007774
856,1007799
857,1007799
858,1007445
859,1007445
860,1007445
861,1007800
862,1007800
863,1007801
864,1007801
865,1007801
866,1007801
867,1007801
868,1007810
869,1007810
870,1007810
871,1007848
872,1007848
873,1007872
874,1007872
875,1007893
876,1007893
877,1007893
878,1007760
879,1007760
880,1007760
881,1007760
882,1007902
883,1007928
884,1007996
885,1008030
886,1008047
887,1008047
888,1008056
889,1008056
890,1008056
891,1008056
892,1008060
893,1008060
894,1008062
895,1008062
896,1008063
897,1008064
898,1008064
899,1008064
900,1008064
901,1008064
902,1007064
903,1007064
904,1007720
905,1007720
906,1007720
907,1007720
908,1007892
909,1007892
910,1007978
911,1007978
912,1008021
913,1008021
914,1008021
915,1008021
916,1008043
917,1008054
918,1008059
919,1008059
920,1008059
921,1008062
922,1008062
923,1008062
924,1008062
925,1008062
926,1008062
927,1008063
928,1008063
929,1008064
930,1008064
931,1008064
932,1008064
933,1008064
934,1008064
935,1008064
936,1008064
937,1008064
938,1008064
939,1008064
940,1008064
941,1008064
942,1008064
943,1008064
944,1008064
945,1008064
946,1008064
947,1008064
948,1008064
949,1008064
950,1008064
951,1008064
952,1008064
953,1008064
954,1008064
955,1008064
956,1008064
957,1008064
958,1008064
959,1008064
960,1008064
961,1008064
962,1008064
963,1008064
964,1008064
965,1008064
966,1008064
967,1008064
968,1008064
969,1008064
970,1008064
971,1008064
972,1008064
973,1008064
974,1008064
975,1008064
976,1008064
977,1007987
978,1007996
979,1008030
980,1008047
981,1008047
982,1008065
983,1008074
984,1008074
985,1008086
986,1008087
987,1008087
988,1008087
989,1008087
990,1008155
991,1008155
992,1008166
993,1008166
994,1007612
995,1008202
996,1008202
997,1008202
998,1008211
999,1008211
1000,1008263
1001,1008263
1002,1008274
1003,1008274
1004,1008274
1005,1008274
1006,1008274
1007,1008274
1008,1008285
1009,1008285
1010,1007564
1011,1008292
1012,1008296
1013,1008325
1014,1008326
1015,1008333
1016,1008333
1017,1008333
1018,1008333
1019,1008333
1020,1008336
1021,1008338
1022,1008339
1023,1008339
1024,1008339
1025,1008339
1026,1008339
1027,1008339
1028,1008339
1029,1008339
1030,1008339
1031,1008339
1032,1008339
1033,1008339
1034,1008339
1035,1008339
1036,1008339
1037,1008339
1038,1008339
1039,1008339
1040,1008339
1041,1008339
1042,1008339
1043,1008339
1044,1008339
1045,1008339
1046,1008339
1047,1008339
1048,1008339
1049,1008339
1050,1008339
1051,1008339
1052,1008339
1053,1007339
1054,1007858
1055,1007858
1056,1007858
1057,1007858
1058,1007858
1059,1007858
1060,1008099
1061,1008219
1062,1008219
1063,1008279
1064,1007309
1065,1007843
1066,1007843
1067,1008091
1068,1008091
1069,1008091
1070,1008215
1071,1008277
1072,1008277
1073,1008277
1074,1008277
1075,1008277
1076,1008277
1077,1008277
1078,1008308
1079,1008308
1080,1008308
1081,1008324
1082,1008332
1083,1008332
1084,1008336
1085,1008336
1086,1008336
1087,1008338
1088,1008338
1089,1008221
1090,1008221
1091,1007280
1092,1007280
1093,1007899
1094,1008119
1095,1008119
1096,1008229
1097,1008229
1098,1008229
1099,1008229
1100,1008229
1101,1008284
1102,1008312
1103,1008312
1104,1008326
1105,1008333
1106,1008333
1107,1008333
1108,1008333
1109,1008333
1110,1008333
1111,1008340
1112,1008341
1113,1008343
1114,1008343
1115,1008343
1116,1008343
1117,1008343
1118,1008343
1119,1007722
1120,1007722
1121,1007369
1122,1007369
1123,1008288
1124,1008319
1125,1008334
1126,1008342
1127,1008346
1128,1008346
1129,1008346
1130,1008348
1131,1008348
1132,1008349
1133,1008349
1134,1008349
1135,1008349
1136,1008349
1137,1008349
1138,1008349
1139,1008349
1140,1008349
1141,1008329
1142,1008329
1143,1008329
1144,1008339
1145,1008344
1146,1008344
1147,1007347
1148,1008100
1149,1008100
1150,1008225
1151,1008287
1152,1008318
1153,1008318
1154,1008334
1155,1008334
1156,1008334
1157,1008334
1158,1008334
1159,1008350
1160,1008351
1161,1008351
1162,1008359
1163,1008359
1164,1008359
1165,1008359
1166,1008359
1167,1008386
1168,1008386
1169,1008404
1170,1008404
1171,1008404
1172,1008318
1173,1008417
1174,1008424
1175,1008427
1176,1008464
1177,1008471
1178,1008471
1179,1008471
1180,1008484
1181,1008234
1182,1008484
1183,1008484
1184,1008537
1185,1007971
1186,1007971
1187,1008543
1188,1008543
1189,1008543
1190,1008543
1191,1008543
1192,1008543
1193,1008543
1194,1008543
1195,1008578
1196,1008578
1197,1008605
1198,1008619
1199,1008626
1200,1008629
1201,1008631
1202,1008632
1203,1008632
1204,1008632
1205,1008632
1206,1008632
1207,1008632
1208,1008632
1209,1008632
1210,1008632
1211,1007632
1212,1007632
1213,1008243
1214,1008243
1215,1008243
1216,1008243
1217,1008243
1218,1008438
1219,1008438
1220,1007535
1221,1008194
1222,1008194
1223,1008194
1224,1008194
1225,1008194
1226,1007633
1227,1008023
1228,1008023
1229,1008023
1230,1008023
1231,1008328
1232,1008328
1233,1008480
1234,1008556
1235,1008556
1236,1008556
1237,1008556
1238,1008556
1239,1008594
1240,1008594
1241,1008594
1242,1008613
1243,1008613
1244,1008623
1245,1008623
1246,1008628
1247,1008630
1248,1008630
1249,1008631
1250,1008632
1251,1008632
1252,1008632
1253,1008632
1254,1008632
1255,1008632
1256,1008632
1257,1008632
1258,1008632
1259,1008632
1260,1008632
1261,1008632
1262,1008632
1263,1008632
1264,1008632
1265,1008632
1266,1008632
1267,1008632
1268,1008632
1269,1008632
1270,1008632
1271,1008632
1272,1008632
1273,1008632
1274,1008632
1275,1008632
1276,1008632
1277,1008632
1278,1008632
1279,1008469
1280,1008489
1281,1008561
1282,1008597
1283,1008597
1284,1008597
1285,1008597
1286,1008597
1287,1008597
1288,1008615
1289,1008615
1290,1008615
1291,1008624
1292,1008624
1293,1008628
1294,1008630
1295,1008631
1296,1008632
1297,1008632
1298,1008632
1299,1008632
1300,1007632
1301,1007632
1302,1007632
1303,1007632
1304,1007632
1305,1008243
1306,1007438
1307,1008146
1308,1008146
1309,1008389
1310,1008389
1311,1008389
1312,1008511
1313,1008511
1314,1008511
1315,1008572
1316,1008602
1317,1008617
1318,1008617
1319,1007625
1320,1008239
1321,1008436
1322,1008436
1323,1008436
1324,1008436
1325,1008436
1326,1008436
1327,1008436
1328,1008436
1329,1008436
1330,1008436
1331,1008534
1332,1008583
1333,1008608
1334,1007620
1335,1007237
1336,1008045
1337,1008339
1338,1008486
1339,1008486
1340,1008486
1341,1008559
1342,1008559
1343,1008596
1344,1008614
1345,1008614
1346,1008623
1347,1008628
1348,1008630
1349,1008630
1350,1008630
1351,1008631
1352,1008631
1353,1008631
1354,1008631
1355,1008631
1356,1008471
1357,1008633
1358,1008633
1359,1008633
1360,1008633
1361,1008633
1362,1008633
1363,1008635
1364,1008640
1365,1008640
1366,1008640
1367,1008640
1368,1008641
1369,1008664
1370,1008664
1371,1008664
1372,1008664
1373,1008687
1374,1008687
1375,1008507
1376,1008507
1377,1008507
1378,1008716
1379,1008719
1380,1008719
1381,1008719
1382,1008732
1383,1008733
1384,1008755
1385,1008766
1386,1008771
1387,1008771
1388,1008771
1389,1008774
1390,1008774
1391,1008774
1392,1008775
1393,1008776
1394,1008776
1395,1008776
1396,1008776
1397,1008776
1398,1008776
1399,1008776
1400,1008776
1401,1008776
1402,1008776
1403,1008776
1404,1008776
1405,1007776
1406,1008315
1407,1008546
1408,1008546
1409,1008777
1410,1008802
1411,1008802
1412,1008802
1413,1008824
1414,1008824
1415,1008824
1416,1008581
1417,1008581
1418,1008581
1419,1008840
1420,1008840
1421,1008886
1422,1008910
1423,1008910
1424,1008922
1425,1008922
1426,1008928
1427,1008931
1428,1008931
1429,1008932
1430,1008933
1431,1008933
1432,1008933
1433,1008933
1434,1008933
1435,1008933
1436,1008933
1437,1008933
1438,1008933
1439,1008933
1440,1008933
1441,1008933
1442,1008933
1443,1008933
1444,1008933
1445,1007933
1446,1007933
1447,1007933
1448,1007933
1449,1007933
1450,1008393
1451,1008663
1452,1008798
1453,1008798
1454,1008866
1455,1008866
1456,1008900
1457,1008900
1458,1008900
1459,1008900
1460,1008917
1461,1008925
1462,1008929
1463,1008931
1464,1008931
1465,1008931
1466,1008931
1467,1008932
1468,1008932
1469,1008932
1470,1008932
1471,1008932
1472,1007933
1473,1008393
1474,1008663
1475,1008798
1476,1008798
1477,1008866
1478,1008900
1479,1008917
1480,1008925
1481,1008929
1482,1008929
1483,1008931
1484,1008931
1485,1008931
1486,1008931
1487,1008932
1488,1008932
1489,1008932
1490,1008932
1491,1008932
1492,1008933
1493,1008933
1494,1008933
1495,1008933
1496,1008933
1497,1008933
1498,1008933
1499,1008933
1500,1008933
1501,1008933
1502,1008933
1503,1008933
1504,1008933
1505,1008933
1506,1008933
1507,1008933
1508,1008933
1509,1008933
1510,1008933
1511,1008933
1512,1008933
1513,1008933
1514,1008934
1515,1008938
1516,1008945
1517,1008945
1518,1008945
1519,1008500
1520,1008960
1521,1008965
1522,1008965
1523,1008965
1524,1008970
1525,1008977
1526,1008977
1527,1008977
1528,1008981
1529,1008983
1530,1008984
