,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,1000001,1,1000671,1,0,1000001,-17628,372
1,1000001,2,1000867,2,1,1000001,-16558,442
2,1000001,5,1001250,5,4,1000001,-15865,135
3,1000001,6,1000464,6,5,1000001,-15789,211
4,1000000,8,1000000,-7622,378,999983,8,7
5,1000000,12,1000000,-5430,570,999093,12,11
6,1000000,13,1000000,-5120,880,998800,13,12
7,1000000,18,1000000,-2938,62,999839,18,17
8,1000001,19,1000176,19,18,1000001,-12422,578
9,1000000,21,1000000,-727,273,999982,21,20
10,999999,22,999999,-19384,616,999766,22,21
11,1000001,26,1000386,26,25,1000001,-12359,641
12,1000001,30,1000242,30,29,1000001,-11581,419
13,1000001,32,1000183,32,31,1000001,-10874,126
14,1000001,34,1000581,34,33,1000001,-10134,866
15,999999,36,999999,-16956,44,999586,36,35
16,1000001,37,1000022,37,36,1000001,-9007,993
17,999999,39,999999,-15053,947,999975,39,38
18,999999,40,999999,-11750,250,999379,40,39
19,999999,41,999999,-11653,347,998957,41,40
20,999999,42,999999,-10892,108,999322,42,41
21,999999,43,999999,-10479,521,999968,43,42
22,1000001,50,1000622,50,49,1000001,-8543,457
23,999999,52,999999,-6431,569,999986,52,51
24,999999,54,999999,-5924,76,999988,54,53
25,1000001,55,1000323,55,54,1000001,-3900,100
26,1000001,56,1000619,56,55,1000001,-474,526
27,999999,61,999999,-5346,654,999780,61,60
28,1000002,62,1000024,62,61,1000002,-19649,351
29,999999,63,999999,-5200,800,999995,63,62
30,1000002,65,1000598,65,64,1000002,-19248,752
31,999999,68,999999,-4766,234,999750,68,67
32,1000002,69,1000131,69,68,1000002,-17987,13
33,1000002,70,1000531,70,69,1000002,-17809,191
34,1000002,73,1000190,73,72,1000002,-12955,45
35,999999,74,999999,-4479,521,998342,74,73
36,999999,76,999999,-2035,965,994949,76,75
37,999999,78,999999,-1193,807,999982,78,77
38,999998,82,999998,-19789,211,999811,82,81
39,1000002,84,1000662,84,83,1000002,-12899,101
40,1000002,88,1000209,88,87,1000002,-12109,891
41,1000002,93,1000752,93,92,1000002,-9547,453
42,1000002,94,1001248,94,93,1000002,-9410,590
43,1000002,97,1000006,97,96,1000002,-9382,618
44,999998,98,999998,-17527,473,999998,98,97
45,1000002,100,1000219,100,99,1000002,-7244,756
46,999998,101,999998,-17365,635,999985,101,100
47,1000002,102,1000362,102,101,1000002,-5903,97
48,999998,103,999998,-16794,206,999740,103,102
49,999998,106,999998,-16634,366,999062,106,105
50,1000001,108,1002917,108,107,1000001,107,106
51,999998,109,999998,-16374,626,999996,109,108
52,999998,113,999998,-16241,759,999922,113,112
53,999998,114,999998,-14964,36,998259,114,113
54,1000002,115,1001576,115,114,1000002,-5149,851
55,1000002,116,1000751,116,115,1000002,-2795,205
56,999998,119,999998,-14509,491,999364,119,118
57,1000002,121,1000208,121,120,1000002,-2267,733
58,999998,122,999998,-14444,556,999856,122,121
59,999998,124,999998,-10606,394,998745,124,123
60,1000002,125,1000016,125,124,1000002,-137,863
61,999998,126,999998,-10443,557,999970,126,125
62,999998,130,999998,-8856,144,999446,130,129
63,999998,131,999998,-7756,244,999584,131,130
64,1000002,133,1000137,133,132,1000002,-60,940
65,1000003,134,1001185,134,133,1000003,-17556,444
66,1000003,135,1000166,135,134,1000003,-15194,806
67,1000003,138,1000340,138,137,1000003,-14736,264
68,1000003,139,1000217,139,138,1000003,-13903,97
69,999998,141,999998,-7300,700,999817,141,140
70,1000003,142,1000382,142,141,1000003,-12001,999
71,999998,143,999998,-6570,430,999039,143,142
72,1000003,144,1000058,144,143,1000003,-10938,62
73,999998,146,999998,-6292,708,999998,146,145
74,1000003,147,1000708,147,146,1000003,-9474,526
75,1000003,150,1001177,150,149,1000003,-5782,218
