,PRICE
0,1000000
1,1000000
2,1000001
3,1000001
4,1000001
5,1000001
6,1000001
7,1000001
8,1000001
9,1000000
10,1000000
11,1000000
12,1000000
13,1000000
14,1000000
15,1000000
16,1000000
17,1000000
18,1000000
19,1000000
20,1000001
21,1000001
22,1000000
23,999999
24,999999
25,999999
26,999999
27,1000001
28,1000001
29,1000001
30,1000001
31,1000001
32,1000001
33,1000001
34,1000001
35,1000001
36,1000001
37,999999
38,1000001
39,1000001
40,999999
41,999999
42,999999
43,999999
44,999999
45,999999
46,999999
47,999999
48,999999
49,999999
50,999999
51,1000001
52,1000001
53,999999
54,999999
55,999999
56,1000001
57,1000001
58,1000001
59,1000001
60,1000001
61,1000001
62,999999
63,1000002
64,999999
65,999999
66,1000002
67,1000002
68,1000002
69,999999
70,1000002
71,1000002
72,1000002
73,1000002
74,1000002
75,999999
76,999999
77,999999
78,999999
79,999999
80,999999
81,999999
82,999999
83,999998
84,999998
85,1000002
86,1000002
87,1000002
88,1000002
89,1000002
90,1000002
91,1000002
92,1000002
93,1000002
94,1000002
95,1000002
96,1000002
97,1000002
98,1000002
99,999998
100,999998
101,1000002
102,999998
103,1000002
104,999998
105,999998
106,999998
107,999998
108,999998
109,1000001
110,999998
111,999998
112,999998
113,999998
114,999998
115,999998
116,1000002
117,1000002
118,1000002
119,1000002
120,999998
121,999998
122,1000002
123,999998
124,999998
125,999998
126,1000002
127,999998
128,999998
129,999998
130,999998
131,999998
132,999998
133,999998
134,1000002
135,1000003
136,1000003
137,1000003
138,1000003
139,1000003
140,1000003
141,1000003
142,999998
143,1000003
144,999998
145,1000003
146,1000003
147,999998
148,1000003
149,1000003
150,1000003
151,1000003
152,999998
153,1000003
154,1000003
155,1000003
156,999998
157,999998
158,999998
159,999998
160,1000003
161,1000003
162,1000003
163,1000003
164,1000003
165,1000003
166,999998
167,1000004
168,1000004
169,1000004
170,1000004
171,1000004
172,1000004
173,1000004
174,1000004
175,999998
176,999998
177,999998
178,999998
179,999997
180,1000004
181,1000004
182,1000004
183,1000004
184,1000004
185,1000004
186,1000004
187,1000004
188,999997
189,999997
190,999997
191,1000004
192,999997
193,1000004
194,1000004
195,1000004
196,1000004
197,1000004
198,1000004
199,1000004
200,999997
201,999997
202,999997
203,999997
204,999997
205,999997
206,999997
207,999997
208,999997
209,999997
210,999997
211,1000004
212,1000004
213,1000004
214,999997
215,999997
216,1000004
217,1000004
218,1000004
219,1000005
220,1000005
221,1000005
222,999997
223,999997
224,999997
225,999997
226,1000005
227,999996
228,999996
229,999996
230,999996
231,999996
232,999996
233,999996
234,1000005
235,1000005
236,1000005
237,1000005
238,1000005
239,1000005
240,1000005
241,999996
242,999996
243,999996
244,999996
245,999996
246,999996
247,1000005
248,1000005
249,1000005
250,1000005
251,1000005
252,1000005
253,1000005
254,1000005
255,1000005
256,1000005
257,1000005
258,999996
259,1000005
260,999996
261,999996
262,999996
263,999996
264,999996
265,1000005
266,999996
267,1000005
268,1000005
269,1000005
270,1000005
271,1000005
272,1000005
273,1000005
274,1000005
275,1000005
276,1000005
277,1000005
278,1000005
279,1000005
280,999996
281,1000005
282,1000005
283,999996
284,999996
285,999996
286,1000005
287,999996
288,999996
289,1000000
290,1000000
291,1000000
292,1000000
293,1000000
294,1000000
295,1000000
296,1000000
297,1000005
298,1000005
299,1000005
300,1000005
301,1000005
302,1000005
303,1000005
304,1000005
305,999995
306,999995
307,999995
308,1000005
309,1000005
310,1000005
311,1000005
312,999995
313,999995
314,1000006
315,1000006
316,999995
317,999995
318,999995
319,999995
320,1000006
321,999995
322,999995
323,999995
324,999995
325,999995
326,1000006
327,1000006
328,1000006
329,1000006
330,1000006
331,999995
332,999995
333,999995
334,999995
335,999995
336,1000006
337,1000006
338,1000006
339,999995
340,999995
341,1000006
342,1000006
343,1000006
344,1000006
345,1000006
346,999997
347,999995
348,999995
349,999995
350,1000006
351,1000006
352,1000006
353,999995
354,999994
355,1000006
356,999994
357,1000006
358,1000006
359,1000006
360,999994
361,1000006
362,1000006
363,999994
364,999994
365,999994
366,999994
367,999994
368,999994
369,999994
370,1000006
371,1000006
372,999994
373,999994
374,999994
375,1000006
376,1000006
377,1000006
378,999994
379,999994
380,999994
381,999994
382,999994
383,1000006
384,1000007
385,999994
386,999994
387,1000007
388,1000007
389,999994
390,999994
391,999994
392,999994
393,999994
394,1000007
395,1000007
396,999994
397,999994
398,999994
399,999994
400,1000007
401,1000007
402,1000007
403,1000007
404,1000007
405,999994
406,1000007
407,999994
408,999994
409,1000007
410,1000007
411,1000007
412,1000007
413,999994
414,999994
415,999993
416,999993
417,999993
418,1000007
419,1000007
420,1000007
421,1000007
422,1000007
423,999993
424,1000008
425,1000008
426,1000008
427,1000008
428,1000008
429,1000008
430,1000008
431,1000008
432,1000008
433,1000008
434,1000008
435,1000008
436,1000008
437,1000008
438,1000008
439,1000008
440,999994
441,999994
442,999994
443,999993
444,999993
445,1000008
446,1000008
447,1000008
448,1000008
449,1000008
450,999993
451,1000008
452,999993
453,1000008
454,999993
455,999993
456,999993
457,999993
458,999993
459,999993
460,999993
461,999993
462,999993
463,999993
464,1000008
465,999993
466,999993
467,999993
468,999993
469,999993
470,999993
471,999993
472,999993
473,999993
474,999993
475,999999
476,1000008
477,1000008
478,999993
479,999993
480,999993
481,1000008
482,1000008
483,1000008
484,1000008
485,1000008
486,1000008
487,1000008
488,1000008
489,1000008
490,1000008
491,1000008
492,1000008
493,1000008
494,1000008
495,999993
496,999993
497,999993
498,999993
499,999993
500,999993
501,999993
502,999993
503,1000008
504,1000008
505,1000008
506,1000008
507,1000008
508,1000008
509,1000008
510,1000008
511,999993
512,1000009
513,999993
514,999993
515,999993
516,1000009
517,1000009
518,1000009
519,999993
520,1000009
521,999993
522,999992
523,999992
524,999992
525,999992
526,999992
527,999992
528,999992
529,999992
530,1000007
531,1000007
532,1000009
533,1000009
534,1000009
535,999992
536,999992
537,999992
538,999992
539,999992
540,1000009
541,999992
542,999992
543,1000005
544,999992
545,999992
546,1000009
547,1000009
548,999992
549,999992
550,999992
551,999992
552,999992
553,999992
554,999992
555,999992
556,999992
557,999992
558,999992
559,999992
560,999992
561,1000009
562,1000009
563,999992
564,999992
565,999992
566,999992
567,1000009
568,1000009
569,1000009
570,1000009
571,1000009
572,1000010
573,1000010
574,1000010
575,1000010
576,999992
577,1000010
578,1000010
579,1000010
580,999992
581,1000010
582,1000010
583,1000010
584,1000010
585,1000010
586,999992
587,999992
588,999992
589,999992
590,999992
591,999992
592,999992
593,999995
594,999992
595,999992
596,999992
597,999992
598,1000010
599,1000010
600,1000010
601,1000010
602,1000010
603,1000010
604,1000010
605,1000010
606,1000010
607,1000010
608,999997
609,999997
610,999997
611,999997
612,999997
613,999997
614,999991
615,999991
616,999991
617,1000010
618,1000010
619,1000010
620,1000010
621,999996
622,999996
623,1000011
624,1000011
625,1000011
626,1000011
627,1000011
628,1000011
629,1000011
630,1000011
631,1000011
632,1000011
633,1000007
634,1000011
635,1000011
636,1000011
637,1000011
638,1000011
639,1000011
640,999991
641,1000011
642,999991
643,999991
644,999991
645,999991
646,999991
647,1000011
648,999991
649,999991
650,1000011
651,1000011
652,1000011
653,1000011
654,1000011
655,1000011
656,999991
657,1000011
658,1000011
659,1000011
660,1000011
661,1000011
662,1000011
663,1000011
664,1000011
665,1000011
666,999991
667,1000011
668,1000011
669,999991
670,999991
671,999991
672,999991
673,999991
674,999991
675,999991
676,999991
677,999991
678,999991
679,999991
680,999991
681,999991
682,999991
683,1000011
684,1000011
685,1000011
686,1000011
687,1000011
688,1000011
689,999993
690,1000012
691,1000012
692,1000012
693,1000012
694,999991
695,1000012
696,999991
697,999991
698,999991
699,999991
700,999991
701,999991
702,999991
703,999991
704,999991
705,999991
706,999991
707,999991
708,999991
709,999991
710,999991
711,1000008
712,999991
713,999991
714,1000012
715,1000012
716,1000012
717,1000012
718,999991
719,999991
720,1000012
721,1000012
722,1000012
723,1000012
724,1000012
725,1000012
726,999991
727,1000012
728,1000012
729,1000012
730,1000012
731,1000012
732,1000012
733,1000012
734,1000012
735,1000012
736,999991
737,1000012
738,1000012
739,1000012
740,1000012
741,999991
742,999990
743,999990
744,1000012
745,1000012
746,1000012
747,999990
748,999990
749,999990
750,1000012
751,1000012
752,1000012
753,1000012
754,1000012
755,1000012
756,1000012
757,1000012
758,1000012
759,1000012
760,1000012
761,999999
762,999999
763,1000012
764,1000012
765,1000012
766,1000012
767,1000012
768,1000012
769,1000012
770,1000012
771,1000012
772,999990
773,999990
774,999990
775,999990
776,999990
777,999990
778,999991
779,999990
780,999990
781,999990
782,999990
783,1000012
784,999990
785,999990
786,999990
787,999990
788,999990
789,999990
790,999990
791,999990
792,999990
793,999990
794,999990
795,999990
796,999990
797,999990
798,999990
799,999990
800,999990
801,999990
802,1000012
803,1000012
804,1000012
805,999989
806,999989
807,999989
808,999989
809,999989
810,999989
811,999989
812,999989
813,999989
814,999989
815,999989
816,999989
817,999994
818,999989
819,999989
820,1000012
821,1000012
822,999989
823,999989
824,999989
825,999989
826,999989
827,1000012
828,1000012
829,1000012
830,1000012
831,1000012
832,1000012
833,1000012
834,1000012
835,999989
836,999989
837,999989
838,1000013
839,1000013
840,1000013
841,999989
842,999989
843,999989
844,999989
845,999989
846,999989
847,999989
848,999989
849,999989
850,999989
851,999989
852,999989
853,999989
854,999989
855,999989
856,999989
857,999989
858,999989
859,999989
860,999989
861,999995
862,999989
863,999989
864,999989
865,999989
866,999989
867,999989
868,999989
869,1000013
870,1000013
871,999989
872,999989
873,999989
874,1000013
875,1000013
876,1000013
877,1000013
878,1000013
879,999989
880,999989
881,999989
882,1000010
883,1000010
884,1000013
885,1000013
886,1000013
887,999989
888,999989
889,1000013
890,1000013
891,1000013
892,1000013
893,1000013
894,1000013
895,1000013
896,1000013
897,1000013
898,999989
899,999988
900,999988
901,1000013
902,1000013
903,1000013
904,1000013
905,1000013
906,999988
907,999988
908,999988
909,999988
910,999988
911,999988
912,999988
913,999988
914,999988
915,1000013
916,1000013
917,1000013
918,1000013
919,1000013
920,999988
921,999988
922,999988
923,999987
924,999987
925,999987
926,999987
927,999987
928,999987
929,1000010
930,999987
931,999987
932,1000013
933,1000013
934,999987
935,999987
936,999987
937,999987
938,999987
939,999987
940,999987
941,1000013
942,1000013
943,1000013
944,999996
945,1000013
946,1000013
947,999987
948,999987
949,1000013
950,1000013
951,1000013
952,1000013
953,1000013
954,1000013
955,1000013
956,1000013
957,999987
958,999987
959,999987
960,1000013
961,1000013
962,999986
963,999986
964,1000013
965,1000013
966,1000013
967,999986
968,1000013
969,1000013
970,1000013
971,1000013
972,999986
973,999986
974,999986
975,999986
976,999986
977,999986
978,999986
979,999986
980,999986
981,999986
982,1000013
983,1000013
984,999986
985,999986
986,999986
987,999986
988,999986
989,999986
990,999986
991,999986
992,999986
993,1000013
994,999986
995,1000013
996,1000013
997,1000014
998,999986
999,1000014
1000,1000014
1001,1000014
1002,1000014
1003,1000014
1004,1000014
1005,999986
1006,1000014
1007,999986
1008,999986
1009,1000014
1010,999986
1011,999986
1012,1000014
1013,1000014
1014,999986
1015,999986
1016,1000014
1017,1000014
1018,999985
1019,999985
1020,1000014
1021,1000014
1022,1000014
1023,1000014
1024,1000014
1025,999985
1026,999985
1027,999985
1028,999985
1029,999985
1030,999985
1031,1000014
1032,1000014
1033,1000014
1034,999995
1035,999985
1036,1000014
1037,1000014
1038,1000014
1039,1000014
1040,1000014
1041,1000014
1042,1000014
1043,999985
1044,999985
1045,999985
1046,999985
1047,999985
1048,1000014
1049,999985
1050,999985
1051,999985
1052,999985
1053,999985
1054,999985
1055,999985
1056,999985
1057,999985
1058,999985
1059,999985
1060,999985
1061,1000014
1062,1000014
1063,1000014
1064,1000014
1065,1000014
1066,1000014
1067,1000011
1068,999985
1069,999985
1070,999985
1071,999985
1072,999985
1073,1000014
1074,1000014
1075,999985
1076,999985
1077,1000009
1078,999985
1079,999985
1080,999985
1081,1000014
1082,1000014
1083,1000014
1084,1000014
1085,1000014
1086,999985
1087,999985
1088,999985
1089,999985
1090,1000015
1091,1000015
1092,1000015
1093,1000015
1094,1000015
1095,999985
1096,999984
1097,999984
1098,999984
1099,999984
1100,999984
1101,999984
1102,999984
1103,1000015
1104,1000015
1105,1000015
1106,999984
1107,1000015
1108,1000015
1109,1000015
1110,999984
1111,1000015
1112,1000015
1113,1000015
1114,1000015
1115,1000015
1116,999984
1117,1000015
1118,1000015
1119,1000015
1120,1000015
1121,999996
1122,999996
1123,999996
1124,999984
1125,1000015
1126,1000015
1127,1000015
1128,1000015
1129,1000015
1130,999984
1131,999984
1132,999984
1133,999984
1134,1000015
1135,1000015
1136,999984
1137,999984
1138,999984
1139,999984
1140,999984
1141,999984
1142,1000015
1143,999983
1144,1000015
1145,1000015
1146,999983
1147,999983
1148,999983
1149,999983
1150,999983
1151,1000015
1152,1000015
1153,999983
1154,999983
1155,999983
1156,1000015
1157,1000015
1158,999983
1159,999983
1160,999983
1161,999983
1162,1000016
1163,1000016
1164,1000016
1165,999983
1166,999983
1167,999983
1168,999983
1169,999983
1170,999983
1171,999983
1172,999983
1173,1000016
1174,999983
1175,999983
1176,999983
1177,999983
1178,999983
1179,999983
1180,999983
1181,999983
1182,1000000
1183,1000016
1184,1000016
1185,1000016
1186,1000016
1187,1000016
1188,1000016
1189,1000016
1190,999983
1191,999982
1192,999982
1193,999982
1194,1000016
1195,1000016
1196,1000016
1197,1000016
1198,999982
1199,999982
1200,999982
1201,999982
1202,999982
1203,1000016
1204,1000016
1205,1000016
1206,1000016
1207,1000016
1208,999982
1209,1000016
1210,1000016
1211,1000016
1212,1000016
1213,1000016
1214,1000016
1215,1000016
1216,1000016
1217,1000016
1218,1000016
1219,1000016
1220,1000016
1221,1000016
1222,1000016
1223,1000016
1224,1000016
1225,1000016
1226,1000016
1227,1000016
1228,1000016
1229,1000016
1230,1000011
1231,999982
1232,1000017
1233,1000017
1234,1000017
1235,1000017
1236,1000017
1237,999982
1238,1000017
1239,1000017
1240,1000017
1241,1000017
1242,1000017
1243,1000017
1244,1000017
1245,1000017
1246,1000017
1247,999986
1248,999986
1249,999986
1250,999986
1251,999986
1252,999986
1253,999993
1254,999993
1255,999982
1256,999982
1257,1000017
1258,999982
1259,999982
1260,999982
1261,999982
1262,999982
1263,999982
1264,999982
1265,999982
1266,999982
1267,999982
1268,999982
1269,999982
1270,1000017
1271,1000017
1272,999982
1273,1000017
1274,1000017
1275,1000017
1276,999982
1277,999982
1278,999982
1279,999982
1280,1000017
1281,1000017
1282,1000017
1283,999982
1284,1000017
1285,1000017
1286,1000017
1287,1000017
1288,1000006
1289,1000008
1290,1000017
1291,1000017
1292,1000017
1293,1000018
1294,1000018
1295,999982
1296,1000018
1297,1000018
1298,1000018
1299,1000018
1300,1000018
1301,1000018
1302,1000018
1303,1000018
1304,1000018
1305,999982
1306,1000018
1307,1000018
1308,1000018
1309,1000018
1310,1000018
1311,1000018
1312,1000018
1313,999981
1314,999981
1315,999981
1316,1000018
1317,1000018
1318,1000018
1319,1000001
1320,1000018
1321,1000018
1322,999981
1323,999981
1324,999981
1325,999997
1326,999997
1327,1000018
1328,1000018
1329,1000018
1330,999981
1331,999981
1332,999981
1333,999981
1334,999981
1335,1000018
1336,1000018
1337,1000018
1338,1000018
1339,1000018
1340,1000018
1341,999981
1342,999981
1343,999981
1344,1000018
1345,1000018
1346,1000018
1347,999981
1348,999981
1349,999981
1350,999981
1351,999981
1352,999981
1353,999981
1354,999981
1355,999981
1356,999981
1357,999981
1358,999981
1359,999981
1360,999990
1361,999990
1362,999990
1363,1000018
1364,1000018
1365,1000019
1366,1000019
1367,1000019
1368,1000019
1369,1000019
1370,999981
1371,999981
1372,999981
1373,1000019
1374,1000019
1375,1000019
1376,1000019
1377,999981
1378,1000019
1379,1000019
1380,1000019
1381,1000019
1382,1000019
1383,1000019
1384,999980
1385,1000019
1386,1000019
1387,1000019
1388,1000019
1389,1000019
1390,999980
1391,999980
1392,999980
1393,999980
1394,999980
1395,999980
1396,999980
1397,999980
1398,999980
1399,1000012
1400,1000012
1401,1000012
1402,999995
1403,999995
1404,999980
1405,999980
1406,999980
1407,999980
1408,1000019
1409,1000019
1410,1000019
1411,1000019
1412,1000019
1413,1000019
1414,1000019
1415,1000019
1416,1000019
1417,1000019
1418,1000019
1419,1000019
1420,1000019
1421,1000019
1422,1000019
1423,1000019
1424,1000019
1425,1000013
1426,1000013
1427,999980
1428,999980
1429,999980
1430,999980
1431,1000019
1432,1000020
1433,1000020
1434,1000020
1435,1000020
1436,1000020
1437,1000020
1438,1000020
1439,1000020
1440,1000020
1441,999981
1442,999980
1443,999980
1444,999980
1445,999980
1446,999980
1447,999980
1448,999980
1449,999980
1450,999980
1451,999980
1452,999986
1453,999980
1454,999980
1455,999980
1456,999980
1457,999980
1458,999979
1459,999979
1460,999979
1461,999979
1462,999979
1463,1000006
1464,1000006
1465,1000006
1466,1000006
1467,1000006
1468,1000006
1469,1000006
1470,1000006
1471,1000006
1472,1000006
1473,1000006
1474,1000006
1475,1000020
1476,1000020
1477,1000020
1478,999979
1479,999979
1480,999979
1481,999979
1482,999979
1483,999979
1484,999979
1485,999979
1486,999979
1487,999979
1488,999979
1489,999981
1490,999979
1491,999979
1492,1000011
1493,999979
1494,999979
1495,999979
1496,999979
1497,999979
1498,999979
1499,999995
1500,999990
1501,1000012
1502,999979
1503,999979
1504,999979
1505,999979
1506,999979
1507,999979
1508,999979
1509,999978
1510,999978
1511,999978
1512,999978
1513,999978
1514,999978
1515,999978
1516,999978
1517,999978
1518,999980
1519,999980
1520,999982
1521,999990
1522,999978
1523,999978
1524,999978
1525,999978
1526,999978
1527,999978
1528,999978
1529,999978
1530,999992
1531,999992
1532,999992
1533,999986
1534,1000020
1535,1000020
1536,1000020
1537,1000020
1538,1000020
1539,1000020
1540,1000020
1541,1000020
1542,1000020
1543,999998
1544,1000020
1545,1000020
1546,1000020
1547,1000020
1548,1000020
1549,1000020
1550,999997
1551,1000020
1552,1000020
1553,1000005
1554,1000005
1555,999978
1556,999978
1557,999978
1558,1000008
1559,1000008
1560,1000020
1561,1000020
1562,1000020
1563,999978
1564,999978
1565,999978
1566,999978
1567,1000020
1568,1000020
1569,1000020
1570,1000020
1571,1000020
1572,1000020
1573,1000020
1574,999978
1575,999978
1576,999978
1577,1000020
1578,1000020
1579,1000020
1580,1000020
1581,1000020
1582,1000020
1583,1000020
1584,1000020
1585,1000015
1586,1000015
1587,1000015
1588,1000015
1589,1000015
1590,1000015
1591,1000015
1592,1000003
1593,1000003
1594,1000003
1595,1000005
1596,1000005
1597,1000005
1598,1000005
1599,1000005
1600,1000005
1601,1000021
1602,1000021
1603,1000021
1604,1000021
1605,999978
1606,999978
1607,999978
1608,999978
1609,999978
1610,1000021
1611,1000021
1612,1000021
1613,1000021
1614,1000021
1615,1000021
1616,1000021
1617,999978
1618,999978
1619,999978
1620,999978
1621,999978
1622,999978
1623,999978
1624,999977
1625,999977
1626,999977
1627,999977
1628,999977
1629,999977
1630,999991
1631,999977
1632,999977
1633,999977
1634,999977
1635,999977
1636,1000021
1637,1000021
1638,1000021
1639,1000021
1640,1000021
1641,1000021
1642,1000021
1643,1000021
1644,1000021
