,PRICE,TIME,ID
0,1000305,2608,607
1,1000305,3084,83
2,1000305,6773,772
3,1000305,11139,138
4,1000305,11333,332
5,1000305,11612,611
6,1000305,16868,867
7,1000305,18833,832
8,1000305,19422,421
9,1000306,231,230
10,1000306,1472,471
11,1000306,8616,615
12,1000306,9746,745
13,1000306,11192,191
14,1000306,12324,323
15,1000306,12753,752
16,1000306,13000,999
17,1000306,15183,182
18,1000307,3463,462
19,1000307,5069,68
20,1000307,7246,245
21,1000307,7297,296
22,1000307,9323,322
23,1000308,6887,886
24,1000308,7855,854
25,1000308,8202,201
26,1000308,8311,310
27,1000308,9291,290
28,1000309,4896,895
29,1000309,9545,544
30,1000309,9653,652
31,1000309,10109,108
32,1000309,11562,561
33,1000309,12196,195
34,1000309,12278,277
35,1000309,12861,860
36,1000309,14055,54
37,1000309,16275,274
38,1000309,18478,477
39,1000310,3740,739
40,1000310,8888,887
41,1000310,9215,214
42,1000310,9413,412
43,1000310,11097,96
44,1000310,11860,859
45,1000310,13320,319
46,1000310,19965,964
47,1000311,7280,279
48,1000311,9527,526
49,1000311,11507,506
50,1000311,14864,863
51,1000311,18356,355
52,1000311,18377,376
53,1000312,9336,335
54,1000312,10402,401
55,1000312,12927,926
56,1000312,16085,84
57,1000312,16860,859
58,1000313,2480,479
59,1000313,2902,901
60,1000313,3758,757
61,1000313,14514,513
62,1000313,15284,283
63,1000313,17347,346
64,1000313,19209,208
65,1000314,6664,663
66,1000314,6881,880
67,1000314,8204,203
68,1000314,9183,182
69,1000314,10003,2
70,1000314,10382,381
71,1000314,15452,451
72,1000314,16923,922
73,1000314,17109,108
74,1000315,5594,593
75,1000315,8702,701
76,1000315,9541,540
77,1000315,12315,314
78,1000315,13424,423
79,1000315,17383,382
80,1000315,18941,940
81,1000316,3340,339
82,1000316,8723,722
83,1000316,9991,990
84,1000316,11203,202
85,1000316,12410,409
86,1000316,13390,389
87,1000316,13940,939
88,1000316,14642,641
89,1000316,15104,103
90,1000316,15331,330
91,1000317,4196,195
92,1000317,16913,912
93,1000318,4395,394
94,1000318,4957,956
95,1000318,6466,465
96,1000318,15869,868
97,1000318,19341,340
98,1000319,525,524
99,1000319,1117,116
100,1000319,5197,196
101,1000319,10508,507
102,1000320,4318,317
103,1000320,4895,894
104,1000320,8822,821
105,1000320,10221,220
106,1000320,14612,611
107,1000320,15831,830
108,1000320,18943,942
109,1000321,3821,820
110,1000321,10096,95
111,1000321,10340,339
112,1000321,11742,741
113,1000321,18425,424
114,1000322,1345,344
115,1000322,3203,202
116,1000322,3618,617
117,1000322,12086,85
118,1000322,12089,88
119,1000323,3935,934
120,1000323,10786,785
121,1000323,15281,280
122,1000323,16780,779
123,1000324,4252,251
124,1000324,6125,124
125,1000324,8908,907
126,1000324,10557,556
127,1000324,11070,69
128,1000324,11623,622
129,1000324,13084,83
130,1000324,19750,749
131,1000325,1845,844
132,1000325,2027,26
133,1000325,2906,905
134,1000325,6312,311
135,1000325,8463,462
136,1000325,9696,695
137,1000325,10058,57
138,1000325,13244,243
139,1000325,13487,486
140,1000325,14347,346
141,1000325,14518,517
142,1000325,17140,139
143,1000325,17168,167
144,1000325,18455,454
145,1000326,6597,596
146,1000326,12598,597
147,1000327,621,620
148,1000327,2976,975
149,1000327,9784,783
150,1000327,12928,927
151,1000327,13352,351
152,1000327,14937,936
153,1000327,15112,111
154,1000327,15285,284
155,1000327,18981,980
156,1000327,19796,795
157,1000328,2396,395
158,1000328,6453,452
159,1000328,7536,535
160,1000328,8330,329
161,1000329,156,155
162,1000329,1358,357
163,1000329,9075,74
164,1000329,12461,460
165,1000329,17360,359
166,1000329,19794,793
167,1000330,769,768
168,1000330,3058,57
169,1000330,4191,190
170,1000330,6195,194
171,1000330,10457,456
172,1000330,18436,435
173,1000331,4088,87
174,1000331,16774,773
175,1000331,17212,211
176,1000331,18757,756
177,1000332,11583,582
178,1000332,11655,654
179,1000332,12688,687
180,1000332,12789,788
181,1000332,15489,488
182,1000333,6660,659
183,1000333,7226,225
184,1000333,7522,521
185,1000333,10539,538
186,1000333,12176,175
187,1000333,18101,100
188,1000334,2536,535
189,1000334,13400,399
190,1000334,19079,78
191,1000335,1873,872
192,1000335,3014,13
193,1000335,3078,77
194,1000335,3259,258
195,1000335,8029,28
196,1000335,8529,528
197,1000335,9521,520
198,1000335,17400,399
199,1000335,17802,801
200,1000335,18811,810
201,1000336,164,163
202,1000336,9409,408
203,1000336,9708,707
204,1000336,16002,1
205,1000336,16622,621
206,1000336,16779,778
207,1000336,17000,999
208,1000337,7994,993
209,1000337,12119,118
210,1000337,19581,580
211,1000338,2549,548
212,1000338,2625,624
213,1000338,7448,447
214,1000338,8563,562
215,1000338,17027,26
216,1000338,19165,164
217,1000339,889,888
218,1000339,1365,364
219,1000339,7534,533
220,1000339,8289,288
221,1000339,12570,569
222,1000339,13732,731
223,1000339,18660,659
224,1000339,19192,191
225,1000340,1590,589
226,1000340,6565,564
227,1000340,16727,726
228,1000340,17034,33
229,1000340,19281,280
230,1000341,1125,124
231,1000341,3782,781
232,1000341,9981,980
233,1000341,12578,577
234,1000341,17745,744
235,1000342,117,116
236,1000342,8210,209
237,1000342,8343,342
238,1000342,8709,708
239,1000342,9382,381
240,1000342,10528,527
241,1000342,10549,548
242,1000342,12581,580
243,1000342,14093,92
244,1000342,15857,856
245,1000342,17578,577
246,1000343,5896,895
247,1000343,6987,986
248,1000343,10896,895
249,1000343,13976,975
250,1000343,18307,306
251,1000344,1357,356
252,1000344,4710,709
253,1000344,10507,506
254,1000344,10989,988
255,1000344,18891,890
256,1000345,955,954
257,1000345,1563,562
258,1000346,295,294
259,1000346,4408,407
260,1000346,4481,480
261,1000346,11126,125
262,1000346,13433,432
263,1000346,17004,3
264,1000347,2366,365
265,1000347,5543,542
266,1000347,5630,629
267,1000347,8467,466
268,1000347,9826,825
269,1000347,10036,35
270,1000347,13410,409
271,1000347,19206,205
