,PRICE
0,1000000
1,1000006
2,1000006
3,1000006
4,1000006
5,1000006
6,1000006
7,1000006
8,1000006
9,1000006
10,1000006
11,1000006
12,1000007
13,1000007
14,1000006
15,1000006
16,1000006
17,1000006
18,1000006
19,1000006
20,1000007
21,1000007
22,1000007
23,1000007
24,1000006
25,1000006
26,1000006
27,1000007
28,1000007
29,1000007
30,1000007
31,1000007
32,1000007
33,1000007
34,1000005
35,1000007
36,1000007
37,1000007
38,1000007
39,1000007
40,1000005
41,1000005
42,1000005
43,1000007
44,1000007
45,1000007
46,1000007
47,1000007
48,1000007
49,1000005
50,1000007
51,1000007
52,1000007
53,1000007
54,1000007
55,1000005
56,1000005
57,1000007
58,1000007
59,1000007
60,1000007
61,1000005
62,1000007
63,1000007
64,1000007
65,1000005
66,1000008
67,1000008
68,1000008
69,1000008
70,1000005
71,1000005
72,1000005
73,1000008
74,1000008
75,1000008
76,1000005
77,1000005
78,1000005
79,1000005
80,1000005
81,1000005
82,1000005
83,1000005
84,1000005
85,1000008
86,1000008
87,1000008
88,1000008
89,1000005
90,1000005
91,1000008
92,1000008
93,1000005
94,1000004
95,1000004
96,1000008
97,1000008
98,1000008
99,1000008
100,1000008
101,1000008
102,1000008
103,1000008
104,1000008
105,1000008
106,1000008
107,1000008
108,1000008
109,1000004
110,1000004
111,1000008
112,1000004
113,1000008
114,1000008
115,1000008
116,1000008
117,1000008
118,1000008
119,1000008
120,1000008
121,1000008
122,1000008
123,1000008
124,1000004
125,1000009
126,1000009
127,1000004
128,1000004
129,1000004
130,1000009
131,1000009
132,1000004
133,1000009
134,1000004
135,1000004
136,1000009
137,1000009
138,1000004
139,1000004
140,1000004
141,1000004
142,1000004
143,1000004
144,1000004
145,1000004
146,1000004
147,1000004
148,1000004
149,1000004
150,1000004
151,1000009
152,1000009
153,1000009
154,1000009
155,1000009
156,1000004
157,1000009
158,1000003
159,1000009
160,1000009
161,1000003
162,1000003
163,1000009
164,1000009
165,1000003
166,1000003
167,1000009
168,1000009
169,1000009
170,1000009
171,1000009
172,1000009
173,1000003
174,1000003
175,1000003
176,1000003
177,1000003
178,1000003
179,1000003
180,1000003
181,1000003
182,1000003
183,1000003
184,1000003
185,1000003
186,1000003
187,1000009
188,1000009
189,1000009
190,1000010
191,1000010
192,1000002
193,1000002
194,1000010
195,1000010
196,1000010
197,1000010
198,1000010
199,1000010
200,1000010
201,1000010
202,1000010
203,1000010
204,1000010
205,1000002
206,1000002
207,1000002
208,1000002
209,1000002
210,1000002
211,1000002
212,1000009
213,1000009
214,1000009
215,1000009
216,1000009
217,1000009
218,1000009
219,1000002
220,1000002
221,1000002
222,1000010
223,1000010
224,1000010
225,1000002
226,1000002
227,1000002
228,1000002
229,1000002
230,1000002
231,1000002
232,1000002
233,1000002
234,1000002
235,1000002
236,1000010
237,1000010
238,1000010
239,1000010
240,1000010
241,1000010
242,1000010
243,1000010
244,1000010
245,1000010
246,1000010
247,1000010
248,1000010
249,1000010
250,1000010
251,1000010
252,1000010
253,1000010
254,1000002
255,1000002
256,1000002
257,1000002
258,1000002
259,1000002
260,1000002
261,1000002
262,1000002
263,1000002
264,1000002
265,1000011
266,1000002
267,1000002
268,1000002
269,1000002
270,1000002
271,1000002
272,1000011
273,1000011
274,1000011
275,1000011
276,1000011
277,1000011
278,1000011
279,1000001
280,1000001
281,1000001
282,1000011
283,1000011
284,1000011
285,1000001
286,1000001
287,1000001
288,1000001
289,1000001
290,1000001
291,1000001
292,1000011
293,1000011
294,1000011
295,1000011
296,1000001
297,1000001
298,1000001
299,1000011
300,1000011
301,1000011
302,1000001
303,1000011
304,1000011
305,1000001
306,1000011
307,1000011
308,1000001
309,1000011
310,1000001
311,1000001
312,1000001
313,1000011
314,1000011
315,1000001
316,1000001
317,1000001
318,1000001
319,1000011
320,1000011
321,1000011
322,1000001
323,1000011
324,1000011
325,1000001
326,1000001
327,1000001
328,1000001
329,1000001
330,1000001
331,1000000
332,1000000
333,1000011
334,1000011
335,1000011
336,1000011
337,1000011
338,1000011
339,1000007
340,1000007
341,1000007
342,1000007
343,1000000
344,1000000
345,1000000
346,1000000
347,1000012
348,1000012
349,1000012
350,1000012
351,1000012
352,1000012
353,1000000
354,1000000
355,1000000
356,1000000
357,1000000
358,1000000
359,1000000
360,1000000
361,1000012
362,1000012
363,1000012
364,1000012
365,1000000
366,1000000
367,1000000
368,1000000
369,1000000
370,1000000
371,1000000
372,1000000
373,1000000
374,1000012
375,1000012
376,1000012
377,1000012
378,1000000
379,1000000
380,1000000
381,1000000
382,1000000
383,1000000
384,1000012
385,1000000
386,1000000
387,1000000
388,1000000
389,1000012
390,1000012
391,1000012
392,999999
393,999999
394,999999
395,999999
396,1000012
397,1000012
398,999999
399,1000012
400,1000012
401,1000012
402,1000012
403,999999
404,999999
405,999999
406,999999
407,999999
408,999999
409,999999
410,999999
411,999999
412,999999
413,1000012
414,999999
415,999999
416,999999
417,1000012
418,1000012
419,1000012
420,1000012
421,1000012
422,999999
423,999999
424,999999
425,999999
426,1000012
427,999999
428,999999
