,PRICE,TIME,ID
0,998657,28340,340
1,998657,37783,783
2,998656,34457,457
3,998656,39429,429
4,998654,25286,286
5,998654,30851,851
6,998653,38616,616
7,998652,39009,9
8,998650,25495,495
9,998649,38731,731
10,998648,34348,348
11,998647,37609,609
12,998647,38715,715
13,998645,38580,580
14,998643,37051,51
15,998643,38485,485
16,998642,26322,322
17,998641,36102,102
18,998640,21353,353
19,998640,30211,211
20,998636,37390,390
21,998635,33682,682
22,998634,24179,179
23,998633,33837,837
24,998632,34900,900
25,998631,28535,535
26,998630,32701,701
27,998628,28042,42
28,998628,37274,274
29,998624,30602,602
30,998623,29174,174
31,998622,29397,397
32,998622,30405,405
33,998620,35032,32
34,998619,31612,612
35,998619,37788,788
36,998618,39425,425
37,998617,32039,39
38,998617,33395,395
39,998617,36617,617
40,998617,38241,241
41,998616,24234,234
42,998612,30670,670
43,998612,37749,749
44,998612,38431,431
45,998610,33276,276
46,998609,25193,193
47,998608,28227,227
48,998608,36516,516
49,998607,37459,459
50,998606,36205,205
51,998605,39620,620
52,998604,22871,871
53,998603,33005,5
54,998603,37128,128
55,998602,33768,768
56,998601,33067,67
57,998599,32768,768
58,998592,39598,598
59,998590,25769,769
60,998590,32683,683
61,998587,39408,408
62,998586,39314,314
63,998586,39605,605
64,998585,29267,267
65,998581,29669,669
66,998575,36000,0
67,998572,31990,990
68,998572,38007,7
69,998565,36366,366
70,998564,36799,799
71,998563,33189,189
72,998563,39079,79
73,998560,38617,617
74,998558,33920,920
75,998557,32171,171
76,998557,34198,198
77,998556,31555,555
78,998555,35575,575
79,998555,36061,61
80,998553,35039,39
81,998552,25834,834
82,998551,38323,323
83,998548,28424,424
84,998548,31742,742
85,998546,35171,171
86,998544,29232,232
87,998543,34899,899
88,998542,39770,770
89,998541,33411,411
90,998541,38816,816
91,998540,27630,630
92,998540,38609,609
93,998533,29004,4
94,998533,38592,592
95,998532,32355,355
96,998532,32821,821
97,998530,30622,622
98,998528,31191,191
99,998528,37319,319
100,998517,24155,155
101,998513,37210,210
102,998508,35344,344
103,998507,30145,145
104,998505,36917,917
105,998503,30842,842
106,998502,29328,328
