,PRICE
0,1000000
1,1000000
2,1000000
3,1000000
4,1000000
5,1000000
6,1000000
7,1000000
8,1000000
9,1000000
10,1000000
11,1000000
12,1000000
13,1000000
14,1000000
15,999999
16,999999
17,999999
18,999999
19,999999
20,999999
21,999999
22,999999
23,1000246
24,1000246
25,1000246
26,1000246
27,1000246
28,1000246
29,1000176
30,1000176
31,1000394
32,1000394
33,1000394
34,1000394
35,1000394
36,1000394
37,1000360
38,1000360
39,1000360
40,1000360
41,1000360
42,1000360
43,1000360
44,1000675
45,1000675
46,1000675
47,1000675
48,1000690
49,1000695
50,1000695
51,1000695
52,1000695
53,1000792
54,1000924
55,1000344
56,1000344
57,1000288
58,1000288
59,1000945
60,1000945
61,1000945
62,1000945
63,1000945
64,1000945
65,1000945
66,1000945
67,1001087
68,1000105
69,1000105
70,1000105
71,1000105
72,1000105
73,1000105
74,1000531
75,1000531
76,1000004
77,1000004
78,1000004
79,1000004
80,1000004
81,1000987
82,1000987
83,1001077
84,1001077
85,1001077
86,1001077
87,1001077
88,1001077
89,1001077
90,1001077
91,1001077
92,1001077
93,1001077
94,1001077
95,1001258
96,1001258
97,1001320
98,1001320
99,1001320
100,1001320
101,1001320
102,1001326
103,1001326
104,1001326
105,1001326
106,1001337
107,1001337
108,1001337
109,1001337
110,1001337
111,1001337
112,1001337
113,1001353
114,1001353
115,1001415
116,1001415
117,1001415
118,1001415
119,1001415
120,1001415
121,1001415
122,1001475
123,1001475
124,1001475
125,1001475
126,1001553
127,1001553
128,1001575
129,1001575
130,1001575
131,1001575
132,1001592
133,1001606
134,1001707
135,1001707
136,1001771
137,1001771
138,1001887
139,1001887
140,1001887
141,1001887
142,1001969
143,1001984
144,1002011
145,1002011
146,1002011
147,1002011
148,1002121
149,1002142
150,1002257
151,1002257
152,1002257
153,1002348
154,1002446
155,1002446
156,1002525
157,1002541
158,1002541
159,1002599
160,1002599
161,1002599
162,1002599
163,1002651
164,1002651
165,1002651
166,1002679
167,1002758
168,1002758
169,1002761
170,1002761
171,1002761
172,1002761
173,1002761
174,1002761
175,1002761
176,1002761
177,1002761
178,1002995
179,1002995
180,1002995
181,1003062
182,1003062
183,1003119
184,1003119
185,1003119
186,1003119
187,1003219
188,1003237
189,1003251
190,1003251
191,1003251
192,1003251
193,1003293
194,1003384
195,1003384
196,1003384
197,1003430
198,1003430
199,1003430
200,1003430
201,1003430
202,1003853
203,1003853
204,1003853
205,1003853
206,1003853
207,1004185
208,1004185
209,1004185
210,1004185
211,1004354
212,1004354
213,1004354
214,1004354
215,1004354
216,1004354
217,1004354
218,1004354
219,1004354
220,1004354
221,1004354
222,1004354
223,1004354
224,1004354
225,1004354
226,1004354
227,1004354
228,1004846
229,1004846
230,1004846
231,1004862
232,1004862
233,1004862
234,1004862
235,1004862
236,1004876
237,1004876
238,1004876
239,1004876
240,1004876
241,1004876
242,1003994
243,1003734
244,1003734
245,1003734
246,1003734
247,1003734
248,1003734
249,1003715
250,1003715
251,1004525
252,1004525
253,1004525
254,1004525
255,1004760
256,1004937
257,1005069
258,1005168
259,1005168
260,1005168
261,1005168
262,1005168
263,1005168
264,1005168
265,1005168
266,1005299
267,1005299
268,1005299
269,1005299
270,1005377
271,1005399
272,1005399
273,1005399
274,1004431
275,1005402
276,1005418
277,1005418
278,1005430
279,1005430
280,1005439
281,1005446
282,1005446
283,1005468
284,1005468
285,1005489
286,1005489
287,1005489
288,1005489
289,1005489
290,1005489
291,1005489
292,1005489
293,1005489
294,1005489
295,1005489
296,1005881
297,1005881
298,1005881
299,1005881
300,1006128
301,1006281
302,1006281
303,1006442
304,1006442
305,1006526
306,1006526
307,1006526
308,1006576
309,1006576
310,1006576
311,1006613
312,1006641
313,1006641
314,1006641
315,1006641
316,1006662
317,1006678
318,1006678
319,1006678
320,1006678
321,1006678
322,1006678
323,1006726
324,1006737
325,1006737
326,1006737
327,1006737
328,1006737
329,1006737
330,1006737
331,1006737
332,1006737
333,1006737
334,1006852
335,1006852
336,1006916
337,1006916
338,1006916
339,1006916
340,1006916
341,1006916
342,1006916
343,1006916
344,1006916
345,1006916
346,1006916
347,1006916
348,1007060
349,1007060
350,1007060
351,1007060
352,1007060
353,1007087
354,1007087
355,1007087
356,1007087
357,1007087
358,1007087
359,1007087
360,1007087
361,1007087
362,1007087
363,1007087
364,1007087
365,1007087
366,1007087
367,1007064
368,1007064
369,1007064
370,1007064
371,1007064
372,1007064
373,1007099
374,1007099
375,1007099
376,1007099
377,1007111
378,1007111
379,1007113
380,1007113
381,1007113
382,1007113
383,1007113
384,1007197
385,1007269
386,1007269
387,1007269
388,1007269
389,1007269
390,1007269
391,1007269
392,1007269
393,1007269
394,1007269
395,1007269
396,1007269
397,1007362
398,1007362
399,1007362
400,1007414
401,1007414
402,1007414
403,1007414
404,1007414
405,1007414
406,1007414
407,1007459
408,1007459
409,1007459
410,1007459
411,1007468
412,1007472
413,1007472
414,1007472
415,1007472
416,1007472
417,1007472
418,1007475
419,1007475
420,1007477
421,1007477
422,1007477
423,1007477
424,1007477
425,1007477
426,1007477
427,1007477
428,1007477
429,1007479
430,1007480
431,1007480
432,1007480
433,1007480
434,1007481
435,1007481
436,1007481
437,1007485
438,1007532
439,1007532
440,1007532
441,1007532
442,1007562
443,1007585
444,1007585
445,1007585
446,1007585
447,1007585
448,1007585
449,1007585
450,1007585
451,1007585
452,1007585
453,1007585
454,1007585
455,1007585
456,1007585
457,1007585
458,1007585
459,1006655
460,1006655
461,1006655
462,1006655
463,1006655
464,1006655
465,1006655
466,1006655
467,1006655
468,1007581
469,1007581
470,1006620
471,1007339
472,1007418
473,1007418
474,1007418
475,1007418
476,1007418
477,1007477
478,1007477
479,1007477
480,1007477
481,1007477
482,1007591
483,1007591
484,1007591
485,1007607
486,1007607
487,1007607
488,1007607
489,1007607
490,1007655
491,1007656
492,1007656
493,1007656
494,1007656
495,1007699
496,1007699
497,1007724
498,1007724
499,1007724
500,1007724
501,1007737
502,1007750
503,1007760
504,1007760
505,1007782
506,1007784
507,1007785
508,1007785
509,1007785
510,1007786
511,1007787
512,1007788
513,1007788
514,1007788
515,1007788
516,1007788
517,1007788
518,1007788
519,1007788
520,1007788
521,1007791
522,1006791
523,1006791
524,1006791
525,1006791
526,1006791
527,1006791
528,1006791
529,1006791
530,1006791
531,1006791
532,1006791
533,1006791
534,1006791
535,1006791
536,1008119
537,1008119
538,1008130
539,1008214
540,1008214
541,1008214
542,1008214
543,1008214
544,1008214
545,1008214
546,1008214
547,1008214
548,1008281
549,1008281
550,1008281
551,1008281
552,1008298
553,1008299
554,1008299
555,1008299
556,1008300
557,1008300
558,1008300
559,1008305
560,1008317
561,1008317
562,1008317
563,1008317
564,1008317
565,1008317
566,1008317
567,1008317
568,1008317
569,1008369
570,1008369
571,1008369
572,1008369
573,1008369
574,1008369
575,1008434
576,1008434
577,1008434
578,1008434
579,1008434
580,1008434
581,1008446
582,1008455
583,1008455
584,1008455
585,1008462
586,1008462
587,1008462
588,1008462
589,1008462
590,1008462
591,1008462
592,1008483
593,1008483
594,1008483
595,1008483
596,1008517
597,1008517
598,1008517
599,1008543
600,1008543
601,1008543
602,1008543
603,1008543
604,1008543
605,1008599
606,1008599
607,1008599
608,1008599
609,1008622
610,1008622
611,1008550
612,1008550
613,1008671
614,1008671
615,1008671
616,1008671
617,1008739
618,1008739
619,1008739
620,1008739
621,1008739
622,1008739
623,1008739
624,1008739
625,1008739
626,1008783
627,1008783
628,1008783
629,1008783
630,1008815
631,1008846
632,1008869
633,1008887
634,1008900
635,1008900
636,1008940
637,1008940
638,1008940
639,1008940
640,1008940
641,1008940
642,1008941
643,1008941
644,1008941
645,1008971
646,1008971
647,1008994
648,1008994
649,1008999
650,1008999
651,1009003
652,1009003
653,1009003
654,1009003
655,1009006
656,1009006
657,1009008
658,1009010
659,1009010
660,1009010
661,1009010
662,1009010
663,1009010
664,1009017
665,1009017
666,1009017
667,1009017
668,1009020
669,1009020
670,1009040
671,1009040
672,1009040
673,1009040
674,1009101
675,1009104
676,1009104
677,1009104
678,1009104
679,1009104
680,1009104
681,1009104
682,1009104
683,1009104
684,1009187
685,1009187
686,1009187
687,1009187
688,1009187
689,1009187
690,1009187
691,1009187
692,1009187
693,1009187
694,1009187
695,1009187
696,1009187
697,1009187
698,1009247
699,1009247
700,1009247
701,1009247
702,1009247
703,1009271
704,1009289
705,1009289
706,1009289
707,1009289
708,1009289
709,1009289
710,1008376
711,1008376
712,1008376
713,1008849
714,1008849
715,1008973
716,1009066
717,1008135
718,1008135
719,1008135
720,1008135
721,1008135
722,1008135
723,1008510
724,1008510
725,1008510
726,1008510
727,1008510
728,1008718
729,1008718
730,1008874
731,1008874
732,1008874
733,1008874
734,1008991
735,1008991
736,1009079
737,1009145
738,1009145
739,1009145
740,1009145
741,1009145
742,1009195
743,1009195
744,1009274
745,1009274
746,1009274
747,1009274
748,1009274
749,1009340
750,1009340
751,1008341
752,1008341
753,1007629
754,1007629
755,1007629
756,1007629
757,1007629
758,1007629
759,1007629
760,1007629
761,1007629
762,1007629
763,1007629
764,1009025
765,1009025
766,1009025
767,1009025
768,1009025
769,1009025
770,1009025
771,1009025
772,1009025
773,1009124
774,1009124
775,1009235
776,1009262
777,1009262
778,1009262
779,1009262
780,1009262
781,1009134
782,1009186
783,1009186
784,1009186
785,1009225
786,1009225
787,1009225
788,1009225
789,1009225
790,1009255
791,1009255
792,1009255
793,1009255
794,1009255
795,1009255
796,1009255
797,1009255
798,1009255
799,1009255
800,1009255
801,1009255
802,1009255
803,1009255
804,1009345
805,1008355
806,1008355
807,1009280
808,1009306
809,1009306
810,1009306
811,1009306
812,1009306
813,1009370
814,1009370
815,1009101
816,1009101
817,1009172
818,1009172
819,1009172
820,1009172
821,1009172
822,1009138
823,1009138
824,1009138
825,1009138
826,1009138
827,1009138
828,1009138
829,1009138
830,1009138
831,1009337
832,1009337
833,1009337
834,1009349
835,1009349
836,1009349
837,1009349
838,1009349
839,1009377
840,1009377
841,1009377
842,1008385
843,1009303
844,1009303
845,1009303
846,1009303
847,1009303
848,1009198
849,1009198
850,1009198
851,1009198
852,1009198
853,1009330
854,1009330
855,1009330
856,1009330
857,1009330
858,1009358
859,1009365
860,1009365
861,1009365
862,1009370
863,1009370
864,1009381
865,1009381
866,1009381
867,1009381
868,1009381
869,1009381
870,1009381
871,1009387
872,1009387
873,1009387
874,1009387
875,1009387
876,1009111
877,1009238
878,1009238
879,1009333
880,1009333
881,1009333
882,1009333
883,1009404
884,1009404
885,1009404
886,1009404
887,1009404
888,1009404
889,1009457
890,1009457
891,1009457
892,1009457
893,1009457
894,1009457
895,1009457
896,1009605
897,1009605
898,1009605
899,1009605
900,1009605
901,1009605
902,1009619
903,1009619
904,1009619
905,1009619
906,1009619
907,1009619
908,1009619
909,1009649
910,1009649
911,1009649
912,1009649
913,1008786
914,1008786
915,1009272
916,1009272
917,1009368
918,1009368
919,1009368
920,1009368
921,1009368
922,1009440
923,1009440
924,1009440
925,1009440
926,1009440
927,1009604
928,1009604
929,1009604
930,1009604
931,1009604
932,1009604
933,1009655
934,1009655
935,1009655
936,1009655
937,1009659
938,1009659
939,1009659
940,1009659
941,1009659
942,1009659
943,1009659
944,1009659
945,1009659
946,1009659
947,1009667
948,1009667
949,1009667
950,1009667
951,1009667
952,1009672
953,1009673
954,1009673
955,1009673
956,1009673
957,1009673
958,1009673
959,1009673
960,1009721
961,1009721
962,1009721
963,1009721
964,1009721
965,1009721
966,1009386
967,1009386
968,1009386
969,1009386
970,1009386
971,1009386
972,1009386
973,1009386
974,1009386
975,1009386
976,1009386
977,1009386
978,1009386
979,1009386
980,1009386
981,1009386
982,1009386
983,1009386
984,1009386
985,1009031
986,1009563
987,1009563
988,1009563
989,1009848
990,1009848
991,1009848
992,1009848
993,1009848
994,1009848
995,1009848
996,1009848
997,1009848
998,1009848
999,1009996
1000,1010004
1001,1010004
1002,1010004
1003,1010004
1004,1010012
1005,1010012
1006,1010012
1007,1010012
1008,1010012
1009,1010012
1010,1010012
1011,1010012
1012,1010017
1013,1010017
1014,1010017
1015,1010017
1016,1009976
1017,1009976
1018,1009996
1019,1009996
1020,1009996
1021,1009996
1022,1009996
1023,1009996
1024,1009996
1025,1009996
1026,1009996
1027,1009996
1028,1009996
1029,1009996
1030,1009996
1031,1009996
1032,1009996
1033,1009996
1034,1009996
1035,1009996
1036,1009996
1037,1009996
1038,1009996
1039,1010018
1040,1010018
1041,1010020
1042,1010020
1043,1010021
1044,1010021
1045,1010021
1046,1010021
1047,1010021
1048,1010021
1049,1010021
1050,1010021
1051,1010021
1052,1010021
1053,1010021
1054,1010021
1055,1010021
1056,1010021
1057,1010021
1058,1010021
1059,1010021
1060,1010021
1061,1010021
1062,1010021
1063,1010021
1064,1010021
1065,1010021
1066,1010021
1067,1010021
1068,1010021
1069,1010021
1070,1010024
1071,1010024
1072,1010024
1073,1010024
1074,1010024
1075,1010024
1076,1010024
1077,1010024
1078,1010024
1079,1010024
1080,1010200
1081,1010200
1082,1010261
1083,1010285
1084,1010285
1085,1010285
1086,1010285
1087,1010285
1088,1010285
1089,1010285
1090,1010285
1091,1010285
1092,1010285
1093,1010285
1094,1010285
1095,1010285
1096,1010337
1097,1010337
1098,1010337
1099,1010337
1100,1010337
1101,1010337
1102,1010337
1103,1010337
1104,1010337
1105,1010349
1106,1010349
1107,1010352
1108,1010352
1109,1010352
1110,1010352
1111,1010352
1112,1009364
1113,1009364
1114,1009364
1115,1009364
1116,1010358
1117,1010358
1118,1010359
1119,1010360
1120,1010360
1121,1010360
1122,1010360
1123,1010360
1124,1010360
1125,1010360
1126,1010360
1127,1010360
1128,1010360
1129,1010360
1130,1010360
1131,1010360
1132,1010360
1133,1010360
1134,1010360
1135,1010363
1136,1010363
1137,1010363
1138,1010363
1139,1010397
1140,1010397
1141,1010397
1142,1010397
1143,1010397
1144,1010397
1145,1010397
1146,1010395
1147,1010395
1148,1010416
1149,1010416
1150,1010416
1151,1010416
1152,1010416
1153,1010416
1154,1010416
1155,1010416
1156,1010416
1157,1010416
1158,1010416
1159,1010416
1160,1010416
1161,1010416
1162,1010416
1163,1009766
1164,1009766
1165,1009766
1166,1009766
1167,1009766
1168,1009766
1169,1009766
1170,1009766
1171,1009766
1172,1009766
1173,1009766
1174,1009766
1175,1009766
1176,1009766
1177,1009766
1178,1009766
1179,1009766
1180,1009766
1181,1009766
1182,1009766
1183,1010479
1184,1010479
1185,1010479
1186,1010479
1187,1010479
1188,1010479
1189,1010479
1190,1010479
1191,1010629
1192,1010629
1193,1010742
1194,1010742
1195,1010742
1196,1010746
1197,1010746
1198,1010746
1199,1010746
1200,1010746
1201,1010746
1202,1010758
1203,1010758
1204,1010765
1205,1010765
1206,1010765
1207,1010856
1208,1010869
1209,1010877
1210,1010877
1211,1010877
1212,1010877
1213,1010877
1214,1010877
1215,1011186
1216,1011186
1217,1011186
1218,1011186
1219,1011191
1220,1011191
1221,1011219
1222,1011219
1223,1011219
1224,1011219
1225,1011219
1226,1011219
1227,1011219
1228,1011219
1229,1011219
1230,1011237
1231,1011237
1232,1011237
1233,1011237
1234,1011253
1235,1011253
1236,1011253
1237,1011253
1238,1011253
1239,1011253
1240,1011253
1241,1011253
1242,1011253
1243,1010220
1244,1011153
1245,1011153
1246,1011153
1247,1011153
1248,1011210
1249,1011210
1250,1011210
1251,1011210
1252,1011210
1253,1011210
1254,1011210
1255,1011210
1256,1011210
1257,1011210
1258,1011210
1259,1011210
1260,1011246
1261,1011246
1262,1011264
1263,1011264
1264,1011264
1265,1011282
1266,1011282
1267,1011282
1268,1011282
1269,1011282
1270,1011282
1271,1011282
1272,1011282
1273,1011282
1274,1011282
1275,1011282
1276,1011282
1277,1011282
1278,1011137
1279,1011137
1280,1011293
1281,1011293
1282,1011293
1283,1011293
1284,1011293
1285,1011314
1286,1011314
1287,1011314
1288,1011314
1289,1011314
1290,1011314
1291,1011314
1292,1011314
1293,1011217
1294,1011217
1295,1011217
1296,1011217
1297,1011217
1298,1011217
1299,1011242
1300,1011242
1301,1011277
1302,1011277
1303,1011277
1304,1011277
1305,1011277
1306,1011277
1307,1011303
1308,1011307
1309,1011310
1310,1011312
1311,1011312
1312,1011312
1313,1011312
1314,1011312
1315,1011312
1316,1011316
1317,1011316
1318,1011316
1319,1011316
1320,1011316
1321,1011316
1322,1011318
1323,1011318
1324,1011318
1325,1011318
1326,1011319
1327,1011319
1328,1011319
1329,1011319
1330,1011319
1331,1011073
1332,1011073
1333,1011073
1334,1011073
1335,1011073
1336,1011073
1337,1011073
1338,1011073
1339,1011073
1340,1011073
1341,1011073
1342,1011073
1343,1011073
1344,1011282
1345,1011301
1346,1011315
1347,1011315
1348,1011315
1349,1011326
1350,1011326
1351,1011326
1352,1011334
1353,1011334
1354,1011334
1355,1011334
1356,1011359
1357,1011359
1358,1011359
1359,1011359
1360,1011359
1361,1011359
1362,1011359
1363,1011359
1364,1011359
1365,1011359
1366,1011359
1367,1011422
1368,1011422
1369,1011422
1370,1011438
1371,1011438
1372,1011438
1373,1011440
1374,1011440
1375,1011440
1376,1011447
1377,1011447
1378,1011447
1379,1011447
1380,1011458
1381,1011458
1382,1011463
1383,1011463
1384,1011463
1385,1011463
1386,1011463
1387,1011481
1388,1011481
1389,1011481
1390,1011483
1391,1011483
1392,1011501
1393,1011501
1394,1011501
1395,1011501
1396,1011501
1397,1011501
1398,1011501
1399,1011501
1400,1011641
1401,1011683
1402,1011683
1403,1011692
1404,1011692
1405,1011692
1406,1011703
1407,1011703
1408,1011703
1409,1011703
1410,1011703
1411,1011703
1412,1011703
1413,1011709
1414,1011709
1415,1011711
1416,1011711
1417,1011711
1418,1011711
1419,1011711
1420,1011711
1421,1011711
1422,1011711
1423,1011711
1424,1011711
1425,1011711
1426,1011711
1427,1011711
1428,1011711
1429,1011711
1430,1011711
1431,1011711
1432,1011530
1433,1011530
1434,1011530
1435,1011530
1436,1011530
1437,1011530
1438,1011530
1439,1011530
1440,1011720
1441,1011720
1442,1011720
1443,1011720
1444,1011720
1445,1011785
1446,1011785
1447,1011785
1448,1011785
1449,1011785
1450,1011785
1451,1011801
1452,1011801
1453,1011801
1454,1011803
1455,1011803
1456,1011803
1457,1011803
1458,1011803
1459,1011803
1460,1011807
1461,1011807
1462,1011807
1463,1011807
1464,1011808
1465,1011808
1466,1011808
1467,1011808
1468,1011808
1469,1011808
1470,1011808
1471,1011808
1472,1011808
1473,1011808
1474,1011808
1475,1011808
1476,1011808
1477,1011808
1478,1011808
1479,1011808
1480,1011808
1481,1011808
1482,1011808
1483,1011808
1484,1011808
1485,1011808
1486,1011808
1487,1011808
1488,1011808
1489,1011808
1490,1011808
1491,1011808
1492,1011808
1493,1011808
1494,1011808
1495,1011808
1496,1011808
1497,1011808
1498,1011808
1499,1011808
1500,1011808
1501,1011808
1502,1011808
1503,1011808
1504,1011808
1505,1011808
1506,1011808
1507,1011808
1508,1011376
1509,1011558
1510,1011558
1511,1011558
1512,1011558
1513,1011558
1514,1011558
1515,1011729
1516,1011749
1517,1011749
1518,1011749
1519,1011749
1520,1011749
1521,1011775
1522,1011775
1523,1011782
1524,1011789
1525,1011789
1526,1011789
1527,1011798
1528,1011798
1529,1011801
1530,1011801
