,PRICE
0,1000000
1,1000004
2,1000000
3,1000003
4,1000003
5,1000003
6,1000003
7,1000003
8,1000003
9,1000003
10,1000003
11,1000003
12,1000003
13,1000003
14,1000003
15,1000003
16,1000003
17,1000003
18,1000003
19,1000003
20,1000003
21,1000003
22,1000003
23,1000003
24,1000002
25,1000002
26,1000002
27,1000002
28,1000002
29,1000002
30,1000002
31,1000002
32,1000002
33,1000002
34,1000002
35,1000002
36,1000002
37,1000002
38,1000002
39,1000002
40,1000002
41,1000002
42,1000001
43,1000001
44,1000001
45,1000001
46,1000001
47,1000001
48,1000001
49,1000001
50,1000001
51,1000001
52,1000001
53,1000001
54,1000001
55,1000001
56,1000001
57,1000001
58,1000001
59,1000001
60,1000001
61,1000000
62,1000000
63,1000000
64,1000000
65,1000000
66,1000000
67,1000000
68,1000000
69,1000000
70,1000000
71,1000000
72,1000000
73,1000000
74,1000000
75,1000000
76,1000000
77,1000000
78,1000000
79,1000000
80,1000000
81,1000000
82,1000000
83,1000000
84,1000000
85,1000000
86,999999
87,999999
88,999999
89,999999
90,999999
91,999999
92,999999
93,999999
94,999999
95,999999
96,999999
97,999999
98,999999
99,999999
100,999999
101,999999
102,999999
103,999999
104,999999
105,999999
106,999999
107,999999
108,999999
109,999999
110,999999
111,999999
112,999999
113,999999
114,999999
115,999999
116,999999
117,999999
118,999999
119,999999
120,999999
121,999999
122,999999
123,999999
124,999999
125,999999
126,999999
127,999999
128,999999
129,999999
130,999999
131,999999
132,999999
133,999999
134,999999
135,999999
136,999999
137,999999
138,999999
139,999999
140,999999
141,999999
142,999999
143,999999
144,999999
145,999999
146,999999
147,999999
148,999999
149,999999
150,999999
151,999999
152,999999
153,999999
154,999999
155,999999
156,999999
157,999999
158,999999
159,999999
160,999999
161,999999
162,999999
163,999999
164,999999
165,999999
166,999999
167,999999
168,999999
169,999999
170,999999
171,999999
172,999999
173,999999
174,999998
175,999998
176,999998
177,999998
178,999998
179,999998
180,999998
181,999998
182,999998
183,999998
184,999998
185,999998
186,999998
187,999998
188,999998
189,999998
190,999998
191,999998
192,999998
193,999998
194,999998
195,999998
196,999998
197,999998
198,999998
199,999998
200,999998
201,999998
202,999998
203,999998
204,999998
205,999998
206,999998
207,999998
208,999998
209,999998
210,999998
211,999998
212,999998
213,999998
214,999998
215,999998
216,999998
217,999998
218,999998
219,999998
220,999998
221,999998
222,999998
223,999998
224,999998
225,999998
226,999998
227,999998
228,999998
229,999998
230,999998
231,999998
232,999998
233,999998
234,999998
235,999998
236,999998
237,999998
238,999998
239,999998
240,999998
241,999998
242,999998
243,999998
244,999998
245,999998
246,999998
247,999998
248,999998
249,999998
250,999998
251,999998
252,999998
253,999998
254,999998
255,999998
256,999998
257,999998
258,999998
259,999998
260,999998
261,999998
262,999998
263,999998
264,999998
265,999998
266,999998
267,999998
268,999998
269,999998
270,999998
271,999998
272,999998
273,999998
274,999998
275,999998
276,999998
277,999998
278,999998
279,999998
280,999998
281,999998
282,999998
283,999998
284,999998
285,999998
286,999998
287,999998
288,999998
289,999997
290,999997
291,999997
292,999997
293,999997
294,999997
295,999997
296,999997
297,999997
298,999997
299,999997
300,999997
301,999997
302,999997
303,999997
304,999997
305,999997
306,999997
307,999997
308,999997
309,999997
310,999997
311,999997
312,999997
313,999997
314,999997
315,999997
316,999997
317,999997
318,999997
319,999997
320,999997
321,999997
322,999997
323,999997
324,999997
325,999997
326,999997
327,999997
328,999997
329,999997
330,999997
331,999997
332,999997
333,999997
334,999997
335,999997
336,999997
337,999997
338,999997
339,999997
340,999997
341,999997
342,999997
343,999997
344,999997
345,999997
346,999997
347,999997
348,999997
349,999997
350,999997
351,999997
352,999997
353,999997
354,999997
355,999997
356,999997
357,999997
358,999997
359,999997
360,999997
361,999997
362,999997
363,999997
364,999997
365,999997
366,999997
367,999997
368,999997
369,999997
370,999997
371,999997
372,999997
373,999997
374,999997
375,999997
376,999997
377,999997
378,999997
379,999997
380,999997
381,999997
382,999997
383,999997
384,999997
385,999997
386,999997
387,999997
388,999997
389,999997
390,999997
391,999997
392,999997
393,999997
394,999997
395,999997
396,999997
397,999997
398,999997
399,999997
400,999997
401,999996
402,999996
403,999996
404,999996
405,999996
406,999996
407,999996
408,999996
409,999996
410,999996
411,999996
412,999996
413,999996
414,999996
415,999996
416,999996
417,999996
418,999996
419,999996
420,999996
421,999996
422,999996
423,999996
424,999996
425,999996
426,999996
427,999996
428,999996
429,999996
430,999996
431,999996
432,999996
433,999996
434,999996
435,999996
436,999996
437,999996
438,999996
439,999996
440,999996
441,999996
442,999996
443,999996
444,999996
445,999996
446,999996
447,999996
448,999996
449,999996
450,999996
451,999996
452,999996
453,999996
454,999996
455,999996
456,999996
457,999996
458,999996
459,999996
460,999996
461,999996
462,999996
463,999996
464,999996
465,999996
466,999996
467,999996
468,999996
469,999996
470,999996
471,999996
472,999996
473,999995
474,999995
475,999995
476,999995
477,999995
478,999995
479,999995
480,999995
481,999995
482,999995
483,999995
484,999995
485,999995
486,999995
487,999995
488,999995
489,1000001
490,1000001
491,1000001
492,1000001
493,1000001
494,1000001
495,1000001
496,1000004
497,999995
498,999995
499,999995
500,999995
501,999995
502,1000004
503,999995
504,999995
505,999995
506,1000004
507,1000004
508,1000004
509,1000004
510,1000004
511,1000004
512,1000004
513,1000004
514,999995
515,1000004
516,999995
517,999995
518,999995
519,999995
520,999995
521,999995
522,1000004
523,1000004
524,1000004
525,999995
526,999995
527,999995
528,999995
529,999995
530,999995
531,999995
532,999995
533,999995
534,999995
535,999995
536,999995
537,999995
538,999995
539,999995
540,999995
541,999995
542,999995
543,999995
544,999995
545,999995
546,999995
547,999995
548,999995
549,999994
550,999994
551,999994
552,999994
553,1000004
554,1000004
555,1000004
556,1000004
557,1000004
558,999994
559,999994
560,999994
561,999994
562,999994
563,999994
564,999994
565,999994
