,PRICE,TIME,ID
0,1000243,39966,966
1,1000029,39211,211
2,1000028,39999,-1
3,999974,39065,65
4,999973,39272,272
5,999934,39472,472
6,999915,38789,789
7,999850,39205,205
8,999724,39941,941
9,999708,39026,26
10,999684,39950,950
11,999616,38903,903
12,999571,39392,392
13,999547,39286,286
14,999516,39210,210
15,999507,39599,599
16,999474,39981,981
17,999389,38311,311
18,999207,37912,912
19,999184,39358,358
20,999133,36496,496
21,999094,36435,435
22,999076,36703,703
23,999006,37227,227
24,999002,36983,983
25,998998,38116,116
26,998963,38290,290
27,998904,37290,290
28,998882,37472,472
29,998783,37953,953
30,998759,37614,614
31,998751,36601,601
32,998724,35305,305
33,998712,34918,918
34,998698,37892,892
35,998680,36862,862
36,998657,34862,862
37,998644,35291,291
38,998640,39268,268
39,998637,38778,778
40,998609,37302,302
41,998594,34659,659
42,998590,39439,439
43,998581,34707,707
44,998555,34460,460
45,998526,36820,820
46,998504,34667,667
47,998496,34570,570
48,998487,35426,426
49,998484,34386,386
50,998427,39046,46
51,998423,33865,865
52,998412,34485,485
53,998385,34932,932
54,998319,34186,186
55,998316,35565,565
56,998296,38037,37
57,998155,38448,448
58,998134,34536,536
59,998028,34912,912
60,997947,33838,838
61,997838,35926,926
62,997784,35822,822
63,997759,37817,817
64,997745,34158,158
65,997725,34046,46
66,997717,31931,931
67,997599,34005,5
68,997523,31952,952
69,997507,34369,369
70,997472,39181,181
71,997453,34926,926
72,997453,39680,680
73,997403,37229,229
74,997398,34594,594
75,997315,38562,562
76,997248,33160,160
77,997229,31945,945
78,997189,32385,385
79,997081,34523,523
80,997063,32152,152
81,997017,30599,599
82,996953,36440,440
83,996915,32274,274
84,996736,39576,576
85,996623,39812,812
86,996386,32576,576
87,996273,34191,191
88,996143,28706,706
89,996107,34937,937
90,996017,34491,491
91,995998,28657,657
92,995928,28160,160
93,995856,32062,62
94,995830,30676,676
95,995766,29116,116
96,995734,33331,331
97,995643,35158,158
98,995417,37587,587
99,995303,30485,485
100,995291,32926,926
101,995218,27665,665
102,995058,27981,981
103,995020,27594,594
104,994908,30948,948
105,994866,29037,37
106,994737,33925,925
107,994706,31369,369
108,994674,28547,547
109,994655,36089,89
110,994624,27659,659
111,994452,25903,903
112,994350,25144,144
113,994322,25735,735
114,994272,26361,361
115,994181,35089,89
116,994173,26729,729
117,994109,31594,594
118,994041,27743,743
119,993953,27784,784
120,993950,29228,228
121,993754,28784,784
122,993731,28370,370
123,993587,29981,981
124,993386,26599,599
125,993382,25822,822
126,993316,36054,54
127,993286,25680,680
128,992781,35062,62
129,992660,24152,152
130,992451,25594,594
131,992450,26562,562
132,992216,23037,37
133,992060,25784,784
134,992058,31331,331
135,991662,21594,594
136,991661,23784,784
137,991382,20846,846
138,990894,20639,639
139,990666,21451,451
140,990568,26477,477
141,990373,20754,754
142,990324,22937,937
143,990232,23456,456
144,990070,27160,160
145,989762,20058,58
146,989670,21054,54
147,989067,20361,361
148,983817,20331,331
