,PRICE
0,1000000
1,1000000
2,1000000
3,1000000
4,1000000
5,1000000
6,999909
7,999666
8,999666
9,999666
10,999666
11,999666
12,999666
13,999666
14,999666
15,999666
16,999666
17,999666
18,999666
19,999666
20,999666
21,999666
22,999666
23,999666
24,999666
25,999666
26,999666
27,999666
28,999666
29,999666
30,998798
31,998798
32,998798
33,998798
34,998983
35,998983
36,998983
37,998983
38,998983
39,998983
40,998701
41,998701
42,998701
43,998701
44,998701
45,998701
46,998701
47,998701
48,998923
49,998923
50,998923
51,998554
52,998554
53,998547
54,998547
55,998547
56,998547
57,998537
58,998537
59,998537
60,998537
61,998537
62,998537
63,998618
64,998618
65,998618
66,998618
67,998618
68,998862
69,998862
70,998862
71,998862
72,998862
73,998236
74,998236
75,998236
76,998236
77,998236
78,998109
79,998109
80,998109
81,998109
82,998109
83,998109
84,998667
85,998667
86,998142
87,998142
88,998142
89,998142
90,998701
91,998701
92,998701
93,998701
94,998124
95,998045
96,998045
97,998045
98,998045
99,997988
100,997988
101,997988
102,997988
103,997988
104,997988
105,997988
106,997988
107,997988
108,997988
109,997988
110,997954
111,997954
112,997954
113,997954
114,997954
115,997877
116,997877
117,997877
118,997868
119,997868
120,997868
121,997868
122,997868
123,997868
124,997535
125,997535
126,997535
127,997535
128,997409
129,997409
130,997409
131,997409
132,997380
133,997380
134,997368
135,997367
136,997367
137,997367
138,997348
139,997215
140,997215
141,997175
142,997175
143,997175
144,997134
145,997134
146,997134
147,997134
148,997134
149,997134
150,997134
151,997134
152,997134
153,997134
154,997134
155,997134
156,997134
157,997134
158,997134
159,997134
160,996915
161,997066
162,997066
163,997066
164,997066
165,996834
166,996834
167,996834
168,996834
169,996792
170,996792
171,996772
172,996772
173,996772
174,996759
175,996759
176,996759
177,996759
178,996759
179,996759
180,996759
181,996759
182,996759
183,996759
184,996759
185,996759
186,996759
187,996759
188,996759
189,996759
190,996759
191,996737
192,996737
193,996737
194,996737
195,996737
196,996737
197,996737
198,996721
199,996721
200,996721
201,996720
202,996720
203,996720
204,996720
205,996720
206,996719
207,996719
208,996719
209,996694
210,996694
211,996694
212,996694
213,996694
214,996694
215,996694
216,996694
217,996694
218,996694
219,996839
220,996719
221,996719
222,996719
223,996719
224,996719
225,996719
226,996719
227,996719
228,996719
229,996719
230,997081
231,997081
232,996621
233,996621
234,996590
235,996590
236,996585
237,996585
238,996576
239,996576
240,996576
241,996576
242,996576
243,996551
244,996551
245,996540
246,996540
247,996540
248,996540
249,996540
250,996540
251,996346
252,996328
253,996328
254,996328
255,996328
256,996186
257,996175
258,996175
259,996175
260,996165
261,996161
262,996161
263,996161
264,995934
265,995896
266,995867
267,995846
268,995846
269,995846
270,995846
271,995846
272,995846
273,995846
274,995846
275,995846
276,995895
277,995895
278,995867
279,995867
280,995867
281,995867
282,995867
283,995867
284,995867
285,995867
286,995783
287,995783
288,995783
289,995749
290,995639
291,995639
292,995639
293,995639
294,995639
295,996489
296,995655
297,995569
298,995569
299,995569
300,995477
301,995477
302,995477
303,995477
304,995477
305,995678
306,995586
307,995586
308,995586
309,995586
310,995586
311,995464
312,995464
313,995425
314,995425
315,995425
316,995425
317,995425
318,995425
319,995311
320,995311
321,995311
322,995287
323,995287
324,995266
325,995266
326,995266
327,995266
328,995266
329,995126
330,995126
331,995126
332,995088
333,995082
334,995047
335,995047
336,995047
337,995047
338,995009
339,994993
340,994993
341,994993
342,994993
343,994993
344,994993
345,994993
346,994993
347,994993
348,994993
349,994993
350,994993
351,995314
352,995314
353,995314
354,995221
355,995221
356,995152
357,995100
358,995100
359,995100
360,995100
361,995100
362,995100
363,995100
364,995100
365,995009
366,994993
367,994993
368,994993
369,994977
370,994977
371,994977
372,994977
373,994977
374,994977
375,994977
376,994977
377,994977
378,994977
379,994977
380,994977
381,994977
382,994977
383,994977
384,994977
385,994977
386,994977
387,994945
388,994945
389,994945
390,994945
391,994945
392,994945
393,994945
394,994945
395,994945
396,994945
397,994945
398,994919
399,994919
400,994919
401,994907
402,994907
403,994907
404,994883
405,994883
406,994883
407,994883
408,994857
409,994857
410,994845
411,994836
412,994836
413,994836
414,994836
415,994836
416,994823
417,994823
418,994823
419,994823
420,994820
421,994820
422,994814
423,994813
424,994813
425,994813
426,994813
427,995810
428,995810
429,995810
430,995810
431,995810
432,995810
433,995810
434,994948
435,994948
436,994948
437,994948
438,994948
439,994948
440,994850
441,994850
442,994840
443,994840
444,994840
445,994840
446,994840
447,994840
448,994840
449,994840
450,994840
451,994816
452,994815
453,994815
454,994812
455,994812
456,995186
457,995186
458,995186
459,995186
460,995186
461,995186
462,994860
463,994860
464,994805
465,994805
466,994805
467,994805
468,994805
469,995080
470,995080
471,994935
472,994861
473,994861
474,994861
475,994861
476,994947
477,994947
478,994947
479,994699
480,994684
481,994673
482,994673
483,994673
484,994641
485,994640
486,994640
487,994640
488,994640
489,994640
490,994640
491,994598
492,994598
493,994598
494,994598
495,994598
496,994598
497,994598
498,994598
499,994598
500,994598
501,994598
502,994531
503,994531
504,994504
505,994497
506,994497
507,994492
508,994488
509,994485
510,994485
511,994485
512,994479
513,994478
514,994478
515,994478
516,994478
517,994478
518,994478
519,994428
520,994428
521,994413
522,994413
523,994402
524,994402
525,994402
526,994402
527,994393
528,994393
529,994393
530,994393
531,994393
532,994393
533,994393
534,994393
535,994393
536,994393
537,994393
538,994393
539,994387
540,994387
541,994375
542,994373
543,994372
544,994372
545,994372
546,994372
547,994372
548,994372
549,994372
550,994372
551,994369
552,994369
553,994364
554,994364
555,994364
556,994364
557,994364
558,994364
559,994329
560,994329
561,994329
562,994329
563,994329
564,994329
565,994329
566,994329
567,994329
568,994329
569,995112
570,995112
571,995112
572,995112
573,994776
574,994656
575,994566
576,994566
577,994566
578,994566
579,994566
580,994450
581,994450
582,994450
583,994450
584,994450
585,994450
586,994450
587,994450
588,994450
589,994450
590,994526
591,994526
592,994468
593,994468
594,994468
595,994468
596,994468
597,994468
598,994373
599,994373
600,994373
601,994373
602,994373
603,994373
604,994373
605,994373
606,994373
607,994297
608,994297
609,994297
610,994297
611,994297
612,994297
613,994509
614,994509
615,994509
616,994509
617,995186
618,994550
619,994458
620,994389
621,994389
622,994389
623,994389
624,994389
625,994389
626,994268
627,994246
628,994246
629,994246
630,994246
631,994246
632,994246
633,994246
634,994246
635,994246
636,994246
637,994225
638,994225
639,994225
640,994225
641,994225
642,994225
643,994225
644,994274
645,994251
646,994233
647,994220
648,995210
649,995210
650,994466
651,994466
652,994466
653,994466
654,994466
655,994803
656,994497
657,994418
658,994418
659,994418
660,994418
661,994418
662,994418
663,994316
664,994316
665,994316
666,994316
667,994316
668,994316
669,994316
670,994316
671,994316
672,994316
673,994316
674,994316
675,994316
676,994301
677,995271
678,995271
679,995271
680,995271
681,995271
682,995271
683,995271
684,995271
685,995271
686,994182
687,994182
688,994168
689,994107
690,994107
691,994107
692,994089
693,994089
694,994089
695,994051
696,994051
697,994043
698,994041
699,994041
700,994041
701,993976
702,993976
703,993949
704,993949
705,993949
706,993922
707,993922
708,993922
709,993922
710,993922
711,993922
712,993922
713,993922
714,993858
715,993851
716,993851
717,993851
718,993838
719,993836
720,993836
721,993835
722,993835
723,993833
724,993833
725,993829
726,993829
727,993829
728,993829
729,993825
730,993825
731,993825
732,993825
733,993825
734,993825
735,993823
736,993821
737,993821
738,993817
739,993817
740,993817
741,993817
742,993817
743,993817
744,993817
745,993817
746,993817
747,994192
748,994192
749,994192
750,994192
751,994192
752,994192
753,994192
754,994192
755,994192
756,994192
757,993817
758,993817
759,993817
760,993817
761,993817
762,994763
763,994763
764,994763
765,993960
766,993960
767,993960
768,994005
769,994005
770,994005
771,994005
772,993830
773,993830
774,993830
775,993830
776,993830
777,993830
778,993767
779,993767
780,993767
781,993767
782,993767
783,993767
784,993735
785,993735
786,993735
787,993705
788,993682
789,993682
790,993652
791,993652
792,993652
793,993652
794,993652
795,993652
796,993652
797,993652
798,993652
799,993652
800,993636
801,993636
802,993627
803,993627
804,993627
805,993627
806,993627
807,993627
808,993616
809,993616
810,993616
811,993616
812,993616
813,993616
814,993582
815,993582
816,993582
817,993582
818,993883
819,993883
820,993883
821,993883
822,993883
823,993883
824,994346
825,994346
826,994346
827,994346
828,994346
829,994346
830,994346
831,994346
832,994346
833,994346
834,994346
835,994346
836,994346
837,994346
838,993529
839,993529
840,993529
841,993529
842,993529
843,993529
844,993529
845,993529
846,993529
847,993529
848,993529
849,993529
850,993453
851,993453
852,993453
853,993453
854,993451
855,993451
856,993447
857,993447
858,993447
859,993444
860,993444
861,993444
862,993444
863,993444
864,993444
865,993444
866,993444
867,993444
868,993444
869,993444
870,993444
871,993422
872,993422
873,993422
874,993422
875,993422
876,993422
877,993422
878,993422
879,993422
880,993411
881,993411
882,993411
883,993411
884,993411
885,993411
886,993619
887,993619
888,993619
889,993619
890,993619
891,993378
892,993378
893,993378
894,993378
895,993337
896,993337
897,993337
898,993337
899,993201
900,993201
901,993178
902,993162
903,993140
904,993140
905,993140
906,993140
907,994114
908,994114
909,994114
910,993117
911,993117
912,993117
913,993117
914,993117
915,993117
916,993117
917,993104
918,993104
919,993104
920,993104
921,993096
922,993096
923,993096
924,993096
925,993096
926,993096
927,993277
928,993189
929,993145
930,993123
931,993123
932,993123
933,993123
934,993123
935,993112
936,993112
937,993112
938,993101
939,993101
940,993101
941,993101
942,993101
943,993085
944,993079
945,993031
946,993031
947,993368
948,993368
949,993368
950,992978
951,992978
952,992978
953,992978
954,992978
955,992978
956,992978
957,992978
958,992978
959,992978
960,992978
961,992886
962,992886
963,992886
964,992886
965,992886
966,992886
967,992851
968,992851
969,992851
970,992819
971,992819
972,992819
973,992819
974,992789
975,992789
976,992789
977,992789
978,992789
979,992789
980,992789
981,992789
982,992789
983,992789
984,992732
985,992732
986,992732
987,992732
988,992732
989,992732
990,992732
991,992732
992,992732
993,992831
994,992831
995,992831
996,992831
997,992831
998,992831
999,992509
1000,992503
1001,992503
1002,992503
1003,992503
1004,992503
1005,992503
1006,992503
1007,992503
1008,992503
1009,992503
1010,992503
1011,992456
1012,992456
1013,992456
1014,992456
1015,992456
1016,992456
1017,992452
1018,992452
1019,992452
1020,992452
1021,992452
1022,992452
1023,992452
1024,992452
1025,992362
1026,992317
1027,992294
1028,992294
1029,992294
1030,992251
1031,992251
1032,992183
1033,992150
1034,992150
1035,992150
1036,992148
1037,992148
1038,992148
1039,992054
1040,992037
1041,992037
1042,992037
1043,991990
1044,991990
1045,991963
1046,991963
1047,991963
1048,991963
1049,991963
1050,991963
1051,991963
1052,991933
1053,991933
1054,991933
1055,991933
1056,991933
1057,991933
1058,991933
1059,991933
1060,991933
1061,991933
1062,991933
1063,992110
1064,992046
1065,992014
1066,992014
1067,992014
1068,992014
1069,992257
1070,992257
1071,992257
1072,992257
1073,991979
1074,991979
1075,991979
1076,991975
1077,991975
1078,991975
1079,991975
1080,991972
1081,991970
1082,991968
1083,991967
1084,991966
1085,991966
1086,991965
1087,991965
1088,991965
1089,991965
1090,991965
1091,991918
1092,991918
1093,991918
1094,991918
1095,991909
1096,991903
1097,991903
1098,991903
1099,991903
1100,991903
1101,991903
1102,991891
1103,991891
1104,991889
1105,991889
1106,991889
1107,991889
1108,991889
1109,991889
1110,991889
1111,991889
1112,991889
1113,991889
1114,991889
1115,991889
1116,991889
1117,991886
1118,991886
1119,991886
1120,991886
1121,991886
1122,991983
1123,991983
1124,991983
1125,991914
1126,991914
1127,991906
1128,991900
1129,991900
1130,991900
1131,991900
1132,991896
1133,991896
1134,991885
1135,991885
1136,991885
1137,991877
1138,991869
1139,991869
1140,991869
1141,991869
1142,991869
1143,991862
1144,991862
1145,991862
1146,991862
1147,991862
1148,991858
1149,991858
1150,991848
1151,991848
1152,991848
1153,991848
1154,991848
1155,991848
1156,991788
1157,991788
1158,991788
1159,991788
1160,991788
1161,991788
1162,991765
1163,991762
1164,991762
1165,991742
1166,991742
1167,991742
1168,991742
1169,991727
1170,991716
1171,991716
1172,991716
1173,991716
1174,991716
1175,991716
1176,991716
1177,991716
1178,991716
1179,991716
1180,991716
1181,992038
1182,992038
1183,992038
1184,991873
1185,991873
1186,991873
1187,991873
1188,991873
1189,991873
1190,991873
1191,991873
1192,991873
1193,991873
1194,991736
1195,991736
1196,991736
1197,991736
1198,991722
1199,991712
1200,991712
1201,991712
1202,991712
1203,991712
1204,991712
1205,991712
1206,991712
1207,991712
1208,991712
1209,991712
1210,991712
1211,991712
1212,991712
1213,992222
1214,992222
1215,992222
1216,992018
1217,992018
1218,992018
1219,992018
1220,992852
1221,992852
1222,992852
1223,992852
1224,992852
1225,992070
1226,992070
1227,992070
1228,991885
1229,991885
1230,991885
1231,991885
1232,992044
1233,992044
1234,991875
1235,991875
1236,991875
1237,991875
1238,991875
1239,991875
1240,991875
1241,991875
1242,991737
1243,991723
1244,992713
1245,991785
1246,991785
1247,991785
1248,991785
1249,991785
1250,991785
1251,991721
1252,991721
1253,991721
1254,991721
1255,991721
1256,991721
1257,991721
1258,991721
1259,991721
1260,991721
1261,991721
1262,991721
1263,991721
1264,991721
1265,991721
1266,991721
1267,991721
1268,991721
1269,991721
1270,991721
1271,991831
1272,991831
1273,991831
1274,991831
1275,991831
1276,991750
1277,991750
1278,991733
1279,991720
1280,991720
1281,991710
1282,991710
1283,991710
1284,991710
1285,991710
1286,991710
1287,991846
1288,991846
1289,991805
1290,991805
1291,991805
1292,991805
1293,991805
1294,991797
1295,991797
1296,991768
1297,991768
1298,991768
1299,991746
1300,991730
1301,991730
1302,991730
1303,991730
1304,991712
1305,991712
1306,991712
1307,991712
1308,991712
1309,991712
1310,991688
1311,991688
1312,991688
1313,991688
1314,991688
1315,991688
1316,991688
1317,991683
1318,991683
1319,991682
1320,991682
1321,991682
1322,991682
1323,991682
1324,991639
1325,991639
1326,991627
1327,991627
1328,991623
1329,991623
1330,991618
1331,991617
1332,991617
1333,991617
1334,991615
1335,991611
1336,991611
1337,991611
1338,991608
1339,991605
1340,991605
1341,991605
1342,991603
1343,991603
1344,991603
1345,991603
1346,991603
1347,991600
1348,992599
1349,992599
1350,991616
1351,991616
1352,991616
1353,991616
1354,991607
1355,991605
1356,991605
1357,991605
1358,991605
1359,991605
1360,991605
1361,991600
1362,991600
1363,991599
1364,991599
1365,991599
1366,991599
1367,991599
1368,991599
1369,991599
1370,991598
1371,992597
1372,992597
1373,992597
1374,991725
1375,991725
1376,991725
1377,991725
1378,991685
1379,991685
1380,991685
1381,991685
1382,991685
1383,991685
1384,991685
1385,991685
1386,991685
1387,991685
1388,991594
1389,991574
1390,991574
1391,991574
1392,991574
1393,991574
1394,991574
1395,991574
1396,991574
1397,991481
1398,991475
1399,991434
1400,991434
1401,991342
1402,991342
1403,991326
1404,991326
1405,991326
1406,991326
1407,991326
1408,991326
1409,991326
1410,991271
1411,991271
1412,991271
1413,991267
1414,991267
1415,991267
1416,991267
1417,991267
1418,991264
1419,991262
1420,991262
1421,991258
1422,991253
1423,991253
1424,991253
1425,991250
1426,991250
1427,991250
1428,991250
1429,991247
1430,991247
1431,991247
1432,991243
1433,991243
1434,991243
1435,991243
1436,991243
1437,991243
1438,991243
1439,991243
1440,991243
1441,991243
1442,991243
1443,991243
1444,991243
1445,991279
1446,991266
1447,991266
1448,991258
1449,991252
1450,991247
1451,991243
1452,991240
1453,991240
1454,991240
1455,991240
1456,991240
1457,991234
1458,991234
1459,991234
1460,991218
1461,991218
1462,991218
1463,991206
1464,991204
1465,991204
1466,991204
1467,991639
1468,991639
1469,991639
1470,991639
1471,991639
1472,991639
1473,991639
1474,991133
1475,991768
1476,991768
1477,991768
1478,991768
1479,991768
1480,991768
1481,991117
1482,991113
1483,991110
1484,991110
1485,991110
1486,992097
1487,992097
1488,992200
1489,991324
1490,991256
1491,991256
1492,991256
1493,991256
1494,991256
1495,991146
1496,991146
1497,991146
1498,991146
1499,991103
1500,991103
1501,991103
1502,991103
1503,991103
1504,991080
1505,991077
1506,991077
1507,991077
1508,991077
1509,991077
1510,991077
1511,991077
1512,991077
1513,991070
1514,991070
1515,991070
1516,991070
1517,991066
1518,991066
1519,991066
1520,991066
1521,991066
1522,991066
1523,991066
1524,991066
1525,991066
1526,991066
1527,991066
1528,991066
1529,991066
1530,991066
1531,991066
1532,991066
1533,991066
1534,991066
1535,991066
1536,991066
1537,990988
1538,990983
1539,990983
1540,990979
1541,990976
1542,990976
1543,990976
1544,990976
1545,990976
1546,990976
1547,990976
1548,990976
1549,990976
1550,990970
1551,990970
1552,990970
1553,990970
1554,990970
1555,990970
1556,990931
1557,990931
1558,990931
1559,990910
1560,990910
1561,990910
1562,990910
1563,990910
1564,990910
1565,990792
1566,990792
1567,990786
1568,990786
1569,990759
1570,990746
1571,990746
1572,990746
1573,990746
1574,990746
1575,990746
1576,990746
1577,991691
1578,991691
1579,991691
1580,991691
1581,991691
1582,991691
1583,991691
1584,991691
1585,991691
1586,991691
1587,991691
1588,991691
1589,991691
1590,990720
1591,990720
1592,990720
1593,990718
1594,990718
1595,990718
1596,990708
1597,990708
1598,990708
1599,990708
1600,990739
1601,990739
1602,990739
1603,990739
1604,990697
1605,990697
1606,990697
1607,990697
1608,990697
1609,990697
1610,990697
1611,990672
1612,990672
1613,990672
1614,990672
1615,990672
1616,990672
1617,990672
1618,990655
1619,990655
1620,990655
1621,990645
1622,990645
1623,990645
1624,990645
1625,990645
1626,990645
1627,991272
1628,991272
1629,991272
1630,991272
1631,991272
1632,990755
1633,990755
1634,990755
1635,990755
1636,990755
1637,990682
1638,990682
1639,990682
1640,990682
1641,990682
1642,990682
1643,990682
1644,990682
1645,990616
1646,990597
1647,990597
1648,990597
1649,990591
1650,990591
1651,990591
1652,990591
1653,990591
1654,990591
1655,990591
1656,990591
1657,990658
1658,990658
1659,990658
1660,990658
1661,990578
1662,990578
1663,990566
1664,990566
1665,990566
1666,990566
1667,990560
1668,990558
1669,990558
1670,990558
1671,990555
1672,990554
1673,990554
1674,990548
1675,990548
1676,990548
1677,990548
1678,990548
1679,990548
1680,990548
1681,990548
1682,990548
1683,990566
1684,990566
1685,990566
1686,990566
1687,990566
1688,990566
1689,990566
1690,990551
1691,990551
1692,990551
1693,990547
1694,990547
1695,990547
1696,990547
1697,990547
1698,990547
1699,990547
1700,990537
1701,990537
1702,990537
1703,990537
1704,990529
1705,990529
1706,990529
1707,990529
1708,990529
1709,990529
1710,990519
1711,990519
1712,990519
1713,990519
1714,990519
1715,990519
1716,990519
1717,990519
1718,990519
1719,990519
1720,990512
1721,990512
1722,990512
1723,990512
1724,990512
1725,990512
1726,990508
1727,990508
1728,990508
1729,990508
1730,990506
1731,990506
1732,990506
1733,990506
1734,990506
1735,990506
1736,990506
1737,990504
1738,990503
1739,990503
1740,990503
1741,990501
1742,990501
1743,990501
1744,990501
1745,990500
1746,990500
1747,990500
1748,990498
1749,990498
1750,990498
1751,990496
1752,990496
1753,990496
1754,990496
1755,990496
1756,990496
1757,990632
1758,990632
1759,990632
1760,990545
1761,990545
1762,990545
1763,990545
1764,990531
1765,990531
1766,990531
1767,990531
1768,990531
1769,990531
1770,990531
1771,990531
1772,990531
1773,990531
1774,990531
1775,990531
1776,990531
1777,990531
1778,990540
1779,990540
1780,990540
1781,990540
1782,990540
1783,990540
