,PRICE
0,1000000
1,999999
2,999999
3,999999
4,999999
5,999999
6,999999
7,999999
8,999999
9,999999
10,999999
11,999999
12,999999
13,999999
14,999999
15,999999
16,999999
17,999999
18,999999
19,999999
20,999999
21,999999
22,999999
23,999999
24,999999
25,999999
26,999999
27,999999
28,999999
29,999999
30,999999
31,999999
32,999999
33,999999
34,999999
35,999999
36,999999
37,999999
38,999999
39,999998
40,999998
41,999998
42,999998
43,999998
44,999998
45,999998
46,999998
47,999998
48,999998
49,999998
50,999998
51,999998
52,999998
53,999998
54,999998
55,999998
56,999998
57,999998
58,999998
59,999998
60,999998
61,999998
62,999998
63,999998
64,999998
65,999998
66,999998
67,999998
68,999998
69,999998
70,999998
71,999998
72,999998
73,999998
74,999998
75,999998
76,999998
77,999998
78,999998
79,999998
80,999998
81,999998
82,999998
83,999998
84,999998
85,999998
86,999998
87,999998
88,999998
89,999998
90,999998
91,999998
92,999998
93,999998
94,999998
95,999998
96,999998
97,999998
98,999998
99,999998
100,999998
101,999998
102,999998
103,999998
104,999998
105,999998
106,999998
107,999998
108,999998
109,999998
110,999998
111,999997
112,999997
113,999997
114,999997
115,999997
116,999997
117,999997
118,999997
119,999997
120,999997
121,999997
122,999997
123,999997
124,999997
125,999997
126,999997
127,999997
128,999997
129,999997
130,999997
131,999997
132,999997
133,999997
134,999997
135,999997
136,999997
137,999997
138,999997
139,999997
140,999997
141,999997
142,999997
143,999997
144,999997
145,999997
146,999997
147,999997
148,999997
149,999997
150,999997
151,999997
152,999997
153,999997
154,1000000
155,1000000
156,999997
157,999997
158,999997
159,999997
160,999997
161,999997
162,999997
163,999997
164,1000000
165,1000000
166,1000000
167,1000000
168,1000000
169,1000000
170,1000000
171,1000000
172,1000000
173,1000000
174,1000000
175,1000000
176,1000000
177,1000000
178,1000000
179,1000000
180,1000000
181,1000000
182,1000000
183,1000000
184,1000000
185,1000000
186,1000000
187,1000000
188,1000000
189,1000000
190,1000000
191,999997
192,999997
193,999997
194,999997
195,999997
196,999997
197,999997
198,999997
199,999997
200,999997
201,999997
202,999997
203,999997
204,999997
205,999997
206,1000000
207,1000000
208,999997
209,999997
210,999997
211,999997
212,999997
213,999997
214,999997
215,1000000
216,1000000
217,1000000
218,1000000
219,999997
220,999997
221,999997
222,999997
223,999997
224,999997
225,999997
226,999997
227,999997
228,999997
229,999997
230,999997
231,999997
232,999997
233,999997
234,1000000
235,1000000
236,999997
237,1000000
238,1000000
239,1000000
240,1000000
241,1000000
242,1000000
243,1000000
244,1000000
245,1000000
246,1000000
247,1000000
248,1000000
249,999996
250,999996
251,999996
252,999996
253,999996
254,1000000
255,1000000
256,1000000
257,1000000
258,1000000
259,1000000
260,1000000
261,1000000
262,1000000
263,1000000
264,1000000
265,1000000
266,1000000
267,1000000
268,1000000
269,1000000
270,1000000
271,1000000
272,1000000
273,1000000
274,1000000
275,999996
276,999996
277,1000000
278,1000000
279,999996
280,999996
281,999996
282,999996
283,999996
284,999996
285,1000001
286,1000001
287,1000001
288,1000001
289,1000001
290,1000001
291,1000001
292,999996
293,999996
294,999996
295,999996
296,999996
297,1000001
298,1000001
299,1000001
300,1000001
301,1000001
302,1000001
303,999996
304,999996
305,999996
306,999996
307,999996
308,999996
309,1000001
310,1000001
311,1000001
312,1000001
313,1000001
314,1000001
315,1000001
316,1000001
317,999996
318,999996
319,1000001
320,1000001
321,999996
322,999996
323,999996
324,1000001
325,1000001
326,1000001
327,1000001
328,1000001
329,1000001
330,1000001
331,1000001
332,1000001
333,1000001
334,1000001
335,1000001
336,1000001
337,1000001
338,999996
339,999996
340,999996
341,999996
342,999996
343,999996
344,999996
345,999996
346,999996
347,1000001
348,1000001
349,1000001
350,1000001
351,1000001
352,1000001
353,1000001
354,1000001
355,1000001
356,999996
357,999996
358,999996
359,999996
360,999996
361,999996
362,999996
363,999996
364,999996
365,999996
366,999996
367,999996
368,999996
369,999996
370,999996
371,999996
372,999996
373,999996
374,999996
375,999996
376,1000001
377,1000001
378,1000001
379,1000001
380,1000001
381,1000001
382,1000001
383,1000001
384,1000001
385,1000001
386,999996
387,999996
388,999996
389,999996
390,999996
391,999996
392,999996
393,999995
394,999995
395,999995
396,999995
397,999995
398,999995
399,999995
400,999995
401,999995
402,999995
403,999995
404,999995
405,999995
406,999995
407,999995
408,999995
409,999995
410,999995
411,999995
412,999995
413,999995
414,999995
415,999995
416,999995
417,999995
418,999995
419,999995
420,999995
421,999995
422,999995
423,999995
424,999995
425,999995
426,999995
427,999995
428,999995
429,999995
430,999995
431,1000002
432,1000002
433,1000002
434,1000002
435,1000002
436,1000002
437,1000002
