,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,991628,5,999484,5,5,991628,3,3
1,992009,7,992139,7,7,992009,6,6
2,993992,14,993992,8,8,991902,14,14
3,992197,46,992197,12,12,969700,46,46
4,991858,47,991858,13,13,966292,47,47
5,981804,48,981804,25,25,968229,48,48
6,970781,50,970781,45,45,959952,50,50
7,969080,60,969080,44,44,961021,60,60
8,949627,67,949627,51,51,926360,67,67
9,947909,70,947909,57,57,916392,70,70
10,943102,74,943102,55,55,908613,74,74
11,935811,75,935811,63,63,901415,75,75
12,934338,77,934338,73,73,884471,77,77
13,887672,81,904312,81,81,887672,80,80
14,887957,83,913808,83,83,887957,78,78
15,850756,103,850756,91,91,768733,103,103
16,840918,106,840918,85,85,738082,106,106
17,840436,108,840436,82,82,755675,108,108
18,832597,109,832597,95,95,726225,109,109
19,829210,114,829210,104,104,730882,114,114
20,811025,123,811025,94,94,700278,123,123
21,771756,127,771756,100,100,684379,127,127
22,738556,135,738556,110,110,664780,135,135
23,729273,138,729273,111,111,633137,138,138
24,695515,149,695515,118,118,538505,149,149
25,607094,158,607094,129,129,510874,158,158
26,596444,164,596444,148,148,525809,164,164
27,583859,165,583859,134,134,386811,165,165
28,625259,171,644171,171,171,625259,155,155
29,524728,183,524728,151,151,414419,183,183
30,521199,189,521199,152,152,318076,189,189
31,514292,191,514292,154,154,289035,191,191
32,504216,196,504216,150,150,269095,196,196
33,453802,197,453802,160,160,311376,197,197
34,436056,199,436056,159,159,271542,199,199
35,422916,203,422916,170,170,287476,203,203
36,418454,205,418454,198,198,332345,205,205
37,390968,229,390968,167,167,218624,229,229
38,368535,235,368535,224,224,178669,235,235
39,367411,237,367411,174,174,164320,237,237
40,353787,241,353787,188,188,205974,241,241
41,286923,262,286923,240,240,114469,262,262
42,285036,265,285036,209,209,107179,265,265
43,278670,268,278670,187,187,124732,268,268
44,270877,273,270877,204,204,113467,273,273
45,256413,283,256413,250,250,214596,283,283
46,250349,286,250349,223,223,84604,286,286
47,233238,294,233238,213,213,155815,294,294
48,231109,299,231109,290,290,75005,299,299
49,228097,302,228097,226,226,95707,302,302
50,219239,303,219239,212,212,58182,303,303
51,206785,306,206785,272,272,75636,306,306
52,200208,307,200208,228,228,62555,307,307
53,195663,309,195663,206,206,79311,309,309
54,186032,312,186032,238,238,153328,312,312
55,163217,330,163217,277,277,87609,330,330
56,160392,331,160392,242,242,104058,331,331
57,147494,335,147494,254,254,34839,335,335
58,140840,336,140840,249,249,29570,336,336
59,130606,347,130606,246,246,34418,347,347
60,128361,348,128361,266,266,19993,348,348
61,124417,355,124417,287,287,20600,355,355
62,116455,356,116455,263,263,21412,356,356
63,112582,367,112582,264,264,20236,367,367
64,103185,372,103185,354,354,52332,372,372
65,92069,378,92069,271,271,17143,378,378
66,89572,382,89572,297,297,49996,382,382
67,83986,393,83986,279,279,17964,393,393
68,74455,404,74455,300,300,12720,404,404
69,70783,408,70783,301,301,7830,408,408
70,65017,415,65017,328,328,12799,415,415
71,54657,419,54657,317,317,6589,419,419
72,51070,421,51070,352,352,5187,421,421
73,50431,422,50431,315,315,27725,422,422
74,47253,423,47253,319,319,15117,423,423
75,46767,425,46767,350,350,4429,425,425
76,44392,426,44392,321,321,11680,426,426
77,41615,434,41615,400,400,10198,434,434
78,40353,440,40353,334,334,6251,440,440
79,39563,441,39563,324,324,2458,441,441
80,37949,448,37949,322,322,2415,448,448
81,37386,453,37386,314,314,2460,453,453
82,34905,455,34905,385,385,6371,455,455
83,30734,462,30734,337,337,4359,462,462
84,27686,468,27686,388,388,2161,468,468
85,27365,472,27365,341,341,2608,472,472
86,26879,474,26879,396,396,2106,474,474
87,26708,478,26708,344,344,2531,478,478
88,25890,481,25890,373,373,1114,481,481
89,24887,487,24887,346,346,946,487,487
90,23823,490,23823,390,390,1334,490,490
91,21430,504,21430,452,452,1534,504,504
92,17907,512,17907,442,442,629,512,512
93,17335,520,17335,450,450,934,520,520
94,16827,523,16827,365,365,3237,523,523
95,15290,524,15290,377,377,554,524,524
96,15179,529,15179,361,361,544,529,529
97,13927,530,13927,383,383,772,530,530
98,13675,533,13675,379,379,1012,533,533
99,13379,538,13379,392,392,252,538,538
100,12986,542,12986,416,416,5412,542,542
101,11855,547,11855,401,401,370,547,547
102,9529,551,9529,435,435,303,551,551
103,9328,555,9328,531,531,146,555,555
104,8542,557,8542,438,438,194,557,557
105,8123,558,8123,405,405,298,558,558
106,8065,559,8065,412,412,545,559,559
107,6871,564,6871,413,413,126,564,564
108,6803,568,6803,427,427,144,568,568
109,5955,573,5955,498,498,2354,573,573
110,4606,578,4606,439,439,45,578,578
111,4447,584,4447,506,506,154,584,584
112,6779,588,6779,587,587,509,588,588
113,3381,591,3381,454,454,115,591,591
114,3326,592,3326,433,433,463,592,592
115,3066,599,3066,431,431,45,599,599
116,2994,603,2994,443,443,117,603,603
117,2901,605,2901,536,536,20,605,605
118,2406,611,2406,483,483,394,611,611
119,2395,617,2395,444,444,79,617,617
120,2348,618,2348,457,457,214,618,618
121,2071,624,2071,519,519,89,624,624
