,PRICE
0,1000000
1,1000003
2,1000000
3,1000000
4,1000002
5,1000002
6,1000002
7,1000002
8,1000002
9,1000002
10,1000002
11,1000002
12,1000002
13,1000002
14,1000002
15,1000002
16,1000002
17,1000002
18,1000002
19,1000002
20,1000002
21,1000002
22,1000002
23,1000002
24,1000002
25,1000002
26,1000002
27,1000002
28,1000002
29,1000002
30,1000002
31,1000002
32,1000002
33,1000002
34,1000001
35,1000001
36,1000001
37,1000001
38,1000001
39,1000001
40,1000001
41,1000001
42,1000001
43,1000001
44,1000001
45,1000001
46,1000001
47,1000001
48,1000001
49,1000001
50,1000001
51,1000001
52,1000001
53,1000003
54,1000003
55,1000003
56,1000003
57,1000001
58,1000001
59,1000001
60,1000001
61,1000001
62,1000001
63,1000001
64,1000001
65,1000001
66,1000003
67,1000003
68,1000003
69,1000003
70,1000003
71,1000001
72,1000001
73,1000001
74,1000001
75,1000001
76,1000001
77,1000001
78,1000001
79,1000001
80,1000001
81,1000001
82,1000001
83,1000001
84,1000001
85,1000001
86,1000001
87,1000001
88,1000001
89,1000001
90,1000001
91,1000001
92,1000001
93,1000001
94,1000001
95,1000001
96,1000001
97,1000001
98,1000001
99,1000001
100,1000001
101,1000001
102,1000001
103,1000001
104,1000001
105,1000001
106,1000001
107,1000001
108,1000001
109,1000001
110,1000001
111,1000001
112,1000001
113,1000001
114,1000001
115,1000001
116,1000001
117,1000001
118,1000001
119,1000001
120,1000001
121,1000001
122,1000001
123,1000001
124,1000001
125,1000001
126,1000001
127,1000001
128,1000001
129,1000001
130,1000001
131,1000001
132,1000001
133,1000001
134,1000001
135,1000001
136,1000001
137,1000001
138,1000001
139,1000001
140,1000001
141,1000001
142,1000000
143,1000000
144,1000000
145,1000000
146,1000000
147,1000000
148,1000000
149,1000000
150,1000000
151,1000000
152,1000000
153,1000000
154,1000000
155,1000000
156,1000000
157,1000000
158,1000000
159,1000000
160,1000000
161,1000000
162,1000000
163,1000000
164,1000000
165,1000000
166,1000000
167,1000000
168,1000000
169,1000004
170,1000004
171,1000004
172,1000004
173,1000004
174,1000000
175,1000000
176,1000000
177,1000000
178,1000000
179,1000000
180,1000000
181,1000004
182,1000000
183,1000000
184,1000000
185,1000000
186,1000004
187,1000004
188,1000004
189,1000000
190,1000004
191,1000004
192,1000004
193,1000004
194,1000004
195,1000004
196,1000004
197,1000004
198,1000004
199,1000004
200,1000004
201,1000000
202,1000000
203,1000000
204,1000000
205,1000000
206,1000000
207,1000000
208,1000000
209,1000000
210,1000000
211,1000000
212,1000000
213,1000000
214,1000004
215,1000000
216,1000000
217,1000000
218,1000000
219,1000000
220,1000000
221,1000000
222,1000000
223,1000000
224,1000000
225,1000000
226,1000000
227,1000000
228,1000000
229,1000000
230,1000000
231,1000000
232,1000000
233,1000004
234,1000004
235,1000004
236,1000004
237,1000004
238,1000004
239,1000004
240,1000004
241,1000004
242,1000004
243,1000004
244,1000004
245,1000004
246,1000004
247,1000004
248,1000004
249,1000004
250,1000004
251,1000004
252,1000004
253,999999
254,999999
255,999999
256,999999
257,999999
258,1000004
259,1000004
260,1000004
261,1000004
262,1000004
263,1000004
264,1000004
265,1000004
266,999999
267,999999
268,999999
269,999999
270,999999
271,999999
272,999999
273,999999
274,999999
275,999999
276,1000004
277,1000004
278,1000004
279,1000004
280,1000004
281,1000004
282,1000004
283,1000004
284,1000004
285,1000004
286,1000004
287,1000004
288,1000004
289,1000004
290,1000004
291,1000004
292,1000004
293,1000004
294,1000004
295,1000004
296,1000004
297,1000004
298,1000004
299,1000004
300,1000004
301,1000004
302,1000004
303,1000004
304,1000004
305,1000004
306,1000004
307,1000004
308,1000004
309,1000004
310,1000004
311,1000004
312,1000004
313,1000004
314,999999
315,999999
316,999999
317,999999
318,999999
319,999999
320,999999
321,999999
322,999999
323,999999
324,999999
325,999999
326,999999
327,999999
328,999999
329,999999
330,999999
331,999999
332,1000004
333,1000004
334,999999
335,999999
336,999999
337,999999
338,999999
339,999999
340,999999
341,999999
342,999999
343,999999
344,999999
345,999999
346,999999
347,999999
348,999999
349,999999
350,999999
351,999999
352,999999
353,999999
354,999999
355,999999
356,999999
357,999999
358,1000004
359,1000004
360,1000004
361,1000004
362,1000004
363,1000004
364,1000004
365,1000004
366,1000004
367,1000004
368,1000004
369,1000004
370,1000004
371,1000004
372,999998
373,999998
374,999998
375,1000004
376,1000004
377,1000004
378,1000004
379,1000004
380,1000004
381,1000004
382,1000004
383,1000004
384,1000004
385,1000004
386,1000004
387,1000004
388,1000004
389,1000004
390,1000004
391,1000004
392,1000004
393,1000004
394,1000004
395,1000004
396,1000005
397,999998
398,999998
399,999998
400,999998
401,999998
402,999998
403,999998
404,1000005
405,1000005
406,1000005
407,999998
408,1000005
409,1000005
410,1000005
411,1000005
412,999998
413,999998
414,999998
415,1000005
416,999998
417,999998
418,999998
419,999998
420,999998
421,999998
422,999998
423,999998
424,999998
425,999998
426,999998
427,999998
428,1000005
429,1000005
430,1000005
431,1000005
432,1000005
433,1000005
434,1000005
435,1000005
436,1000005
437,1000005
438,1000005
439,1000005
440,1000005
441,999998
442,1000005
443,1000005
444,1000005
445,1000005
446,999998
447,1000005
448,1000005
449,999998
450,999998
451,1000005
452,1000005
453,1000005
454,1000005
455,1000005
456,1000005
457,1000005
458,1000005
459,1000005
460,1000005
461,1000005
462,1000005
463,1000005
464,1000005
465,1000005
466,1000005
467,1000005
468,1000005
469,1000005
470,1000005
471,1000005
472,1000005
473,1000005
474,1000005
475,1000005
476,1000005
477,1000005
478,1000005
479,1000005
480,1000005
481,1000005
482,1000005
483,1000005
484,1000005
485,1000005
486,1000005
487,1000006
488,1000006
489,1000006
490,1000006
491,999997
492,999997
493,1000006
494,1000006
495,1000006
496,1000006
497,1000006
498,999997
499,999997
500,999997
501,1000006
502,1000006
503,1000006
504,1000006
505,1000006
506,1000006
507,1000006
508,1000006
509,1000006
510,1000006
511,1000006
512,999997
513,1000006
514,1000006
515,1000006
516,999997
517,1000006
518,1000006
519,1000006
520,1000006
521,1000006
522,1000006
523,1000006
524,1000006
525,1000006
526,1000006
527,1000006
528,999997
529,999997
530,999997
531,999997
532,999997
533,999997
534,999997
535,999997
536,999997
537,999997
538,1000006
539,1000006
540,999997
541,999997
542,999997
543,999997
544,999997
545,999997
546,999997
547,999997
548,1000006
549,1000006
550,1000006
551,1000006
552,1000006
553,1000006
554,1000006
555,1000006
556,1000006
557,1000006
558,1000006
559,1000006
560,1000006
561,1000006
562,1000006
563,1000006
564,1000006
565,1000006
566,1000006
567,1000006
568,1000006
569,1000006
570,1000006
571,1000006
572,1000006
573,1000006
574,1000006
575,1000006
576,1000006
577,1000006
578,1000006
579,1000006
580,1000006
581,1000006
582,999997
583,999997
584,999997
585,999997
586,999997
587,999997
588,999997
589,999997
590,999997
591,999997
592,999997
593,1000006
594,1000006
595,1000006
596,1000006
597,1000006
598,1000006
599,1000006
600,1000006
601,1000006
602,1000006
603,1000006
604,1000006
605,1000006
606,1000006
607,1000006
608,1000006
