,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,999994,1,1000545,1,0,999994,-16974,26
1,999994,1,999995,1,-2,999994,-16183,817
2,999994,2,999995,2,-2,999994,-16140,860
3,999994,2,999995,2,-2,999994,-13133,867
4,999994,3,999995,3,-2,999994,-12359,641
5,999994,3,1000870,3,2,999994,-9529,471
6,999994,3,999995,3,-2,999994,-7611,389
7,999994,4,999995,4,-2,999994,-6807,193
8,999994,4,999995,4,-2,999994,-4047,953
9,999994,5,999995,5,-2,999994,-1647,353
10,999994,5,999995,5,-2,999994,-459,541
11,999994,6,999995,6,-2,999994,-13,987
12,999995,6,999996,6,-2,999995,-15662,338
13,999995,7,999996,7,-2,999995,-13194,806
14,999995,7,999996,7,-2,999995,-13107,893
15,999995,8,999996,8,-2,999995,-12891,109
16,999995,8,999996,8,-2,999995,-11933,67
17,999995,9,999996,9,-2,999995,-11747,253
18,999995,9,999996,9,-2,999995,-7459,541
19,999995,10,999996,10,-2,999995,-7038,962
20,999995,10,999996,10,-2,999995,-5348,652
21,999995,11,999996,11,-2,999995,-4369,631
22,999995,11,999996,11,-2,999995,-2740,260
23,999995,12,999996,12,-2,999995,-2335,665
24,999995,12,999996,12,-2,999995,-1560,440
25,999995,13,999996,13,-2,999995,-732,268
26,999995,13,999996,13,-2,999995,-67,933
27,999996,14,999997,14,-2,999996,-19859,141
28,999996,14,999997,14,-2,999996,-17649,351
29,999996,15,999997,15,-2,999996,-16921,79
30,999996,15,1001096,15,14,999996,-16869,131
31,999996,15,999997,15,-2,999996,-12839,161
32,999996,16,999997,16,-2,999996,-10217,783
33,999996,16,1001519,16,15,999996,-8622,378
34,999996,16,999997,16,-2,999996,-4773,227
35,999996,17,999997,17,-2,999996,-4368,632
36,999996,17,999997,17,-2,999996,-4360,640
37,999996,18,999997,18,-2,999996,-2723,277
38,999996,18,999997,18,-2,999996,-657,343
39,999997,19,999998,19,-2,999997,-14889,111
40,999997,19,999998,19,-2,999997,-10815,185
41,999997,20,999998,20,-2,999997,-9157,843
42,999997,20,999998,20,-2,999997,-8866,134
43,999997,21,999998,21,-2,999997,-5417,583
44,999997,21,999998,21,-2,999997,-5091,909
45,999997,22,999998,22,-2,999997,-2867,133
46,999998,22,999999,22,-2,999998,-17236,764
47,999998,23,999999,23,-2,999998,-15089,911
48,999998,23,999999,23,-2,999998,-14164,836
49,999998,24,999999,24,-2,999998,-12731,269
50,999998,24,999999,24,-2,999998,-12490,510
51,999998,25,999999,25,-2,999998,-12428,572
52,999998,25,1000021,25,24,999998,-11974,26
53,999998,25,999999,25,-2,999998,-10335,665
54,999998,26,999999,26,-2,999998,-9191,809
55,999998,26,999999,26,-2,999998,-7984,16
56,999998,27,999999,27,-2,999998,-7359,641
57,999998,27,999999,27,-2,999998,-5914,86
58,999998,28,999999,28,-2,999998,-5879,121
59,999998,28,999999,28,-2,999998,-3648,352
60,999998,29,999999,29,-2,999998,-2817,183
61,999998,29,999999,29,-2,999998,-2529,471
62,999998,30,999999,30,-2,999998,-37,963
63,999999,42,1000116,42,41,999999,-19437,563
64,999999,51,1000230,51,50,999999,-19378,622
65,999999,54,1000034,54,53,999999,-18288,712
66,999999,59,1000093,59,58,999999,-17933,67
67,999999,60,1000031,60,59,999999,-17292,708
68,999999,62,1000148,62,61,999999,-16120,880
69,999999,65,1000673,65,64,999999,-14751,249
70,999999,72,1000169,72,71,999999,-10912,88
71,999999,74,1001090,74,73,999999,-9647,353
72,999999,85,1000018,85,84,999999,-7217,783
73,999999,87,1000003,87,86,999999,-7094,906
74,999999,93,1000003,93,92,999999,-6894,106
75,999999,123,1000209,123,122,999999,-5032,968
76,999999,136,1000262,136,135,999999,-2000,0
77,999999,137,1000035,137,136,999999,-1940,60
78,999999,140,1000120,140,139,999999,-1183,817
79,1000000,141,1000453,141,140,1000000,-18279,721
80,1000000,144,1000192,144,143,1000000,-15226,774
81,1000000,146,1000037,146,145,1000000,-14839,161
82,1000000,149,1000189,149,148,1000000,-13549,451
83,1000000,153,1000541,153,152,1000000,-7315,685
84,1000000,154,1001395,154,153,1000000,-7272,728
85,1000000,159,1000828,159,158,1000000,-7164,836
86,1000000,161,1000101,161,160,1000000,-5807,193
87,1000000,164,1000122,164,163,1000000,-5577,423
88,1000000,166,1000174,166,165,1000000,-4755,245
89,1000000,168,1000188,168,167,1000000,-3717,283
