,PRICE,TIME,ID
0,1000148,13966,965
1,1000148,15275,274
2,1000149,1774,773
3,1000149,11445,444
4,1000149,14842,841
5,1000150,2455,454
6,1000150,3593,592
7,1000150,9338,337
8,1000150,15031,30
9,1000151,6231,230
10,1000151,8017,16
11,1000151,18587,586
12,1000152,6320,319
13,1000152,12245,244
14,1000152,13269,268
15,1000152,17004,3
16,1000152,19035,34
17,1000153,1197,196
18,1000153,4687,686
19,1000153,6287,286
20,1000153,7951,950
21,1000153,10481,480
22,1000153,12828,827
23,1000153,12995,994
24,1000154,7955,954
25,1000154,12234,233
26,1000154,18326,325
27,1000155,13123,122
28,1000155,15610,609
29,1000156,13412,411
30,1000156,15376,375
31,1000157,13729,728
32,1000157,15180,179
33,1000157,15722,721
34,1000157,17326,325
35,1000157,18131,130
36,1000158,4121,120
37,1000158,14187,186
38,1000159,7792,791
39,1000159,8531,530
40,1000159,8837,836
41,1000159,13255,254
42,1000159,18969,968
43,1000160,833,832
44,1000160,6932,931
45,1000160,14175,174
46,1000160,15620,619
47,1000160,15986,985
48,1000160,19334,333
49,1000161,2926,925
50,1000161,4271,270
51,1000161,5179,178
52,1000161,17440,439
53,1000162,2048,47
54,1000162,15455,454
55,1000162,15868,867
56,1000163,11928,927
57,1000163,16081,80
58,1000163,16244,243
59,1000163,17136,135
60,1000164,2383,382
61,1000164,6209,208
62,1000164,10278,277
63,1000164,13509,508
64,1000164,17837,836
65,1000165,3014,13
66,1000165,5350,349
67,1000165,5695,694
68,1000165,16217,216
69,1000167,3394,393
70,1000167,7456,455
71,1000167,10511,510
72,1000167,13547,546
73,1000168,2274,273
74,1000168,2794,793
75,1000168,4625,624
76,1000168,5661,660
77,1000168,12019,18
78,1000168,17356,355
79,1000169,1632,631
80,1000169,7711,710
81,1000169,10447,446
82,1000169,13035,34
83,1000169,18510,509
84,1000170,3050,49
85,1000170,4335,334
86,1000170,7755,754
87,1000171,8502,501
88,1000171,13439,438
89,1000171,19019,18
90,1000172,8660,659
91,1000172,17627,626
92,1000173,1369,368
93,1000173,1622,621
94,1000173,4375,374
95,1000173,13926,925
96,1000173,18617,616
97,1000174,2211,210
98,1000174,4379,378
99,1000174,16107,106
100,1000174,18136,135
101,1000174,18450,449
102,1000175,9335,334
103,1000175,12806,805
104,1000175,16247,246
105,1000175,16984,983
106,1000176,7618,617
107,1000176,7977,976
108,1000176,11146,145
109,1000177,16085,84
110,1000178,6628,627
111,1000178,10173,172
112,1000178,17026,25
113,1000178,18688,687
114,1000179,4071,70
115,1000179,8060,59
116,1000180,1274,273
117,1000180,8481,480
118,1000180,10556,555
119,1000180,16579,578
120,1000181,1059,58
121,1000181,19969,968
122,1000182,8253,252
123,1000182,17292,291
124,1000183,18132,131
125,1000184,1413,412
126,1000184,1915,914
127,1000184,2243,242
128,1000184,15164,163
129,1000184,18665,664
130,1000185,1639,638
131,1000185,8652,651
132,1000185,9657,656
133,1000185,9915,914
134,1000185,11125,124
135,1000185,11642,641
136,1000185,12311,310
137,1000185,13250,249
138,1000185,14337,336
139,1000185,16633,632
140,1000186,10406,405
141,1000186,15102,101
142,1000186,19284,283
143,1000187,8976,975
144,1000187,14850,849
145,1000187,15022,21
146,1000188,10133,132
147,1000188,15633,632
148,1000188,15671,670
149,1000188,16087,86
150,1000188,16480,479
151,1000189,5954,953
152,1000189,8176,175
153,1000189,12729,728
154,1000189,15627,626
155,1000189,16481,480
156,1000190,7926,925
157,1000190,16663,662
158,1000191,9742,741
159,1000191,12661,660
160,1000191,13413,412
161,1000191,14613,612
162,1000191,18603,602
163,1000192,1771,770
164,1000192,6879,878
165,1000192,11025,24
166,1000192,16363,362
167,1000193,2425,424
168,1000193,13577,576
169,1000193,18244,243
170,1000194,3529,528
171,1000194,15643,642
172,1000195,3973,972
173,1000195,7453,452
174,1000196,1390,389
175,1000196,4908,907
176,1000196,10876,875
177,1000197,1789,788
178,1000197,3361,360
179,1000197,4809,808
180,1000197,4934,933
181,1000197,16089,88
182,1000197,18600,599
183,1000197,19814,813
184,1000198,1631,630
185,1000198,6631,630
186,1000198,8034,33
187,1000198,14596,595
188,1000198,15250,249
189,1000199,1775,774
190,1000199,7601,600
191,1000199,11921,920
192,1000199,16068,67
193,1000200,881,880
194,1000200,5137,136
195,1000200,11783,782
196,1000200,14806,805
197,1000200,16590,589
198,1000201,6682,681
199,1000202,11639,638
200,1000202,13655,654
201,1000202,14745,744
202,1000203,12236,235
203,1000203,17142,141
204,1000204,6688,687
205,1000204,8841,840
206,1000204,11625,624
207,1000204,15654,653
208,1000204,16841,840
209,1000205,3999,998
210,1000205,6396,395
211,1000206,1057,56
212,1000206,2529,528
213,1000206,13362,361
214,1000206,15187,186
215,1000207,1531,530
216,1000207,5496,495
217,1000207,8840,839
218,1000207,11932,931
219,1000207,18651,650
220,1000208,7531,530
221,1000208,13930,929
222,1000208,17271,270
223,1000209,10249,248
224,1000209,12325,324
225,1000210,15138,137
226,1000211,15840,839
227,1000212,3882,881
228,1000212,15642,641
229,1000212,18971,970
230,1000212,19392,391
231,1000213,5506,505
232,1000213,5743,742
233,1000213,10119,118
234,1000213,17106,105
235,1000213,18984,983
236,1000214,4881,880
237,1000214,10448,447
238,1000214,17404,403
239,1000214,19480,479
240,1000215,4350,349
241,1000215,9227,226
242,1000215,14423,422
243,1000215,14461,460
244,1000216,3504,503
245,1000216,3921,920
246,1000216,9334,333
247,1000216,18576,575
248,1000216,19394,393
249,1000217,1451,450
250,1000217,10708,707
251,1000217,11350,349
252,1000217,18590,589
253,1000217,19910,909
254,1000218,13014,13
255,1000219,1212,211
256,1000219,5423,422
257,1000219,8125,124
258,1000219,18992,991
259,1000220,3415,414
260,1000220,9500,499
261,1000221,8633,632
262,1000221,8704,703
263,1000222,4156,155
264,1000222,10517,516
265,1000222,19112,111
266,1000223,782,781
267,1000223,7037,36
268,1000223,8670,669
269,1000223,9388,387
270,1000223,14687,686
271,1000223,18970,969
272,1000224,3228,227
273,1000224,12542,541
274,1000224,14090,89
275,1000224,16202,201
276,1000224,16581,580
277,1000225,3245,244
278,1000225,8647,646
279,1000225,10530,529
280,1000225,15266,265
281,1000226,6640,639
282,1000226,7471,470
283,1000226,13970,969
284,1000226,15168,167
285,1000227,10862,861
286,1000227,17100,99
287,1000228,4018,17
288,1000228,4742,741
289,1000228,5897,896
290,1000228,14523,522
291,1000228,17629,628
292,1000229,1358,357
293,1000229,3663,662
294,1000229,4030,29
295,1000229,6445,444
296,1000229,11725,724
297,1000229,14885,884
298,1000230,3799,798
299,1000230,7663,662
300,1000230,8279,278
301,1000230,17901,900
302,1000230,19357,356
303,1000231,2982,981
304,1000231,4299,298
305,1000231,5789,788
306,1000231,16676,675
307,1000232,1152,151
308,1000232,8166,165
309,1000232,16844,843
310,1000233,2179,178
311,1000233,3403,402
312,1000233,5305,304
313,1000233,10683,682
314,1000234,2680,679
315,1000234,11595,594
316,1000234,16046,45
317,1000235,2804,803
318,1000235,6809,808
319,1000235,19342,341
320,1000236,3256,255
321,1000236,10651,650
322,1000237,6339,338
323,1000237,11034,33
324,1000237,17140,139
325,1000238,14332,331
326,1000238,18098,97
327,1000238,19067,66
328,1000238,19841,840
329,1000239,1957,956
330,1000239,8193,192
331,1000239,15137,136
332,1000240,8094,93
333,1000240,8974,973
334,1000240,9297,296
335,1000240,13981,980
336,1000240,18432,431
337,1000241,5479,478
338,1000241,11114,113
339,1000241,11632,631
340,1000241,14382,381
341,1000242,8911,910
342,1000242,12529,528
343,1000242,15736,735
344,1000242,16713,712
345,1000243,9294,293
346,1000244,1955,954
347,1000244,5586,585
348,1000245,19792,791
349,1000247,2367,366
350,1000247,4340,339
351,1000247,9467,466
352,1000247,15650,649
353,1000247,17209,208
354,1000247,17253,252
355,1000248,6643,642
356,1000248,7591,590
357,1000248,13524,523
358,1000249,4647,646
359,1000249,12780,779
360,1000249,13794,793
361,1000249,13971,970
362,1000249,15547,546
363,1000249,19812,811
364,1000251,6023,22
365,1000251,7950,949
366,1000251,9296,295
367,1000251,12240,239
368,1000251,18724,723
369,1000252,16205,204
370,1000252,19808,807
371,1000253,2961,960
372,1000253,3010,9
373,1000254,3156,155
374,1000254,6671,670
375,1000254,9083,82
376,1000255,19471,470
377,1000256,2322,321
378,1000256,7562,561
379,1000256,11987,986
380,1000256,15418,417
381,1000257,13787,786
382,1000257,16592,591
383,1000258,3879,878
384,1000258,4767,766
385,1000258,16483,482
386,1000258,17392,391
