,PRICE,TIME,ID
0,1000711,29876,876
1,1000711,36918,918
2,1000712,26747,747
3,1000714,32956,956
4,1000715,38674,674
5,1000716,34332,332
6,1000718,35761,761
7,1000718,36270,270
8,1000719,34321,321
9,1000719,37183,183
10,1000722,25881,881
11,1000722,27505,505
12,1000722,31238,238
13,1000722,34975,975
14,1000723,32087,87
15,1000725,33263,263
16,1000728,28760,760
17,1000728,36875,875
18,1000731,29631,631
19,1000731,38285,285
20,1000732,37434,434
21,1000733,38838,838
22,1000734,28532,532
23,1000736,23271,271
24,1000736,34587,587
25,1000737,33630,630
26,1000737,39166,166
27,1000738,25902,902
28,1000741,24783,783
29,1000743,29355,355
30,1000743,38979,979
31,1000744,25885,885
32,1000744,35000,0
33,1000748,36549,549
34,1000749,38782,782
35,1000753,29264,264
36,1000761,39041,41
37,1000762,32604,604
38,1000764,23319,319
39,1000765,28644,644
40,1000766,30738,738
41,1000767,29296,296
42,1000767,29444,444
43,1000768,35555,555
44,1000770,29828,828
45,1000770,30751,751
46,1000771,37850,850
47,1000771,38723,723
48,1000773,23306,306
49,1000773,31494,494
50,1000773,31732,732
51,1000773,38144,144
52,1000774,34999,999
53,1000775,23403,403
54,1000779,21843,843
55,1000780,31003,3
56,1000780,39733,733
57,1000781,38755,755
58,1000781,38850,850
59,1000782,29248,248
60,1000783,36637,637
61,1000785,34916,916
62,1000786,27016,16
63,1000787,25075,75
64,1000787,36453,453
65,1000788,33126,126
66,1000790,21809,809
67,1000791,36045,45
68,1000792,22075,75
69,1000792,25099,99
70,1000792,34820,820
71,1000794,26803,803
72,1000796,36553,553
73,1000797,35922,922
74,1000797,38323,323
75,1000798,35638,638
76,1000798,38399,399
77,1000800,29038,38
78,1000800,39311,311
79,1000804,30708,708
80,1000804,31822,822
81,1000805,28401,401
82,1000805,29656,656
83,1000805,39083,83
84,1000807,34931,931
85,1000808,39299,299
86,1000809,36215,215
87,1000810,22281,281
88,1000815,29170,170
89,1000815,35018,18
90,1000817,38352,352
91,1000819,32149,149
92,1000821,38918,918
93,1000822,35907,907
94,1000823,28982,982
95,1000824,24634,634
96,1000825,28940,940
97,1000825,35920,920
98,1000825,39282,282
99,1000826,36186,186
100,1000827,36224,224
101,1000828,34831,831
102,1000828,38402,402
103,1000830,39284,284
104,1000832,38662,662
105,1000833,22645,645
106,1000833,29347,347
107,1000835,39780,780
108,1000835,39797,797
109,1000837,29369,369
110,1000837,29710,710
111,1000840,31880,880
112,1000841,32140,140
113,1000841,36152,152
114,1000842,30857,857
115,1000843,22001,1
116,1000843,29907,907
117,1000845,34955,955
118,1000845,36020,20
119,1000846,28985,985
120,1000846,38661,661
121,1000846,39728,728
122,1000846,39825,825
123,1000847,32507,507
124,1000847,36886,886
125,1000848,25105,105
126,1000848,30596,596
127,1000848,35994,994
128,1000849,25834,834
129,1000850,27492,492
130,1000851,29053,53
131,1000852,28679,679
132,1000853,37769,769
133,1000854,30572,572
134,1000856,35640,640
135,1000856,36305,305
136,1000856,39755,755
137,1000857,39732,732
138,1000858,38762,762
139,1000860,27261,261
140,1000860,33444,444
141,1000862,34973,973
142,1000864,27072,72
143,1000865,23597,597
144,1000866,38628,628
145,1000867,31247,247
146,1000868,22634,634
147,1000868,36452,452
148,1000870,21785,785
149,1000872,39739,739
150,1000874,34211,211
151,1000874,37068,68
152,1000876,32656,656
153,1000877,32133,133
154,1000878,28710,710
155,1000879,24090,90
156,1000881,36923,923
157,1000882,31708,708
158,1000882,32640,640
159,1000884,28907,907
160,1000884,37808,808
161,1000885,28437,437
162,1000886,24590,590
163,1000886,38482,482
164,1000887,32684,684
165,1000892,23624,624
166,1000892,33517,517
167,1000892,37872,872
168,1000895,25835,835
169,1000895,30377,377
170,1000896,36711,711
171,1000896,36752,752
172,1000896,37381,381
173,1000896,38128,128
174,1000897,39839,839
175,1000898,39894,894
176,1000899,27400,400
177,1000899,32950,950
178,1000902,26881,881
179,1000903,35242,242
180,1000903,38406,406
181,1000903,39077,77
182,1000905,34161,161
183,1000905,36475,475
184,1000905,38971,971
185,1000906,38852,852
186,1000907,21503,503
187,1000908,25551,551
188,1000908,39651,651
189,1000909,26509,509
190,1000909,26717,717
191,1000909,34531,531
192,1000911,35330,330
193,1000912,24731,731
194,1000912,33584,584
195,1000915,29842,842
196,1000916,37097,97
197,1000917,39293,293
198,1000918,31965,965
199,1000918,35436,436
200,1000920,36530,530
201,1000920,38712,712
202,1000924,34301,301
203,1000925,32432,432
204,1000925,37956,956
205,1000926,34604,604
206,1000927,35708,708
207,1000928,33736,736
208,1000928,38694,694
209,1000929,34357,357
210,1000929,35395,395
211,1000929,38966,966
212,1000932,37305,305
213,1000933,37179,179
214,1000933,39699,699
215,1000935,36655,655
216,1000937,38798,798
217,1000938,38251,251
218,1000941,22319,319
219,1000941,29666,666
220,1000941,33640,640
221,1000942,27076,76
222,1000943,34808,808
223,1000944,39025,25
224,1000945,29844,844
225,1000947,33168,168
226,1000947,39080,80
227,1000948,38942,942
228,1000951,39620,620
229,1000952,37730,730
230,1000954,32916,916
231,1000955,34517,517
232,1000955,35711,711
233,1000956,36450,450
234,1000957,32534,534
235,1000958,34059,59
236,1000958,38328,328
237,1000959,39765,765
238,1000963,25590,590
239,1000963,38797,797
240,1000964,22648,648
241,1000964,38175,175
242,1000966,37195,195
243,1000967,34529,529
244,1000967,36930,930
245,1000968,39798,798
246,1000969,22843,843
247,1000969,35996,996
248,1000975,32951,951
249,1000976,32970,970
250,1000979,38241,241
251,1000980,36615,615
252,1000982,28117,117
253,1000982,28888,888
254,1000986,24848,848
255,1000986,39767,767
256,1000988,28470,470
257,1000990,33678,678
258,1000990,38756,756
259,1000991,27182,182
260,1000991,30379,379
261,1000992,28892,892
262,1000995,31960,960
263,1000995,33259,259
264,1000996,23618,618
265,1000996,33701,701
