,PRICE,TIME,ID
0,999994,19953,952
1,999999,19956,955
2,1000098,19923,922
3,1000113,19935,934
4,1000160,13561,560
5,1000160,14802,801
6,1000160,15519,518
7,1000161,5851,850
8,1000161,7265,264
9,1000162,468,467
10,1000162,11620,619
11,1000162,12627,626
12,1000163,368,367
13,1000163,2012,11
14,1000163,3751,750
15,1000163,7025,24
16,1000163,9533,532
17,1000163,11683,682
18,1000163,15915,914
19,1000164,2047,46
20,1000164,5394,393
21,1000164,15008,7
22,1000164,16294,293
23,1000164,19837,836
24,1000165,6101,100
25,1000165,13714,713
26,1000165,15442,441
27,1000166,8009,8
28,1000166,14205,204
29,1000166,17433,432
30,1000167,1253,252
31,1000167,5135,134
32,1000167,12594,593
33,1000167,14391,390
34,1000167,17765,764
35,1000168,3929,928
36,1000168,6449,448
37,1000168,13160,159
38,1000168,18153,152
39,1000169,4144,143
40,1000169,7728,727
41,1000169,7991,990
42,1000169,11496,495
43,1000169,12141,140
44,1000169,12657,656
45,1000170,836,835
46,1000170,3283,282
47,1000170,3627,626
48,1000170,10673,672
49,1000170,13666,665
50,1000170,16797,796
51,1000171,1479,478
52,1000171,1683,682
53,1000171,6488,487
54,1000171,14692,691
55,1000171,15641,640
56,1000171,19262,261
57,1000172,2057,56
58,1000172,6816,815
59,1000172,9820,819
60,1000172,12252,251
61,1000172,15858,857
62,1000173,3721,720
63,1000173,15191,190
64,1000174,2193,192
65,1000174,3639,638
66,1000174,4812,811
67,1000174,11634,633
68,1000174,11814,813
69,1000174,12067,66
70,1000174,13370,369
71,1000175,2191,190
72,1000176,18034,33
73,1000177,371,370
74,1000177,4006,5
75,1000177,6099,98
76,1000177,6916,915
77,1000177,11703,702
78,1000177,14210,209
79,1000178,2731,730
80,1000178,3585,584
81,1000178,13549,548
82,1000178,19171,170
83,1000179,3907,906
84,1000179,7038,37
85,1000179,16313,312
86,1000180,164,163
87,1000180,5298,297
88,1000180,14256,255
89,1000181,861,860
90,1000181,1952,951
91,1000181,3965,964
92,1000182,11384,383
93,1000182,12375,374
94,1000182,13090,89
95,1000183,880,879
96,1000183,3590,589
97,1000183,9376,375
98,1000184,631,630
99,1000184,7753,752
100,1000184,12289,288
101,1000184,12830,829
102,1000184,15003,2
103,1000184,19863,862
104,1000185,451,450
105,1000185,11941,940
106,1000185,12238,237
107,1000185,14736,735
108,1000186,7024,23
109,1000186,12834,833
110,1000186,17711,710
111,1000186,17724,723
112,1000187,5482,481
113,1000187,15169,168
114,1000188,2211,210
115,1000188,9263,262
116,1000188,14259,258
117,1000189,2399,398
118,1000189,7217,216
119,1000190,2915,914
120,1000190,3078,77
121,1000190,6352,351
122,1000190,14464,463
123,1000191,7140,139
124,1000191,11929,928
125,1000192,2020,19
126,1000192,7855,854
127,1000192,10207,206
128,1000192,15268,267
129,1000192,16297,296
130,1000192,16328,327
131,1000192,17385,384
132,1000193,6176,175
133,1000193,7127,126
134,1000193,9965,964
135,1000193,11684,683
136,1000194,386,385
137,1000194,5841,840
138,1000194,13945,944
139,1000195,142,141
140,1000195,12272,271
141,1000195,15297,296
142,1000196,4113,112
143,1000196,11679,678
144,1000196,12916,915
145,1000196,15733,732
146,1000197,4950,949
147,1000197,9340,339
148,1000198,1573,572
149,1000198,14363,362
150,1000199,4378,377
151,1000199,5208,207
152,1000200,623,622
153,1000200,681,680
154,1000200,10938,937
155,1000200,15000,999
156,1000201,8489,488
157,1000201,9004,3
158,1000201,11442,441
159,1000201,15175,174
160,1000202,5979,978
161,1000202,12420,419
162,1000202,15031,30
163,1000203,4315,314
164,1000203,4865,864
165,1000204,14541,540
166,1000205,2220,219
167,1000205,4917,916
168,1000205,7272,271
169,1000205,12341,340
170,1000206,9113,112
171,1000206,9267,266
172,1000206,14968,967
173,1000206,15437,436
174,1000207,14771,770
175,1000208,13297,296
176,1000208,14251,250
177,1000208,17280,279
178,1000208,19436,435
179,1000209,4169,168
180,1000209,13428,427
181,1000209,14685,684
182,1000209,19995,994
183,1000210,2953,952
184,1000210,15917,916
185,1000211,1443,442
186,1000211,3404,403
187,1000211,10032,31
188,1000211,10928,927
189,1000211,12485,484
190,1000212,14809,808
191,1000213,13312,311
192,1000214,2766,765
193,1000214,8250,249
194,1000214,9216,215
195,1000214,13279,278
196,1000215,3388,387
197,1000215,3657,656
198,1000215,9084,83
199,1000215,10478,477
200,1000215,10902,901
201,1000215,12593,592
202,1000216,16341,340
203,1000217,6897,896
204,1000217,9016,15
205,1000217,9363,362
206,1000217,10228,227
207,1000217,14341,340
208,1000217,17737,736
209,1000217,19623,622
210,1000218,614,613
211,1000218,2088,87
212,1000218,8049,48
213,1000218,15052,51
214,1000219,1196,195
215,1000219,1239,238
216,1000220,3174,173
217,1000220,13887,886
218,1000220,16167,166
219,1000220,16413,412
220,1000221,898,897
221,1000221,927,926
222,1000221,5699,698
223,1000221,18185,184
224,1000222,3677,676
225,1000222,6514,513
226,1000222,16212,211
227,1000223,744,743
228,1000223,3994,993
229,1000223,5223,222
230,1000223,7944,943
231,1000223,11861,860
232,1000223,13543,542
233,1000224,16368,367
234,1000224,17016,15
235,1000225,5649,648
236,1000225,13306,305
237,1000226,15813,812
238,1000226,17540,539
239,1000227,2910,909
240,1000227,9734,733
241,1000227,12540,539
242,1000228,891,890
243,1000228,11611,610
244,1000229,9257,256
245,1000229,12534,533
246,1000229,17760,759
247,1000229,19821,820
248,1000230,10731,730
249,1000230,18227,226
250,1000231,330,329
251,1000231,9234,233
252,1000231,9978,977
253,1000231,10027,26
254,1000231,14340,339
255,1000231,15521,520
256,1000232,3500,499
257,1000232,5349,348
258,1000232,8020,19
259,1000232,18983,982
260,1000232,19402,401
261,1000233,13703,702
262,1000233,13999,998
263,1000234,6409,408
264,1000234,7726,725
265,1000234,8713,712
266,1000234,16194,193
267,1000234,18328,327
268,1000235,7559,558
269,1000235,10867,866
270,1000236,1079,78
271,1000236,16166,165
272,1000237,869,868
273,1000237,3181,180
274,1000237,3488,487
275,1000237,5045,44
276,1000237,7362,361
277,1000237,8796,795
278,1000237,19396,395
279,1000238,6683,682
280,1000238,19780,779
281,1000239,10774,773
282,1000239,16296,295
283,1000239,17928,927
284,1000240,4996,995
285,1000240,18855,854
286,1000241,3844,843
287,1000241,4621,620
288,1000242,2251,250
289,1000242,9538,537
290,1000242,14482,481
291,1000242,19797,796
292,1000243,16917,916
293,1000244,14511,510
294,1000244,15918,917
295,1000244,17458,457
296,1000245,11155,154
297,1000246,1501,500
298,1000246,2248,247
299,1000246,11452,451
300,1000247,5310,309
301,1000247,15526,525
302,1000248,3266,265
303,1000248,3479,478
304,1000248,3865,864
305,1000248,5858,857
306,1000248,10771,770
307,1000248,19022,21
308,1000249,1922,921
309,1000249,13371,370
310,1000249,14132,131
311,1000249,16300,299
312,1000249,16482,481
313,1000250,12814,813
314,1000250,14352,351
315,1000251,5905,904
316,1000251,9181,180
317,1000251,13424,423
318,1000251,17718,717
319,1000252,5815,814
320,1000252,14840,839
321,1000252,16263,262
322,1000254,7570,569
323,1000254,11038,37
324,1000254,17725,724
325,1000254,18510,509
326,1000254,18672,671
327,1000255,14543,542
328,1000255,14966,965
329,1000255,15164,163
330,1000255,15726,725
331,1000256,5624,623
332,1000256,12683,682
333,1000256,19580,579
334,1000257,2893,892
335,1000257,4715,714
336,1000257,10482,481
337,1000257,12833,832
338,1000258,11020,19
339,1000258,19400,399
340,1000258,19812,811
341,1000259,1460,459
342,1000259,4588,587
343,1000259,5611,610
344,1000259,11808,807
345,1000260,1181,180
346,1000260,2471,470
347,1000260,4358,357
348,1000260,4813,812
349,1000260,14822,821
350,1000260,16914,913
351,1000261,6152,151
352,1000261,14551,550
353,1000261,17181,180
354,1000262,5864,863
355,1000262,8554,553
356,1000262,9601,600
357,1000263,11025,24
358,1000263,13518,517
359,1000264,2078,77
360,1000265,746,745
361,1000265,14439,438
362,1000266,9672,671
363,1000266,13817,816
364,1000266,16151,150
365,1000266,17677,676
366,1000267,4645,644
367,1000267,8500,499
368,1000268,14253,252
369,1000269,16245,244
370,1000270,5868,867
371,1000271,5636,635
372,1000271,11256,255
373,1000271,13874,873
374,1000271,15747,746
375,1000272,6018,17
376,1000272,6808,807
377,1000272,18028,27
378,1000273,2675,674
379,1000273,3233,232
380,1000273,5101,100
381,1000273,5247,246
382,1000273,7807,806
383,1000273,8217,216
384,1000273,13476,475
385,1000273,19052,51
386,1000274,12822,821
387,1000274,16649,648
388,1000275,4311,310
389,1000275,8367,366
390,1000275,10322,321
391,1000275,13070,69
392,1000276,7347,346
393,1000276,10146,145
394,1000276,12502,501
395,1000276,13902,901
396,1000276,13906,905
397,1000277,18119,118
398,1000278,14625,624
399,1000279,2343,342
400,1000279,4255,254
401,1000279,6528,527
402,1000280,6680,679
403,1000280,7479,478
404,1000280,13479,478
405,1000281,5743,742
406,1000281,10490,489
407,1000282,4818,817
408,1000282,12081,80
409,1000283,124,123
410,1000283,3902,901
411,1000283,6874,873
412,1000283,11983,982
413,1000284,783,782
414,1000284,859,858
415,1000284,13872,871
416,1000284,14262,261
417,1000284,15867,866
418,1000284,17009,8
419,1000285,13022,21
420,1000286,15065,64
421,1000287,8521,520
422,1000287,18843,842
423,1000288,1859,858
424,1000288,4359,358
425,1000288,7982,981
426,1000288,9491,490
427,1000288,9587,586
428,1000288,10805,804
429,1000290,6467,466
430,1000290,16039,38
431,1000290,16346,345
432,1000291,10601,600
