,PRICE,TIME,ID
0,995238,39091,91
1,995237,39530,530
2,995236,22192,192
3,995236,26936,936
4,995235,38149,149
5,995235,39604,604
6,995233,26898,898
7,995233,29934,934
8,995232,26203,203
9,995231,34784,784
10,995231,35458,458
11,995231,36339,339
12,995230,35640,640
13,995229,32736,736
14,995229,38927,927
15,995228,34221,221
16,995227,31452,452
17,995226,33293,293
18,995226,36660,660
19,995226,38388,388
20,995226,38864,864
21,995225,26998,998
22,995225,33441,441
23,995222,34353,353
24,995222,39341,341
25,995221,37966,966
26,995221,38879,879
27,995220,32664,664
28,995219,34911,911
29,995219,36376,376
30,995218,38803,803
31,995218,39516,516
32,995218,39892,892
33,995217,34412,412
34,995216,38372,372
35,995216,39947,947
36,995214,25667,667
37,995214,36031,31
38,995213,39075,75
39,995212,28963,963
40,995211,37643,643
41,995208,27878,878
42,995207,28421,421
43,995207,30421,421
44,995206,29627,627
45,995206,36951,951
46,995205,38648,648
47,995204,23134,134
48,995203,39910,910
49,995201,35452,452
50,995200,31561,561
51,995199,29791,791
52,995199,31372,372
53,995199,33861,861
54,995199,36862,862
55,995199,37582,582
56,995196,27761,761
57,995196,31715,715
58,995196,34857,857
59,995196,35376,376
60,995195,28313,313
61,995194,35315,315
62,995192,36011,11
63,995192,37333,333
64,995190,28268,268
65,995190,34846,846
66,995190,35769,769
67,995189,26889,889
68,995188,37580,580
69,995188,37801,801
70,995186,25089,89
71,995186,26557,557
72,995185,35963,963
73,995185,37269,269
74,995184,39477,477
75,995182,39051,51
76,995182,39474,474
77,995180,34269,269
78,995179,37151,151
79,995178,32050,50
80,995178,39473,473
81,995177,35310,310
82,995175,33524,524
83,995174,36351,351
84,995172,27103,103
85,995172,29289,289
86,995172,38201,201
87,995170,32388,388
88,995169,31096,96
89,995169,36974,974
90,995167,36092,92
91,995165,37397,397
92,995164,29806,806
93,995163,28889,889
94,995163,37726,726
95,995162,32449,449
96,995161,39377,377
97,995160,24185,185
98,995160,28096,96
99,995160,33050,50
100,995160,39446,446
101,995156,34711,711
102,995156,39937,937
103,995155,34715,715
104,995155,37813,813
105,995155,38095,95
106,995154,26402,402
107,995154,34154,154
108,995154,36901,901
109,995154,37341,341
110,995153,24294,294
111,995153,33787,787
112,995153,39187,187
113,995152,37640,640
114,995151,29048,48
115,995150,22042,42
116,995149,36414,414
117,995149,36564,564
118,995148,34760,760
119,995148,35813,813
120,995148,39811,811
121,995147,35865,865
122,995146,30339,339
123,995145,33376,376
124,995145,37741,741
125,995145,38950,950
126,995144,25148,148
127,995144,30916,916
128,995144,32554,554
129,995142,31543,543
130,995139,36331,331
131,995137,36925,925
132,995135,34452,452
133,995134,29208,208
134,995134,38304,304
135,995133,26827,827
136,995132,25067,67
137,995132,37574,574
138,995131,26071,71
139,995130,39940,940
140,995129,37724,724
141,995128,26844,844
142,995128,28822,822
143,995128,29787,787
144,995127,32441,441
145,995123,33686,686
146,995122,25034,34
147,995121,26067,67
148,995121,35756,756
149,995121,36813,813
150,995120,27413,413
151,995120,36939,939
152,995119,29211,211
153,995119,35298,298
154,995118,28663,663
155,995118,37195,195
156,995118,38783,783
157,995117,38496,496
158,995115,31558,558
159,995115,39755,755
160,995114,25230,230
161,995114,35237,237
162,995114,39499,499
163,995110,39251,251
164,995109,38446,446
165,995108,22534,534
166,995108,26021,21
167,995108,28369,369
168,995108,30500,500
169,995107,31274,274
170,995107,33387,387
171,995107,34887,887
172,995106,35832,832
173,995105,38768,768
174,995104,22253,253
175,995102,35446,446
176,995101,29265,265
177,995101,36686,686
178,995100,36692,692
179,995099,28989,989
180,995099,35269,269
181,995098,38058,58
182,995097,22816,816
183,995097,28462,462
184,995096,31836,836
185,995095,32974,974
186,995093,27411,411
187,995092,23183,183
188,995092,31070,70
189,995092,35937,937
190,995091,38756,756
191,995091,38831,831
192,995089,34351,351
193,995089,35181,181
194,995089,35809,809
195,995088,21097,97
196,995088,34744,744
197,995087,38033,33
198,995086,25040,40
199,995086,30722,722
200,995085,31708,708
201,995085,34096,96
202,995085,39015,15
203,995084,36018,18
204,995083,25810,810
205,995083,29599,599
206,995083,35388,388
207,995083,39330,330
208,995083,39448,448
209,995082,32983,983
210,995082,33069,69
211,995081,31223,223
212,995080,32871,871
213,995080,37154,154
214,995079,37078,78
215,995082,39999,-1
216,995076,34695,695
217,995075,29941,941
218,995075,35304,304
219,995075,37476,476
220,995075,39142,142
221,995074,37542,542
222,995073,29494,494
223,995073,34555,555
