,PRICE
0,1000000
1,1000000
2,1000820
3,1000820
4,1000820
5,1001367
6,1001537
7,1002183
8,1002183
9,1002183
10,1002454
11,1002590
12,1002590
13,1002658
14,1002658
15,1002658
16,1002692
17,1002692
18,1002692
19,1002709
20,1002709
21,1002717
22,1002721
23,1002723
24,1002724
25,1002724
26,1002725
27,1002725
28,1002725
29,1002725
30,1002725
31,1002725
32,1002725
33,1002725
34,1002725
35,1002725
36,1002725
37,1002725
38,1002725
39,1002725
40,1002725
41,1002725
42,1002725
43,1002725
44,1002725
45,1002725
46,1002725
47,1002725
48,1002725
49,1002725
50,1002725
51,1002725
52,1002725
53,1002726
54,1002973
55,1003346
56,1003346
57,1003491
58,1003491
59,1003491
60,1003491
61,1003491
62,1003491
63,1003491
64,1003327
65,1003327
66,1003637
67,1003800
68,1003800
69,1003938
70,1003938
71,1003986
72,1003986
73,1004022
74,1004022
75,1004022
76,1004022
77,1004168
78,1004168
79,1004168
80,1004168
81,1004168
82,1004168
83,1004168
84,1004273
85,1004273
86,1004282
87,1004282
88,1004350
89,1004350
90,1004350
91,1004355
92,1004355
93,1004355
94,1004355
95,1004355
96,1004355
97,1004355
98,1004355
99,1004452
100,1004564
101,1004564
102,1004151
103,1004151
104,1004151
105,1004151
106,1004548
107,1004548
108,1004589
109,1004641
110,1004641
111,1004641
112,1004641
113,1003664
114,1003664
115,1004629
116,1004658
117,1004672
118,1004679
119,1004683
120,1004683
121,1004685
122,1004685
123,1004685
124,1004686
125,1004686
126,1004686
127,1004686
128,1004686
129,1004686
130,1004686
131,1004686
132,1004686
133,1004686
134,1004686
135,1004686
136,1004686
137,1004686
138,1004686
139,1004686
140,1004686
141,1004686
142,1004686
143,1004686
144,1004686
145,1004686
146,1004686
147,1004686
148,1003686
149,1003686
150,1003686
151,1004636
152,1003638
153,1003638
154,1003638
155,1004687
156,1004687
157,1004707
158,1004707
159,1004731
160,1004778
161,1004778
162,1004778
163,1004778
164,1004778
165,1004828
166,1004828
167,1004828
168,1004949
169,1004949
170,1004996
171,1005002
172,1005007
173,1005046
174,1005046
175,1005046
176,1005046
177,1005077
178,1005077
179,1005085
180,1005089
181,1005089
182,1005089
183,1005089
184,1005089
185,1005089
186,1005091
187,1005091
188,1005092
189,1005093
190,1005093
191,1005093
192,1005093
193,1005093
194,1005093
195,1005093
196,1005093
197,1004093
198,1005076
199,1005076
200,1005076
201,1005085
202,1005085
203,1004089
204,1004089
205,1005074
206,1005084
207,1005084
208,1005084
209,1005089
210,1005089
211,1005089
212,1004915
213,1005031
214,1005031
215,1005031
216,1005031
217,1005031
218,1005031
219,1005077
220,1005085
221,1005085
222,1005089
223,1005091
224,1005092
225,1005092
226,1005093
227,1005093
228,1005093
229,1005093
230,1005093
231,1005093
232,1005093
233,1005093
234,1005093
235,1004093
236,1005076
237,1005085
238,1005085
239,1005085
240,1005085
241,1005085
242,1005085
243,1005089
244,1005091
245,1005092
246,1005093
247,1005093
248,1005093
249,1005093
250,1005093
251,1005093
252,1005093
253,1005093
254,1005093
255,1005093
256,1005093
257,1005093
258,1005093
259,1005093
260,1005093
261,1005093
262,1005093
263,1005093
264,1005093
265,1005093
266,1005093
267,1005093
268,1005093
269,1005093
270,1005093
271,1005093
272,1005093
273,1005093
274,1005093
275,1005093
276,1005093
277,1005093
278,1005093
279,1005093
280,1005093
281,1005093
282,1005093
283,1005093
284,1005093
285,1005093
286,1005093
287,1005093
288,1005093
289,1005093
290,1005093
291,1005093
292,1005093
293,1005093
294,1005093
295,1005093
296,1005094
297,1005107
298,1004897
299,1004897
300,1005114
301,1005160
302,1005185
303,1005224
304,1005224
305,1005224
306,1005224
307,1005244
308,1005254
309,1005254
310,1005259
311,1005259
312,1005259
313,1005261
314,1005261
315,1005262
316,1005263
317,1005263
318,1005263
319,1005263
320,1005264
321,1005264
322,1005264
323,1005311
324,1005311
325,1005340
326,1005493
327,1005493
328,1005554
329,1005554
330,1005554
331,1005854
332,1005854
333,1005854
334,1005854
335,1005854
336,1005854
337,1005854
338,1005917
339,1005917
340,1006025
341,1006078
342,1006078
343,1006105
344,1006118
345,1006125
346,1006128
347,1006130
348,1006131
349,1006131
350,1006131
351,1006131
352,1006131
353,1006131
354,1006131
355,1006131
356,1006131
357,1006131
358,1005131
359,1005131
360,1006117
361,1006117
362,1006124
363,1006128
364,1006130
365,1006130
366,1005338
367,1005338
368,1005338
369,1005338
370,1006079
371,1006117
372,1006124
373,1006124
374,1006128
375,1006128
376,1006130
377,1006130
378,1006131
379,1006131
380,1006131
381,1006131
382,1006131
383,1006131
384,1006131
385,1006131
386,1006131
387,1006131
388,1006131
389,1006131
390,1006131
391,1006131
392,1006131
393,1006131
394,1006131
395,1006131
396,1006131
397,1006131
398,1006131
399,1006131
400,1006131
401,1006131
402,1006131
403,1006131
404,1006131
405,1006132
406,1006230
407,1006248
408,1006248
409,1006248
410,1006248
411,1006263
412,1006263
413,1006272
414,1006272
415,1006272
416,1006272
417,1006276
418,1006278
419,1006278
420,1006279
421,1006279
422,1006280
423,1006280
424,1006280
425,1006280
426,1006280
427,1006280
428,1005550
429,1005550
430,1005550
431,1006220
432,1006272
433,1006272
434,1006276
435,1006278
436,1006279
437,1006280
438,1005280
439,1006272
440,1006276
441,1006278
442,1006278
443,1006279
444,1006280
445,1006280
446,1006280
447,1006280
448,1006280
449,1006280
450,1006280
451,1006280
452,1006280
453,1006280
454,1006280
455,1005280
456,1005272
457,1006268
458,1006274
459,1006277
460,1006277
461,1006277
462,1006279
463,1006279
464,1006279
465,1005280
466,1005280
467,1006272
468,1006272
469,1006272
470,1006272
471,1006276
472,1006276
473,1006278
474,1006279
475,1006279
476,1006279
477,1006280
478,1006280
479,1006280
480,1006280
481,1006280
482,1006280
483,1006280
484,1006280
485,1006280
486,1006280
487,1006280
488,1006280
489,1006280
490,1006280
491,1006280
492,1006280
493,1006280
494,1006280
495,1006280
496,1006280
497,1006280
498,1006280
499,1006280
500,1006280
501,1006280
502,1006280
503,1006280
504,1006280
505,1006092
506,1006225
507,1006272
508,1006272
509,1006272
510,1006276
511,1005278
512,1005278
513,1005278
514,1006271
515,1006276
516,1006276
517,1006276
518,1006278
519,1006279
520,1006280
521,1006280
522,1006280
523,1006280
524,1006280
525,1006280
526,1006280
527,1006280
528,1006280
529,1006280
530,1006280
531,1006280
532,1006280
533,1006280
534,1006280
535,1006280
536,1006280
537,1006280
538,1006280
539,1006280
540,1006280
541,1006280
542,1006280
543,1006280
544,1006280
545,1006280
546,1006280
547,1006280
548,1006280
549,1006280
550,1006280
551,1006281
552,1006281
553,1006281
554,1006281
555,1006281
556,1006281
557,1006303
558,1006364
559,1006394
560,1006394
561,1006394
562,1006409
563,1006409
564,1006417
565,1006421
566,1006421
567,1006423
568,1006424
569,1006424
570,1006424
571,1006424
572,1006424
573,1006424
574,1006424
575,1006424
576,1006424
577,1006424
578,1006424
579,1005574
580,1005574
581,1005574
582,1005574
583,1005574
584,1005574
585,1005574
586,1006301
587,1006301
588,1006301
589,1006364
590,1006364
591,1006394
592,1006394
593,1006409
594,1006409
595,1006409
596,1006417
597,1005421
598,1006362
599,1006362
600,1006362
601,1006362
602,1006362
603,1006362
604,1006257
605,1006257
606,1005304
607,1005304
608,1006298
609,1006361
610,1006393
611,1006409
612,1006409
613,1006409
614,1006409
615,1006417
616,1006417
617,1006127
618,1006127
619,1006127
620,1006274
621,1006349
622,1006387
623,1006387
624,1006406
625,1006406
626,1006406
627,1006406
628,1006406
629,1006415
630,1006415
631,1006415
632,1006420
633,1006420
634,1006420
635,1006422
636,1006422
637,1006423
638,1006423
639,1006424
640,1006424
641,1006424
642,1006424
643,1006424
644,1006424
645,1006424
646,1006424
647,1006424
648,1006424
649,1006424
650,1006424
651,1006424
652,1006424
653,1006424
654,1006424
655,1006424
656,1006424
657,1006424
658,1006424
659,1006424
660,1005424
661,1006344
662,1006344
663,1006344
664,1006344
665,1005759
666,1006137
667,1006137
668,1006344
669,1006344
670,1006344
671,1005776
672,1005776
673,1005776
674,1006241
675,1006344
676,1006384
677,1006404
678,1006404
679,1006414
680,1006414
681,1006414
682,1006419
683,1006422
684,1006422
685,1006422
686,1006423
687,1006424
688,1006424
689,1006424
690,1006424
691,1006424
692,1005424
693,1005424
694,1005424
695,1006344
696,1006344
697,1006384
698,1006384
699,1006384
700,1006425
701,1006426
702,1006426
703,1006426
704,1006444
705,1006502
706,1006516
707,1006516
708,1006560
709,1006560
710,1006560
711,1006569
712,1006721
713,1006736
714,1006786
715,1006789
716,1006798
717,1006798
718,1006798
719,1006824
720,1006850
721,1006943
722,1006971
723,1006973
724,1007001
725,1007014
726,1007014
727,1007014
728,1007021
729,1007021
730,1007021
731,1007021
732,1007024
733,1007026
734,1007027
735,1007027
736,1007027
737,1007027
738,1007027
739,1007027
740,1007027
741,1005978
742,1005978
743,1005978
744,1005978
745,1006972
746,1007028
747,1007028
748,1007059
749,1007059
750,1007059
751,1007059
752,1007064
753,1007095
754,1007095
755,1007142
756,1007142
757,1007152
758,1007189
759,1007227
760,1007227
761,1007227
762,1007227
763,1007227
764,1007227
765,1007227
766,1007227
767,1007227
768,1007253
769,1007289
770,1007289
771,1007307
772,1007307
773,1007307
774,1007307
775,1007318
776,1007343
777,1007356
778,1007378
779,1007378
780,1007378
781,1007378
782,1007378
783,1007404
784,1007404
785,1007404
786,1007404
787,1007419
788,1007419
789,1007419
790,1007346
791,1007346
792,1007433
793,1007433
794,1007466
795,1007495
796,1007495
797,1007495
798,1007495
799,1007495
800,1007539
801,1007571
802,1007652
803,1007676
804,1007703
805,1006708
806,1006700
807,1006700
808,1007696
809,1007696
810,1007705
811,1007709
812,1007711
813,1007712
814,1007713
815,1007713
816,1007713
817,1007713
818,1007713
819,1007713
820,1007713
821,1007713
822,1007713
823,1007713
824,1007713
825,1007713
826,1007713
827,1007713
828,1007713
829,1007713
830,1007713
831,1007713
832,1007713
833,1007713
834,1007713
835,1007713
836,1007713
837,1007713
838,1007713
839,1007713
840,1007713
841,1007713
842,1007713
843,1007713
844,1007713
845,1007713
846,1007713
847,1007713
848,1007713
849,1007713
850,1007713
851,1007713
852,1007713
853,1007713
854,1007713
855,1007713
856,1007713
857,1007713
858,1007713
859,1007713
860,1007713
861,1007713
862,1007714
863,1007724
864,1007724
865,1007724
866,1007724
867,1007724
868,1007724
869,1007726
870,1007726
871,1007726
872,1007726
873,1007726
874,1007726
875,1007740
876,1007796
877,1007796
878,1007809
879,1007812
880,1007844
881,1007906
882,1007906
883,1007910
884,1007910
885,1007910
886,1007921
887,1007921
888,1007929
889,1007929
890,1007953
891,1007971
892,1007994
893,1008011
894,1008025
895,1008025
896,1008025
897,1007246
898,1008029
899,1008029
900,1008031
901,1008044
902,1008044
903,1008044
904,1008044
905,1008049
906,1008049
907,1008049
908,1008049
909,1008049
910,1007156
911,1007156
912,1007625
913,1007873
914,1006963
915,1006827
916,1007759
917,1007759
918,1007906
919,1007906
920,1007906
921,1007906
922,1007906
923,1007906
924,1007906
925,1007980
926,1008017
927,1008017
928,1008017
929,1008017
930,1008035
931,1008044
932,1008044
933,1008049
934,1008051
935,1008052
936,1008053
937,1008053
938,1008053
939,1008053
940,1008053
941,1008053
942,1008053
943,1008053
944,1008053
945,1008053
946,1008053
947,1008053
948,1008053
949,1008053
950,1008053
951,1008053
952,1008053
953,1008053
954,1008053
955,1008053
956,1008053
957,1008053
958,1008053
959,1008053
960,1008053
961,1008053
962,1007053
963,1007872
964,1007872
965,1007872
966,1007963
967,1008008
968,1008008
969,1008008
970,1008031
971,1008042
972,1008048
973,1008048
974,1007249
975,1007671
976,1007671
977,1007873
978,1007873
979,1007963
980,1007963
981,1008008
982,1008031
983,1008042
984,1008042
985,1008042
986,1008042
987,1008048
988,1008048
989,1008051
990,1008051
991,1008051
992,1007052
993,1007052
994,1007052
995,1008054
996,1008061
997,1008061
998,1008066
999,1008145
1000,1008145
1001,1007913
1002,1007764
1003,1007764
1004,1007764
1005,1008149
1006,1008149
1007,1008149
1008,1008166
1009,1008166
1010,1008168
1011,1008201
1012,1008201
1013,1008218
1014,1008218
1015,1008226
1016,1008226
1017,1008226
1018,1008230
1019,1008230
1020,1008232
1021,1008233
1022,1008234
1023,1008234
1024,1008234
1025,1008234
1026,1008234
1027,1008234
1028,1008234
1029,1008234
1030,1008234
1031,1008234
1032,1008234
1033,1008234
1034,1008234
1035,1008234
1036,1008234
1037,1007234
1038,1007234
1039,1007963
1040,1008099
1041,1008167
1042,1008167
1043,1008167
1044,1008167
1045,1008167
1046,1008167
1047,1008167
1048,1008201
1049,1008218
1050,1008218
1051,1008218
1052,1008226
1053,1008226
1054,1008230
1055,1008232
1056,1008233
1057,1008233
1058,1008233
1059,1008235
1060,1008262
1061,1008262
1062,1008262
1063,1008349
1064,1008349
1065,1008366
1066,1008366
1067,1008442
1068,1008442
1069,1008442
1070,1008442
1071,1008442
1072,1008442
1073,1008442
1074,1008467
1075,1008511
1076,1008511
1077,1008525
1078,1008545
1079,1008545
1080,1008548
1081,1008558
1082,1008558
1083,1008558
1084,1008558
1085,1008558
1086,1008558
1087,1008558
1088,1008558
1089,1008558
1090,1008563
1091,1008563
1092,1008572
1093,1008577
1094,1008598
1095,1008605
1096,1008605
1097,1008605
1098,1008605
1099,1008605
1100,1008625
1101,1008198
1102,1008198
1103,1008671
1104,1008671
1105,1008671
1106,1008671
1107,1008671
1108,1008674
1109,1008675
1110,1008691
1111,1008691
1112,1008699
1113,1007703
1114,1008197
1115,1008452
1116,1008580
1117,1008644
1118,1008676
1119,1008692
1120,1008700
1121,1008704
1122,1008706
1123,1008707
1124,1008707
1125,1008707
1126,1008707
1127,1008707
1128,1008707
1129,1007707
1130,1008199
1131,1008199
1132,1008453
1133,1008580
1134,1008644
1135,1008644
1136,1008644
1137,1008644
1138,1008676
1139,1008676
1140,1008676
1141,1008676
1142,1008676
1143,1008676
1144,1008676
1145,1008676
1146,1008708
1147,1008762
1148,1008762
1149,1008777
1150,1008808
1151,1008835
1152,1008835
1153,1008365
1154,1008365
1155,1008841
1156,1008843
1157,1008856
1158,1008856
1159,1008865
1160,1008865
1161,1008877
1162,1008883
1163,1008883
1164,1008883
1165,1008883
1166,1008883
1167,1008883
1168,1008886
1169,1008886
1170,1008887
1171,1008887
1172,1008887
1173,1008887
1174,1008322
1175,1008322
1176,1008322
1177,1008003
1178,1008197
1179,1008543
1180,1008543
1181,1008543
1182,1008543
1183,1008716
1184,1008802
1185,1008845
1186,1008867
1187,1008878
1188,1008878
1189,1008883
1190,1008883
1191,1008886
1192,1008886
1193,1008887
1194,1008888
1195,1008888
1196,1008888
1197,1007888
1198,1008290
1199,1008290
1200,1008589
1201,1008739
1202,1008739
1203,1008739
1204,1008814
1205,1008814
1206,1008851
1207,1008870
1208,1008870
1209,1008870
1210,1008870
1211,1008870
1212,1008870
1213,1007276
1214,1007884
1215,1007884
1216,1007884
1217,1007884
1218,1007884
1219,1007884
1220,1007980
1221,1007980
1222,1008028
1223,1007052
1224,1007916
1225,1007996
1226,1008036
1227,1008036
1228,1007056
1229,1007918
1230,1007918
1231,1007997
1232,1007997
1233,1007997
1234,1008036
1235,1008036
1236,1008056
1237,1008066
1238,1008071
1239,1008071
1240,1008071
1241,1008073
1242,1008073
1243,1008074
1244,1008075
1245,1008075
1246,1008075
1247,1008075
1248,1008075
1249,1008075
1250,1008075
1251,1008075
1252,1008075
1253,1008075
1254,1008075
1255,1008075
1256,1008075
1257,1008075
1258,1008075
1259,1008075
1260,1008075
1261,1008075
1262,1008075
1263,1008075
1264,1008075
1265,1008075
1266,1008075
1267,1007075
1268,1007075
1269,1007928
1270,1008002
1271,1008002
1272,1008002
1273,1008039
1274,1008039
1275,1008057
1276,1008066
1277,1008071
1278,1008073
1279,1008073
1280,1008073
1281,1008073
1282,1008073
1283,1008074
1284,1008074
1285,1008074
1286,1008074
1287,1008076
1288,1008076
1289,1008076
1290,1008708
1291,1008820
1292,1008820
1293,1008820
1294,1008820
1295,1008854
1296,1008871
1297,1008871
1298,1008871
1299,1008871
1300,1008871
1301,1008880
1302,1008880
1303,1008884
1304,1008886
1305,1008886
1306,1008887
1307,1008888
1308,1008888
1309,1008888
1310,1008888
1311,1008888
1312,1008888
1313,1008888
1314,1008888
1315,1008888
1316,1008888
1317,1008888
1318,1008888
1319,1008888
1320,1008888
1321,1008888
1322,1008888
1323,1008888
1324,1008888
1325,1008888
1326,1008888
1327,1007888
1328,1007888
1329,1007888
1330,1007888
1331,1007888
1332,1008819
1333,1008819
1334,1008854
1335,1008854
1336,1008854
1337,1008871
1338,1008871
1339,1008871
1340,1008871
1341,1008871
1342,1007891
1343,1007891
1344,1007891
1345,1008697
1346,1008697
1347,1008697
1348,1008697
1349,1007820
1350,1007785
1351,1008768
1352,1008828
1353,1008858
1354,1008858
1355,1008858
1356,1008873
1357,1008881
1358,1008881
1359,1008571
1360,1008571
1361,1008571
1362,1008748
1363,1008748
1364,1008820
1365,1008854
1366,1008854
1367,1008854
1368,1008854
1369,1008871
1370,1008880
1371,1008884
1372,1008884
1373,1008884
1374,1008886
1375,1008887
1376,1008888
1377,1008888
1378,1008888
1379,1008888
1380,1008888
1381,1008888
1382,1008888
1383,1008888
1384,1008888
1385,1008392
1386,1008661
1387,1008820
1388,1008820
1389,1008820
1390,1008820
1391,1008854
1392,1008854
1393,1008854
1394,1008854
1395,1008854
1396,1008854
1397,1008889
1398,1008900
1399,1008900
1400,1008900
1401,1008919
1402,1008919
1403,1008940
1404,1008940
1405,1008264
1406,1008264
1407,1008947
1408,1008953
1409,1008953
1410,1008958
1411,1008960
1412,1008963
1413,1008963
1414,1008965
1415,1008966
1416,1008966
1417,1008966
1418,1008966
1419,1008966
1420,1008966
1421,1008966
1422,1008966
1423,1008966
1424,1008726
1425,1008756
1426,1008756
1427,1007861
1428,1007861
1429,1007861
1430,1007806
1431,1008778
1432,1008872
1433,1008872
1434,1008919
1435,1008919
1436,1008943
1437,1008943
1438,1007955
1439,1008853
1440,1008853
1441,1008910
1442,1008910
1443,1008938
1444,1008952
1445,1008959
1446,1008963
1447,1008965
1448,1008965
1449,1008965
1450,1008965
1451,1008966
1452,1008966
1453,1008966
1454,1008966
1455,1007966
1456,1007858
1457,1007858
1458,1007858
1459,1008804
1460,1008885
1461,1008885
1462,1008885
1463,1008885
1464,1008885
1465,1008885
1466,1008885
1467,1008885
1468,1008926
1469,1008926
1470,1008946
1471,1008946
1472,1008956
1473,1008956
1474,1008956
1475,1008956
1476,1008961
1477,1008964
1478,1008965
1479,1008965
1480,1008965
1481,1008965
1482,1008965
1483,1008966
1484,1008966
1485,1008966
1486,1008966
1487,1008966
1488,1008966
1489,1008966
1490,1008966
1491,1008966
1492,1008966
1493,1008966
1494,1008966
1495,1008966
1496,1008966
1497,1008966
1498,1008966
1499,1008966
1500,1008966
1501,1008966
1502,1008966
1503,1008966
1504,1008966
1505,1008966
1506,1008966
1507,1008966
1508,1008966
1509,1008966
1510,1008966
1511,1008966
1512,1008966
1513,1008967
1514,1008374
1515,1008374
1516,1008969
1517,1008969
1518,1008969
1519,1008971
1520,1008971
1521,1008971
1522,1008971
1523,1008971
1524,1008971
1525,1008971
1526,1008973
1527,1008973
1528,1008973
1529,1008973
