,PRICE,TIME,ID
0,995927,39995,995
1,995953,39973,973
2,996082,39999,-1
3,996078,39870,870
4,996164,39965,965
5,996214,39820,820
6,996296,39993,993
7,996431,39842,842
8,996464,39623,623
9,996473,39628,628
10,996478,39985,985
11,996499,39672,672
12,996501,39943,943
13,996516,39750,750
14,996537,39747,747
15,996549,39504,504
16,996554,39538,538
17,996586,39163,163
18,996593,37886,886
19,996596,39390,390
20,996597,38747,747
21,996614,38335,335
22,996616,39000,0
23,996617,38669,669
24,996628,37939,939
25,996655,39461,461
26,996663,39359,359
27,996663,39806,806
28,996670,39109,109
29,996676,39396,396
30,996691,38399,399
31,996701,37548,548
32,996703,38662,662
33,996705,39152,152
34,996712,38384,384
35,996717,37718,718
36,996717,38374,374
37,996721,39801,801
38,996726,39746,746
39,996731,39216,216
40,996744,39662,662
41,996750,38995,995
42,996754,39802,802
43,996756,37393,393
44,996770,38695,695
45,996781,38188,188
46,996790,39173,173
47,996792,39720,720
48,996806,39282,282
49,996821,37713,713
50,996824,37415,415
51,996824,38523,523
52,996829,37874,874
53,996832,37896,896
54,996842,37974,974
55,996844,39170,170
56,996847,37437,437
57,996858,39028,28
58,996877,38396,396
59,996881,38358,358
60,996883,38334,334
61,996887,39384,384
62,996900,39222,222
63,996906,38000,0
64,996917,39582,582
65,996917,39939,939
66,996918,37981,981
67,996924,38770,770
68,996948,38510,510
69,996948,38562,562
70,996959,39386,386
71,996963,37737,737
72,996973,37864,864
73,996977,37815,815
74,997000,39223,223
75,997004,38001,1
76,997032,38479,479
77,997034,39691,691
78,997035,37691,691
79,997063,38387,387
80,997084,38310,310
81,997102,38063,63
82,997103,39779,779
83,997109,39754,754
84,997135,39036,36
85,997140,38172,172
86,997148,39349,349
87,997161,36731,731
88,997169,38380,380
89,997170,39658,658
90,997177,36142,142
91,997177,36426,426
92,997183,37901,901
93,997193,39403,403
94,997204,36126,126
95,997219,39318,318
96,997229,38766,766
97,997230,34888,888
98,997230,35171,171
99,997240,36605,605
100,997241,36492,492
101,997245,38508,508
102,997270,39335,335
103,997274,36283,283
104,997281,39513,513
105,997290,36958,958
106,997297,37398,398
107,997298,36746,746
108,997308,36522,522
109,997310,34965,965
110,997313,35387,387
111,997324,39464,464
112,997330,38503,503
113,997338,35264,264
114,997343,39367,367
115,997347,37832,832
116,997363,39338,338
117,997367,35522,522
118,997367,36729,729
119,997371,35162,162
120,997376,35772,772
121,997378,35503,503
122,997379,38171,171
123,997384,38421,421
124,997391,35378,378
125,997393,38107,107
126,997404,37111,111
127,997410,39167,167
128,997410,39885,885
129,997412,35109,109
130,997412,36596,596
131,997414,37729,729
132,997415,36730,730
133,997420,39725,725
134,997427,34466,466
135,997433,34391,391
136,997437,36267,267
137,997446,38991,991
138,997448,36402,402
139,997449,36762,762
140,997450,37858,858
141,997453,36170,170
142,997454,39130,130
143,997464,39382,382
144,997465,35737,737
145,997465,36403,403
146,997472,37489,489
147,997479,37059,59
148,997497,35501,501
149,997497,36666,666
