,PRICE,TIME,ID
0,1000075,20000,999
1,999960,19991,990
2,999852,19982,981
3,999715,19973,972
4,999702,19981,980
5,999697,7991,990
6,999697,9772,771
7,999697,10120,119
8,999697,17539,538
9,999696,1163,162
10,999696,11203,202
11,999696,11224,223
12,999696,16431,430
13,999696,17445,444
14,999696,18022,21
15,999696,19304,303
16,999696,19777,776
17,999695,6179,178
18,999695,10752,751
19,999695,10817,816
20,999695,11153,152
21,999695,16391,390
22,999695,17516,515
23,999694,2365,364
24,999694,4558,557
25,999694,5403,402
26,999694,10091,90
27,999694,16550,549
28,999693,850,849
29,999693,9865,864
30,999693,16967,966
31,999693,18299,298
32,999692,7436,435
33,999692,10034,33
34,999692,14513,512
35,999691,4497,496
36,999691,7677,676
37,999691,12937,936
38,999691,17479,478
39,999691,17650,649
40,999691,18504,503
41,999691,19465,464
42,999690,476,475
43,999690,3205,204
44,999690,5712,711
45,999690,7517,516
46,999690,10256,255
47,999690,13189,188
48,999690,17955,954
49,999690,19621,620
50,999689,1674,673
51,999689,11499,498
52,999688,137,136
53,999688,8371,370
54,999688,10190,189
55,999688,11468,467
56,999688,12048,47
57,999688,14040,39
58,999688,16508,507
59,999688,16912,911
60,999688,18442,441
61,999688,19787,786
62,999687,1602,601
63,999687,9031,30
64,999687,13260,259
65,999687,15390,389
66,999687,16211,210
67,999687,16699,698
68,999686,3890,889
69,999686,15202,201
70,999686,15449,448
71,999685,680,679
72,999685,2674,673
73,999685,4325,324
74,999685,7232,231
75,999685,13994,993
76,999684,376,375
77,999684,734,733
78,999684,3950,949
79,999684,6828,827
80,999684,12171,170
81,999684,17410,409
82,999683,2069,68
83,999683,7995,994
84,999683,12456,455
85,999683,14558,557
86,999683,16365,364
87,999683,19619,618
88,999682,5721,720
89,999682,8072,71
90,999682,9711,710
91,999682,12680,679
92,999681,6656,655
93,999681,7183,182
94,999681,7401,400
95,999681,9683,682
96,999681,14939,938
97,999681,18898,897
98,999680,6810,809
99,999680,14870,869
100,999680,17412,411
101,999679,9183,182
102,999679,13094,93
103,999679,14637,636
104,999679,14716,715
105,999679,16350,349
106,999679,19400,399
107,999678,879,878
108,999678,14459,458
109,999678,17640,639
110,999677,4700,699
111,999677,5815,814
112,999677,9979,978
113,999677,13239,238
114,999677,15864,863
115,999677,18673,672
116,999677,19721,720
117,999677,19873,872
118,999676,2314,313
119,999676,6826,825
120,999676,7212,211
121,999676,8124,123
122,999676,10728,727
123,999675,6064,63
124,999675,9757,756
125,999675,17497,496
126,999675,18179,178
127,999675,18962,961
128,999675,19821,820
129,999674,4126,125
130,999674,6582,581
131,999674,15485,484
132,999674,18275,274
133,999673,7526,525
134,999673,13115,114
135,999673,13537,536
136,999673,14707,706
137,999673,14805,804
138,999673,19190,189
139,999672,5407,406
140,999672,6011,10
141,999672,7236,235
142,999672,10657,656
143,999672,12009,8
144,999672,19961,960
145,999671,2121,120
146,999671,4446,445
147,999671,6246,245
148,999671,6269,268
149,999671,6781,780
150,999671,12044,43
151,999671,13168,167
152,999671,13198,197
153,999670,4476,475
154,999670,4961,960
155,999670,7269,268
156,999670,8633,632
157,999670,9090,89
158,999670,12818,817
159,999670,16223,222
160,999669,5456,455
161,999669,11198,197
162,999669,12798,797
163,999669,14582,581
164,999669,17358,357
165,999668,7586,585
166,999668,15414,413
167,999668,16201,200
168,999668,17212,211
169,999667,18231,230
170,999666,1386,385
171,999666,1896,895
172,999666,5688,687
173,999666,10099,98
174,999665,6538,537
175,999665,8833,832
176,999665,9461,460
177,999665,10585,584
178,999665,18354,353
179,999664,1969,968
180,999664,3404,403
181,999664,5666,665
182,999664,7721,720
183,999664,11265,264
184,999664,11530,529
185,999664,14147,146
186,999664,14461,460
187,999664,14568,567
188,999664,17096,95
189,999663,12038,37
190,999663,14922,921
191,999663,16673,672
192,999662,1927,926
193,999662,7365,364
194,999662,8056,55
195,999662,10998,997
196,999662,13203,202
197,999662,19186,185
198,999662,19863,862
199,999661,8941,940
200,999661,17031,30
201,999661,17602,601
202,999660,128,127
203,999660,159,158
204,999660,267,266
205,999660,8114,113
206,999660,11585,584
207,999660,14016,15
208,999660,15110,109
209,999660,15502,501
210,999660,16311,310
211,999660,16885,884
212,999660,18514,513
213,999660,19934,933
214,999659,74,73
215,999659,4852,851
216,999659,6294,293
217,999659,6443,442
218,999659,8782,781
219,999659,8916,915
