,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,999998,1,999998,-1125,875,999318,1,0
1,999999,2,1000024,2,1,999999,-18284,716
2,999999,4,1000289,4,3,999999,-18077,923
3,999997,5,999997,-19684,316,999724,5,4
4,999999,6,1000511,6,5,999999,-12708,292
5,999999,7,1001152,7,6,999999,-10536,464
6,999999,8,1000658,8,7,999999,-9216,784
7,999997,13,999997,-18296,704,999388,13,12
8,999997,14,999997,-18068,932,999722,14,13
9,999999,18,1000842,18,17,999999,-8708,292
10,999997,20,999997,-16011,989,999569,20,19
11,999997,25,999997,-15202,798,999766,25,24
12,999997,28,999997,-10082,918,999674,28,27
13,999999,31,1000341,31,30,999999,-8001,999
14,999999,36,1000889,36,35,999999,-7455,545
15,999999,37,1000033,37,36,999999,-7452,548
16,999997,38,999997,-9928,72,999705,38,37
17,999997,39,999997,-9785,215,999975,39,38
18,999997,46,999997,-8184,816,999866,46,45
19,999999,49,1001371,49,48,999999,-6951,49
20,999997,50,999997,-7921,79,999856,50,49
21,999999,52,1000090,52,51,999999,-6275,725
22,999997,54,999997,-7365,635,999566,54,53
23,999997,57,999997,-6277,723,999991,57,56
24,999997,58,999997,-6036,964,999306,58,57
25,999997,59,999997,-4950,50,999867,59,58
26,999997,63,999997,-3258,742,999707,63,62
27,999997,64,999997,-2487,513,999795,64,63
28,999997,66,999997,-98,902,999934,66,65
29,999996,67,999996,-19114,886,998122,67,66
30,999996,68,999996,-15198,802,998572,68,67
31,999999,69,1000852,69,68,999999,-4812,188
32,999999,70,1000066,70,69,999999,-2980,20
33,999996,71,999996,-15049,951,999948,71,70
34,1000000,72,1001207,72,71,1000000,-16756,244
35,999996,75,999996,-14894,106,999125,75,74
36,999996,78,999996,-11213,787,999785,78,77
37,1000000,80,1000123,80,79,1000000,-15821,179
38,999996,82,999996,-10787,213,999949,82,81
39,999996,84,999996,-9527,473,999938,84,83
40,1000000,85,1000456,85,84,1000000,-14519,481
41,999996,86,999996,-9028,972,998949,86,85
42,999996,87,999996,-8978,22,998220,87,86
43,999996,88,999996,-8593,407,998623,88,87
44,999996,90,999996,-7075,925,999876,90,89
45,1000000,94,1001090,94,93,1000000,-12832,168
46,1000000,96,1000017,96,95,1000000,-12467,533
47,1000000,100,1001102,100,99,1000000,-11049,951
48,999996,104,999996,-4286,714,999893,104,103
49,999996,115,999996,-2764,236,999453,115,114
50,999996,118,999996,-2177,823,998204,118,117
51,999996,119,999996,-937,63,999626,119,118
52,999995,120,999995,-15111,889,999923,120,119
53,999995,124,999995,-12359,641,999942,124,123
54,999995,127,999995,-12005,995,999972,127,126
55,999995,129,999995,-11139,861,999650,129,128
56,1000000,130,1000308,130,129,1000000,-10980,20
57,999995,131,999995,-11039,961,998684,131,130
58,1000000,134,1000057,134,133,1000000,-10739,261
59,1000000,138,1000480,138,137,1000000,-10636,364
60,1000000,139,1000027,139,138,1000000,-10424,576
61,1000000,142,1000377,142,141,1000000,-8098,902
62,1000000,145,1006618,145,144,1000000,-4505,495
63,1000000,147,1000398,147,146,1000000,-4311,689
64,1000000,151,1000277,151,150,1000000,-3636,364
65,1000000,153,1000114,153,152,1000000,-73,927
66,999995,154,999995,-9424,576,999823,154,153
67,999995,156,999995,-9168,832,999304,156,155
68,1000001,158,1001080,158,157,1000001,-17814,186
69,1000001,161,1000579,161,160,1000001,-16651,349
70,999995,162,999995,-8967,33,999754,162,161
71,999995,165,999995,-8370,630,999118,165,164
72,999995,166,999995,-7230,770,999159,166,165
73,999995,167,999995,-3209,791,999875,167,166
74,999995,168,999995,-3140,860,999584,168,167
75,1000001,169,1000141,169,168,1000001,-15849,151
76,999995,170,999995,-2785,215,999550,170,169
77,999995,172,999995,-2733,267,999756,172,171
78,999995,182,999995,-1364,636,999769,182,181
79,999995,183,999995,-125,875,999640,183,182
80,999994,186,999994,-19261,739,988637,186,185
81,999994,187,999994,-19092,908,999824,187,186
82,999994,188,999994,-19053,947,999993,188,187
83,1000001,191,1000042,191,190,1000001,-15761,239
84,999994,192,999994,-18522,478,999049,192,191
85,999994,194,999994,-17058,942,995278,194,193
86,999994,196,999994,-15455,545,997155,196,195
87,1000001,197,1000035,197,196,1000001,-15540,460
88,1000001,198,1000024,198,197,1000001,-15424,576
89,999994,199,999994,-14522,478,999520,199,198
90,1000001,200,1000360,200,199,1000001,-15406,594
