,PRICE
0,1000000
1,999998
2,999998
3,999999
4,999999
5,999999
6,999997
7,999999
8,999999
9,999999
10,999999
11,999999
12,999999
13,999999
14,999997
15,999997
16,999997
17,999997
18,999997
19,999999
20,999999
21,999997
22,999997
23,999997
24,999997
25,999997
26,999997
27,999997
28,999997
29,999997
30,999997
31,999997
32,999999
33,999999
34,999999
35,999999
36,999999
37,999999
38,999999
39,999997
40,999997
41,999997
42,999997
43,999997
44,999997
45,999997
46,999997
47,999997
48,999997
49,999997
50,999999
51,999997
52,999997
53,999999
54,999999
55,999997
56,999997
57,999997
58,999997
59,999997
60,999997
61,999997
62,999997
63,999997
64,999997
65,999997
66,999997
67,999997
68,999996
69,999996
70,999999
71,999999
72,999996
73,1000000
74,1000000
75,1000000
76,999996
77,999996
78,999996
79,999996
80,999996
81,1000000
82,1000000
83,999996
84,999996
85,999996
86,1000000
87,999996
88,999996
89,999996
90,999996
91,999996
92,999996
93,999996
94,999996
95,1000000
96,1000000
97,1000000
98,1000000
99,1000000
100,1000000
101,1000000
102,1000000
103,1000000
104,1000000
105,999996
106,999996
107,999996
108,999996
109,999996
110,999996
111,999996
112,999996
113,999996
114,999996
115,999996
116,999996
117,999996
118,999996
119,999996
120,999996
121,999995
122,999995
123,999995
124,999995
125,999995
126,999995
127,999995
128,999995
129,999995
130,999995
131,1000000
132,999995
133,999995
134,999995
135,1000000
136,1000000
137,1000000
138,1000000
139,1000000
140,1000000
141,1000000
142,1000000
143,1000000
144,1000000
145,1000000
146,1000000
147,1000000
148,1000000
149,1000000
150,1000000
151,1000000
152,1000000
153,1000000
154,1000000
155,999995
156,999995
157,999995
158,999995
159,1000001
160,1000001
161,1000001
162,1000001
163,999995
164,999995
165,999995
166,999995
167,999995
168,999995
169,999995
170,1000001
171,999995
172,999995
173,999995
174,999995
175,999995
176,999995
177,999995
178,999995
179,999995
180,999995
181,999995
182,999995
183,999995
184,999995
185,999995
186,999995
187,999994
188,999994
189,999994
190,999994
191,999994
192,1000001
193,999994
194,999994
195,999994
196,999994
197,999994
198,1000001
199,1000001
200,999994
201,1000001
202,999994
203,999994
204,999994
205,1000001
206,1000001
207,1000001
208,1000001
209,999994
210,999994
211,999994
212,1000001
213,1000001
214,1000001
215,1000001
216,1000001
217,1000001
218,1000001
219,1000001
220,1000001
221,1000001
222,1000001
223,1000001
224,999994
225,999994
226,999994
227,999994
228,999994
229,999994
230,999994
231,1000001
232,1000001
233,999994
234,999994
235,999994
236,999994
237,999994
238,999994
239,999994
240,999994
241,999994
242,999994
243,999994
244,999994
245,999994
246,999994
247,999993
248,999993
249,999993
250,999993
251,999993
252,999993
253,1000001
254,999993
255,999993
256,999993
257,1000001
258,1000001
259,1000001
260,1000001
261,1000001
262,1000001
263,1000001
264,1000001
265,999993
266,999993
267,999993
268,999993
269,999993
270,999993
271,1000001
272,999993
273,1000001
274,999993
275,1000001
276,999993
277,999993
278,999993
279,999993
280,999993
281,999993
282,1000001
283,1000001
284,1000001
285,1000001
286,1000002
287,1000002
288,1000002
289,999993
290,999993
291,999993
292,1000002
293,1000002
294,1000002
295,1000002
296,1000002
297,1000002
298,1000002
299,1000002
300,1000002
301,1000002
302,1000002
303,1000002
304,1000002
305,1000002
306,999993
307,999993
308,999993
309,999993
310,1000002
311,1000002
312,999993
313,999993
314,1000002
315,1000002
316,1000002
317,1000002
318,1000002
319,1000002
320,999994
321,999994
322,999993
323,999993
324,999993
325,999993
326,999992
327,1000002
328,1000002
329,1000002
330,1000002
331,1000002
332,999992
333,1000002
334,1000002
335,1000002
336,999992
337,999992
338,999992
339,999992
340,1000002
341,1000002
342,999992
343,999992
344,1000002
345,999992
346,999992
347,999992
348,999992
349,1000003
350,1000003
351,1000003
352,1000003
353,1000003
354,1000003
355,1000003
356,1000003
357,1000003
358,1000003
359,999992
360,999992
361,999992
362,1000003
363,1000003
364,1000003
365,999992
366,999992
367,1000003
368,1000003
369,1000003
370,1000003
371,1000003
372,1000003
373,999992
374,999992
375,999992
376,999992
377,999992
378,1000003
379,1000003
380,1000003
381,1000003
382,1000003
383,999992
384,999992
385,1000003
386,1000003
387,1000003
388,1000003
389,1000003
390,1000003
391,1000003
392,999992
393,999992
394,999992
395,999992
396,1000003
397,999992
398,1000004
399,1000004
400,1000004
401,999992
402,999992
403,999992
404,999992
405,999992
406,999992
407,1000004
408,999994
409,999994
410,999994
411,1000004
412,1000004
413,1000004
414,1000004
415,999992
416,999995
417,999995
418,999995
419,999995
420,999992
421,1000004
422,1000004
423,999992
424,999992
425,999992
426,999991
427,999991
428,999991
429,999991
430,999991
431,999991
432,999991
433,999991
434,999991
435,1000004
436,999991
437,999991
438,999991
439,999991
440,999991
441,1000004
442,1000004
443,1000004
444,1000004
445,999991
446,999991
447,999991
448,999991
449,1000004
450,1000004
451,999991
452,999991
453,999991
454,1000002
455,1000004
456,1000004
457,1000004
458,1000004
459,1000004
460,1000004
461,1000004
462,1000004
463,1000004
464,999991
465,999991
466,999991
467,1000004
468,1000004
469,1000004
470,1000004
471,1000004
472,1000004
473,999991
474,999991
475,999991
476,999991
477,999991
478,1000005
479,1000005
480,1000005
481,1000005
482,1000005
483,999991
484,999991
485,999991
486,999991
487,999991
488,999991
489,999991
490,1000003
491,1000005
492,1000005
493,1000005
494,1000005
495,1000005
496,1000005
497,999991
498,1000005
499,999991
500,999991
501,999991
502,999991
503,999990
504,999990
505,999990
506,999990
507,999990
508,999990
509,999990
510,999990
511,999990
512,999990
513,999990
514,999990
515,999990
516,999990
517,1000006
518,1000006
519,1000006
520,1000006
521,1000006
522,1000006
523,1000006
524,1000006
525,1000006
526,1000006
527,1000006
528,1000006
529,1000006
530,999990
531,999990
532,1000006
533,999990
534,1000006
535,1000006
536,1000006
537,1000006
538,999990
539,999990
540,999990
541,999990
542,999990
543,1000006
544,1000006
545,1000006
546,1000006
547,1000006
548,1000006
549,999990
550,1000006
551,1000006
552,1000006
553,1000006
554,1000007
555,1000007
556,999990
557,999990
558,999990
559,999990
560,999990
561,999990
562,999990
563,999990
564,999990
565,999990
566,1000007
567,1000007
568,999990
569,1000007
570,1000007
571,1000007
572,1000007
573,1000007
574,1000007
575,1000007
576,999990
577,999990
578,999990
579,999990
580,1000007
581,1000007
582,1000007
583,1000007
584,999990
585,999993
586,999990
587,999990
588,999990
589,999990
590,999990
591,999990
592,999990
593,1000007
594,1000007
595,1000007
596,1000007
597,1000007
598,1000007
599,999990
600,999990
601,999990
602,999990
603,999989
604,1000007
605,999989
606,999989
607,999989
608,999989
609,999989
610,999989
611,999989
612,999989
613,1000007
614,1000007
615,1000007
616,1000007
617,1000007
618,1000007
619,1000007
620,999989
621,999989
622,999989
623,999989
624,999989
625,999989
626,999989
627,999989
628,999989
629,1000007
630,1000007
631,1000007
632,1000007
633,1000007
634,1000007
635,999989
636,999989
637,999989
638,999989
639,999989
640,999989
641,999989
642,999989
643,999989
644,999989
645,999989
646,999997
647,1000007
648,999989
649,999989
650,999989
651,999989
652,999989
653,999989
654,999989
655,999989
656,1000007
657,999989
658,999989
659,999989
660,999989
661,1000007
662,1000007
663,1000007
664,1000007
665,999989
666,1000007
667,999988
668,999988
669,999988
670,999988
671,999988
672,999988
673,999988
674,999988
675,999988
676,999988
677,1000007
678,1000007
679,999988
680,999988
681,999988
682,999988
683,999988
684,999988
685,999988
686,1000007
687,999988
688,999988
689,999988
690,999988
691,999988
692,999988
693,999988
694,999988
695,999988
696,999988
697,999988
698,999988
699,999988
700,999988
701,999988
702,999988
703,999988
704,999988
705,999988
706,999991
707,1000007
708,1000007
709,1000007
710,1000007
711,1000007
