,PRICE,TIME,ID
0,1000201,19998,997
1,1000241,916,915
2,1000241,3273,272
3,1000241,4087,86
4,1000241,5466,465
5,1000241,8134,133
6,1000241,10745,744
7,1000241,15011,10
8,1000241,19822,821
9,1000242,2682,681
10,1000242,4878,877
11,1000242,8429,428
12,1000242,10757,756
13,1000242,10986,985
14,1000242,13110,109
15,1000243,7656,655
16,1000243,10749,748
17,1000243,12913,912
18,1000243,15227,226
19,1000244,5757,756
20,1000244,6534,533
21,1000244,7016,15
22,1000244,9467,466
23,1000244,10335,334
24,1000244,11728,727
25,1000244,12581,580
26,1000244,14029,28
27,1000244,14739,738
28,1000244,19642,641
29,1000245,2440,439
30,1000245,3989,988
31,1000245,4769,768
32,1000246,2934,933
33,1000246,6058,57
34,1000246,7415,414
35,1000246,11936,935
36,1000246,13460,459
37,1000246,19473,472
38,1000247,2551,550
39,1000247,7641,640
40,1000247,7947,946
41,1000247,10216,215
42,1000247,16891,890
43,1000247,17197,196
44,1000248,4524,523
45,1000248,6022,21
46,1000248,6641,640
47,1000248,11432,431
48,1000248,17127,126
49,1000248,18367,366
50,1000249,813,812
51,1000249,3704,703
52,1000249,4415,414
53,1000249,4498,497
54,1000249,16551,550
55,1000249,16833,832
56,1000249,19294,293
57,1000250,1890,889
58,1000250,15015,14
59,1000250,18042,41
60,1000251,1545,544
61,1000251,3621,620
62,1000251,7033,32
63,1000251,12064,63
64,1000251,14299,298
65,1000252,669,668
66,1000252,3988,987
67,1000252,5415,414
68,1000252,5741,740
69,1000252,7376,375
70,1000252,7495,494
71,1000252,13051,50
72,1000252,17722,721
73,1000253,278,277
74,1000253,2153,152
75,1000253,4303,302
76,1000253,6545,544
77,1000253,8513,512
78,1000253,8975,974
79,1000253,11218,217
80,1000253,14474,473
81,1000253,18950,949
82,1000254,2381,380
83,1000254,4234,233
84,1000254,7388,387
85,1000254,12199,198
86,1000254,12804,803
87,1000254,15897,896
88,1000255,7689,688
89,1000255,8162,161
90,1000255,9000,999
91,1000255,9419,418
92,1000255,10644,643
93,1000255,12475,474
94,1000255,18388,387
95,1000255,19587,586
96,1000256,11359,358
97,1000256,12334,333
98,1000256,12681,680
99,1000256,17239,238
100,1000256,18651,650
101,1000257,1558,557
102,1000257,2610,609
103,1000257,4919,918
104,1000257,7649,648
105,1000257,12631,630
106,1000257,14782,781
107,1000258,13074,73
108,1000258,17565,564
109,1000258,19224,223
110,1000259,1214,213
111,1000259,4791,790
112,1000259,13868,867
113,1000259,14033,32
114,1000259,14553,552
115,1000259,16513,512
116,1000259,19232,231
117,1000260,113,112
118,1000260,5219,218
119,1000260,8788,787
120,1000260,8829,828
121,1000260,11034,33
122,1000260,15533,532
123,1000260,17105,104
124,1000260,17389,388
125,1000260,19212,211
126,1000261,1761,760
127,1000261,9410,409
128,1000261,10885,884
129,1000261,11423,422
130,1000261,11891,890
131,1000261,12440,439
132,1000261,15022,21
133,1000262,922,921
134,1000262,12485,484
135,1000262,13665,664
136,1000262,14738,737
137,1000262,17170,169
138,1000263,627,626
139,1000263,2195,194
140,1000263,8625,624
141,1000263,12891,890
142,1000263,19631,630
143,1000264,2910,909
144,1000264,4276,275
145,1000264,12018,17
146,1000264,15353,352
147,1000265,365,364
148,1000265,725,724
149,1000265,874,873
150,1000265,4529,528
151,1000265,5562,561
152,1000265,7767,766
153,1000265,9501,500
154,1000266,2646,645
155,1000266,7504,503
156,1000266,8978,977
157,1000266,10442,441
158,1000266,13514,513
159,1000266,14753,752
160,1000266,19691,690
161,1000267,2897,896
162,1000267,6579,578
163,1000267,6601,600
164,1000267,11501,500
165,1000267,16701,700
166,1000268,3972,971
167,1000268,4453,452
168,1000268,9513,512
169,1000268,9769,768
170,1000268,12933,932
171,1000268,16304,303
172,1000268,17786,785
173,1000269,289,288
174,1000269,2247,246
175,1000269,5319,318
