,PRICE
0,1000000
1,1000000
2,1003181
3,1003181
4,1003181
5,1003181
6,1003181
7,1005461
8,1005461
9,1005461
10,1005795
11,1005795
12,1005795
13,1005884
14,1005884
15,1005884
16,1005884
17,1005884
18,1008102
19,1008459
20,1008813
21,1009125
22,1009215
23,1009215
24,1010360
25,1011752
26,1011752
27,1015702
28,1015702
29,1015702
30,1015702
31,1015702
32,1015702
33,1015702
34,1015702
35,1020117
36,1026823
37,1028503
38,1028503
39,1028621
40,1028621
41,1028621
42,1028943
43,1029046
44,1029334
45,1029334
46,1029334
47,1029334
48,1042131
49,1043229
50,1050953
51,1051603
52,1051603
53,1045725
54,1054799
55,1055835
56,1055835
57,1055835
58,1090447
59,1090447
60,1101174
61,1101174
62,1101174
63,1168350
64,1168350
65,1168350
66,1182211
67,1182211
68,1182211
69,1190180
70,1190180
71,1102324
72,1102324
73,1102324
74,1102324
75,1102324
76,1184882
77,1184882
78,1296509
79,1316886
80,1316886
81,1349120
82,1355564
83,1616063
84,1616063
85,1616063
86,1780323
87,2423424
88,2423424
89,2423424
90,2423424
91,4086439
92,4525989
93,5198130
94,5198130
95,5198130
96,16874802
97,16874802
98,16874802
99,16874802
100,16731786
101,16731786
102,16731786
103,16731786
104,16731786
105,19338830
106,43459610
107,82686903
108,82686903
109,82686903
110,82686903
111,82686903
112,82686903
113,100051135
114,100051135
115,100051135
116,100051135
117,100051135
118,120724702
119,134284517
120,134284517
121,153710396
122,158700276
123,634692446
124,634692446
125,1944491335
126,1944491335
127,2240437767
128,2240437767
129,2240437767
130,40134694
131,40134694
132,838580814
133,838580814
134,838580814
135,838580814
136,838580814
137,2059520825
138,2491380140
139,2491380140
140,2491380140
141,2491380140
142,85764537
143,85764537
144,11062753
145,11062753
146,11062753
147,67494470
148,67494470
149,156293757
150,156293757
151,2643342237
152,2643342237
153,3098387053
154,3098387053
155,3098387053
156,3098387053
157,3742674136
158,4432246359
159,4432246359
160,7715567363
161,7715567363
162,7715567363
163,13336574554
164,45305178660
165,66758233152
166,66758233152
167,66758233152
168,66758233152
169,97400500950
170,97400500950
171,98667839778
172,98667839778
173,102767445877
174,102767445877
175,102767445877
176,42737509677
177,42737509677
178,111167361210
179,135373079598
180,161159869557
181,161159869557
182,383385844742
183,417588253007
184,417588253007
185,2101693264677
186,2101693264677
187,2101693264677
188,2101693264677
189,21860352988
190,2210108816526
191,2586939212769
192,2586939212769
193,2586939212769
194,2586939212769
195,2586939212769
196,2586939212769
197,2586939212769
198,2586939212769
199,2586939212769
200,2720698290170
201,2720698290170
202,2720698290170
203,2720698290170
204,2720698290170
205,2720698290170
206,2720698290170
207,5930199683190
208,5930199683190
209,5930199683190
210,5930199683190
211,5930199683190
212,5930199683190
213,5930199683190
214,5930199683190
215,5930199683190
216,5930199683190
217,5930199683190
218,5930199683190
219,4505718557219
220,4505718557219
221,4505718557219
222,4505718557219
223,4505718557219
224,4505718557219
225,5981013302933
226,5981013302933
227,5981013302933
228,5981013302933
229,7023232718127
230,7023232718127
231,7023232718127
232,7023232718127
233,7023232718127
234,7023232718127
235,7023232718127
236,7023232718127
237,7023232718127
238,7023232718127
239,7023232718127
240,7023232718127
241,7023232718127
242,7023232718127
243,31340693518257
244,31340693518257
245,44739546222555
246,44739546222555
247,44739546222555
248,44739546222555
249,44739546222555
250,44739546222555
251,84933297713596
252,84933297713596
253,84933297713596
254,84933297713596
255,84933297713596
256,84933297713596
257,84933297713596
258,84933297713596
259,84933297713596
260,84933297713596
261,84933297713596
262,84933297713596
263,84933297713596
264,84933297713596
265,84933297713596
266,84933297713596
267,84933297713596
268,84933297713596
269,84933297713596
270,84933297713596
271,84933297713596
272,84933297713596
273,84933297713596
274,84933297713596
275,107301957744800
276,107301957744800
277,107301957744800
278,108482879925261
279,108482879925261
280,108482879925261
281,108482879925261
282,108482879925261
283,108482879925261
284,108482879925261
285,108482879925261
286,108482879925261
287,108482879925261
288,108482879925261
289,108482879925261
290,207443291580885
291,207443291580885
292,207443291580885
293,207443291580885
294,207443291580885
295,207443291580885
296,207443291580885
297,207443291580885
298,207443291580885
299,207443291580885
300,207443291580885
301,207443291580885
302,207443291580885
303,207443291580885
304,207443291580885
305,207443291580885
306,207443291580885
307,207443291580885
308,207443291580885
309,207443291580885
310,207443291580885
311,599936327152750
312,599936327152750
313,599936327152750
314,599936327152750
315,599936327152750
316,599936327152750
317,599936327152750
318,599936327152750
319,599936327152750
320,599936327152750
321,599936327152750
322,599936327152750
323,309415805648789
324,309415805648789
325,309415805648789
326,132854348216572
327,604071280189742
328,604071280189742
329,604071280189742
330,604071280189742
331,604071280189742
332,604071280189742
333,604071280189742
334,738754115868074
335,738754115868074
336,738754115868074
337,738754115868074
338,738754115868074
339,738754115868074
340,738754115868074
341,738754115868074
342,738754115868074
343,738754115868074
344,738754115868074
345,138684832833321
346,138684832833321
347,138684832833321
348,138684832833321
349,138684832833321
350,774340712658268
351,774340712658268
352,774340712658268
353,774340712658268
354,774340712658268
355,774340712658268
356,774340712658268
357,774340712658268
358,774340712658268
359,774340712658268
360,774340712658268
361,774340712658268
362,774340712658268
363,774340712658268
364,774340712658268
365,774340712658268
366,774340712658268
367,774340712658268
368,774340712658268
369,774340712658268
370,774340712658268
371,774340712658268
372,774340712658268
373,933123120722127
374,933123120722127
375,933123120722127
376,1230112699989018
377,1230112699989018
378,1230112699989018
379,1230112699989018
380,1230112699989018
381,1230112699989018
382,1230112699989018
383,1230112699989018
384,1230112699989018
385,1230112699989018
386,1230112699989018
387,1230112699989018
388,1230112699989018
389,1230112699989018
390,1230112699989018
391,1230112699989018
392,1230112699989018
393,1230112699989018
394,1230112699989018
395,1230112699989018
396,1230112699989018
397,1230112699989018
398,1230112699989018
399,1230112699989018
400,1230112699989018
401,1230112699989018
402,1230112699989018
403,1230112699989018
404,1230112699989018
405,1230112699989018
406,1230112699989018
407,1230112699989018
408,1230112699989018
409,1230112699989018
410,1305826407479571
411,1305826407479571
412,1305826407479571
413,1305826407479571
414,1305826407479571
415,1305826407479571
416,1305826407479571
417,1305826407479571
418,1305826407479571
419,1305826407479571
420,1305826407479571
421,1305826407479571
422,1305826407479571
423,2711314320321248
424,2711314320321248
425,2711314320321248
426,2711314320321248
427,2711314320321248
428,2711314320321248
429,2711314320321248
430,2711314320321248
431,2711314320321248
432,2711314320321248
433,2711314320321248
434,2711314320321248
435,2711314320321248
436,2711314320321248
437,2711314320321248
438,2711314320321248
439,2711314320321248
440,2711314320321248
441,2711314320321248
442,2711314320321248
443,2711314320321248
444,2711314320321248
445,2711314320321248
446,2711314320321248
447,2711314320321248
448,2711314320321248
449,2711314320321248
450,2711314320321248
451,2711314320321248
452,2711314320321248
453,2711314320321248
454,2711314320321248
455,2711314320321248
456,2711314320321248
457,2711314320321248
458,2711314320321248
459,2711314320321248
460,2711314320321248
461,2711314320321248
462,2711314320321248
463,2711314320321248
464,2711314320321248
465,2711314320321248
466,2711314320321248
467,2711314320321248
468,2711314320321248
469,2711314320321248
470,2711314320321248
471,2711314320321248
472,760810557464815
473,760810557464815
474,760810557464815
475,760810557464815
476,760810557464815
477,760810557464815
478,760810557464815
479,760810557464815
480,760810557464815
481,760810557464815
482,760810557464815
483,760810557464815
484,760810557464815
485,760810557464815
486,760810557464815
487,760810557464815
488,760810557464815
489,760810557464815
490,760810557464815
491,760810557464815
492,760810557464815
493,760810557464815
494,760810557464815
495,760810557464815
496,760810557464815
497,760810557464815
498,760810557464815
499,760810557464815
500,760810557464815
501,760810557464815
502,760810557464815
503,100481907836949
504,100481907836949
505,100481907836949
506,100481907836949
507,100481907836949
508,100481907836949
509,100481907836949
510,100481907836949
511,100481907836949
512,100481907836949
513,100481907836949
514,100481907836949
515,100481907836949
516,100481907836949
517,100481907836949
518,100481907836949
519,100481907836949
520,100481907836949
521,100481907836949
522,100481907836949
523,100481907836949
524,100481907836949
525,100481907836949
526,2374634404126463
527,2374634404126463
528,2374634404126463
529,2374634404126463
530,2374634404126463
531,2374634404126463
532,2374634404126463
533,2374634404126463
534,2374634404126463
535,2374634404126463
536,2374634404126463
537,2374634404126463
538,2374634404126463
539,40779262185563
540,31246131425030
541,31246131425030
542,31246131425030
543,31246131425030
544,31246131425030
545,31246131425030
546,4133125385833964
547,4133125385833964
548,4133125385833964
549,4133125385833964
550,4133125385833964
551,4133125385833964
552,4133125385833964
553,4133125385833964
554,4133125385833964
555,4133125385833964
556,4133125385833964
557,4133125385833964
558,4133125385833964
559,4133125385833964
560,4133125385833964
561,4133125385833964
562,4133125385833964
563,4133125385833964
564,4133125385833964
565,2367083432976894
566,2367083432976894
567,2367083432976894
568,2367083432976894
569,5303836447107685
570,5303836447107685
571,5303836447107685
572,5303836447107685
573,5303836447107685
574,5303836447107685
575,5303836447107685
576,5303836447107685
577,5303836447107685
578,6428447683620648
579,6428447683620648
580,6428447683620648
581,6428447683620648
582,6428447683620648
583,6428447683620648
584,6428447683620648
585,6428447683620648
586,6428447683620648
587,6428447683620648
588,6428447683620648
589,6428447683620648
590,6428447683620648
591,6428447683620648
592,6428447683620648
593,6428447683620648
594,6428447683620648
595,6428447683620648
596,6428447683620648
597,206945618201337
598,206945618201337
599,90118485003869
600,90118485003869
601,6352481327463914
602,6352481327463914
603,6352481327463914
604,6352481327463914
605,6352481327463914
606,6352481327463914
607,6352481327463914
608,6352481327463914
609,6352481327463914
610,6352481327463914
611,6352481327463914
612,471578485507123
613,471578485507123
614,471578485507123
615,471578485507123
616,471578485507123
617,471578485507123
618,471578485507123
619,471578485507123
620,471578485507123
621,471578485507123
622,471578485507123
623,471578485507123
624,471578485507123
625,471578485507123
626,471578485507123
627,471578485507123
628,471578485507123
629,471578485507123
630,471578485507123
631,471578485507123
632,471578485507123
633,471578485507123
634,471578485507123
635,4166950218484426
636,4166950218484426
637,4166950218484426
638,4166950218484426
639,4166950218484426
640,4166950218484426
641,4166950218484426
642,4166950218484426
643,4166950218484426
644,4166950218484426
645,4166950218484426
646,4166950218484426
647,4166950218484426
648,4166950218484426
649,4074034726424784
650,4074034726424784
651,4074034726424784
652,4074034726424784
653,4074034726424784
654,4074034726424784
655,4074034726424784
656,4074034726424784
657,4074034726424784
658,4074034726424784
659,4074034726424784
660,4074034726424784
661,4074034726424784
662,4074034726424784
663,4074034726424784
664,4074034726424784
665,4074034726424784
666,4074034726424784
667,4074034726424784
668,4074034726424784
669,4074034726424784
670,4074034726424784
671,4074034726424784
672,4074034726424784
673,3567046006862218
674,4565118939059046
675,4565118939059046
676,4565118939059046
677,4565118939059046
678,4565118939059046
679,4565118939059046
680,4565118939059046
681,4565118939059046
682,4565118939059046
683,2858184818763719
684,2858184818763719
685,2858184818763719
686,2858184818763719
687,2858184818763719
688,2858184818763719
689,2858184818763719
690,2858184818763719
691,93944099137918
692,5312978894700
693,5312978894700
694,5312978894700
695,7796538624016045
696,7796538624016045
697,7796538624016045
698,7796538624016045
699,7796538624016045
700,7796538624016045
701,7796538624016045
702,7796538624016045
703,7796538624016045
704,7796538624016045
705,7796538624016045
706,7796538624016045
707,7796538624016045
708,7796538624016045
709,7796538624016045
710,7796538624016045
711,7796538624016045
712,7796538624016045
713,7796538624016045
714,7796538624016045
715,7796538624016045
716,7796538624016045
717,7796538624016045
718,7796538624016045
719,7796538624016045
720,7796538624016045
721,7796538624016045
722,7796538624016045
723,7796538624016045
724,7796538624016045
725,7796538624016045
726,7796538624016045
727,7796538624016045
728,7796538624016045
729,7796538624016045
730,7796538624016045
731,2278677062241
732,9069550676488901
733,9069550676488901
734,9069550676488901
735,9069550676488901
736,9069550676488901
737,9069550676488901
738,9069550676488901
739,9069550676488901
740,9069550676488901
741,9069550676488901
742,9069550676488901
743,9069550676488901
744,9069550676488901
745,9069550676488901
746,9193229093912029
747,9193229093912029
748,9193229093912029
749,9193229093912029
750,9193229093912029
751,9193229093912029
752,9193229093912029
753,9193229093912029
754,9193229093912029
755,9193229093912029
756,9193229093912029
757,9193229093912029
758,9193229093912029
759,9193229093912029
760,9193229093912029
761,9193229093912029
762,9193229093912029
763,9193229093912029
764,9193229093912029
765,9193229093912029
766,9193229093912029
767,9193229093912029
768,9193229093912029
769,9193229093912029
770,9193229093912029
771,9193229093912029
772,9193229093912029
773,9193229093912029
774,9193229093912029
775,9193229093912029
776,9193229093912029
777,9193229093912029
778,10125621645780911
779,10125621645780911
780,10125621645780911
781,10125621645780911
782,10125621645780911
783,10125621645780911
784,10125621645780911
785,10125621645780911
786,10125621645780911
787,10125621645780911
788,10125621645780911
789,9801681012944204
790,9801681012944204
791,9801681012944204
792,9801681012944204
793,9801681012944204
794,9801681012944204
795,9801681012944204
796,9801681012944204
797,9801681012944204
798,9801681012944204
799,10549520773925943
800,10549520773925943
801,10549520773925943
802,10549520773925943
803,10712084014517489
804,10712084014517489
805,10712084014517489
806,10712084014517489
807,10712084014517489
808,14624288966308605
809,14624288966308605
810,14624288966308605
811,14624288966308605
812,14624288966308605
813,14624288966308605
814,14624288966308605
815,14624288966308605
816,14624288966308605
817,14624288966308605
818,14624288966308605
819,14624288966308605
820,14624288966308605
821,14624288966308605
822,14624288966308605
823,14624288966308605
824,14624288966308605
825,14624288966308605
826,14624288966308605
827,14624288966308605
828,14624288966308605
829,14624288966308605
830,14624288966308605
831,14624288966308605
832,14624288966308605
833,14624288966308605
834,14624288966308605
835,14624288966308605
836,14624288966308605
837,14624288966308605
838,14624288966308605
839,14624288966308605
840,14624288966308605
841,14624288966308605
842,14624288966308605
843,14624288966308605
844,14624288966308605
845,14624288966308605
846,14624288966308605
847,14624288966308605
848,14624288966308605
849,14624288966308605
850,14624288966308605
851,14624288966308605
852,14624288966308605
853,14624288966308605
854,14624288966308605
855,14624288966308605
856,14624288966308605
857,14624288966308605
858,14624288966308605
859,14624288966308605
860,14624288966308605
861,14624288966308605
862,3979543610022469
863,3979543610022469
864,3979543610022469
865,3979543610022469
866,1065909914789540
867,1065909914789540
868,1065909914789540
869,1065909914789540
870,1065909914789540
871,1065909914789540
872,1065909914789540
873,1065909914789540
874,1065909914789540
875,1065909914789540
876,1065909914789540
877,1065909914789540
878,1065909914789540
879,1065909914789540
880,1065909914789540
881,1065909914789540
882,1065909914789540
883,1065909914789540
884,1065909914789540
885,437235360463100
886,437235360463100
887,437235360463100
888,437235360463100
889,437235360463100
890,437235360463100
891,437235360463100
892,437235360463100
893,437235360463100
894,638531995374725
895,638531995374725
896,638531995374725
897,638531995374725
898,638531995374725
899,638531995374725
900,638531995374725
901,638531995374725
902,638531995374725
903,638531995374725
904,638531995374725
905,638531995374725
906,638531995374725
907,638531995374725
908,638531995374725
909,638531995374725
910,102878417760319
911,102878417760319
912,102878417760319
913,38010827093497
914,38010827093497
915,2225656640247971
916,2225656640247971
917,2225656640247971
918,2225656640247971
919,2225656640247971
920,2225656640247971
921,2225656640247971
922,2225656640247971
923,2225656640247971
924,2225656640247971
925,2225656640247971
926,2225656640247971
927,7922510369027800
928,7922510369027800
929,7922510369027800
930,7922510369027800
931,7922510369027800
932,7922510369027800
933,7922510369027800
934,7922510369027800
935,7922510369027800
936,7922510369027800
937,7922510369027800
938,7922510369027800
939,21334499916186125
940,21334499916186125
941,21334499916186125
942,2270071477766507
943,2270071477766507
944,2270071477766507
945,2270071477766507
946,2270071477766507
947,2270071477766507
948,2270071477766507
949,2270071477766507
950,2270071477766507
951,2270071477766507
952,2270071477766507
953,2270071477766507
954,2270071477766507
955,2270071477766507
956,2270071477766507
957,2270071477766507
958,2270071477766507
959,2270071477766507
960,2270071477766507
961,350128793213156
962,25427202242401633
963,25427202242401633
964,25427202242401633
965,25427202242401633
966,25427202242401633
967,25427202242401633
968,25427202242401633
969,25427202242401633
970,25427202242401633
971,25427202242401633
972,25427202242401633
973,25427202242401633
974,25427202242401633
975,25427202242401633
976,25427202242401633
977,25427202242401633
978,25427202242401633
979,25427202242401633
980,25427202242401633
981,25427202242401633
982,25427202242401633
983,25427202242401633
984,25427202242401633
985,25427202242401633
986,25427202242401633
987,135811301458354
988,135811301458354
989,58893900419694
990,58893900419694
991,58893900419694
992,58893900419694
993,58893900419694
994,58893900419694
995,58893900419694
996,58893900419694
997,58893900419694
998,58893900419694
999,58893900419694
1000,58893900419694
1001,32971023889454
1002,32971023889454
1003,1824062122169
1004,1824062122169
1005,1824062122169
1006,1824062122169
1007,1824062122169
1008,1824062122169
1009,1824062122169
1010,1824062122169
1011,1467253262734
1012,1467253262734
1013,1467253262734
1014,44268218570139
1015,44268218570139
1016,44268218570139
1017,44268218570139
1018,44268218570139
1019,44268218570139
1020,254664729052781
1021,254664729052781
1022,254664729052781
1023,254664729052781
1024,254664729052781
1025,254664729052781
1026,254664729052781
1027,254664729052781
1028,254664729052781
1029,254664729052781
1030,254664729052781
1031,254664729052781
1032,254664729052781
1033,254664729052781
1034,254664729052781
1035,254664729052781
1036,254664729052781
1037,254664729052781
1038,254664729052781
1039,254664729052781
1040,254664729052781
1041,254664729052781
1042,3066668809940
1043,3066668809940
1044,3066668809940
1045,9529898418941633
1046,9529898418941633
1047,10470007754931099
1048,1249163556781
1049,15060758183223699
1050,15060758183223699
1051,15060758183223699
1052,15060758183223699
1053,15060758183223699
1054,15060758183223699
1055,15060758183223699
1056,15060758183223699
1057,15060758183223699
1058,15060758183223699
1059,15060758183223699
1060,15060758183223699
1061,15060758183223699
1062,15060758183223699
1063,15060758183223699
1064,15060758183223699
1065,15060758183223699
1066,15060758183223699
1067,15060758183223699
1068,15060758183223699
1069,15060758183223699
1070,727248352897
1071,346101910988270
1072,346101910988270
1073,346101910988270
1074,346101910988270
1075,346101910988270
1076,1529561599464
1077,1529561599464
1078,124331756046985
1079,124331756046985
1080,124331756046985
1081,124331756046985
1082,124331756046985
1083,124331756046985
1084,124331756046985
1085,1234306495943229
1086,1234306495943229
1087,1234306495943229
1088,1234306495943229
1089,1234306495943229
1090,1234306495943229
1091,1234306495943229
1092,1234306495943229
1093,1234306495943229
1094,1234306495943229
1095,1234306495943229
1096,1234306495943229
1097,1234306495943229
1098,1234306495943229
1099,1234306495943229
1100,1234306495943229
1101,1234306495943229
1102,1234306495943229
1103,1234306495943229
1104,1234306495943229
1105,1234306495943229
1106,1234306495943229
1107,1234306495943229
1108,1234306495943229
1109,1234306495943229
1110,1234306495943229
1111,1234306495943229
1112,1234306495943229
1113,1234306495943229
1114,1234306495943229
1115,1234306495943229
1116,1234306495943229
1117,1234306495943229
1118,1234306495943229
1119,1234306495943229
1120,1234306495943229
1121,1234306495943229
1122,1234306495943229
1123,1234306495943229
1124,1234306495943229
1125,1234306495943229
1126,1234306495943229
1127,1234306495943229
1128,1161865300843309
1129,1161865300843309
1130,1161865300843309
1131,1161865300843309
1132,1161865300843309
1133,1161865300843309
1134,1161865300843309
1135,1161865300843309
1136,10064035724411615
1137,10064035724411615
1138,10064035724411615
1139,10064035724411615
1140,10064035724411615
1141,10064035724411615
1142,10064035724411615
1143,492260539849
1144,492260539849
1145,492260539849
1146,492260539849
1147,492260539849
1148,9448636765929656
1149,9448636765929656
1150,9448636765929656
1151,9448636765929656
1152,9448636765929656
1153,9448636765929656
1154,8822281621721356
1155,8822281621721356
1156,8822281621721356
1157,8822281621721356
1158,8822281621721356
1159,8822281621721356
1160,2178742709674671
1161,2178742709674671
