,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,1000863,3,1001997,3,3,1000863,0,0
1,1001221,8,1001221,4,4,1000789,8,8
2,1001542,9,1002379,9,9,1001542,7,7
3,1002261,14,1003892,14,14,1002261,13,13
4,1002758,17,1003806,17,17,1002758,5,5
5,1002983,18,1005003,18,18,1002983,10,10
6,1003974,19,1006583,19,19,1003974,15,15
7,1005228,20,1006880,20,20,1005228,6,6
8,1008740,22,1008893,22,22,1008740,21,21
9,1016164,28,1016164,27,27,1012316,28,28
10,1030566,36,1030566,32,32,1020899,36,36
11,1031029,38,1059264,38,38,1031029,30,30
12,1031364,39,1058094,39,39,1031364,34,34
13,1054341,41,1054588,41,41,1054341,37,37
14,1075817,43,1094324,43,43,1075817,42,42
15,1091109,49,1123911,49,49,1091109,45,45
16,1110084,50,1158307,50,50,1110084,46,46
17,1135479,51,1200031,51,51,1135479,47,47
18,1145603,52,1191946,52,52,1145603,44,44
19,1146963,53,1302265,53,53,1146963,48,48
20,1292141,55,1292141,54,54,1092990,55,55
21,1528618,57,1567348,57,57,1528618,56,56
22,2226263,65,2226263,62,62,2127983,65,65
23,4265535,68,4623378,68,68,4265535,66,66
24,14505993,73,14505993,69,69,12907531,73,73
25,107784221,79,170272949,79,79,107784221,74,74
26,159083749,81,3432846666,81,81,159083749,77,77
27,163139439,82,836013185,82,82,163139439,78,78
28,201688635,83,1785242256,83,83,201688635,75,75
29,977536851,84,5140681572,84,84,977536851,80,80
30,1874898595,89,44840947591,89,89,1874898595,85,85
31,176971382925,92,985630610017,92,92,176971382925,86,86
32,319021877322,94,5538146893004056,94,94,319021877322,87,87
33,3028581587373,95,7779593413107892,95,95,3028581587373,90,90
34,27425603765806,97,263849506159325696,97,97,27425603765806,93,93
35,208186966949304193,123,211822130356442624,123,123,208186966949304193,96,96
36,155699692766580288,132,155699692766580288,120,120,54240995913092,132,132
37,185892412944577312,153,185892412944577312,138,138,30682676894168565,153,153
38,28062030928068412,200,28062030928068412,187,187,697738137281,200,200
