,PRICE,TIME,ID
0,1000007,19902,901
1,999998,19869,868
2,999991,19925,924
3,999966,19908,907
4,999921,19886,885
5,999914,19859,858
6,999894,19885,884
7,999789,19866,865
8,999746,19982,981
9,999711,14185,184
10,999711,16592,591
11,999711,17152,151
12,999711,17546,545
13,999711,17785,784
14,999711,19335,334
15,999710,5795,794
16,999710,6374,373
17,999710,8910,909
18,999710,14136,135
19,999710,16356,355
20,999709,13887,886
21,999709,14755,754
22,999709,15063,62
23,999709,15604,603
24,999709,16524,523
25,999709,17679,678
26,999709,19329,328
27,999708,9345,344
28,999708,10773,772
29,999708,11792,791
30,999707,123,122
31,999707,2714,713
32,999707,6112,111
33,999707,8443,442
34,999707,10183,182
35,999707,12006,5
36,999706,3193,192
37,999706,6294,293
38,999706,7223,222
39,999706,11084,83
40,999706,12897,896
41,999706,14395,394
42,999706,14975,974
43,999706,16798,797
44,999706,17192,191
45,999706,19379,378
46,999705,5223,222
47,999705,10675,674
48,999705,14023,22
49,999704,361,360
50,999704,376,375
51,999704,2197,196
52,999704,2431,430
53,999704,3069,68
54,999704,5292,291
55,999704,12348,347
56,999704,16618,617
57,999704,19761,760
58,999703,276,275
59,999703,6446,445
60,999703,10486,485
61,999702,2614,613
62,999702,4281,280
63,999702,8743,742
64,999702,11610,609
65,999702,11711,710
66,999701,737,736
67,999701,2288,287
68,999701,2370,369
69,999701,5965,964
70,999701,8790,789
71,999701,10515,514
72,999701,10732,731
73,999701,12808,807
74,999701,13005,4
75,999701,17809,808
76,999700,620,619
77,999700,3304,303
78,999700,3915,914
79,999700,7574,573
80,999700,9344,343
81,999700,10144,143
82,999700,10182,181
83,999700,10974,973
84,999700,13334,333
85,999699,876,875
86,999699,4074,73
87,999699,6918,917
88,999699,8302,301
89,999699,8855,854
90,999699,9352,351
91,999699,9512,511
92,999699,10331,330
93,999699,10731,730
94,999699,17641,640
95,999698,2164,163
96,999698,4964,963
97,999698,9583,582
98,999698,11106,105
99,999698,13318,317
100,999698,14097,96
101,999698,14260,259
102,999697,4326,325
103,999697,9500,499
104,999697,10351,350
105,999697,10985,984
106,999697,11869,868
107,999697,13610,609
108,999697,14711,710
109,999697,15398,397
110,999697,17582,581
111,999696,4174,173
112,999696,6388,387
113,999696,6836,835
114,999696,10457,456
115,999696,11983,982
116,999696,13856,855
117,999696,14135,134
118,999696,14429,428
119,999696,18007,6
120,999696,19689,688
121,999695,2899,898
122,999695,5713,712
123,999694,7429,428
124,999694,12838,837
125,999694,13515,514
126,999694,15536,535
127,999694,18333,332
128,999694,18954,953
129,999694,19795,794
130,999693,368,367
131,999693,1588,587
132,999693,5934,933
133,999693,10106,105
134,999693,16895,894
135,999692,2544,543
136,999692,5113,112
137,999692,15760,759
138,999692,18331,330
139,999692,19749,748
140,999691,7186,185
141,999690,296,295
142,999690,2441,440
143,999690,3831,830
144,999690,4184,183
145,999690,7697,696
146,999690,14960,959
147,999689,5775,774
148,999689,7441,440
149,999689,12170,169
150,999689,16645,644
151,999688,4911,910
152,999688,7335,334
153,999688,9307,306
154,999688,10811,810
155,999688,12240,239
156,999688,14256,255
157,999688,17337,336
158,999687,1552,551
159,999687,2409,408
160,999687,2654,653
161,999687,4730,729
162,999687,5501,500
163,999687,12895,894
164,999686,8459,458
165,999686,9589,588
166,999686,11674,673
167,999685,1755,754
168,999685,3353,352
169,999685,6361,360
170,999685,6442,441
171,999685,8959,958
172,999685,11112,111
173,999685,11518,517
174,999684,9801,800
175,999684,10781,780
176,999683,4926,925
177,999683,5175,174
178,999683,8879,878
179,999683,11707,706
180,999683,14538,537
181,999683,16500,499
182,999682,943,942
183,999682,1346,345
184,999682,12473,472
185,999682,12726,725
186,999682,15470,469
187,999682,16911,910
188,999682,17164,163
189,999681,1864,863
190,999681,1935,934
191,999681,4059,58
192,999681,7861,860
193,999681,12301,300
194,999681,14622,621
195,999681,14943,942
196,999681,16034,33
197,999680,1130,129
198,999680,1749,748
199,999680,5987,986
200,999680,6636,635
201,999680,11609,608
202,999679,1104,103
203,999679,8827,826
204,999679,14959,958
205,999679,15581,580
206,999679,16136,135
207,999679,18067,66
208,999679,18669,668
209,999678,1108,107
210,999678,1381,380
211,999678,5924,923
212,999678,6414,413
213,999678,13999,998
214,999678,17757,756
215,999678,19668,667
216,999677,10107,106
217,999677,12617,616
218,999677,16188,187
219,999677,16209,208
220,999676,1586,585
221,999676,4127,126
222,999676,5737,736
223,999676,6620,619
224,999676,18633,632
225,999676,19784,783
226,999675,2112,111
227,999675,4664,663
228,999675,9309,308
229,999675,10194,193
230,999675,11926,925
231,999675,12027,26
232,999675,14305,304
233,999675,15139,138
234,999675,16550,549
235,999675,17587,586
236,999675,18511,510
237,999675,18956,955
238,999675,19690,689
239,999674,2523,522
240,999674,3355,354
241,999674,7104,103
242,999674,11031,30
243,999674,19447,446
244,999673,6113,112
245,999673,7654,653
246,999673,14088,87
247,999673,17362,361
248,999672,4111,110
249,999672,5399,398
250,999672,5923,922
251,999672,7748,747
252,999672,9379,378
253,999672,10254,253
254,999672,17825,824
255,999672,19313,312
256,999671,1256,255
257,999671,14123,122
258,999671,15652,651
259,999671,18172,171
260,999671,19450,449
261,999670,474,473
262,999670,625,624
263,999670,6842,841
264,999670,6983,982
265,999670,14628,627
266,999670,14802,801
267,999670,15822,821
268,999670,17333,332
269,999669,844,843
270,999669,9775,774
271,999669,13189,188
272,999669,15043,42
273,999668,4009,8
274,999668,10174,173
275,999668,10810,809
276,999668,13757,756
277,999668,14156,155
278,999668,15836,835
279,999668,17063,62
280,999668,18564,563
281,999667,10560,559
282,999667,17983,982
283,999667,18000,999
284,999666,631,630
285,999666,14408,407
286,999666,14578,577
287,999666,17309,308
288,999665,1019,18
289,999665,3160,159
290,999665,5561,560
291,999665,11817,816
292,999665,14961,960
293,999665,17006,5
294,999664,3758,757
295,999664,12812,811
296,999664,16224,223
297,999663,5636,635
298,999663,9622,621
299,999663,10263,262
300,999663,18671,670
301,999662,1607,606
302,999662,16754,753
303,999661,146,145
304,999661,2964,963
305,999661,3446,445
306,999661,13234,233
307,999661,15749,748
308,999661,16664,663
309,999661,17280,279
310,999660,1496,495
311,999660,6589,588
312,999660,8775,774
313,999660,8915,914
314,999660,9177,176
315,999660,10806,805
316,999660,18893,892
317,999659,1392,391
318,999659,1773,772
319,999659,5233,232
320,999659,9959,958
321,999658,5489,488
322,999658,8733,732
323,999658,15588,587
324,999658,18381,380
325,999657,7107,106
326,999657,12512,511
327,999657,15828,827
328,999656,1366,365
329,999656,1800,799
330,999656,3212,211
331,999656,3369,368
332,999656,4087,86
333,999656,5134,133
334,999656,8093,92
335,999656,13027,26
336,999656,13447,446
337,999655,1996,995
338,999655,3004,3
339,999655,13633,632
340,999655,18078,77
341,999654,1692,691
342,999654,8456,455
343,999654,9047,46
344,999654,10947,946
345,999654,12334,333
346,999654,14430,429
347,999654,18579,578
348,999653,2098,97
349,999653,9436,435
350,999653,14151,150
351,999653,15903,902
352,999653,17420,419
353,999653,18929,928
354,999652,3233,232
355,999652,7255,254
356,999652,11820,819
357,999651,5995,994
358,999651,6136,135
359,999651,8262,261
360,999651,8378,377
361,999651,9335,334
362,999651,9791,790
363,999651,10187,186
364,999651,10733,732
365,999651,13978,977
366,999651,16509,508
367,999651,16686,685
368,999651,18556,555
369,999650,12305,304
370,999650,15925,924
371,999649,4703,702
372,999649,5408,407
373,999649,17334,333
374,999647,4602,601
375,999647,9706,705
376,999647,12861,860
377,999647,14039,38
378,999647,14370,369
379,999647,15072,71
380,999645,3784,783
381,999645,4150,149
382,999645,10704,703
383,999645,11124,123
384,999645,11226,225
385,999645,13916,915
386,999645,17492,491
387,999644,2825,824
388,999644,5910,909
389,999644,11214,213
390,999644,16729,728
391,999644,19030,29
392,999643,496,495
393,999643,3403,402
394,999643,8141,140
395,999643,8926,925
396,999643,11726,725
397,999643,16993,992
398,999642,489,488
399,999642,2375,374
400,999642,3370,369
401,999642,4937,936
402,999642,9968,967
403,999642,11165,164
404,999641,5439,438
405,999641,7559,558
406,999641,10528,527
407,999641,11893,892
408,999641,17935,934
409,999640,2650,649
410,999640,3143,142
411,999640,4332,331
412,999640,4605,604
413,999640,5437,436
414,999640,7165,164
415,999640,8304,303
416,999640,9637,636
417,999640,10691,690
418,999640,19953,952
419,999639,752,751
420,999639,9579,578
421,999639,14526,525
422,999639,15580,579
423,999639,18216,215
424,999638,3308,307
425,999638,13388,387
426,999638,14800,799
427,999637,7443,442
428,999637,7700,699
429,999636,152,151
430,999636,3517,516
431,999636,9468,467
432,999636,11780,779
433,999636,15081,80
434,999636,16281,280
435,999636,16648,647
436,999635,2617,616
437,999635,3629,628
438,999635,8373,372
439,999635,11180,179
440,999635,11536,535
441,999635,16139,138
442,999635,16846,845
443,999634,6224,223
444,999634,10738,737
445,999634,14116,115
446,999634,15138,137
447,999634,15327,326
448,999634,16001,0
449,999633,1364,363
450,999633,5352,351
451,999633,17415,414
452,999632,1650,649
453,999632,6003,2
454,999632,8248,247
455,999632,9695,694
456,999632,16938,937
457,999632,19774,773
458,999631,4076,75
459,999631,5490,489
460,999631,9558,557
461,999631,12893,892
462,999631,18540,539
463,999631,18906,905
464,999631,19926,925
465,999630,4008,7
466,999630,5836,835
467,999630,6288,287
468,999630,12881,880
469,999629,4255,254
470,999629,16770,769
471,999628,70,69
472,999628,10157,156
473,999628,10954,953
474,999628,16805,804
475,999628,18587,586
476,999628,18640,639
477,999627,4370,369
478,999627,7704,703
479,999627,9032,31
480,999627,11998,997
481,999626,5425,424
482,999626,6505,504
483,999626,12695,694
484,999626,15753,752
485,999626,16490,489
486,999625,14517,516
487,999625,18257,256
488,999624,1259,258
489,999624,7143,142
490,999624,7920,919
491,999624,11724,723
492,999624,14873,872
493,999624,15004,3
494,999623,9742,741
495,999622,14231,230
496,999621,8768,767
497,999621,9053,52
498,999620,2276,275
499,999620,2853,852
500,999620,3123,122
501,999620,11557,556
502,999620,13738,737
503,999619,228,227
504,999619,4520,519
505,999619,7482,481
506,999619,9887,886
507,999619,15421,420
508,999619,16943,942
509,999619,17027,26
510,999619,19747,746
511,999618,7836,835
512,999618,7896,895
513,999618,8272,271
514,999618,11515,514
515,999618,14013,12
516,999618,18174,173
517,999617,4103,102
518,999617,6391,390
519,999617,6994,993
520,999617,11209,208
521,999617,13693,692
522,999617,16642,641
523,999617,16841,840
524,999617,19315,314
525,999616,12007,6
526,999616,19129,128
527,999615,7252,251
528,999615,11581,580
529,999615,14348,347
530,999615,14436,435
531,999615,17139,138
532,999615,18258,257
533,999614,12662,661
534,999614,17143,142
535,999613,9198,197
536,999613,15912,911
537,999613,18621,620
538,999612,11088,87
539,999612,11215,214
540,999612,13360,359
541,999612,15114,113
542,999612,16353,352
543,999612,17625,624
544,999611,2433,432
545,999611,7204,203
546,999611,14889,888
547,999611,18192,191
548,999610,1545,544
549,999610,3007,6
550,999610,8907,906
551,999610,16775,774
552,999610,18914,913
553,999609,3294,293
554,999609,5604,603
555,999609,18503,502
556,999608,14822,821
557,999608,18069,68
558,999608,18538,537
559,999608,18753,752
560,999607,3445,444
561,999607,3888,887
562,999607,8005,4
563,999607,12887,886
564,999606,2456,455
565,999606,12477,476
566,999606,17194,193
567,999605,1843,842
568,999605,6934,933
569,999605,8560,559
570,999605,12549,548
571,999605,12570,569
572,999605,12970,969
573,999605,15503,502
574,999604,4485,484
575,999604,9926,925
576,999604,11816,815
577,999604,16768,767
578,999604,17147,146
579,999603,3488,487
580,999603,7276,275
581,999603,11868,867
582,999603,16810,809
583,999603,19139,138
584,999602,479,478
585,999602,3709,708
586,999602,7929,928
587,999602,13323,322
588,999601,11013,12
589,999601,15086,85
590,999601,16832,831
591,999601,17103,102
592,999600,6998,997
593,999600,18519,518
594,999599,5159,158
595,999598,754,753
596,999598,2224,223
597,999598,3447,446
598,999598,11489,488
599,999597,3116,115
600,999597,6655,654
601,999597,9956,955
602,999597,11634,633
603,999596,2351,350
604,999596,5118,117
605,999596,6612,611
606,999596,10257,256
607,999596,15227,226
608,999596,15551,550
609,999596,16015,14
610,999595,6771,770
611,999595,9180,179
612,999594,1429,428
613,999594,4116,115
614,999594,4761,760
615,999594,7138,137
616,999594,15846,845
617,999594,16589,588
618,999594,17802,801
619,999593,7888,887
620,999593,19740,739
621,999592,2709,708
622,999592,10233,232
623,999592,10910,909
624,999592,12663,662
625,999592,13214,213
626,999592,18436,435
627,999591,9234,233
628,999591,10491,490
629,999591,11568,567
630,999591,15041,40
631,999591,15321,320
632,999591,17831,830
633,999590,2242,241
634,999589,2418,417
635,999589,5057,56
636,999589,14043,42
637,999589,14451,450
638,999588,2231,230
639,999588,7637,636
640,999588,13319,318
641,999588,14208,207
642,999587,221,220
643,999587,2661,660
644,999587,3945,944
645,999586,8586,585
646,999585,868,867
647,999585,1589,588
648,999585,1760,759
649,999585,7409,408
650,999585,8584,583
651,999585,18223,222
652,999584,849,848
653,999584,1018,17
654,999584,1118,117
655,999584,6392,391
656,999584,7736,735
657,999584,13325,324
658,999584,15582,581
659,999583,6328,327
660,999583,15208,207
661,999583,15609,608
662,999583,16242,241
663,999583,18962,961
664,999582,4141,140
665,999582,6046,45
666,999581,2994,993
667,999581,6049,48
668,999581,9950,949
669,999580,3659,658
670,999580,7957,956
671,999580,12336,335
672,999579,3639,638
673,999579,8702,701
674,999578,15780,779
675,999578,18013,12
676,999578,18940,939
677,999577,3748,747
678,999577,5960,959
679,999577,6030,29
680,999577,14313,312
681,999577,14698,697
682,999577,15754,753
683,999577,18384,383
684,999576,4686,685
685,999576,10620,619
686,999575,4120,119
687,999575,11997,996
688,999575,12274,273
689,999575,15757,756
690,999575,16204,203
691,999574,4869,868
692,999574,15050,49
693,999574,17050,49
694,999573,838,837
695,999573,9466,465
696,999572,2040,39
697,999572,6303,302
698,999572,7564,563
699,999572,9314,313
700,999572,15906,905
701,999572,17445,444
702,999572,19791,790
703,999571,2199,198
704,999571,5171,170
705,999571,8265,264
706,999571,8368,367
707,999571,9165,164
708,999571,13221,220
709,999571,13896,895
710,999571,15821,820
711,999571,15952,951
712,999571,17651,650
713,999570,11155,154
714,999570,11328,327
715,999570,12680,679
716,999570,19105,104
717,999569,1950,949
718,999569,14015,14
719,999569,16156,155
720,999569,19479,478
721,999568,130,129
722,999568,4085,84
723,999568,5198,197
724,999568,5363,362
725,999568,6582,581
726,999568,7446,445
727,999568,7715,714
728,999568,8452,451
729,999568,11342,341
730,999568,15532,531
731,999568,15606,605
732,999568,16633,632
733,999568,18276,275
734,999568,18980,979
735,999567,6377,376
736,999567,11229,228
737,999567,18678,677
738,999566,10224,223
739,999566,11894,893
740,999566,12972,971
741,999566,13327,326
742,999566,15020,19
743,999565,5871,870
744,999565,12188,187
745,999565,13219,218
746,999565,18502,501
747,999564,2037,36
748,999564,3025,24
749,999564,3090,89
750,999564,5953,952
751,999564,9541,540
752,999564,10372,371
753,999564,11788,787
754,999564,13351,350
755,999564,15552,551
756,999564,18744,743
757,999563,220,219
758,999563,1334,333
759,999563,5705,704
760,999562,4288,287
761,999562,10321,320
762,999562,13395,394
763,999562,15831,830
764,999562,17691,690
765,999562,17731,730
766,999561,4131,130
767,999561,7846,845
768,999561,8480,479
769,999561,11644,643
770,999561,16170,169
771,999561,16200,199
772,999560,7779,778
773,999560,9308,307
774,999560,11800,799
775,999560,16649,648
776,999560,18362,361
777,999559,6054,53
778,999559,11108,107
779,999559,12650,649
780,999559,12728,727
781,999559,16302,301
782,999559,18254,253
783,999558,10949,948
784,999558,10951,950
785,999558,12085,84
786,999558,12580,579
787,999558,12693,692
788,999558,12882,881
789,999557,5559,558
790,999557,6949,948
791,999557,10175,174
792,999557,10227,226
793,999557,14360,359
794,999557,15369,368
795,999557,18423,422
796,999556,15762,761
797,999555,1140,139
798,999555,3846,845
799,999555,6129,128
800,999555,11796,795
801,999555,12185,184
802,999555,19094,93
803,999554,15840,839
804,999554,16304,303
805,999553,873,872
806,999553,14577,576
807,999552,433,432
808,999552,3664,663
809,999552,4998,997
810,999552,12545,544
811,999552,13193,192
812,999552,18291,290
813,999552,18402,401
814,999552,19180,179
815,999551,1125,124
816,999551,9562,561
817,999551,11261,260
818,999551,16533,532
819,999551,18528,527
820,999551,19000,999
821,999550,5766,765
822,999550,16835,834
823,999550,19339,338
824,999549,11184,183
825,999549,11745,744
826,999548,2115,114
827,999548,12567,566
828,999548,16538,537
829,999548,18509,508
830,999547,10195,194
831,999547,10242,241
832,999547,15920,919
833,999546,4496,495
834,999546,6736,735
835,999546,13725,724
836,999546,15550,549
837,999546,16142,141
838,999545,3442,441
839,999545,6161,160
840,999545,7894,893
841,999545,11004,3
842,999545,11706,705
843,999544,1668,667
844,999544,5535,534
845,999544,15452,451
846,999544,17704,703
847,999543,6160,159
848,999543,12222,221
849,999543,19800,799
850,999542,4654,653
851,999542,6928,927
852,999542,9328,327
853,999542,11208,207
854,999541,4793,792
855,999541,18595,594
856,999540,8983,982
857,999540,9333,332
858,999539,15142,141
859,999539,16212,211
860,999539,16844,843
861,999539,18498,497
862,999539,18638,637
863,999538,3484,483
864,999538,13399,398
865,999538,13881,880
866,999537,1285,284
867,999537,5064,63
868,999537,15453,452
869,999537,16288,287
870,999537,16652,651
871,999536,4886,885
872,999536,12973,972
873,999536,15155,154
874,999536,16075,74
875,999536,16803,802
876,999536,18003,2
877,999536,18104,103
878,999536,18542,541
879,999535,2540,539
880,999535,9070,69
881,999535,9626,625
882,999535,10458,457
883,999535,14346,345
884,999535,14587,586
885,999535,15874,873
886,999535,19371,370
887,999534,1176,175
888,999534,3914,913
889,999534,16133,132
890,999534,18439,438
891,999534,19474,473
892,999533,7864,863
893,999533,10920,919
894,999533,13486,485
895,999533,13960,959
896,999532,4946,945
897,999532,11172,171
898,999532,13611,610
899,999532,17729,728
900,999531,1294,293
901,999531,2847,846
902,999530,972,971
903,999530,5034,33
904,999530,18296,295
905,999529,166,165
906,999529,626,625
907,999529,3823,822
908,999529,8601,600
909,999529,9989,988
910,999529,9995,994
911,999529,13410,409
912,999528,16335,334
913,999527,4419,418
914,999526,14245,244
915,999526,19562,561
916,999525,13313,312
917,999525,19436,435
918,999524,2282,281
919,999524,15163,162
920,999524,18424,423
921,999523,5947,946
922,999523,6350,349
923,999523,6389,388
924,999523,18543,542
925,999523,19826,825
926,999522,1059,58
927,999522,4341,340
928,999522,13301,300
929,999521,3944,943
930,999521,5979,978
931,999521,7378,377
932,999521,8505,504
933,999521,15014,13
934,999521,19809,808
935,999520,1417,416
936,999520,2481,480
937,999520,2967,966
938,999520,6070,69
939,999520,9894,893
940,999520,12711,710
941,999519,10216,215
942,999519,14234,233
943,999519,16515,514
944,999519,17253,252
945,999518,1341,340
946,999518,4427,426
947,999518,7090,89
948,999518,15900,899
949,999518,19151,150
950,999517,239,238
951,999517,3813,812
952,999517,4186,185
953,999517,10040,39
954,999517,15771,770
955,999517,18947,946
956,999516,2412,411
957,999516,8362,361
958,999516,9361,360
959,999516,15318,317
960,999515,449,448
961,999515,2260,259
962,999515,10399,398
963,999514,3761,760
964,999514,4373,372
965,999514,6176,175
966,999514,9882,881
967,999514,11692,691
968,999514,11746,745
969,999514,12304,303
970,999514,12315,314
971,999514,13880,879
972,999514,16857,856
973,999513,1438,437
974,999513,2657,656
975,999513,5988,987
976,999513,12040,39
977,999513,14050,49
978,999512,928,927
979,999512,6602,601
980,999512,11244,243
981,999512,13715,714
982,999512,14292,291
983,999512,18329,328
984,999512,18970,969
985,999512,19868,867
986,999511,7752,751
987,999511,7910,909
988,999511,16402,401
989,999511,16806,805
990,999510,6660,659
991,999510,9768,767
992,999510,10886,885
993,999510,10941,940
994,999510,15224,223
995,999510,17813,812
996,999510,19613,612
997,999509,8308,307
998,999509,8776,775
999,999508,3669,668
1000,999508,5383,382
1001,999508,9201,200
1002,999508,18951,950
1003,999507,6349,348
1004,999507,8882,881
1005,999507,11520,519
1006,999507,17658,657
1007,999506,15212,211
1008,999506,15666,665
1009,999505,13721,720
1010,999505,15897,896
1011,999505,17947,946
1012,999504,4162,161
1013,999504,6788,787
1014,999504,8991,990
1015,999504,11008,7
1016,999504,11558,557
1017,999504,13731,730
1018,999504,14157,156
1019,999504,14293,292
1020,999504,17677,676
1021,999503,15335,334
1022,999503,15808,807
1023,999502,5260,259
1024,999502,7408,407
1025,999502,9798,797
1026,999502,10799,798
1027,999502,13026,25
1028,999502,17142,141
1029,999502,18989,988
1030,999501,18328,327
1031,999501,18334,333
1032,999501,19445,444
1033,999500,10184,183
1034,999500,15701,700
1035,999500,19545,544
1036,999500,19742,741
1037,999499,2467,466
1038,999499,5802,801
1039,999498,832,831
1040,999498,3531,530
1041,999498,14567,566
1042,999498,16346,345
1043,999497,6829,828
1044,999497,9964,963
1045,999497,16831,830
1046,999497,18506,505
1047,999496,12029,28
1048,999496,17357,356
1049,999495,17255,254
1050,999495,18317,316
1051,999494,332,331
1052,999494,554,553
1053,999494,1979,978
1054,999494,2648,647
1055,999494,13309,308
1056,999494,15513,512
1057,999494,16986,985
1058,999494,18072,71
1059,999493,580,579
1060,999493,4047,46
1061,999493,5239,238
1062,999493,15623,622
1063,999493,18427,426
1064,999492,13911,910
1065,999492,15881,880
1066,999492,19136,135
1067,999491,2802,801
1068,999491,3272,271
1069,999491,15696,695
1070,999491,18926,925
1071,999490,4984,983
1072,999490,8873,872
1073,999490,14052,51
1074,999490,16782,781
1075,999490,18465,464
1076,999489,11219,218
1077,999489,13841,840
1078,999489,15633,632
1079,999488,4567,566
1080,999488,11480,479
1081,999487,3055,54
1082,999487,7804,803
1083,999487,9228,227
1084,999487,11668,667
1085,999487,16082,81
1086,999486,2414,413
1087,999486,2841,840
1088,999486,3609,608
1089,999486,9125,124
1090,999486,15232,231
1091,999486,16344,343
1092,999485,5047,46
1093,999485,10415,414
1094,999485,12200,199
1095,999485,13199,198
1096,999485,17343,342
1097,999484,8,7
1098,999484,334,333
1099,999484,3922,921
1100,999484,7794,793
1101,999484,10314,313
1102,999484,14153,152
1103,999484,17039,38
1104,999483,3707,706
1105,999483,5379,378
1106,999483,10428,427
1107,999483,11448,447
1108,999483,14355,354
1109,999482,6075,74
1110,999482,7211,210
1111,999482,9867,866
1112,999482,10185,184
1113,999482,15461,460
1114,999482,16573,572
1115,999481,1241,240
1116,999481,19847,846
1117,999480,14155,154
1118,999480,17567,566
1119,999480,19736,735
1120,999479,14407,406
1121,999479,14864,863
1122,999478,7389,388
1123,999478,7496,495
1124,999478,11231,230
1125,999477,60,59
1126,999477,4393,392
1127,999477,6746,745
1128,999477,10730,729
1129,999476,2445,444
1130,999476,10639,638
1131,999476,15467,466
1132,999475,6465,464
1133,999475,14388,387
1134,999475,16482,481
1135,999475,17323,322
1136,999474,4208,207
1137,999474,7117,116
1138,999474,11233,232
1139,999474,15241,240
1140,999474,17356,355
1141,999474,19547,546
1142,999473,14314,313
1143,999472,493,492
1144,999472,5760,759
1145,999472,6411,410
1146,999471,1691,690
1147,999471,2748,747
1148,999471,5485,484
1149,999471,18631,630
1150,999470,1964,963
1151,999470,2904,903
1152,999470,8804,803
1153,999470,12772,771
1154,999470,16855,854
1155,999470,17165,164
1156,999469,3930,929
1157,999469,12961,960
1158,999469,13385,384
1159,999469,15915,914
1160,999469,17279,278
1161,999468,4816,815
1162,999468,10360,359
1163,999468,14076,75
1164,999468,18183,182
1165,999467,857,856
1166,999467,1101,100
1167,999467,7880,879
1168,999467,8135,134
