,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,1000000,1,1000000,-2002,998,999161,1,0
1,1000001,2,1000117,2,1,1000001,-19859,141
2,1000000,3,1000000,-1578,422,999943,3,2
3,1000001,9,1000109,9,8,1000001,-18039,961
4,1000000,10,1000000,-1395,605,999915,10,9
5,1000001,11,1003713,11,10,1000001,-17713,287
6,1000000,18,1000000,-1367,633,999524,18,17
7,1000001,20,1000181,20,19,1000001,-15586,414
8,1000001,23,1001818,23,22,1000001,-13447,553
9,1000000,24,1000000,-1221,779,999865,24,23
10,999999,26,999999,-18960,40,999834,26,25
11,1000001,28,1000724,28,27,1000001,-11244,756
12,999999,29,999999,-18452,548,999081,29,28
13,1000001,33,1001254,33,32,1000001,-10974,26
14,1000001,34,1000201,34,33,1000001,-9444,556
15,1000001,35,1002214,35,34,1000001,-9060,940
16,999999,38,999999,-12359,641,999268,38,37
17,999999,39,999999,-7272,728,999841,39,38
18,1000001,48,1000148,48,47,1000001,-8490,510
19,1000001,49,1000110,49,48,1000001,-8009,991
20,1000000,53,1000000,43,42,999734,53,52
21,1000001,54,1000385,54,53,1000001,-7998,2
22,1000001,55,1000428,55,54,1000001,-7378,622
23,999999,56,999999,-4810,190,999801,56,55
24,1000001,58,1000153,58,57,1000001,-5528,472
25,999999,61,999999,-3349,651,998158,61,60
26,999999,62,999999,-1403,597,999413,62,61
27,999999,63,999999,13,12,999782,63,62
28,1000001,64,1000600,64,63,1000001,-5409,591
29,1000001,67,1000145,67,66,1000001,-3474,526
30,999998,68,999998,-18647,353,999190,68,67
31,999998,73,999998,-17349,651,999032,73,72
32,999998,75,999998,-17189,811,999240,75,74
33,1000001,78,1000087,78,77,1000001,-3368,632
34,999998,81,999998,-11349,651,999859,81,80
35,1000001,82,1000189,82,81,1000001,-1872,128
36,1000001,83,1000046,83,82,1000001,-472,528
37,999998,85,999998,-10189,811,998764,85,84
38,1000002,86,1006117,86,85,1000002,-18904,96
39,1000002,93,1000280,93,92,1000002,-18657,343
40,1000002,94,1000679,94,93,1000002,-17489,511
41,1000002,95,1002566,95,94,1000002,-15794,206
42,999998,96,999998,-8378,622,998765,96,95
43,999998,97,999998,-7655,345,999966,97,96
44,1000002,99,1001759,99,98,1000002,-14683,317
45,999998,104,999998,-7145,855,998697,104,103
46,999998,106,999998,-6285,715,999932,106,105
47,999998,107,999998,-4958,42,999997,107,106
48,1000002,110,1001377,110,109,1000002,-13700,300
49,999998,114,999998,-2997,3,999333,114,113
50,1000002,118,1001261,118,117,1000002,-12794,206
51,1000002,119,1000498,119,118,1000002,-12489,511
52,999997,122,999997,-18934,66,999826,122,121
53,1000002,124,1000232,124,123,1000002,-9744,256
54,999997,125,999997,-18739,261,999568,125,124
55,999997,127,999997,-14344,656,998600,127,126
56,1000002,129,1000736,129,128,1000002,-8794,206
57,999997,134,999997,-11483,517,999932,134,133
58,999997,135,999997,-10008,992,999909,135,134
59,999997,137,999997,-9775,225,999512,137,136
60,999997,138,999997,-5904,96,999741,138,137
61,999997,139,999997,-4368,632,999853,139,138
62,1000002,143,1000239,143,142,1000002,-6994,6
63,999997,145,999997,-4234,766,998348,145,144
64,999997,148,999997,-1141,859,999883,148,147
65,1000002,149,1000080,149,148,1000002,-6744,256
66,1000002,154,1000219,154,153,1000002,-6195,805
67,999996,155,999996,-18510,490,999742,155,154
68,999996,157,999996,-18500,500,999896,157,156
69,999996,159,999996,-18244,756,999629,159,158
70,1000002,160,1000032,160,159,1000002,-6173,827
71,1000002,161,1000388,161,160,1000002,-6170,830
72,1000002,163,1000695,163,162,1000002,-4951,49
73,999996,170,999996,-17099,901,999782,170,169
74,999996,171,999996,-15328,672,999399,171,170
75,1000002,173,1000108,173,172,1000002,-4624,376
76,1000002,177,1000347,177,176,1000002,-4285,715
77,1000002,178,1000104,178,177,1000002,-4217,783
78,1000000,179,1000000,174,173,996239,179,178
79,999996,181,999996,-15227,773,999761,181,180
80,1000002,185,1000520,185,184,1000002,-3958,42
81,999996,190,999996,-11338,662,999755,190,189
82,999996,191,999996,-11145,855,999687,191,190
83,999996,193,999996,-10144,856,998727,193,192
84,999996,194,999996,-8272,728,999372,194,193
85,999996,198,999996,-7794,206,999820,198,197
86,999996,199,999996,-7775,225,999868,199,198
87,1000002,201,1000064,201,200,1000002,-244,756
88,1000003,202,1001623,202,201,1000003,-19571,429
89,1000003,204,1000473,204,203,1000003,-19226,774
90,1000003,205,1000553,205,204,1000003,-17069,931
91,999996,206,999996,-7328,672,998531,206,205
92,1000003,209,1001334,209,208,1000003,-16578,422
93,999996,214,999996,-7099,901,999792,214,213
94,1000002,217,1000024,217,216,1000002,211,210
95,999996,223,999996,-6812,188,999298,223,222
96,1000003,225,1000616,225,224,1000003,-16360,640
97,1000003,226,1000070,226,225,1000003,-16234,766
98,1000003,232,1000047,232,231,1000003,-9328,672
99,1000003,233,1000068,233,232,1000003,-9209,791
100,999996,234,999996,-4860,140,999640,234,233
101,1000003,238,1000596,238,237,1000003,-4367,633
102,1000003,240,1000454,240,239,1000003,-4026,974
103,999996,242,999996,-4120,880,999546,242,241
104,1000003,243,1002146,243,242,1000003,-3489,511
105,1000003,246,1000268,246,245,1000003,-2893,107
106,999996,251,999996,-3794,206,999428,251,250
107,999996,253,999996,-3015,985,999938,253,252
108,999996,257,999996,-166,834,999966,257,256
109,999996,258,999996,-108,892,999979,258,257
110,1000003,259,1001494,259,258,1000003,-2464,536
111,1000004,261,1000015,261,260,1000004,-19244,756
112,1000004,262,1000117,262,261,1000004,-18296,704
113,1000004,263,1000102,263,262,1000004,-14263,737
114,1000004,265,1000039,265,264,1000004,-9683,317
115,999995,267,999995,-19276,724,999439,267,266
116,999995,271,999995,-18748,252,999932,271,270
117,1000004,272,1000492,272,271,1000004,-8733,267
118,1000004,275,1000399,275,274,1000004,-5478,522
119,1000004,278,1000048,278,277,1000004,-3598,402
120,1000004,279,1000242,279,278,1000004,-3335,665
121,999995,281,999995,-16951,49,999901,281,280
122,999995,282,999995,-16630,370,999285,282,281
123,999995,284,999995,-14617,383,999007,284,283
124,1000004,286,1000926,286,285,1000004,-2951,49
125,1000004,289,1000044,289,288,1000004,-2681,319
126,999995,294,999995,-14572,428,999303,294,293
127,1000004,295,1000021,295,294,1000004,-617,383
128,1000005,297,1002382,297,296,1000005,-19633,367
129,999995,298,999995,-14409,591,999255,298,297
130,999995,299,999995,-14151,849,999962,299,298
131,1000005,303,1000830,303,302,1000005,-18930,70
132,1000005,304,1000125,304,303,1000005,-18300,700
133,999995,306,999995,-13350,650,998332,306,305
134,999995,308,999995,-12970,30,999975,308,307
135,999995,309,999995,-12747,253,999523,309,308
136,1000005,310,1000057,310,309,1000005,-17365,635
137,1000005,311,1000599,311,310,1000005,-15602,398
138,1000005,313,1000489,313,312,1000005,-14886,114
139,999995,317,999995,-11744,256,999822,317,316
