,PRICE
0,1000000
1,1000000
2,1000000
3,1000001
4,1000000
5,1000000
6,1000000
7,1000000
8,1000000
9,1000000
10,1000001
11,1000000
12,1000001
13,1000001
14,1000001
15,1000001
16,1000001
17,1000001
18,1000001
19,1000000
20,1000000
21,1000001
22,1000001
23,1000001
24,1000001
25,1000000
26,1000000
27,999999
28,999999
29,1000001
30,999999
31,999999
32,999999
33,999999
34,1000001
35,1000001
36,1000001
37,1000001
38,1000001
39,999999
40,999999
41,999999
42,999999
43,999999
44,999999
45,999999
46,999999
47,999999
48,999999
49,1000001
50,1000001
51,1000001
52,1000001
53,1000001
54,1000000
55,1000001
56,1000001
57,999999
58,999999
59,1000001
60,1000001
61,1000001
62,999999
63,999999
64,999999
65,1000001
66,1000001
67,1000001
68,1000001
69,999998
70,999998
71,999998
72,999998
73,999998
74,999998
75,999998
76,999998
77,999998
78,999998
79,1000001
80,1000001
81,1000001
82,999998
83,1000001
84,1000001
85,1000001
86,999998
87,1000002
88,1000002
89,1000002
90,1000002
91,1000002
92,1000002
93,1000002
94,1000002
95,1000002
96,1000002
97,999998
98,999998
99,999998
100,1000002
101,1000002
102,1000002
103,1000002
104,1000002
105,999998
106,999998
107,999998
108,999998
109,999998
110,999998
111,1000002
112,1000002
113,1000002
114,1000002
115,999998
116,999998
117,999998
118,999998
119,1000002
120,1000002
121,1000002
122,1000002
123,999997
124,999997
125,1000002
126,999997
127,999997
128,999997
129,999997
130,1000002
131,1000002
132,1000002
133,1000002
134,1000002
135,999997
136,999997
137,999997
138,999997
139,999997
140,999997
141,999997
142,999997
143,999997
144,1000002
145,1000002
146,999997
147,999997
148,999997
149,999997
150,1000002
151,1000002
152,1000002
153,1000002
154,1000002
155,1000002
156,999996
157,999996
158,999996
159,999996
160,999996
161,1000002
162,1000002
163,1000002
164,1000002
165,1000002
166,1000002
167,1000002
168,1000002
169,1000002
170,1000002
171,999996
172,999996
173,999996
174,1000002
175,1000002
176,1000002
177,1000002
178,1000002
179,1000002
180,1000000
181,1000000
182,999996
183,999996
184,999996
185,999996
186,1000002
187,1000002
188,1000002
189,1000002
190,1000002
191,999996
192,999996
193,999996
194,999996
195,999996
196,999996
197,999996
198,999996
199,999996
200,999996
201,999996
202,1000002
203,1000003
204,1000003
205,1000003
206,1000003
207,999996
208,999996
209,999996
210,1000003
211,1000003
212,1000003
213,1000003
214,1000003
215,999996
216,999996
217,999996
218,1000002
219,1000002
220,1000002
221,1000002
222,1000002
223,1000002
224,999996
225,999996
226,1000003
227,1000003
228,1000003
229,1000003
230,1000003
231,1000003
232,1000003
233,1000003
234,1000003
235,999996
236,999996
237,999996
238,999996
239,1000003
240,1000003
241,1000003
242,1000003
243,999996
244,1000003
245,1000003
246,1000003
247,1000003
248,1000003
249,1000003
250,1000003
251,1000003
252,999996
253,999996
254,999996
255,999996
256,999996
257,999996
258,999996
259,999996
260,1000003
261,1000003
262,1000004
263,1000004
264,1000004
265,1000004
266,1000004
267,1000004
268,999995
269,999995
270,999995
271,999995
272,999995
273,1000004
274,1000004
275,1000004
276,1000004
277,1000004
278,1000004
279,1000004
280,1000004
281,1000004
282,999995
283,999995
284,999995
285,999995
286,999995
287,1000004
288,1000004
289,1000004
290,1000004
291,1000004
292,1000004
293,1000004
294,1000004
295,999995
296,1000004
297,1000004
298,1000005
299,999995
300,999995
301,999995
302,999995
303,999995
304,1000005
305,1000005
306,1000005
307,999995
308,999995
309,999995
310,999995
311,1000005
312,1000005
313,1000005
314,1000005
315,1000005
316,1000005
317,1000005
318,999995
319,999995
320,999995
321,999995
322,999995
323,999995
324,1000005
325,1000005
326,1000005
327,999995
328,999995
329,999995
330,999995
331,999995
332,999995
333,999995
334,999995
335,999995
336,999995
337,1000005
338,1000005
339,1000005
340,1000005
341,1000005
342,999995
343,999995
344,1000005
345,1000005
346,1000005
347,1000005
348,1000005
349,999995
350,999995
351,999995
352,999995
353,1000005
354,1000005
355,999995
356,1000005
357,1000005
358,1000005
359,1000006
360,1000006
361,999995
362,999995
363,999995
364,999995
365,999995
366,999995
367,999995
368,999995
369,999995
370,1000006
371,1000006
372,1000006
373,1000006
374,1000006
375,999995
376,999995
377,999995
378,999995
379,1000006
380,1000006
381,1000006
382,999995
383,999995
384,1000006
385,999994
386,999994
387,999994
388,999994
389,999994
390,1000006
391,1000006
392,1000006
393,999994
394,999994
395,1000006
396,1000006
397,999994
398,999994
399,1000006
400,1000006
401,999994
402,999994
403,999994
404,1000004
405,1000004
406,1000006
407,999994
408,999994
409,999994
410,999994
411,999994
412,999994
413,999994
414,999994
415,999994
416,999994
417,999994
418,1000006
419,999994
420,999994
421,1000006
422,1000006
423,1000006
424,1000006
425,1000006
426,1000006
427,1000006
428,1000006
429,1000006
430,1000006
431,1000006
432,1000006
433,999994
434,999994
435,999994
436,999994
437,999994
438,1000006
439,1000006
440,1000006
441,999994
442,999993
443,1000006
444,1000006
445,1000007
446,1000007
447,1000007
448,999993
449,999993
450,999993
451,999993
452,1000007
453,1000007
454,999993
455,1000007
456,1000007
457,1000007
458,1000007
459,999993
460,999993
461,999993
462,999993
463,999993
464,999993
465,999993
466,999993
467,999993
468,999993
469,999993
470,999993
471,999993
472,999993
473,999993
474,999993
475,999993
476,999993
477,999993
478,999994
479,999993
480,999993
481,999993
482,999993
483,999993
484,999993
485,999993
486,1000007
487,999993
488,999993
489,999993
490,999993
491,999993
492,999993
493,1000007
494,1000007
495,1000007
496,1000007
497,1000007
498,1000007
499,999997
500,999997
501,999997
502,1000001
503,999993
504,1000007
505,999993
506,1000007
507,1000007
508,999993
509,999993
510,999993
511,999993
512,999993
513,999993
514,999993
515,1000007
516,999993
517,999993
518,1000007
519,1000007
520,999993
521,999993
522,999993
523,1000008
524,1000008
525,1000008
526,1000008
527,999992
528,999992
529,999992
530,999992
531,1000008
532,1000008
533,1000008
534,1000008
535,1000008
536,1000008
537,1000008
538,1000008
539,1000008
540,1000008
541,1000008
542,999992
543,1000008
544,999992
545,999992
546,999992
547,999992
548,999992
549,1000008
550,1000008
551,1000008
552,1000008
553,999992
554,999992
555,999992
556,999992
557,1000008
558,1000008
559,1000008
560,1000008
561,999992
562,999992
563,999992
564,999992
565,999992
566,999992
567,999992
568,999992
569,999992
570,1000008
571,999992
572,999992
573,999992
574,999992
575,999992
576,999992
577,999992
578,1000008
579,1000008
580,1000009
581,1000009
582,1000009
583,1000009
584,1000007
585,1000009
586,1000009
587,1000009
588,1000009
589,1000009
590,999992
591,1000009
592,1000009
593,1000009
594,1000009
595,1000009
596,1000009
597,1000009
598,999992
599,999992
600,999992
601,999992
602,999992
603,999992
604,999992
605,999992
606,999992
607,999992
608,999992
609,999992
610,1000004
611,1000004
612,1000000
613,1000000
614,999991
615,1000009
616,1000009
617,1000009
618,1000009
619,999991
620,1000009
621,1000009
622,1000009
623,1000009
624,1000009
625,1000009
626,1000009
627,1000009
628,1000009
629,1000009
630,1000009
631,1000009
632,1000009
633,1000009
634,1000009
635,1000009
636,1000009
637,1000009
638,999991
639,999991
640,999991
641,999991
642,999991
643,1000010
644,999991
645,999991
646,999991
647,1000010
648,1000010
649,1000010
650,1000010
651,1000010
652,1000010
653,1000010
654,1000010
655,1000010
656,1000002
657,1000002
658,999991
659,999991
660,1000010
661,999991
662,999991
663,999991
664,999991
665,1000010
666,1000010
667,1000010
668,1000010
669,1000010
670,1000010
671,999991
672,999991
673,999991
674,999991
675,999991
676,999991
677,999991
678,999997
679,999997
680,999991
681,1000011
682,1000011
683,999991
684,999991
685,999991
686,1000011
687,1000011
688,999991
689,999991
690,999991
691,999991
692,1000011
693,999991
694,999991
695,999991
696,999991
697,999991
698,1000008
699,999991
700,1000011
701,999990
702,999990
703,999990
704,999990
705,999990
706,999990
707,1000009
708,1000009
709,1000011
710,1000011
711,1000011
712,1000011
713,1000011
714,999990
715,999990
716,999990
717,1000011
718,1000011
719,1000011
720,999990
721,999990
722,999990
723,999990
724,999990
725,1000011
726,1000011
727,1000011
728,999990
729,999990
730,999990
731,999990
732,999990
733,999990
734,999990
735,999990
736,999990
737,999990
738,999990
739,1000011
740,1000011
741,1000011
742,1000011
743,1000011
744,1000011
745,1000011
746,1000011
747,999990
748,999990
749,1000011
750,1000011
751,1000011
752,999990
753,999990
754,999990
755,999990
756,999990
757,999990
758,999990
759,1000011
760,1000011
761,1000011
762,1000011
763,1000011
764,1000011
765,1000011
766,1000011
767,1000011
768,1000011
769,999989
770,999989
771,999989
772,999989
773,1000011
774,999989
775,999989
776,1000011
777,1000011
778,1000011
779,999989
780,999989
781,999989
782,999989
783,999989
784,999989
785,1000012
786,999989
787,1000012
788,1000012
789,1000012
790,1000012
791,1000012
792,1000012
793,1000012
794,999989
795,999989
796,999989
797,1000012
798,1000012
799,999989
800,999989
801,1000012
802,1000012
803,999989
804,999989
805,999989
806,999989
807,999997
808,999989
809,999989
810,1000012
811,1000012
812,1000012
813,1000012
814,1000012
815,1000012
816,1000012
817,999992
818,999992
819,999992
820,999992
821,999992
822,999989
823,999989
824,1000012
825,1000012
826,999988
827,1000012
828,1000012
829,1000013
830,999988
831,999988
832,1000013
833,1000013
834,1000013
835,1000013
836,1000013
837,1000013
838,1000013
839,1000013
840,999988
841,999988
842,999988
843,999988
844,999988
845,999988
846,999988
847,999988
848,999988
849,999988
850,999988
851,999988
852,1000007
853,1000007
854,1000013
855,1000013
856,1000013
857,1000013
858,1000013
859,999988
860,999988
861,999988
862,999988
863,999988
864,1000013
865,1000013
866,1000013
867,1000013
868,999988
869,999988
870,999988
871,1000013
872,1000013
873,1000013
874,1000013
875,999988
876,999988
877,999988
878,999988
879,999988
880,999988
881,1000013
882,1000013
883,1000013
884,999988
885,999988
886,999988
887,999988
888,999988
889,999988
890,1000013
891,1000013
892,1000013
893,1000013
894,1000013
895,1000013
896,1000013
897,1000013
898,1000013
899,1000013
900,1000013
901,1000013
902,999988
903,999988
904,999988
905,999988
906,999988
907,999988
908,999988
909,999988
910,999988
911,999988
912,1000001
913,1000001
914,1000001
915,999987
916,1000013
917,1000013
918,1000013
919,1000013
920,1000013
921,1000013
922,1000013
923,999987
924,999987
925,1000013
926,999987
927,999987
928,999987
929,999987
930,999987
931,999987
932,999987
933,999987
934,1000013
935,1000013
936,1000013
937,1000013
938,999987
939,999987
940,999987
941,999987
942,999987
943,999987
944,999987
945,999987
946,999987
947,1000014
948,1000014
949,999987
950,999987
951,999987
952,999987
953,999987
954,999987
955,999987
956,1000014
957,1000014
958,1000014
959,999987
960,999987
961,999987
962,999987
963,999987
964,1000014
965,1000014
966,999986
967,999986
968,999986
969,999986
970,999986
971,999986
972,999986
973,999986
974,999986
975,1000014
976,999986
977,999986
978,999986
979,999986
980,1000014
981,1000014
982,1000014
983,1000014
984,1000014
985,1000014
986,1000014
987,1000014
988,1000014
989,1000014
990,1000014
991,999986
992,999986
993,1000014
994,1000014
995,999986
996,999986
997,999986
998,999986
999,999986
1000,999986
1001,999986
1002,999986
1003,999986
1004,999986
1005,999986
1006,999986
1007,999986
1008,999986
1009,1000014
1010,1000014
1011,999986
1012,999986
1013,999986
1014,999986
1015,999986
1016,999986
1017,999986
1018,999986
1019,999986
1020,999986
1021,1000002
1022,1000002
1023,1000002
1024,1000002
1025,1000002
1026,999986
1027,999986
1028,999986
1029,999986
1030,999986
1031,1000014
1032,999986
1033,1000014
1034,1000014
1035,1000014
1036,999986
1037,1000015
1038,1000015
1039,1000015
1040,1000015
1041,1000015
1042,1000015
1043,1000015
1044,1000015
1045,1000015
1046,999986
1047,999986
1048,999986
1049,999986
1050,999986
1051,999986
1052,999986
1053,999986
1054,999986
1055,999986
1056,999986
1057,999986
1058,999986
1059,999986
1060,999986
1061,999986
1062,999985
1063,999985
1064,999985
1065,999985
1066,1000015
1067,1000015
1068,1000015
1069,1000015
1070,1000015
1071,999985
1072,1000015
1073,1000015
1074,1000015
1075,1000015
1076,1000015
1077,1000015
1078,1000015
1079,1000015
1080,1000015
1081,1000015
1082,1000015
1083,1000015
1084,1000015
1085,1000015
1086,1000015
1087,1000015
1088,999985
1089,1000015
1090,1000015
1091,1000015
1092,999985
1093,999985
1094,999985
1095,1000016
1096,1000016
1097,1000016
1098,1000016
1099,1000016
1100,1000016
1101,1000016
1102,1000016
1103,1000001
1104,1000001
1105,1000001
1106,1000001
1107,1000001
1108,1000001
1109,1000001
1110,1000001
1111,1000001
1112,1000001
1113,1000016
1114,1000016
1115,1000016
1116,1000016
1117,1000016
1118,1000016
1119,1000016
1120,1000016
1121,999999
1122,999985
1123,999985
1124,1000016
1125,999985
1126,999985
1127,999985
1128,999985
1129,999985
1130,1000016
1131,1000016
1132,1000016
1133,1000016
1134,999985
1135,1000016
1136,1000016
1137,1000016
1138,999985
1139,999985
1140,999984
1141,999984
1142,999984
1143,999984
1144,1000016
1145,999984
1146,999984
1147,999984
1148,999984
1149,999984
1150,999984
1151,999984
1152,999984
1153,1000016
1154,999984
1155,1000016
1156,1000016
1157,1000017
1158,1000017
1159,1000017
1160,999984
1161,999984
1162,999984
1163,1000017
1164,1000017
1165,999984
1166,999984
1167,999984
1168,999984
1169,999984
1170,999984
1171,1000017
1172,999984
1173,999984
1174,999984
1175,999984
1176,1000017
1177,1000017
1178,1000017
1179,999984
1180,999984
1181,1000017
1182,999984
1183,1000017
1184,999984
1185,999984
1186,1000017
1187,1000017
1188,999984
1189,1000017
1190,1000017
1191,1000017
1192,999984
1193,999983
1194,999983
1195,999983
1196,999983
1197,1000017
1198,1000017
1199,1000017
1200,1000017
1201,1000017
1202,1000017
1203,999983
1204,1000017
1205,999983
1206,999983
1207,999983
1208,999983
1209,999983
1210,999983
1211,999983
1212,999983
1213,999983
1214,999983
1215,999983
1216,999983
1217,999983
1218,999983
1219,1000015
1220,1000015
1221,1000015
1222,1000015
1223,1000015
1224,1000015
1225,1000015
1226,1000017
1227,1000017
1228,1000017
1229,1000017
1230,1000017
1231,1000017
1232,1000017
1233,1000008
1234,1000017
1235,999983
1236,1000018
1237,999983
1238,999983
1239,1000018
1240,1000018
1241,999983
1242,999983
1243,999983
1244,999983
1245,1000018
1246,1000018
1247,999983
1248,999983
1249,999991
1250,999991
1251,999991
1252,1000018
1253,1000018
1254,1000018
1255,1000018
1256,1000018
1257,1000018
1258,1000018
1259,1000018
1260,1000018
1261,1000018
1262,1000009
1263,1000009
1264,1000018
1265,1000018
1266,1000018
1267,1000018
1268,1000018
1269,1000018
1270,1000018
1271,1000018
1272,999983
1273,999983
1274,1000018
1275,1000018
1276,1000018
1277,1000018
1278,1000018
1279,999982
1280,1000018
1281,1000018
1282,1000018
1283,1000018
1284,1000018
1285,1000018
1286,1000018
1287,1000018
1288,999982
1289,999982
1290,999982
1291,999982
1292,1000018
1293,1000018
1294,1000018
1295,1000018
1296,1000018
1297,999982
1298,999982
1299,999982
1300,1000018
1301,999982
1302,999982
1303,999982
1304,999982
1305,999982
1306,999982
1307,999982
1308,999982
1309,999991
1310,999991
1311,999991
1312,999982
1313,999982
1314,999982
1315,999982
1316,999982
1317,999982
1318,999982
1319,999982
1320,999982
1321,999982
1322,999982
1323,999982
1324,999982
1325,999982
1326,1000018
1327,1000018
1328,1000018
1329,1000018
1330,999982
1331,999981
1332,999981
1333,1000002
1334,1000002
1335,1000002
1336,1000002
1337,1000018
1338,999981
1339,999981
1340,999981
1341,999981
1342,999981
1343,999981
1344,999981
1345,999981
1346,999981
1347,999981
1348,999981
1349,1000018
1350,1000018
1351,1000018
1352,999981
1353,999981
1354,1000000
1355,1000000
1356,1000000
1357,1000018
1358,999981
1359,999981
1360,1000018
1361,1000018
1362,1000018
1363,1000019
1364,999981
1365,999981
1366,999981
1367,999981
1368,999981
1369,999981
1370,999981
1371,999981
1372,999981
1373,999981
1374,1000019
1375,1000019
1376,1000019
1377,1000019
1378,1000019
1379,1000019
1380,1000019
1381,1000019
1382,1000019
1383,1000019
1384,1000019
1385,1000019
1386,1000019
1387,1000019
1388,1000019
1389,1000019
1390,999981
1391,999981
1392,1000019
1393,1000019
1394,1000019
1395,1000019
1396,1000019
1397,1000019
1398,1000019
1399,1000019
1400,999981
1401,999981
1402,999981
1403,999981
1404,999981
1405,1000019
1406,999981
1407,999981
1408,999981
1409,999981
1410,1000019
1411,1000019
1412,1000019
1413,1000019
1414,1000019
1415,1000019
1416,999981
1417,999981
1418,999981
1419,999981
1420,999981
1421,1000016
1422,1000016
1423,999981
1424,999981
1425,999981
1426,999981
1427,999981
1428,1000018
1429,1000019
1430,1000019
1431,1000019
1432,1000019
1433,999981
1434,999981
1435,999981
1436,999981
1437,999981
1438,1000012
1439,1000012
1440,1000019
1441,1000019
1442,1000019
1443,1000019
1444,1000019
1445,1000019
1446,1000019
1447,1000019
1448,1000019
1449,1000017
1450,999981
1451,999981
1452,999981
1453,999981
1454,999981
1455,999981
1456,999981
1457,999980
1458,999980
1459,999980
1460,999980
1461,999980
1462,999980
1463,999980
1464,999980
1465,999980
1466,1000019
1467,1000019
1468,1000019
1469,1000001
1470,1000001
1471,999980
1472,999980
1473,999985
1474,999985
1475,999985
1476,1000019
1477,1000019
1478,1000019
1479,1000019
1480,1000019
1481,1000019
1482,1000020
1483,1000020
1484,999980
1485,999980
1486,1000020
1487,1000020
1488,1000020
1489,1000020
1490,1000020
1491,1000020
1492,1000020
1493,1000020
1494,1000020
1495,1000020
1496,1000020
1497,1000020
1498,1000020
1499,1000020
1500,1000020
1501,1000020
1502,1000020
1503,1000020
1504,1000020
1505,999992
1506,1000020
1507,1000020
1508,1000020
1509,1000020
1510,1000020
1511,1000020
1512,1000020
1513,1000020
1514,999989
1515,999986
1516,999986
1517,999980
1518,999980
1519,999980
1520,999980
1521,1000014
1522,1000014
1523,1000014
1524,1000014
1525,1000014
1526,1000014
1527,1000014
1528,1000014
1529,1000014
1530,999987
1531,999980
1532,999980
1533,999980
1534,999980
1535,999984
1536,999984
1537,999988
1538,999988
1539,999980
1540,999980
1541,1000021
1542,999980
1543,999980
1544,999980
1545,999980
1546,999980
1547,999980
1548,999980
1549,999980
1550,999980
1551,999980
1552,1000021
1553,1000021
1554,1000021
1555,1000021
1556,1000021
1557,1000021
1558,1000021
1559,1000021
1560,999980
1561,999980
1562,1000021
1563,1000021
1564,999980
1565,999980
1566,999980
1567,999980
1568,999980
1569,999980
1570,999980
1571,999980
1572,999980
1573,999980
1574,999980
1575,999980
1576,1000021
1577,1000021
1578,999980
1579,999980
1580,999980
1581,1000021
1582,1000021
1583,1000021
1584,1000021
1585,1000021
1586,999980
1587,999980
1588,999980
1589,999980
1590,999980
1591,999980
1592,999980
1593,999980
1594,1000021
1595,1000021
1596,1000021
1597,1000021
1598,999986
1599,999986
1600,999980
1601,999980
1602,1000022
1603,1000022
1604,1000022
1605,1000022
1606,1000022
1607,1000022
1608,1000022
1609,1000022
1610,1000022
1611,1000022
1612,1000022
1613,1000022
1614,999980
1615,999980
1616,999980
1617,999980
1618,999980
1619,999980
1620,999980
1621,999991
1622,999991
1623,999991
1624,999991
1625,999991
1626,999991
1627,999991
1628,1000002
1629,999980
1630,999980
1631,999980
1632,999980
1633,999980
1634,999980
1635,999980
1636,999982
1637,1000015
1638,1000015
1639,1000022
1640,1000022
1641,1000022
1642,1000022
1643,1000022
1644,1000022
1645,1000022
1646,1000022
