,PRICE,TIME,ID
0,1000300,6542,541
1,1000300,8060,59
2,1000300,14244,243
3,1000300,14418,417
4,1000300,15839,838
5,1000300,17088,87
6,1000301,950,949
7,1000301,9450,449
8,1000301,17643,642
9,1000301,18590,589
10,1000301,19964,963
11,1000302,629,628
12,1000302,9732,731
13,1000302,16697,696
14,1000303,3220,219
15,1000303,8667,666
16,1000304,4300,299
17,1000304,4778,777
18,1000304,7300,299
19,1000304,14603,602
20,1000304,15305,304
21,1000305,4136,135
22,1000305,4957,956
23,1000305,8788,787
24,1000305,10507,506
25,1000305,14704,703
26,1000305,17374,373
27,1000306,2145,144
28,1000306,13792,791
29,1000307,3884,883
30,1000307,12754,753
31,1000307,15150,149
32,1000308,11757,756
33,1000308,19248,247
34,1000308,19419,418
35,1000309,13843,842
36,1000309,19502,501
37,1000310,3264,263
38,1000310,5348,347
39,1000310,5370,369
40,1000310,9291,290
41,1000310,9897,896
42,1000310,14339,338
43,1000310,14357,356
44,1000310,14489,488
45,1000311,2911,910
46,1000311,12443,442
47,1000312,10065,64
48,1000312,15624,623
49,1000312,15732,731
50,1000312,17458,457
51,1000313,578,577
52,1000313,1693,692
53,1000313,7232,231
54,1000313,13159,158
55,1000313,13640,639
56,1000313,17186,185
57,1000313,18610,609
58,1000313,18711,710
59,1000314,8156,155
60,1000314,8238,237
61,1000314,8748,747
62,1000314,9000,999
63,1000314,9247,246
64,1000314,17443,442
65,1000315,5151,150
66,1000315,13108,107
67,1000315,13619,618
68,1000315,19500,499
69,1000316,1445,444
70,1000316,14215,214
71,1000317,3316,315
72,1000317,5140,139
73,1000317,6089,88
74,1000317,6150,149
75,1000317,15738,737
76,1000318,2399,398
77,1000318,2615,614
78,1000318,7498,497
79,1000318,14040,39
80,1000318,16276,275
81,1000319,917,916
82,1000319,3202,201
83,1000319,14356,355
84,1000319,15789,788
85,1000319,16487,486
86,1000319,17080,79
87,1000319,19215,214
88,1000319,19771,770
89,1000320,19,18
90,1000320,329,328
91,1000320,5443,442
92,1000320,6271,270
93,1000320,9757,756
94,1000321,4909,908
95,1000321,7974,973
96,1000321,10283,282
97,1000321,10677,676
98,1000321,12449,448
99,1000321,13074,73
100,1000321,13174,173
101,1000321,15939,938
102,1000321,16043,42
103,1000322,1414,413
104,1000322,1441,440
105,1000322,4583,582
106,1000322,7651,650
107,1000322,8498,497
108,1000322,11333,332
109,1000322,11915,914
110,1000322,12392,391
111,1000322,14351,350
112,1000322,15818,817
113,1000322,18261,260
114,1000322,18497,496
115,1000323,4728,727
116,1000323,7958,957
117,1000323,10724,723
118,1000323,11782,781
119,1000323,12591,590
120,1000323,15396,395
121,1000323,18206,205
122,1000323,19677,676
123,1000324,5708,707
124,1000325,1626,625
125,1000325,5012,11
126,1000325,7451,450
127,1000325,8101,100
128,1000325,11830,829
129,1000326,426,425
130,1000326,3105,104
131,1000326,3165,164
132,1000326,4284,283
133,1000326,4823,822
134,1000326,6488,487
135,1000326,6724,723
136,1000326,6889,888
137,1000326,9973,972
138,1000326,11767,766
139,1000326,13413,412
140,1000326,14104,103
141,1000326,14468,467
142,1000327,2302,301
143,1000327,10641,640
144,1000327,10857,856
145,1000327,13800,799
146,1000327,14473,472
147,1000327,14754,753
148,1000327,15395,394
149,1000327,17631,630
150,1000327,18719,718
151,1000328,1924,923
152,1000328,9253,252
153,1000328,9760,759
154,1000328,10301,300
155,1000328,11037,36
156,1000328,12436,435
157,1000328,12642,641
158,1000328,13157,156
159,1000328,13249,248
160,1000329,6702,701
161,1000329,9097,96
162,1000329,10676,675
163,1000329,11539,538
164,1000329,13217,216
165,1000329,14160,159
166,1000329,15914,913
167,1000329,17480,479
168,1000330,2514,513
169,1000330,6034,33
170,1000330,8442,441
171,1000330,9283,282
172,1000330,9371,370
173,1000330,11641,640
174,1000330,12592,591
175,1000331,4189,188
176,1000331,15751,750
177,1000331,19924,923
178,1000332,1656,655
179,1000332,2341,340
180,1000332,3839,838
181,1000332,8999,998
182,1000332,10727,726
183,1000332,12823,822
184,1000332,16643,642
185,1000333,3522,521
186,1000333,10413,412
187,1000333,11254,253
188,1000333,17553,552
189,1000333,19675,674
190,1000334,1454,453
191,1000334,3493,492
192,1000334,6765,764
193,1000334,9840,839
194,1000334,12561,560
195,1000334,15429,428
