,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,1000003,1,1000003,-19291,709,1000002,1,-2
1,1000003,2,1000003,-17944,56,1000002,2,-2
2,1000003,2,1000003,-17022,978,1000002,2,-2
3,1000003,3,1000003,-15279,721,1000002,3,-2
4,1000003,3,1000003,-13610,390,1000002,3,-2
5,1000003,4,1000003,-12408,592,1000002,4,-2
6,1000003,4,1000003,-10839,161,999830,4,3
7,1000003,4,1000003,-9970,30,1000002,4,-2
8,1000003,5,1000003,-7585,415,1000002,5,-2
9,1000003,5,1000003,-5584,416,1000002,5,-2
10,1000003,6,1000003,-4792,208,1000002,6,-2
11,1000003,6,1000003,-4526,474,1000002,6,-2
12,1000003,7,1000003,-3815,185,1000002,7,-2
13,1000003,7,1000003,-3595,405,999943,7,6
14,1000003,7,1000003,-2937,63,1000002,7,-2
15,1000003,8,1000003,-676,324,1000002,8,-2
16,1000003,8,1000003,-226,774,999122,8,7
17,1000002,8,1000002,-19751,249,1000001,8,-2
18,1000002,9,1000002,-18107,893,1000001,9,-2
19,1000002,9,1000002,-17549,451,1000001,9,-2
20,1000002,10,1000002,-17391,609,1000001,10,-2
21,1000002,10,1000002,-16004,996,999733,10,9
22,1000002,10,1000002,-15031,969,1000001,10,-2
23,1000002,11,1000002,-14287,713,1000001,11,-2
24,1000002,11,1000002,-12329,671,1000001,11,-2
25,1000002,12,1000002,-12211,789,1000001,12,-2
26,1000002,12,1000002,-11370,630,999868,12,11
27,1000002,12,1000002,-9518,482,1000001,12,-2
28,1000002,13,1000002,-4796,204,1000001,13,-2
29,1000002,13,1000002,-4750,250,1000001,13,-2
30,1000002,14,1000002,-4228,772,1000001,14,-2
31,1000001,14,1000001,-19211,789,1000000,14,-2
32,1000001,15,1000001,-17933,67,1000000,15,-2
33,1000001,15,1000001,-15160,840,1000000,15,-2
34,1000001,16,1000001,-15059,941,1000000,16,-2
35,1000001,16,1000001,-15050,950,1000000,16,-2
36,1000001,17,1000001,-14579,421,1000000,17,-2
37,1000001,17,1000001,-14230,770,1000000,17,-2
38,1000001,18,1000001,-13369,631,1000000,18,-2
39,1000001,18,1000001,-9445,555,1000000,18,-2
40,1000001,19,1000001,-7497,503,1000000,19,-2
41,1000001,19,1000001,-5080,920,999569,19,18
42,1000001,19,1000001,-4233,767,1000000,19,-2
43,1000001,20,1000001,-1060,940,1000000,20,-2
44,1000001,20,1000001,-924,76,999773,20,19
45,1000001,20,1000001,-402,598,1000000,20,-2
