,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,1000076,9,1000076,0,0,999731,9,9
1,1000254,10,1000366,10,10,1000254,8,8
2,1000283,18,1001042,18,18,1000283,15,15
3,1000779,20,1000842,20,20,1000779,19,-1
4,1000795,22,1001043,22,22,1000795,14,14
5,1001188,27,1001955,27,27,1001188,24,24
6,1001348,28,1001814,28,28,1001348,26,26
7,1001431,29,1001958,29,29,1001431,16,16
8,1001053,35,1002331,35,35,1001053,34,-1
9,1001315,36,1002268,36,36,1001315,35,-1
10,1001514,40,1002253,40,40,1001514,39,-1
11,1001589,46,1002267,46,46,1001589,25,25
12,1001420,48,1003071,48,48,1001420,47,47
13,1001976,49,1002622,49,49,1001976,43,43
14,1002099,50,1003292,50,50,1002099,49,-1
15,1002379,53,1003691,53,53,1002379,32,32
16,1001657,55,1001657,51,51,999840,55,55
17,1001467,58,1001467,57,-1,1001127,58,58
18,1002240,61,1003135,61,61,1002240,59,59
19,1002436,63,1005819,63,63,1002436,37,37
20,1002215,67,1003223,67,67,1002215,66,-1
21,1002508,69,1002995,69,69,1002508,38,38
22,1002269,71,1002269,68,68,1002105,71,71
23,1002298,75,1004287,75,75,1002298,74,-1
24,1002655,81,1005031,81,81,1002655,80,-1
25,1002662,85,1004359,85,85,1002662,84,-1
26,1002667,86,1005191,86,86,1002667,85,-1
27,1002671,87,1007070,87,87,1002671,86,-1
28,1002674,90,1004641,90,90,1002674,89,-1
29,1002676,94,1003957,94,94,1002676,93,-1
30,1002678,96,1004575,96,96,1002678,95,-1
31,1002679,100,1004308,100,100,1002679,99,-1
32,1002680,101,1004926,101,101,1002680,100,-1
33,1002681,103,1004037,103,103,1002681,102,-1
34,1002682,105,1004661,105,105,1002682,104,-1
35,1002682,107,1002710,107,107,1002682,106,-1
36,1002682,109,1004236,109,109,1002682,108,-1
37,1002685,112,1004029,112,112,1002685,41,41
38,1002725,118,1005004,118,118,1002725,60,60
39,1002736,127,1004645,127,127,1002736,56,56
40,1002743,132,1005345,132,132,1002743,42,42
41,1002749,134,1005401,134,134,1002749,133,-1
42,1002754,138,1003268,138,138,1002754,137,-1
43,1001758,139,1001758,138,-1,999903,139,139
44,1002710,143,1003861,143,143,1002710,142,-1
45,1002748,148,1004351,148,148,1002748,147,-1
46,1002753,149,1005023,149,149,1002753,148,-1
47,1001782,154,1004424,154,154,1001782,151,151
48,1002433,163,1002433,161,161,1001502,163,163
49,1002770,166,1004513,166,166,1002770,125,125
50,1002771,172,1004161,172,172,1002771,30,30
51,1002765,180,1004782,180,180,1002765,177,177
52,1002860,182,1005033,182,182,1002860,39,39
53,1002954,185,1005799,185,185,1002954,164,164
54,1002962,186,1004955,186,186,1002962,33,33
55,1003137,198,1005374,198,198,1003137,157,157
56,1003345,199,1005663,199,199,1003345,198,-1
57,1003362,201,1005813,201,201,1003362,159,159
58,1003369,202,1003571,202,202,1003369,54,54
59,1003385,203,1006504,203,203,1003385,70,70
60,1003423,211,1006414,211,211,1003423,65,65
61,1003438,215,1006699,215,215,1003438,158,158
62,1003478,217,1006425,217,217,1003478,216,-1
63,1003454,219,1006650,219,219,1003454,218,218
64,1003492,220,1006500,220,220,1003492,219,-1
65,1003516,222,1004823,222,222,1003516,221,-1
66,1002534,229,1002534,228,-1,999954,229,229
67,1003589,237,1004515,237,237,1003589,156,156
68,1003595,238,1006295,238,238,1003595,52,52
69,1003607,239,1007828,239,239,1003607,162,162
70,1003653,240,1006740,240,240,1003653,66,66
71,1003679,242,1006650,242,242,1003679,241,-1
72,1003703,250,1006540,250,250,1003703,249,-1
73,1003708,256,1006042,256,256,1003708,255,-1
74,1003711,259,1007053,259,259,1003711,258,-1
75,1003713,260,1007223,260,260,1003713,259,-1
76,1003721,268,1005988,268,268,1003721,91,91
77,1004016,272,1005594,272,272,1004016,113,113
78,1004143,275,1006554,275,275,1004143,171,171
79,1004198,278,1007603,278,278,1004198,116,116
80,1004322,279,1006713,279,279,1004322,174,174
