,PRICE,TIME,ID
0,995164,33104,104
1,995178,38876,876
2,995192,32536,536
3,995203,39104,104
4,995208,39445,445
5,995210,32350,350
6,995214,37176,176
7,995214,39858,858
8,995226,39885,885
9,995229,32842,842
10,995253,38797,797
11,995290,38883,883
12,995296,32589,589
13,995303,39442,442
14,995311,33239,239
15,995316,37760,760
16,995316,39437,437
17,995330,33820,820
18,995342,39870,870
19,995347,31254,254
20,995356,39440,440
21,995359,36163,163
22,995361,39370,370
23,995363,31288,288
24,995367,39622,622
25,995370,38163,163
26,995391,38910,910
27,995392,35338,338
28,995393,38881,881
29,995394,33322,322
30,995394,39316,316
31,995397,39899,899
32,995401,39359,359
33,995403,31315,315
34,995406,39775,775
35,995410,33714,714
36,995413,39987,987
37,995423,39652,652
38,995427,31239,239
39,995427,39868,868
40,995429,37533,533
41,995438,39126,126
42,995440,38919,919
43,995443,31104,104
44,995449,39430,430
45,995452,39003,3
46,995471,39715,715
47,995478,39347,347
48,995488,39790,790
49,995495,39601,601
50,995496,33138,138
51,995501,38338,338
52,995507,37603,603
53,995516,39599,599
54,995521,31110,110
55,995526,33655,655
56,995539,36407,407
57,995540,39016,16
58,995541,35344,344
59,995599,39999,-1
60,995605,38595,595
61,995606,30445,445
62,995613,33223,223
63,995624,39908,908
64,995629,32612,612
65,995633,39648,648
66,995658,39457,457
67,995672,38465,465
68,995676,39680,680
69,995682,30697,697
70,995692,35594,594
71,995706,39637,637
72,995707,39843,843
73,995716,39834,834
74,995716,39990,990
75,995720,39845,845
76,995727,34249,249
77,995727,39725,725
78,995733,38177,177
79,995734,34151,151
80,995735,39554,554
81,995738,39605,605
82,995739,39019,19
83,995762,39673,673
84,995780,37465,465
85,995797,39826,826
86,995808,39340,340
87,995809,31058,58
88,995812,39646,646
89,995818,39244,244
90,995851,39009,9
91,995852,38918,918
92,995856,32859,859
93,995859,35491,491
94,995875,39183,183
95,995877,33603,603
96,995884,38023,23
97,995894,31612,612
98,995904,29766,766
99,995910,30058,58
100,995912,32558,558
101,995919,39742,742
102,995920,29784,784
103,995925,31214,214
104,995925,33379,379
105,995930,39940,940
106,995933,39454,454
107,995937,39563,563
108,995947,30536,536
109,995978,38929,929
110,995999,39561,561
111,996002,37706,706
112,996019,39353,353
113,996023,36379,379
114,996037,39946,946
115,996041,39371,371
116,996045,30346,346
117,996048,38877,877
118,996052,39020,20
119,996058,36148,148
120,996060,39559,559
121,996062,33483,483
122,996064,39905,905
123,996070,39625,625
124,996085,39691,691
125,996088,31399,399
126,996092,39878,878
127,996093,39937,937
128,996094,35714,714
129,996095,39690,690
130,996098,39562,562
131,996103,39792,792
132,996137,37177,177
133,996145,37344,344
134,996145,39427,427
135,996147,39950,950
136,996155,39334,334
137,996158,39588,588
138,996158,39954,954
139,996167,39649,649
140,996175,39012,12
141,996176,39568,568
142,996178,30231,231
143,996181,39751,751
144,996184,36266,266
145,996192,39825,825
146,996220,33612,612
147,996222,39450,450
148,996228,39432,432
149,996230,39318,318
150,996238,35603,603
151,996243,39689,689
152,996248,39880,880
153,996253,38804,804
154,996254,39921,921
155,996262,39772,772
156,996289,29967,967
157,996295,30252,252
158,996305,39613,613
159,996314,39678,678
160,996317,39617,617
161,996335,32252,252
162,996335,39912,912
163,996336,31483,483
164,996347,39593,593
165,996352,38231,231
166,996354,29715,715
167,996357,39755,755
168,996358,30446,446
169,996378,30801,801
170,996392,32628,628
171,996394,39786,786
172,996395,39719,719
173,996401,39688,688
174,996410,39776,776
175,996423,39903,903
176,996434,29700,700
177,996434,39745,745
178,996446,32338,338
179,996460,37058,58
180,996465,39644,644
181,996469,39923,923
182,996474,39952,952
183,996484,39458,458
184,996485,39659,659
185,996492,36151,151
186,996535,39965,965
187,996547,34338,338
188,996552,39650,650
189,996558,39590,590
190,996561,33812,812
191,996564,39746,746
192,996575,39621,621
193,996584,39438,438
194,996585,32370,370
195,996590,34555,555
196,996613,39964,964
197,996614,30344,344
198,996623,38006,6
199,996630,39737,737
200,996634,37584,584
201,996635,39459,459
202,996636,30683,683
203,996647,32603,603
204,996664,39564,564
205,996683,31786,786
206,996687,39735,735
207,996688,39728,728
208,996699,39716,716
209,996704,34344,344
210,996714,29804,804
211,996721,39867,867
212,996723,39600,600
213,996726,30348,348
214,996741,29704,704
215,996751,39768,768
216,996755,39823,823
217,996758,39641,641
218,996759,39436,436
219,996765,34074,74
220,996779,39897,897
221,996783,39614,614
222,996786,30155,155
223,996791,32994,994
224,996810,39983,983
225,996813,29130,130
226,996819,33886,886
227,996822,39661,661
228,996864,38155,155
229,996865,30994,994
230,996883,39863,863
231,996885,39765,765
232,996886,39883,883
233,996887,39773,773
234,996894,39977,977
235,996898,39967,967
236,996907,32982,982
237,996911,37624,624
238,996913,39634,634
239,996944,36338,338
240,996951,39572,572
241,996956,39448,448
242,996968,30373,373
243,996980,33756,756
244,997008,30338,338
245,997012,36027,27
246,997014,35628,628
247,997016,39093,93
248,997021,39657,657
249,997028,35764,764
250,997031,29288,288
251,997041,29441,441
252,997048,39873,873
253,997050,39769,769
254,997051,33024,24
255,997058,39828,828
256,997078,29844,844
257,997089,39639,639
258,997105,39569,569
259,997106,29691,691
260,997121,39243,243
261,997124,36714,714
262,997148,28859,859
263,997151,39944,944
264,997152,37055,55
265,997152,39876,876
266,997159,29603,603
267,997170,29764,764
268,997174,39592,592
269,997175,39720,720
270,997192,39021,21
271,997206,39951,951
272,997219,39762,762
273,997225,39662,662
274,997239,39740,740
275,997239,39969,969
276,997240,29473,473
277,997258,29322,322
278,997312,39941,941
279,997327,31121,121
280,997329,39909,909
281,997349,39906,906
282,997351,39931,931
283,997354,32463,463
284,997357,36373,373
285,997369,39841,841
286,997377,39338,338
287,997379,35947,947
288,997381,39550,550
289,997400,39656,656
290,997405,29889,889
291,997420,29384,384
292,997423,35555,555
293,997427,39732,732
294,997447,31982,982
295,997447,39006,6
296,997459,36024,24
297,997472,39612,612
298,997487,39666,666
299,997499,39963,963
300,997510,39840,840
301,997544,39973,973
302,997558,32624,624
303,997559,35715,715
304,997581,31886,886
305,997590,29628,628
306,997590,39322,322
307,997606,39866,866
308,997608,39849,849
309,997613,28519,519
310,997621,39972,972
311,997647,35886,886
312,997647,39936,936
313,997648,39846,846
314,997678,28463,463
315,997678,36588,588
316,997689,39729,729
317,997706,39859,859
318,997738,39975,975
319,997739,39948,948
320,997742,39791,791
321,997752,35463,463
322,997757,31006,6
323,997760,39733,733
324,997761,28340,340
325,997785,39988,988
326,997841,28590,590
327,997842,34570,570
328,997861,39074,74
329,997865,29252,252
330,997871,39890,890
331,997874,39861,861
332,997876,39833,833
333,997887,39893,893
334,997933,30671,671
335,997934,27465,465
336,997938,39957,957
337,997946,39916,916
338,997950,29266,266
339,997972,39824,824
340,997990,37715,715
341,997993,39881,881
342,998042,39855,855
343,998046,39895,895
344,998066,28683,683
345,998141,30463,463
346,998172,30715,715
347,998199,39456,456
348,998235,39887,887
349,998238,39877,877
350,998243,39589,589
351,998265,28417,417
352,998265,29624,624
353,998280,28416,416
354,998339,39831,831
355,998376,27434,434
356,998438,27595,595
357,998481,36214,214
358,998482,27344,344
359,998492,37588,588
360,998504,28139,139
361,998511,31555,555
362,998608,39630,630
363,998653,32555,555
364,998675,39676,676
365,998698,39945,945
366,998717,39239,239
367,998745,39976,976
