,PRICE,TIME,ID
0,999844,3084,83
1,999844,10361,360
2,999844,11593,592
3,999844,13884,883
4,999844,14997,996
5,999844,16134,133
6,999843,7779,778
7,999843,9204,203
8,999843,13522,521
9,999843,18432,431
10,999842,2303,302
11,999842,10235,234
12,999842,10538,537
13,999842,12949,948
14,999842,15779,778
15,999842,16515,514
16,999842,17520,519
17,999842,18291,290
18,999841,5412,411
19,999841,12981,980
20,999841,14916,915
21,999841,16196,195
22,999839,6436,435
23,999839,6918,917
24,999838,5886,885
25,999838,8756,755
26,999838,9215,214
27,999838,15994,993
28,999837,253,252
29,999837,3382,381
30,999837,8785,784
31,999836,6407,406
32,999836,6984,983
33,999836,7831,830
34,999836,9438,437
35,999836,10502,501
36,999836,10539,538
37,999836,14436,435
38,999836,14950,949
39,999835,385,384
40,999835,478,477
41,999835,6512,511
42,999835,8271,270
43,999835,11371,370
44,999835,15544,543
45,999834,7121,120
46,999834,9346,345
47,999833,4101,100
48,999833,7753,752
49,999833,16124,123
50,999833,16541,540
51,999832,3118,117
52,999832,5265,264
53,999832,10786,785
54,999832,15318,317
55,999831,1777,776
56,999831,1781,780
57,999831,6606,605
58,999831,10887,886
59,999830,889,888
60,999830,4226,225
61,999830,8724,723
62,999829,13747,746
63,999828,10524,523
64,999828,14658,657
65,999828,16604,603
66,999828,19691,690
67,999827,2684,683
68,999827,4971,970
69,999826,5187,186
70,999826,7153,152
71,999826,8634,633
72,999826,10634,633
73,999826,14416,415
74,999826,19112,111
75,999825,4503,502
76,999825,10922,921
77,999825,11084,83
78,999825,16007,6
79,999824,394,393
80,999824,1142,141
81,999824,3272,271
82,999824,10195,194
83,999824,17244,243
84,999824,18667,666
85,999824,18751,750
86,999824,19081,80
87,999823,9932,931
88,999823,11585,584
89,999823,16098,97
90,999822,1837,836
91,999822,8842,841
92,999822,10384,383
93,999820,6694,693
94,999820,12105,104
95,999820,12879,878
96,999819,645,644
97,999818,2454,453
98,999818,6437,436
99,999818,10649,648
100,999817,3975,974
101,999817,9248,247
102,999817,19058,57
103,999816,3971,970
104,999816,14265,264
105,999815,197,196
106,999815,2365,364
107,999815,5797,796
108,999815,11008,7
109,999815,12553,552
110,999815,18197,196
111,999814,13186,185
112,999814,15592,591
113,999813,7478,477
114,999813,8240,239
115,999813,10703,702
116,999812,2781,780
117,999812,5416,415
118,999812,11150,149
119,999812,12940,939
120,999812,18034,33
121,999811,5645,644
122,999811,6680,679
123,999811,7151,150
124,999811,10250,249
125,999811,17923,922
126,999810,2959,958
127,999810,4930,929
128,999810,17222,221
129,999810,17268,267
130,999810,19666,665
131,999809,4658,657
132,999808,6053,52
133,999808,14033,32
134,999808,14190,189
135,999808,17420,419
136,999808,19716,715
137,999807,7846,845
138,999806,1193,192
139,999805,8269,268
140,999805,10907,906
141,999804,723,722
142,999804,1635,634
143,999804,11544,543
144,999803,3307,306
145,999803,8300,299
146,999803,8994,993
147,999803,9837,836
148,999803,12173,172
149,999803,12767,766
150,999803,14182,181
151,999802,1830,829
152,999802,3543,542
153,999802,16291,290
154,999801,2541,540
155,999801,3414,413
156,999801,11154,153
157,999801,14065,64
158,999801,18038,37
159,999800,9094,93
160,999799,335,334
161,999799,10468,467
162,999799,13909,908
163,999799,13924,923
164,999798,1970,969
165,999798,8287,286
166,999798,11557,556
167,999798,14140,139
168,999797,9576,575
169,999797,14136,135
170,999797,18455,454
171,999797,19581,580
172,999796,7414,413
173,999796,8142,141
174,999796,15033,32
175,999795,6905,904
176,999795,8363,362
177,999795,11695,694
178,999794,11071,70
179,999793,2576,575
180,999793,7144,143
181,999793,7950,949
182,999793,8034,33
183,999793,9753,752
184,999793,18188,187
185,999792,15293,292
186,999790,11887,886
187,999789,222,221
188,999789,10474,473
189,999789,16296,295
190,999789,17972,971
191,999789,19859,858
192,999788,9344,343
193,999788,18893,892
194,999787,5876,875
195,999787,9007,6
196,999787,19660,659
