,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,1000004,1,1000004,-13719,281,999692,1,0
1,1000004,3,1000004,-13388,612,999061,3,2
2,1000004,4,1000004,-12420,580,999863,4,3
3,1000004,13,1000004,-9634,366,998923,13,12
4,1000004,15,1000004,-6137,863,999764,15,14
5,1000004,18,1000004,-5634,366,999860,18,17
6,1000004,20,1000004,-4045,955,999334,20,19
7,1000004,24,1000004,-778,222,999789,24,23
8,1000003,25,1000003,-17717,283,999834,25,24
9,1000003,27,1000003,-14738,262,999436,27,26
10,1000003,30,1000003,-13867,133,999325,30,29
11,1000003,32,1000003,-13748,252,999866,32,31
12,1000003,33,1000003,-12779,221,999906,33,32
13,1000003,35,1000003,-12469,531,999855,35,34
14,1000003,40,1000003,-12245,755,999970,40,39
15,1000003,64,1000003,-10804,196,999662,64,63
16,1000003,65,1000003,-10710,290,999287,65,64
17,1000003,69,1000003,-10698,302,997686,69,68
18,1000003,70,1000003,-10011,989,999995,70,69
19,1000003,76,1000003,-7991,9,998975,76,75
20,1000003,81,1000003,-7685,315,999419,81,80
21,1000003,95,1000003,-7001,999,999858,95,94
22,1000003,99,1000003,-6510,490,999736,99,98
23,1000003,102,1000003,-5445,555,999599,102,101
24,1000003,107,1000003,-5280,720,999148,107,106
25,1000003,108,1000003,-5218,782,999516,108,107
26,1000003,109,1000003,-4230,770,999949,109,108
27,1000002,112,1000002,-19776,224,999511,112,111
28,1000002,116,1000002,-13198,802,999692,116,115
29,1000004,120,1002097,120,119,1000004,34,33
30,1000002,137,1000002,-13090,910,999005,137,136
31,1000002,139,1000002,-12409,591,999919,139,138
32,1000002,141,1000002,-11001,999,999093,141,140
33,1000002,143,1000002,-10137,863,998255,143,142
34,1000002,147,1000002,-8038,962,998959,147,146
35,1000002,149,1000002,-6123,877,999349,149,148
36,1000002,152,1000002,-3719,281,998879,152,151
37,1000005,159,1002634,159,158,1000005,-18719,281
38,1000002,165,1000002,-3685,315,999837,165,164
39,1000002,167,1000002,-3248,752,999649,167,166
40,1000002,172,1000002,-2313,687,999980,172,171
41,1000002,175,1000002,-2091,909,999686,175,174
42,1000002,185,1000002,-1753,247,999524,185,184
43,1000005,186,1000258,186,185,1000005,-18574,426
44,1000002,187,1000002,-754,246,999876,187,186
45,1000001,191,1000001,-18390,610,998961,191,190
46,1000005,193,1000008,193,192,1000005,-16766,234
47,1000005,196,1000387,196,195,1000005,-12861,139
48,1000001,202,1000001,-17912,88,999552,202,201
49,1000001,216,1000001,-14831,169,999577,216,215
50,1000005,223,1000187,223,222,1000005,-8514,486
51,1000005,225,1000751,225,224,1000005,-8331,669
52,1000005,227,1000010,227,226,1000005,-7698,302
53,1000001,228,1000001,-13700,300,998004,228,227
54,1000005,230,1001184,230,229,1000005,-4334,666
55,1000005,233,1000409,233,232,1000005,-2213,787
56,1000005,234,1000095,234,233,1000005,-2153,847
57,1000001,240,1000001,-11171,829,999607,240,239
58,1000001,243,1000001,-9940,60,999525,243,242
59,1000001,244,1000001,-8840,160,999675,244,243
60,1000005,247,1000661,247,246,1000005,-825,175
61,1000001,249,1000001,-8610,390,998491,249,248
62,1000005,250,1000632,250,249,1000005,-663,337
63,1000001,252,1000001,-8387,613,998881,252,251
64,1000005,254,1000402,254,253,1000005,-36,964
65,1000001,257,1000001,-5865,135,999627,257,256
66,1000001,258,1000001,-4468,532,998468,258,257
67,1000006,259,1000232,259,258,1000006,-19320,680
68,1000001,260,1000001,-4202,798,998625,260,259
69,1000006,261,1000108,261,260,1000006,-18780,220
70,1000006,267,1001650,267,266,1000006,-16358,642
71,1000001,286,1000001,-3777,223,999648,286,285
72,1000001,294,1000001,-2191,809,998713,294,293
73,1000001,295,1000001,-310,690,997997,295,294
74,1000006,300,1000386,300,299,1000006,-12153,847
75,1000006,301,1000146,301,300,1000006,-11123,877
76,1000000,302,1000000,-18558,442,999529,302,301
77,1000006,304,1000258,304,303,1000006,-10007,993
78,1000006,313,1000166,313,312,1000006,-9436,564
79,1000006,314,1000291,314,313,1000006,-8803,197
80,1000000,317,1000000,-16182,818,999712,317,316
81,1000000,319,1000000,-9233,767,999535,319,318
82,1000000,320,1000000,-8833,167,999019,320,319
83,1000006,321,1000165,321,320,1000006,-8467,533
84,1000000,322,1000000,-6634,366,999169,322,321
85,1000000,324,1000000,-6058,942,996569,324,323
86,1000000,331,1000000,-5046,954,999658,331,330
87,1000006,337,1000408,337,336,1000006,-6623,377
88,1000000,341,1000000,-3269,731,996474,341,340
89,1000006,342,1000620,342,341,1000006,-6286,714
90,1000000,345,1000000,-1029,971,999902,345,344
91,1000006,351,1000062,351,350,1000006,-2157,843
92,1000000,352,1000000,-334,666,999284,352,351
93,1000006,353,1000348,353,352,1000006,-1212,788
94,1000006,369,1001492,369,368,1000006,-1018,982
95,1000006,371,1000294,371,370,1000006,-921,79
96,1000007,397,1000199,397,396,1000007,-18766,234
97,999999,409,999999,-18972,28,999000,409,408
98,1000001,414,1000001,411,410,999895,414,413
99,999999,419,999999,-18564,436,999569,419,418
100,1000007,420,1000017,420,419,1000007,-17753,247
101,1000007,423,1000040,423,422,1000007,-15024,976
102,1000007,428,1002247,428,427,1000007,-14467,533
103,1000007,431,1000787,431,430,1000007,-14193,807
104,1000007,433,1000008,433,432,1000007,-14058,942
105,999999,439,999999,-17385,615,999686,439,438
106,1000007,443,1000029,443,442,1000007,-11861,139
107,1000007,445,1001699,445,444,1000007,-11762,238
108,1000007,446,1000526,446,445,1000007,-11412,588
109,999999,448,999999,-17163,837,999653,448,447
110,1000007,449,1001570,449,448,1000007,-11138,862
111,999999,462,999999,-16210,790,999737,462,461
112,1000007,464,1000105,464,463,1000007,-10144,856
113,999999,468,999999,-15766,234,999871,468,467
114,999999,474,999999,-14463,537,998925,474,473
115,999999,476,999999,-14425,575,998932,476,475
116,1000007,480,1000226,480,479,1000007,-6541,459
117,1000007,489,1000514,489,488,1000007,-3737,263
118,1000001,492,1000001,481,480,998961,492,491
119,1000007,493,1001054,493,492,1000007,-2956,44
120,1000007,503,1003528,503,502,1000007,-2733,267
121,999999,506,999999,-13268,732,999635,506,505
122,1000007,507,1002075,507,506,1000007,-1945,55
123,999999,514,999999,-13093,907,999426,514,513
124,1000007,515,1000131,515,514,1000007,-1429,571
125,999999,518,999999,-10972,28,999525,518,517
126,999999,520,999999,-8824,176,999675,520,519
127,999999,522,999999,-8185,815,999846,522,521
128,1000008,523,1003358,523,522,1000008,-19266,734
129,999999,526,999999,-7332,668,998575,526,525
130,999999,527,999999,-4018,982,999963,527,526
131,1000008,529,1000177,529,528,1000008,-17988,12
132,1000008,531,1001573,531,530,1000008,-16334,666
133,999999,532,999999,-2178,822,999987,532,531
134,999999,533,999999,-1388,612,999364,533,532
135,999999,542,999999,-1208,792,999830,542,541
136,999999,544,999999,-940,60,999976,544,543
137,999998,550,999998,-19282,718,999438,550,549
138,999998,554,999998,-18852,148,999786,554,553
