,PRICE
0,1000000
1,1000004
2,1000004
3,1000004
4,1000004
5,1000004
6,1000004
7,1000004
8,1000004
9,1000004
10,1000004
11,1000004
12,1000004
13,1000004
14,1000004
15,1000004
16,1000004
17,1000004
18,1000004
19,1000004
20,1000004
21,1000004
22,1000004
23,1000004
24,1000004
25,1000004
26,1000003
27,1000003
28,1000003
29,1000003
30,1000003
31,1000003
32,1000003
33,1000003
34,1000003
35,1000003
36,1000003
37,1000003
38,1000003
39,1000003
40,1000003
41,1000003
42,1000003
43,1000003
44,1000003
45,1000003
46,1000003
47,1000003
48,1000003
49,1000003
50,1000003
51,1000003
52,1000003
53,1000003
54,1000003
55,1000003
56,1000003
57,1000003
58,1000003
59,1000003
60,1000003
61,1000003
62,1000003
63,1000003
64,1000003
65,1000003
66,1000003
67,1000003
68,1000003
69,1000003
70,1000003
71,1000003
72,1000003
73,1000003
74,1000003
75,1000003
76,1000003
77,1000003
78,1000003
79,1000003
80,1000003
81,1000003
82,1000003
83,1000003
84,1000003
85,1000003
86,1000003
87,1000003
88,1000003
89,1000003
90,1000003
91,1000003
92,1000003
93,1000003
94,1000003
95,1000003
96,1000003
97,1000003
98,1000003
99,1000003
100,1000003
101,1000003
102,1000003
103,1000003
104,1000003
105,1000003
106,1000003
107,1000003
108,1000003
109,1000003
110,1000003
111,1000003
112,1000003
113,1000002
114,1000002
115,1000002
116,1000002
117,1000002
118,1000002
119,1000002
120,1000002
121,1000004
122,1000004
123,1000004
124,1000004
125,1000004
126,1000004
127,1000004
128,1000004
129,1000004
130,1000004
131,1000004
132,1000004
133,1000004
134,1000004
135,1000004
136,1000004
137,1000004
138,1000002
139,1000002
140,1000002
141,1000002
142,1000002
143,1000002
144,1000002
145,1000002
146,1000002
147,1000002
148,1000002
149,1000002
150,1000002
151,1000002
152,1000002
153,1000002
154,1000002
155,1000002
156,1000002
157,1000002
158,1000002
159,1000002
160,1000005
161,1000005
162,1000005
163,1000005
164,1000005
165,1000005
166,1000002
167,1000002
168,1000002
169,1000002
170,1000002
171,1000002
172,1000002
173,1000002
174,1000002
175,1000002
176,1000002
177,1000002
178,1000002
179,1000002
180,1000002
181,1000002
182,1000002
183,1000002
184,1000002
185,1000002
186,1000002
187,1000005
188,1000002
189,1000002
190,1000002
191,1000002
192,1000001
193,1000001
194,1000005
195,1000005
196,1000005
197,1000005
198,1000005
199,1000005
200,1000005
201,1000005
202,1000005
203,1000001
204,1000001
205,1000001
206,1000001
207,1000001
208,1000001
209,1000001
210,1000001
211,1000001
212,1000001
213,1000001
214,1000001
215,1000001
216,1000001
217,1000001
218,1000001
219,1000001
220,1000001
221,1000001
222,1000001
223,1000001
224,1000005
225,1000005
226,1000005
227,1000005
228,1000005
229,1000001
230,1000001
231,1000005
232,1000005
233,1000005
234,1000005
235,1000005
236,1000005
237,1000005
238,1000005
239,1000005
240,1000005
241,1000001
242,1000001
243,1000001
244,1000001
245,1000001
246,1000001
247,1000001
248,1000005
249,1000005
250,1000001
251,1000005
252,1000005
253,1000001
254,1000001
255,1000005
256,1000005
257,1000005
258,1000001
259,1000001
260,1000006
261,1000001
262,1000006
263,1000006
264,1000006
265,1000006
266,1000006
267,1000006
268,1000006
269,1000006
270,1000006
271,1000006
272,1000006
273,1000006
274,1000006
275,1000006
276,1000006
277,1000006
278,1000006
279,1000006
280,1000006
281,1000006
282,1000006
283,1000006
284,1000006
285,1000006
286,1000006
287,1000001
288,1000001
289,1000001
290,1000001
291,1000001
292,1000001
293,1000001
294,1000001
295,1000001
296,1000001
297,1000001
298,1000001
299,1000001
300,1000001
301,1000006
302,1000006
303,1000000
304,1000000
305,1000006
306,1000006
307,1000006
308,1000006
309,1000006
310,1000006
311,1000006
312,1000006
313,1000006
314,1000006
315,1000006
316,1000006
317,1000006
318,1000000
319,1000000
320,1000000
321,1000000
322,1000006
323,1000000
324,1000000
325,1000000
326,1000000
327,1000000
328,1000000
329,1000000
330,1000000
331,1000000
332,1000000
333,1000000
334,1000000
335,1000000
336,1000000
337,1000000
338,1000006
339,1000006
340,1000006
341,1000006
342,1000000
343,1000006
344,1000006
345,1000006
346,1000000
347,1000000
348,1000000
349,1000000
350,1000000
351,1000000
352,1000006
353,1000000
354,1000006
355,1000006
356,1000006
357,1000006
358,1000006
359,1000006
360,1000006
361,1000006
362,1000006
363,1000006
364,1000006
365,1000006
366,1000006
367,1000006
368,1000006
369,1000006
370,1000006
371,1000006
372,1000006
373,1000006
374,1000006
375,1000006
376,1000006
377,1000006
378,1000006
379,1000006
380,1000006
381,1000006
382,1000006
383,1000006
384,1000006
385,1000006
386,1000006
387,1000006
388,1000006
389,1000006
390,1000006
391,1000006
392,1000006
393,1000006
394,1000006
395,1000006
396,1000006
397,1000006
398,1000007
399,1000007
400,1000007
401,1000007
402,1000007
403,1000007
404,1000007
405,1000007
406,1000007
407,1000007
408,1000007
409,1000007
410,999999
411,999999
412,999999
413,999999
414,999999
415,1000001
416,1000001
417,1000001
418,1000001
419,1000001
420,999999
421,1000007
422,1000007
423,1000007
424,1000007
425,1000007
426,1000007
427,1000007
428,1000007
429,1000007
430,1000007
431,1000007
432,1000007
433,1000007
434,1000007
435,1000007
436,1000007
437,1000007
438,1000007
439,1000007
440,999999
441,999999
442,999999
443,999999
444,1000007
445,1000007
446,1000007
447,1000007
448,1000007
449,999999
450,1000007
451,1000007
452,1000007
453,1000007
454,1000007
455,1000007
456,1000007
457,1000007
458,1000007
459,1000007
460,1000007
461,1000007
462,1000007
463,999999
464,999999
465,1000007
466,1000007
467,1000007
468,1000007
469,999999
470,999999
471,999999
472,999999
473,999999
474,999999
475,999999
476,999999
477,999999
478,999999
479,999999
480,999999
481,1000007
482,1000007
483,1000007
484,1000007
485,1000007
486,1000007
487,1000007
488,1000007
489,1000007
490,1000007
491,1000007
492,1000007
493,1000001
