,PRICE,TIME,ID
0,999835,2101,100
1,999835,12663,662
2,999835,13126,125
3,999835,13230,229
4,999834,12562,561
5,999833,5551,550
6,999833,12676,675
7,999833,17215,214
8,999833,17792,791
9,999833,18498,497
10,999831,10327,326
11,999831,10430,429
12,999831,11313,312
13,999831,12230,229
14,999831,15789,788
15,999830,6130,129
16,999830,19940,939
17,999829,1710,709
18,999829,5341,340
19,999829,16677,676
20,999829,17275,274
21,999828,2361,360
22,999828,7116,115
23,999828,11033,32
24,999828,13614,613
25,999828,13857,856
26,999828,15795,794
27,999827,899,898
28,999827,5525,524
29,999827,7111,110
30,999827,15948,947
31,999827,17030,29
32,999826,348,347
33,999826,2634,633
34,999826,3618,617
35,999826,8722,721
36,999826,19626,625
37,999825,2054,53
38,999825,4792,791
39,999825,8771,770
40,999825,10097,96
41,999825,10955,954
42,999825,12023,22
43,999825,19377,376
44,999824,2821,820
45,999824,3019,18
46,999823,303,302
47,999823,12061,60
48,999822,2254,253
49,999822,4714,713
50,999821,4677,676
51,999820,1365,364
52,999820,17222,221
53,999819,8150,149
54,999819,12826,825
55,999819,13448,447
56,999818,9281,280
57,999818,12491,490
58,999818,15782,781
59,999818,16201,200
60,999818,18138,137
61,999817,944,943
62,999817,976,975
63,999817,3610,609
64,999817,13011,10
65,999817,15538,537
66,999816,9924,923
67,999816,13312,311
68,999815,456,455
69,999815,13012,11
70,999815,13226,225
71,999815,15743,742
72,999815,16461,460
73,999815,18725,724
74,999814,5798,797
75,999814,15037,36
76,999814,18889,888
77,999814,18989,988
78,999813,13309,308
79,999812,2680,679
80,999812,3178,177
81,999812,4844,843
82,999812,13326,325
83,999811,2949,948
84,999811,6496,495
85,999811,7414,413
86,999811,11974,973
87,999811,12796,795
88,999811,13840,839
89,999811,18971,970
90,999810,1393,392
91,999810,10335,334
92,999810,10988,987
93,999810,18058,57
94,999809,8594,593
95,999808,13472,471
96,999807,10821,820
97,999806,4384,383
98,999806,7430,429
99,999806,14936,935
100,999806,19871,870
101,999805,42,41
102,999805,831,830
103,999805,4744,743
104,999805,7913,912
105,999805,13674,673
106,999805,14564,563
107,999804,1181,180
108,999804,9485,484
109,999804,15643,642
110,999803,2319,318
111,999803,3469,468
112,999803,5535,534
113,999803,9717,716
114,999803,10619,618
115,999803,16686,685
116,999803,18155,154
117,999803,19414,413
118,999802,18543,542
119,999801,3337,336
120,999801,4877,876
121,999801,6461,460
122,999801,6955,954
123,999801,17464,463
124,999801,19695,694
125,999801,19920,919
126,999800,4361,360
127,999800,8532,531
128,999800,17380,379
129,999799,11844,843
130,999798,5816,815
131,999798,7691,690
132,999798,8030,29
133,999798,13464,463
134,999798,15895,894
135,999797,594,593
136,999797,3710,709
137,999797,17220,219
138,999797,19428,427
139,999796,16485,484
140,999795,6161,160
141,999795,6914,913
142,999795,8785,784
143,999795,13153,152
144,999795,14043,42
145,999795,14166,165
146,999795,18904,903
147,999794,14812,811
148,999794,19879,878
149,999793,780,779
150,999793,1998,997
151,999793,3999,998
152,999793,5111,110
153,999793,6376,375
154,999793,11473,472
155,999793,12464,463
156,999792,8109,108
157,999792,9212,211
158,999792,10369,368
159,999792,12174,173
160,999792,13184,183
161,999792,18494,493
162,999791,11892,891
163,999791,14092,91
164,999790,8027,26
165,999790,15101,100
166,999790,16983,982
167,999789,14900,899
168,999789,16890,889
169,999789,18376,375
170,999788,3335,334
171,999787,151,150
172,999787,5870,869
173,999787,10282,281
174,999787,10990,989
175,999787,13756,755
176,999787,15076,75
177,999786,980,979
178,999786,3810,809
179,999786,10427,426
180,999786,17189,188
181,999785,7995,994
182,999785,8510,509
183,999785,13920,919
184,999784,9466,465
185,999784,11871,870
186,999784,17168,167
187,999783,2893,892
188,999783,8301,300
189,999783,13053,52
190,999783,17223,222
191,999783,17761,760
192,999782,13394,393
193,999782,16767,766
194,999781,2484,483
195,999781,8958,957
196,999781,13634,633
197,999780,3501,500
198,999780,3523,522
199,999780,6315,314
200,999780,11949,948
201,999779,8655,654
202,999779,13449,448
203,999778,9979,978
204,999778,13061,60
205,999778,15028,27
206,999777,17283,282
207,999776,329,328
208,999776,5786,785
209,999776,15296,295
210,999774,16353,352
211,999773,3731,730
212,999773,6686,685
213,999772,7195,194
214,999771,3677,676
215,999771,5392,391
216,999771,9586,585
217,999770,2887,886
218,999770,8698,697
219,999769,728,727
220,999769,18225,224
221,999768,7931,930
222,999768,16011,10
223,999768,17384,383
224,999767,2237,236
225,999766,1011,10
