,PRICE
0,1000000
1,1000001
2,1000000
3,1000000
4,1000000
5,1000000
6,1000000
7,1000000
8,1000001
9,1000001
10,1000001
11,1000001
12,1000001
13,1000001
14,1000001
15,1000001
16,1000001
17,1000001
18,1000001
19,1000001
20,1000001
21,1000001
22,1000001
23,1000001
24,1000001
25,1000001
26,1000001
27,1000001
28,1000001
29,1000001
30,1000001
31,1000001
32,1000001
33,1000001
34,1000001
35,1000001
36,1000001
37,1000001
38,1000001
39,1000001
40,1000001
41,1000001
42,1000001
43,1000001
44,1000001
45,1000001
46,1000001
47,1000001
48,1000000
49,1000000
50,1000000
51,1000000
52,1000000
53,1000000
54,1000000
55,1000000
56,1000000
57,1000000
58,1000000
59,1000000
60,1000000
61,1000000
62,1000000
63,1000000
64,1000000
65,1000000
66,1000000
67,1000000
68,1000000
69,1000000
70,1000000
71,1000000
72,1000000
73,1000000
74,1000000
75,1000000
76,1000000
77,1000000
78,1000000
79,1000000
80,1000000
81,1000000
82,1000000
83,1000000
84,1000000
85,1000000
86,1000000
87,1000000
88,1000000
89,1000000
90,1000000
91,1000000
92,1000000
93,1000000
94,1000000
95,1000000
96,1000000
97,1000000
98,1000000
99,1000000
100,1000000
101,1000000
102,1000000
103,1000000
104,1000000
105,1000000
106,1000000
107,1000000
108,1000000
109,1000000
110,1000000
111,1000000
112,1000000
113,1000000
114,1000000
115,1000000
116,1000000
117,1000000
118,1000000
119,1000000
120,1000000
121,1000000
122,1000000
123,1000000
124,1000000
125,1000000
126,1000000
127,1000000
128,1000000
129,1000000
130,1000000
131,1000000
132,1000000
133,1000000
134,1000000
135,1000000
136,1000000
137,999999
138,999999
139,999999
140,999999
141,999999
142,999999
143,999999
144,999999
145,999999
146,999999
147,999999
148,999999
149,999999
150,999999
151,999999
152,999999
153,999999
154,999999
155,999999
156,999999
157,999999
158,999999
159,999999
160,999999
161,999999
162,999999
163,999999
164,999999
165,999999
166,999999
167,999999
168,999999
169,999999
170,999999
171,999999
172,999999
173,999999
174,999999
175,999999
176,999999
177,999999
178,999999
179,999999
180,999999
181,999999
182,999999
183,999999
184,999999
185,999999
186,999999
187,999999
188,999999
189,999999
190,999999
191,999999
192,999999
193,999999
194,999999
195,999999
196,999999
197,999999
198,999999
199,999999
200,999999
201,999999
202,999999
203,999999
204,999999
205,999999
206,999999
207,999999
208,999999
209,999999
210,999999
211,999999
212,999999
213,999999
214,999999
215,999999
216,999999
217,999999
218,999999
219,999999
220,999999
221,999999
222,999999
223,999999
224,999999
225,999999
226,999999
227,999999
228,999999
229,999999
230,999999
231,999998
232,999998
233,999998
234,999998
235,999998
236,999998
237,999998
238,999998
239,999998
240,999998
241,999998
242,999998
243,999998
244,999998
245,999998
246,999998
247,999998
248,999998
249,999998
250,999998
251,999998
252,999998
253,999998
254,999998
255,999998
256,999998
257,999998
258,999998
259,999998
260,999998
261,999998
262,999998
263,999998
264,999998
265,999998
266,999998
267,999998
268,999998
269,999998
270,999998
271,999998
272,999998
273,999998
274,999998
275,999998
276,999998
277,999998
278,999998
279,999998
280,999998
281,999998
282,999998
283,999998
284,999998
285,999998
286,999998
287,999998
288,999998
289,999998
290,999998
291,999998
292,999998
293,999997
294,999997
295,999997
296,999997
297,999997
298,999997
299,999997
300,999997
301,999997
302,999997
303,999997
304,999997
305,999997
306,999997
307,999997
308,999997
309,999997
310,999997
311,999997
312,999997
313,999997
314,999997
315,999997
316,999997
317,999997
318,999997
319,999997
320,1000002
321,1000002
322,1000002
323,999997
324,999997
325,999997
326,999997
327,999997
328,999997
329,999997
330,999997
331,999997
332,999997
333,999997
334,999997
335,999997
336,999997
337,999997
338,999997
339,999997
340,999997
341,999997
342,999997
343,999997
344,999997
345,1000002
