,PRICE
0,1000000
1,1000000
2,999986
3,999986
4,999986
5,999986
6,999986
7,999991
8,999991
9,999991
10,999941
11,999941
12,999941
13,999941
14,999941
15,999941
16,999941
17,1000002
18,1000002
19,1000035
20,999962
21,1000220
22,1000220
23,1000220
24,1000220
25,1000220
26,1000220
27,1000220
28,1000220
29,1000220
30,1000220
31,1000220
32,1000220
33,1000220
34,1000220
35,1000220
36,1000220
37,1000220
38,1000220
39,1000220
40,1000637
41,1000637
42,1000637
43,1000637
44,1000637
45,1000637
46,1000637
47,1000637
48,1000637
49,1000637
50,1000749
51,1000749
52,1000749
53,1000749
54,1000749
55,1000749
56,1000749
57,1000749
58,1000749
59,1000749
60,1000749
61,1000984
62,1000984
63,1000984
64,1000984
65,1000984
66,1000984
67,1000984
68,1000984
69,1000984
70,1000984
71,1000984
72,1000984
73,1000984
74,1000984
75,1000984
76,1000984
77,1000760
78,1000760
79,1000760
80,1000934
81,1000934
82,1001054
83,1001054
84,1001054
85,1001054
86,1001054
87,1001054
88,1001122
89,1001122
90,1000128
91,1000128
92,1001146
93,1000960
94,1000960
95,1000960
96,1001306
97,1001306
98,1001306
99,1001306
100,1001320
101,1001320
102,1001320
103,1001320
104,1001336
105,1001336
106,1001336
107,1001336
108,1001336
109,1001336
110,1001336
111,1001336
112,1001336
113,1001336
114,1001354
115,1001354
116,1001459
117,1001459
118,1001459
119,1001459
120,1001459
121,1001459
122,1001459
123,1001459
124,1001512
125,1001512
126,1001512
127,1001512
128,1001512
129,1001512
130,1001512
131,1001512
132,1001512
133,1001512
134,1001512
135,1001512
136,1001512
137,1001830
138,1001830
139,1001830
140,1001314
141,1001314
142,1001314
143,1001314
144,1001314
145,1002068
146,1002068
147,1002068
148,1002068
149,1002068
150,1002068
151,1002320
152,1002320
153,1002320
154,1002320
155,1002320
156,1002320
157,1002320
158,1002582
159,1002582
160,1002582
161,1002582
162,1002582
163,1002582
164,1002582
165,1002582
166,1002582
167,1002582
168,1002582
169,1002582
170,1002846
171,1002846
172,1002846
173,1002867
174,1002867
175,1002867
176,1002968
177,1002968
178,1002968
179,1002968
180,1003041
181,1003041
182,1003041
183,1003041
184,1003159
185,1003159
186,1003162
187,1003162
188,1003162
189,1003162
190,1003162
191,1003162
192,1003162
193,1003162
194,1003162
195,1003391
196,1003391
197,1003391
198,1003437
199,1003495
200,1003495
201,1003707
202,1003707
203,1004101
204,1004101
205,1004149
206,1004149
207,1004149
208,1004294
209,1004350
210,1004352
211,1004352
212,1004360
213,1004360
214,1004367
215,1004367
216,1004367
217,1004367
218,1004367
219,1004428
220,1004428
221,1004428
222,1004632
223,1004785
224,1004785
225,1004785
226,1004785
227,1004785
228,1004785
229,1004785
230,1004785
231,1004785
232,1004865
233,1004865
234,1004865
235,1004865
236,1004865
237,1004865
238,1004911
239,1004911
240,1004911
241,1004911
242,1004911
243,1004911
244,1004911
245,1004911
246,1004539
247,1004539
248,1004539
249,1004539
250,1004539
251,1004539
252,1004539
253,1004539
254,1004539
255,1004539
256,1004539
257,1004539
258,1004539
259,1004539
260,1004539
261,1004539
262,1004539
263,1005246
264,1005246
265,1005246
266,1005246
267,1005316
268,1005345
269,1005345
270,1005345
271,1005345
272,1005345
273,1005416
274,1005416
275,1005416
276,1005416
277,1005416
278,1005416
279,1005416
280,1005416
281,1005416
282,1005416
283,1005416
284,1005476
285,1005476
286,1005476
287,1005476
288,1005525
289,1005525
290,1005573
291,1005573
292,1005573
293,1005616
294,1005700
295,1005700
296,1005700
297,1005700
298,1005944
299,1005944
300,1005944
301,1005944
302,1006373
303,1006373
304,1006526
305,1006526
306,1006527
307,1006527
308,1006527
309,1006527
310,1006527
311,1006527
312,1006527
313,1006527
314,1006527
315,1006527
316,1006527
317,1006527
318,1006527
319,1006527
320,1006690
321,1006690
322,1006690
323,1006690
324,1006690
325,1006690
326,1006830
327,1006830
328,1006830
329,1006830
330,1006830
331,1006830
332,1006830
333,1006830
334,1006830
335,1006830
336,1006830
337,1006921
338,1006921
339,1006921
340,1006921
341,1006921
342,1006921
343,1006964
344,1007006
345,1007006
346,1007037
347,1007037
348,1007037
349,1007037
350,1007072
351,1007072
352,1007072
353,1007072
354,1006093
355,1006093
356,1006758
357,1006758
358,1006851
359,1006851
360,1006851
361,1006921
362,1006973
363,1007012
364,1007042
365,1007042
366,1007042
367,1007042
368,1007075
369,1007089
370,1007089
371,1007089
372,1007089
373,1007089
374,1007102
375,1007109
376,1007109
377,1007109
378,1007109
379,1007109
380,1007132
381,1007132
382,1007187
383,1007187
384,1007187
385,1007187
386,1007187
387,1007187
388,1007323
389,1007323
390,1007323
391,1007323
392,1007323
393,1007323
394,1007323
395,1007323
396,1007323
397,1007323
398,1007392
399,1007392
400,1007392
401,1007431
402,1007443
403,1007452
404,1007452
405,1007452
406,1007452
407,1007452
408,1007465
409,1007465
410,1007465
411,1007465
412,1007465
413,1007465
414,1007465
415,1007465
416,1007465
417,1007465
418,1007465
419,1007465
420,1007465
421,1007479
422,1007479
423,1007479
424,1007479
425,1007479
426,1007479
427,1007479
428,1007479
429,1007479
430,1007479
431,1007480
432,1007480
433,1007480
434,1007480
435,1007480
436,1007482
437,1007482
438,1007482
439,1007482
440,1007482
441,1007482
442,1007482
443,1007482
444,1007602
445,1007602
446,1007602
447,1007602
448,1007602
449,1007622
450,1007622
451,1007622
452,1007622
453,1007637
454,1007637
455,1007637
456,1007648
457,1007648
458,1007648
459,1007648
460,1007365
461,1007365
462,1007365
463,1007444
464,1007444
465,1007503
466,1007548
467,1007548
468,1007548
469,1007599
470,1007599
471,1007599
472,1007599
473,1007599
474,1007599
475,1007599
476,1007599
477,1007599
478,1007521
479,1007561
480,1007561
481,1007561
482,1007561
483,1007561
484,1007561
485,1007561
486,1007619
487,1007635
488,1007635
489,1007647
490,1007647
491,1007647
492,1007683
493,1007683
494,1007689
495,1007689
496,1007722
497,1007722
498,1007722
499,1007731
500,1007731
501,1007731
502,1007731
503,1007731
504,1007767
505,1007767
506,1007767
507,1007767
508,1007767
509,1007767
510,1007767
511,1007767
512,1007767
513,1007767
514,1007767
515,1007788
516,1007788
517,1007788
518,1007788
519,1007788
520,1007788
521,1007788
522,1007788
523,1007788
524,1007788
525,1007788
526,1007467
527,1007467
528,1007467
529,1007467
530,1007829
531,1007829
532,1007829
533,1007829
534,1007829
535,1007829
536,1007829
537,1008129
538,1008129
539,1008129
540,1008129
541,1008228
542,1008228
543,1008228
544,1008228
545,1008228
546,1008274
547,1008274
548,1008274
549,1008274
550,1008274
551,1008274
552,1008274
553,1008274
554,1008274
555,1008274
556,1008274
557,1008301
558,1008301
559,1008301
560,1008301
561,1008301
562,1008358
563,1008358
564,1008358
565,1008364
566,1008364
567,1008364
568,1008364
569,1008364
570,1008385
571,1008397
572,1008397
573,1008397
574,1008397
575,1008397
576,1008397
577,1008397
578,1008397
579,1008397
580,1008397
581,1008397
582,1008397
583,1008397
584,1008397
585,1008397
586,1008397
587,1008397
588,1008467
589,1008467
590,1008467
591,1008467
592,1008467
593,1008467
594,1008467
595,1008467
596,1008467
597,1008467
598,1008543
599,1008543
600,1008543
601,1008543
602,1008543
603,1008545
604,1008551
605,1008551
606,1008551
607,1008551
608,1008604
609,1008604
610,1007639
611,1007639
612,1008647
613,1008647
614,1008738
615,1008738
616,1008738
617,1008738
618,1008738
619,1008738
620,1008744
621,1008768
622,1008774
623,1008778
624,1008778
625,1008781
626,1008781
627,1008792
628,1008792
629,1008807
630,1008807
631,1008807
632,1008807
633,1008807
634,1008807
635,1008910
636,1008910
637,1008910
638,1008910
639,1008940
640,1008940
641,1008940
642,1008940
643,1008952
644,1008952
645,1008952
646,1008982
647,1008982
648,1008982
649,1008982
650,1008982
651,1008982
652,1008982
653,1008982
654,1008982
655,1008982
656,1008982
657,1008982
658,1008982
659,1008982
660,1009011
661,1009015
662,1009015
663,1009015
664,1009015
665,1009015
666,1009015
667,1009017
668,1009017
669,1009030
670,1009030
671,1009030
672,1009055
673,1009055
674,1009055
675,1009055
676,1009055
677,1009055
678,1009055
679,1009055
680,1009164
681,1009164
682,1009164
683,1009164
684,1009164
685,1009164
686,1009164
687,1009164
688,1009164
689,1009226
690,1009233
691,1009238
692,1009238
693,1009238
694,1009242
695,1009242
696,1009242
697,1009245
698,1009245
699,1009256
700,1009256
701,1009256
702,1009256
703,1009256
704,1009256
705,1009256
706,1009256
707,1009256
708,1009256
709,1009256
710,1009256
711,1009256
712,1008707
713,1008707
714,1008707
715,1008707
716,1008707
717,1008707
718,1008707
719,1008707
720,1007716
721,1008177
722,1008177
723,1008177
724,1008177
725,1008177
726,1008177
727,1008177
728,1008177
729,1008727
730,1008727
731,1008727
732,1008727
733,1008727
734,1008727
735,1008727
736,1008727
737,1008727
738,1008727
739,1008727
740,1008727
741,1008727
742,1008727
743,1009232
744,1009232
745,1009232
746,1009291
747,1009291
748,1009319
749,1009319
750,1009319
751,1009319
752,1009319
753,1009319
754,1009319
755,1009319
756,1008177
757,1008510
758,1008733
759,1008733
760,1008733
761,1008733
762,1008733
763,1008900
764,1008900
765,1008900
766,1008900
767,1008900
768,1008767
769,1008908
770,1008908
771,1008908
772,1009031
773,1009031
774,1009179
775,1009179
776,1009179
777,1008282
778,1008282
779,1009038
780,1009038
781,1009038
782,1009038
783,1009038
784,1009038
785,1009038
786,1009038
787,1009038
788,1009038
789,1009038
790,1009038
791,1009277
792,1008308
793,1008308
794,1009052
795,1009141
796,1009141
797,1009141
798,1009206
799,1009255
800,1009292
801,1009292
802,1009319
803,1009340
804,1009340
805,1009340
806,1009340
807,1009340
808,1009340
809,1009326
810,1009345
811,1009359
812,1009359
813,1009359
814,1008374
815,1008374
816,1008374
817,1008374
818,1008374
819,1008486
820,1008486
821,1009047
822,1009047
823,1009047
824,1009200
825,1009250
826,1009288
827,1009288
828,1009316
829,1009316
830,1009316
831,1009316
832,1009316
833,1009316
834,1009316
835,1009358
836,1009358
837,1009369
838,1009369
839,1009369
840,1009379
841,1009379
842,1009379
843,1009379
844,1009379
845,1009324
846,1009324
847,1009324
848,1009324
849,1009324
850,1009324
851,1009306
852,1009306
853,1009306
854,1009306
855,1009344
856,1009344
857,1009344
858,1009344
859,1009344
860,1009344
861,1009344
862,1009344
863,1009374
864,1009374
865,1009382
866,1009382
867,1009387
868,1009387
869,1009387
870,1009387
871,1009387
872,1009387
873,1009387
874,1009387
875,1008388
876,1008388
877,1008388
878,1008388
879,1008388
880,1009403
881,1009403
882,1009403
883,1009403
884,1009431
885,1009431
886,1009431
887,1009431
888,1009431
889,1009431
890,1009482
891,1009482
892,1009497
893,1009497
894,1009544
895,1009579
896,1009579
897,1009579
898,1009579
899,1009608
900,1009608
901,1009608
902,1009608
903,1009623
904,1009623
905,1009638
906,1009638
907,1009638
908,1009638
909,1009638
910,1009638
911,1009638
912,1009638
913,1009638
914,1009638
915,1009638
916,1009638
917,1009638
918,1009638
919,1009638
920,1009638
921,1009638
922,1009638
923,1009494
924,1009494
925,1009541
926,1009577
927,1009577
928,1009617
929,1009634
930,1009634
931,1009646
932,1009646
933,1009646
934,1009656
935,1009656
936,1009656
937,1009656
938,1009656
939,1009656
940,1009656
941,1009656
942,1009656
943,1009656
944,1009656
945,1009656
946,1009661
947,1009661
948,1009668
949,1009672
950,1009672
951,1009672
952,1009672
953,1009672
954,1009685
955,1009685
956,1009693
957,1009693
958,1009711
959,1009711
960,1009711
961,1009711
962,1009711
963,1009711
964,1009725
965,1008754
966,1008754
967,1008754
968,1009659
969,1009659
970,1009859
971,1009859
972,1009859
973,1009859
974,1009859
975,1009859
976,1009859
977,1009859
978,1009859
979,1009859
980,1009859
981,1009859
982,1009859
983,1009859
984,1009859
985,1009859
986,1009859
987,1009859
988,1009859
989,1009859
990,1009859
991,1009859
992,1009859
993,1009859
994,1009859
995,1009859
996,1009925
997,1009925
998,1009980
999,1009980
1000,1009980
1001,1009980
1002,1010009
1003,1010009
1004,1010009
1005,1010009
1006,1010009
1007,1010015
1008,1010015
1009,1010015
1010,1010015
1011,1010015
1012,1010015
1013,1010015
1014,1009776
1015,1009776
1016,1009776
1017,1009776
1018,1009776
1019,1010004
1020,1010004
1021,1010004
1022,1010004
1023,1010009
1024,1010009
1025,1010009
1026,1010012
1027,1010012
1028,1010012
1029,1010012
1030,1010012
1031,1010012
1032,1010012
1033,1010012
1034,1010012
1035,1010012
1036,1010015
1037,1010017
1038,1010017
1039,1010017
1040,1010019
1041,1010019
1042,1010019
1043,1010019
1044,1010019
1045,1010019
1046,1010021
1047,1010021
1048,1010021
1049,1010021
1050,1010021
1051,1010021
1052,1010021
1053,1010021
1054,1010021
1055,1010021
1056,1010021
1057,1010021
1058,1010021
1059,1010021
1060,1010021
1061,1010021
1062,1010021
1063,1010021
1064,1010021
1065,1010021
1066,1010021
1067,1010021
1068,1010021
1069,1010021
1070,1010021
1071,1010021
1072,1010021
1073,1010021
1074,1010024
1075,1010024
1076,1010024
1077,1009756
1078,1010144
1079,1010148
1080,1010148
1081,1010201
1082,1010201
1083,1010201
1084,1010201
1085,1010201
1086,1010201
1087,1010321
1088,1010321
1089,1010321
1090,1010333
1091,1010333
1092,1010333
1093,1010333
1094,1010333
1095,1010337
1096,1010337
1097,1010337
1098,1010337
1099,1010342
1100,1010342
1101,1010342
1102,1010342
1103,1010346
1104,1010346
1105,1010346
1106,1010346
1107,1010346
1108,1010354
1109,1010354
1110,1010354
1111,1010354
1112,1010354
1113,1010354
1114,1010354
1115,1010358
1116,1010358
1117,1010358
1118,1010358
1119,1010358
1120,1010358
1121,1010358
1122,1010358
1123,1010358
1124,1010358
1125,1010358
1126,1010358
1127,1010358
1128,1010358
1129,1010358
1130,1010358
1131,1010358
1132,1010358
1133,1010358
1134,1010360
1135,1010360
1136,1010381
1137,1010381
1138,1010381
1139,1010381
1140,1009417
1141,1009417
1142,1009417
1143,1009417
1144,1009417
1145,1009417
1146,1009417
1147,1009417
1148,1009417
1149,1009417
1150,1010431
1151,1010435
1152,1010435
1153,1010435
1154,1010435
1155,1010435
1156,1010435
1157,1010345
1158,1010345
1159,1010345
1160,1009396
1161,1009396
1162,1009396
1163,1009396
1164,1009396
1165,1009396
1166,1009396
1167,1009396
1168,1009396
1169,1009396
1170,1010305
1171,1010347
1172,1010372
1173,1010372
1174,1010372
1175,1010390
1176,1010390
1177,1010390
1178,1010447
1179,1010447
1180,1010447
1181,1010447
1182,1010447
1183,1010447
1184,1010447
1185,1010447
1186,1010447
1187,1010559
1188,1010559
1189,1010564
1190,1010611
1191,1010611
1192,1010611
1193,1010611
1194,1010611
1195,1010611
1196,1010611
1197,1010611
1198,1010749
1199,1010749
1200,1010749
1201,1010749
1202,1010749
1203,1010749
1204,1010749
1205,1010792
1206,1010792
1207,1010792
1208,1010792
1209,1010792
1210,1010792
1211,1010792
1212,1011049
1213,1011133
1214,1011133
1215,1011133
1216,1011133
1217,1011133
1218,1011133
1219,1011133
1220,1010399
1221,1010399
1222,1010399
1223,1011224
1224,1011224
1225,1011224
1226,1011224
1227,1011224
1228,1011224
1229,1011224
1230,1011224
1231,1011240
1232,1011241
1233,1011241
1234,1011241
1235,1011241
1236,1011257
1237,1011257
1238,1011257
1239,1011257
1240,1011140
1241,1011208
1242,1011208
1243,1011208
1244,1011208
1245,1011194
1246,1011194
1247,1011194
1248,1011194
1249,1011194
1250,1011194
1251,1011194
1252,1011194
1253,1011194
1254,1011194
1255,1011194
1256,1011237
1257,1011237
1258,1011242
1259,1011242
1260,1011242
1261,1011258
1262,1011258
1263,1011258
1264,1011277
1265,1011277
1266,1011291
1267,1011291
1268,1011293
1269,1011293
1270,1011294
1271,1011295
1272,1011295
1273,1011295
1274,1010296
1275,1010296
1276,1010296
1277,1010296
1278,1010296
1279,1011244
1280,1011244
1281,1011244
1282,1010386
1283,1010386
1284,1011300
1285,1011300
1286,1011300
1287,1011315
1288,1011317
1289,1010319
1290,1011072
1291,1011135
1292,1011182
1293,1011182
1294,1011182
1295,1011182
1296,1011182
1297,1011182
1298,1011182
1299,1011182
1300,1011261
1301,1011261
1302,1011287
1303,1011296
1304,1011296
1305,1011296
1306,1011296
1307,1011296
1308,1011296
1309,1011296
1310,1011296
1311,1011296
1312,1011296
1313,1011296
1314,1011296
1315,1011313
1316,1011313
1317,1011313
1318,1011313
1319,1011313
1320,1011316
1321,1011316
1322,1011316
1323,1011318
1324,1011318
1325,1011319
1326,1011319
1327,1011320
1328,1011320
1329,1011320
1330,1010321
1331,1010321
1332,1010321
1333,1010321
1334,1010321
1335,1010321
1336,1010321
1337,1010321
1338,1010321
1339,1010321
1340,1011221
1341,1011249
1342,1011268
1343,1011268
1344,1011268
1345,1011268
1346,1011268
1347,1011325
1348,1011325
1349,1011325
1350,1011325
1351,1011334
1352,1011334
1353,1011336
1354,1011336
1355,1011340
1356,1011340
1357,1011375
1358,1011375
1359,1011401
1360,1011401
1361,1011421
1362,1011421
1363,1011421
1364,1011421
1365,1011421
1366,1011421
1367,1011421
1368,1011424
1369,1011424
1370,1011424
1371,1011424
1372,1011424
1373,1011424
1374,1011441
1375,1011441
1376,1011441
1377,1011441
1378,1011441
1379,1011450
1380,1011450
1381,1011450
1382,1011450
1383,1011450
1384,1011450
1385,1011450
1386,1011450
1387,1011450
1388,1011450
1389,1011482
1390,1011482
1391,1011482
1392,1011482
1393,1011526
1394,1011526
1395,1011526
1396,1011526
1397,1011531
1398,1011619
1399,1010798
1400,1010798
1401,1010798
1402,1010798
1403,1010798
1404,1011699
1405,1011699
1406,1011699
1407,1011699
1408,1011699
1409,1011699
1410,1011699
1411,1011699
1412,1011707
1413,1011707
1414,1011707
1415,1011707
1416,1011713
1417,1010714
1418,1011368
1419,1011368
1420,1011368
1421,1011368
1422,1011368
1423,1011455
1424,1011520
1425,1010569
1426,1010569
1427,1010569
1428,1011270
1429,1011385
1430,1011385
1431,1011468
1432,1011468
1433,1011468
1434,1011468
1435,1011577
1436,1011577
1437,1011717
1438,1011717
1439,1011476
1440,1011476
1441,1011476
1442,1011749
1443,1011749
1444,1011770
1445,1011770
1446,1011791
1447,1011795
1448,1011798
1449,1011798
1450,1011798
1451,1011798
1452,1011798
1453,1011798
1454,1011798
1455,1011805
1456,1011805
1457,1011806
1458,1011806
1459,1011807
1460,1011807
1461,1011807
1462,1011807
1463,1011807
1464,1011807
1465,1011807
1466,1011807
1467,1011808
1468,1011808
1469,1011808
1470,1011808
1471,1011808
1472,1011808
1473,1011808
1474,1011808
1475,1011808
1476,1011808
1477,1011808
1478,1011808
1479,1011808
1480,1011808
1481,1011808
1482,1011808
1483,1011808
1484,1011808
1485,1011808
1486,1011808
1487,1011808
1488,1011808
1489,1011808
1490,1011808
1491,1011808
1492,1011808
1493,1011808
1494,1011808
1495,1011808
1496,1011808
1497,1011808
1498,1011808
1499,1011808
1500,1011808
1501,1011808
1502,1011808
1503,1011808
1504,1011808
1505,1011808
1506,1011808
1507,1011808
1508,1011808
1509,1011808
1510,1011808
1511,1011621
1512,1011668
1513,1011668
1514,1011703
1515,1011703
1516,1011703
1517,1011703
1518,1011764
1519,1011764
1520,1011764
1521,1011764
1522,1010784
1523,1010784
1524,1010784
1525,1010784
1526,1011794
1527,1011794
1528,1011794
1529,1011794
1530,1011803
1531,1011804
