,PRICE,TIME,ID
0,996236,26679,679
1,996236,36564,564
2,996234,39836,836
3,996233,37933,933
4,996230,37956,956
5,996229,39387,387
6,996226,36961,961
7,996224,23456,456
8,996224,36317,317
9,996222,38516,516
10,996221,28848,848
11,996220,27189,189
12,996219,27666,666
13,996217,26733,733
14,996217,36191,191
15,996216,33547,547
16,996216,37591,591
17,996215,30107,107
18,996214,35625,625
19,996212,27360,360
20,996212,35184,184
21,996212,36239,239
22,996210,39999,-1
23,996206,31503,503
24,996206,38377,377
25,996205,27545,545
26,996205,38657,657
27,996204,30899,899
28,996201,26935,935
29,996201,34141,141
30,996201,34266,266
31,996199,27221,221
32,996198,33618,618
33,996197,38446,446
34,996195,35055,55
35,996193,23111,111
36,996191,37336,336
37,996182,33024,24
38,996181,30452,452
39,996181,34476,476
40,996180,22521,521
41,996180,27006,6
42,996180,34491,491
43,996179,39178,178
44,996177,31778,778
45,996177,38103,103
46,996176,29082,82
47,996174,36989,989
48,996172,33128,128
49,996172,33543,543
50,996170,38203,203
51,996169,32191,191
52,996169,36348,348
53,996166,32036,36
54,996165,26276,276
55,996165,39231,231
56,996163,34567,567
57,996160,33065,65
58,996159,39846,846
59,996156,28839,839
60,996155,34921,921
61,996152,23007,7
62,996151,32162,162
63,996150,25436,436
64,996150,35077,77
65,996149,32360,360
66,996149,36699,699
67,996148,33559,559
68,996144,33653,653
69,996143,37743,743
70,996142,26375,375
71,996142,35740,740
72,996141,26056,56
73,996141,37310,310
74,996140,39874,874
75,996139,25299,299
76,996138,31059,59
77,996138,33052,52
78,996137,34757,757
79,996132,39876,876
80,996131,37150,150
81,996130,27331,331
82,996129,22440,440
83,996128,31230,230
84,996128,34877,877
85,996128,36689,689
86,996127,36414,414
87,996126,24245,245
88,996124,36936,936
89,996120,28731,731
90,996120,36674,674
91,996117,35943,943
92,996116,39771,771
93,996115,35052,52
94,996114,39365,365
95,996112,36424,424
96,996109,26892,892
97,996105,37019,19
98,996105,37766,766
99,996104,32266,266
100,996104,37674,674
101,996103,38928,928
102,996101,35482,482
103,996100,37270,270
104,996098,34036,36
105,996098,37647,647
106,996097,30520,520
107,996096,23570,570
108,996096,28673,673
109,996096,33404,404
110,996095,33863,863
111,996095,36287,287
112,996094,28579,579
113,996091,33048,48
114,996090,39990,990
115,996087,30400,400
116,996086,34787,787
117,996086,36138,138
118,996085,39441,441
119,996081,30611,611
120,996080,32319,319
121,996078,26265,265
122,996078,28962,962
123,996077,25484,484
124,996077,26343,343
125,996076,28041,41
126,996075,36392,392
127,996073,38734,734
128,996072,35892,892
129,996072,36841,841
