,PRICE
0,1000000
1,1000002
2,1000000
3,1000001
4,1000001
5,1000001
6,1000001
7,1000001
8,1000001
9,1000001
10,1000001
11,1000001
12,1000001
13,1000001
14,1000001
15,1000001
16,1000001
17,1000001
18,1000001
19,1000001
20,1000001
21,1000001
22,1000001
23,1000001
24,1000001
25,1000001
26,1000000
27,1000000
28,1000000
29,1000000
30,1000000
31,1000000
32,1000000
33,1000000
34,1000000
35,1000000
36,1000000
37,1000000
38,1000000
39,1000000
40,1000000
41,1000000
42,1000000
43,1000000
44,1000000
45,1000000
46,1000000
47,1000000
48,1000000
49,1000000
50,1000000
51,1000000
52,1000000
53,1000000
54,1000000
55,1000000
56,1000000
57,1000000
58,1000000
59,1000000
60,1000000
61,1000000
62,1000000
63,1000000
64,1000000
65,1000000
66,1000000
67,1000000
68,1000000
69,1000000
70,1000000
71,1000000
72,1000000
73,1000000
74,1000000
75,1000000
76,1000000
77,1000000
78,1000000
79,1000000
80,1000000
81,1000000
82,1000000
83,1000000
84,1000000
85,1000000
86,1000000
87,1000000
88,1000000
89,1000000
90,1000000
91,1000000
92,1000000
93,1000000
94,1000000
95,1000000
96,1000000
97,1000002
98,1000000
99,1000000
100,1000000
101,1000000
102,1000000
103,1000000
104,1000000
105,1000000
106,1000000
107,1000000
108,1000000
109,1000000
110,1000000
111,1000000
112,1000000
113,1000000
114,1000000
115,1000000
116,1000000
117,999999
118,999999
119,999999
120,999999
121,999999
122,999999
123,999999
124,999999
125,999999
126,999999
127,999999
128,999999
129,999999
130,999999
131,999999
132,999999
133,999999
134,999999
135,999999
136,999999
137,999999
138,999999
139,999999
140,999999
141,999999
142,999999
143,999999
144,999999
145,999999
146,999999
147,999999
148,999999
149,999999
150,999999
151,999999
152,999999
153,999999
154,999999
155,999999
156,999999
157,999999
158,999999
159,999999
160,999999
161,999999
162,999999
163,999999
164,999999
165,999999
166,999999
167,999999
168,999999
169,999999
170,999999
171,999999
172,999999
173,999999
174,999999
175,999999
176,999999
177,999999
178,999999
179,999999
180,999999
181,999999
182,999999
183,999999
184,999999
185,999999
186,999999
187,999999
188,999998
189,999998
190,999998
191,999998
192,999998
193,999998
194,999998
195,999998
196,999998
197,999998
198,999998
199,999998
200,999998
201,999998
202,999998
203,999998
204,999998
205,999998
206,999998
207,999998
208,999998
209,999998
210,999998
211,999998
212,999998
213,999998
214,999998
215,999998
216,999998
217,999998
218,999998
219,999998
220,999998
221,999998
222,999998
223,999998
224,1000003
225,1000003
226,1000003
227,1000003
228,1000003
229,1000003
230,1000003
231,1000003
232,1000003
233,1000003
234,1000003
235,1000003
236,1000003
237,1000003
238,1000003
239,1000003
240,1000003
241,1000003
242,1000003
243,1000003
244,1000003
245,1000003
246,1000003
247,1000003
248,999998
249,999998
250,999998
251,999998
252,999998
253,1000003
254,1000003
255,1000003
256,1000003
257,1000003
258,1000003
259,1000003
260,1000003
261,1000003
262,1000003
263,1000003
264,1000003
265,1000003
266,1000003
267,1000003
268,1000003
269,1000003
270,1000003
271,1000003
272,999998
273,999998
274,999998
275,999998
276,999998
277,999998
278,1000003
279,1000003
280,1000003
281,1000003
282,1000003
283,1000003
284,1000003
285,1000003
286,1000003
287,1000003
288,1000003
289,1000003
290,1000003
291,999998
292,1000003
293,999998
294,999998
295,1000003
296,1000003
297,1000000
298,1000000
299,1000000
300,1000000
301,1000000
302,1000000
303,1000000
304,1000000
305,999998
306,999998
307,999998
308,999998
309,999998
310,999998
311,999998
312,999998
313,999998
314,999998
315,999998
316,999998
317,999998
318,999998
319,999998
320,999998
321,999998
322,999998
323,999998
324,999998
325,999998
326,999998
327,999998
328,999998
329,1000003
330,1000003
331,1000003
332,1000003
333,999997
334,999997
335,999997
336,999997
337,999997
