,PRICE,TIME,ID
0,1000181,5523,522
1,1000181,9855,854
2,1000181,10878,877
3,1000181,13214,213
4,1000181,16107,106
5,1000182,2205,204
6,1000182,3866,865
7,1000182,6713,712
8,1000183,2003,2
9,1000183,11589,588
10,1000183,16503,502
11,1000183,19062,61
12,1000184,1825,824
13,1000184,7071,70
14,1000184,8123,122
15,1000184,8199,198
16,1000184,10732,731
17,1000184,13397,396
18,1000185,7210,209
19,1000185,8274,273
20,1000185,11091,90
21,1000185,13568,567
22,1000185,18743,742
23,1000186,4429,428
24,1000186,5890,889
25,1000186,5954,953
26,1000186,16276,275
27,1000187,2121,120
28,1000187,6451,450
29,1000187,7021,20
30,1000187,8127,126
31,1000187,16378,377
32,1000187,18651,650
33,1000188,9288,287
34,1000188,10690,689
35,1000188,17736,735
36,1000189,3591,590
37,1000189,13561,560
38,1000189,14135,134
39,1000189,16134,133
40,1000190,11311,310
41,1000190,11853,852
42,1000190,15593,592
43,1000190,17552,551
44,1000191,588,587
45,1000191,4170,169
46,1000191,10265,264
47,1000191,15997,996
48,1000192,10485,484
49,1000193,8028,27
50,1000193,12384,383
51,1000193,12883,882
52,1000193,18805,804
53,1000194,13043,42
54,1000195,6934,933
55,1000195,8726,725
56,1000195,15446,445
57,1000195,18493,492
58,1000196,8106,105
59,1000196,10146,145
60,1000196,13308,307
61,1000196,15957,956
62,1000197,920,919
63,1000197,10542,541
64,1000197,15346,345
65,1000198,542,541
66,1000198,6020,19
67,1000198,12817,816
68,1000198,14194,193
69,1000198,17462,461
70,1000199,5067,66
71,1000199,13942,941
72,1000199,15771,770
73,1000199,16675,674
74,1000200,7430,429
75,1000200,13689,688
76,1000200,17637,636
77,1000201,2797,796
78,1000201,4391,390
79,1000201,11400,399
80,1000201,11630,629
81,1000201,13885,884
82,1000201,14177,176
83,1000201,18799,798
84,1000202,11223,222
85,1000202,11450,449
86,1000202,16783,782
87,1000202,18460,459
88,1000203,2599,598
89,1000203,5274,273
90,1000203,9952,951
91,1000203,11685,684
92,1000203,15272,271
93,1000203,19755,754
94,1000203,19964,963
95,1000204,1397,396
96,1000204,9064,63
97,1000204,13954,953
98,1000204,18474,473
99,1000204,19590,589
100,1000205,16328,327
101,1000206,2559,558
102,1000207,12913,912
103,1000207,14608,607
104,1000207,16356,355
105,1000208,590,589
106,1000208,1350,349
107,1000208,8810,809
108,1000208,10311,310
109,1000208,16214,213
110,1000208,18415,414
111,1000209,11993,992
112,1000209,13129,128
113,1000210,8446,445
114,1000210,12672,671
115,1000210,13752,751
116,1000210,14077,76
117,1000211,80,79
118,1000211,15056,55
119,1000212,765,764
120,1000212,7146,145
121,1000212,16283,282
122,1000213,2878,877
123,1000213,11731,730
124,1000213,12562,561
125,1000213,12941,940
126,1000213,19740,739
127,1000214,3697,696
128,1000214,3874,873
129,1000214,5299,298
130,1000214,7914,913
131,1000214,17578,577
132,1000215,3227,226
133,1000215,3740,739
134,1000215,14304,303
135,1000216,3988,987
136,1000216,7084,83
137,1000216,10009,8
138,1000216,13863,862
139,1000216,14327,326
140,1000216,16068,67
141,1000217,6700,699
142,1000217,6740,739
