,PRICE,TIME,ID
0,1000447,39984,984
1,1000442,39983,983
2,1000028,39999,-1
3,999952,39434,434
4,999932,38822,822
5,999901,39370,370
6,999861,39559,559
7,999834,38854,854
8,999831,39037,37
9,999777,38812,812
10,999760,38720,720
11,999733,39946,946
12,999733,39958,958
13,999621,39892,892
14,999585,38685,685
15,999566,38970,970
16,999525,38664,664
17,999430,38168,168
18,999419,38109,109
19,999374,38692,692
20,999356,39831,831
21,999330,37952,952
22,999290,38467,467
23,999289,39456,456
24,999167,39478,478
25,999152,36627,627
26,999150,38286,286
27,999114,36588,588
28,999113,39715,715
29,999064,38226,226
30,999062,39277,277
31,999061,36932,932
32,999058,37662,662
33,999054,38670,670
34,999045,39106,106
35,998986,39735,735
36,998963,39925,925
37,998878,36988,988
38,998820,37547,547
39,998808,36671,671
40,998797,38587,587
41,998776,36745,745
42,998718,35109,109
43,998705,36263,263
44,998695,36436,436
45,998651,36804,804
46,998611,36896,896
47,998589,39054,54
48,998551,38211,211
49,998527,34925,925
50,998472,38229,229
51,998377,39302,302
52,998357,36548,548
53,998339,36937,937
54,998211,37350,350
55,998071,35103,103
56,998066,34062,62
57,998057,35715,715
58,998016,38820,820
59,997817,33277,277
60,997800,32019,19
61,997792,39761,761
62,997772,32467,467
63,997741,33370,370
64,997626,32286,286
65,997594,31853,853
66,997558,38743,743
67,997556,36912,912
68,997502,33089,89
69,997491,35383,383
70,997414,31918,918
71,997335,35549,549
72,997159,37820,820
73,997073,32331,331
74,997042,35812,812
75,996991,35160,160
76,996947,38191,191
77,996878,38543,543
78,996877,29748,748
79,996838,31046,46
80,996815,29677,677
81,996754,29806,806
82,996688,33298,298
83,996597,34784,784
84,996583,29892,892
85,996569,36926,926
86,996486,32587,587
87,996421,32925,925
88,996402,30298,298
89,996259,29548,548
90,996180,29472,472
91,996085,31361,361
92,996054,38436,436
93,995834,28939,939
94,995824,28291,291
95,995822,28932,932
96,995785,29079,79
97,995712,28228,228
98,995607,38939,939
99,995529,36191,191
100,995464,33528,528
101,995348,29062,62
102,995187,32268,268
103,995052,31528,528
104,994780,27210,210
105,994723,27388,388
106,994686,35820,820
107,994614,30062,62
108,994555,29263,263
109,994522,27158,158
110,994495,28822,822
111,994468,25812,812
112,994429,25526,526
113,994397,26229,229
114,994356,26852,852
115,994273,25820,820
116,994258,25093,93
117,994191,28268,268
118,994122,29160,160
119,994096,26109,109
120,993945,31477,477
121,993882,26761,761
122,993764,26664,664
123,993298,25196,196
124,993217,24459,459
125,993184,34487,487
126,993097,27657,657
127,993061,25347,347
128,993049,24528,528
129,992953,25291,291
130,992941,36528,528
131,992912,33361,361
132,992911,24467,467
133,992836,23467,467
134,992831,37181,181
135,992672,23526,526
136,992623,23948,948
137,992417,22829,829
138,992362,27109,109
139,992167,22560,560
140,992055,32054,54
141,991831,21491,491
142,991682,24562,562
143,991223,21829,829
144,990967,24160,160
145,990807,24103,103
146,990124,23903,903
147,989965,20560,560
148,989000,21211,211
149,987533,22054,54
150,982150,20562,562
