,PRICE
0,1000000
1,1000000
2,1000000
3,1000183
4,1000183
5,1000183
6,1000146
7,1000146
8,1000143
9,1000143
10,1000143
11,1000143
12,1000143
13,1000216
14,1000850
15,1000850
16,1000850
17,1000850
18,1000850
19,1000850
20,1000850
21,1000850
22,1000850
23,1000850
24,1000850
25,1000850
26,1000850
27,1000850
28,1000850
29,1000850
30,1000850
31,1000850
32,1001499
33,1001499
34,1001499
35,1001325
36,1001325
37,1001325
38,1001325
39,1001325
40,1001325
41,1001325
42,1001325
43,1001325
44,1001325
45,1001325
46,1001325
47,1001325
48,1001325
49,1001325
50,1001325
51,1001325
52,1001325
53,1001325
54,1001325
55,1001325
56,1001325
57,1001325
58,1001325
59,1001325
60,1001325
61,1001325
62,1001325
63,1002350
64,1002350
65,1001473
66,1001473
67,1001473
68,1001473
69,1001473
70,1001473
71,1001473
72,1001473
73,1001473
74,1001473
75,1001754
76,1001754
77,1002410
78,1002516
79,1002595
80,1002595
81,1002595
82,1002595
83,1002595
84,1002595
85,1002595
86,1002595
87,1002595
88,1002595
89,1002595
90,1002595
91,1002595
92,1002595
93,1002595
94,1002595
95,1002595
96,1002595
97,1002595
98,1002595
99,1002595
100,1002595
101,1002595
102,1002595
103,1002595
104,1002595
105,1002595
106,1002595
107,1002595
108,1002595
109,1002595
110,1002595
111,1002682
112,1002682
113,1002682
114,1002682
115,1002700
116,1002700
117,1002700
118,1002719
119,1002719
120,1002719
121,1002719
122,1002719
123,1002719
124,1002719
125,1002719
126,1002719
127,1002733
128,1002733
129,1002733
130,1002733
131,1002743
132,1002743
133,1002743
134,1002743
135,1002743
136,1002743
137,1002743
138,1002743
139,1002743
140,1002743
141,1002743
142,1002658
143,1002688
144,1002688
145,1002725
146,1002725
147,1002738
148,1002738
149,1002738
150,1002738
151,1002738
152,1002738
153,1002738
154,1002738
155,1002738
156,1002738
157,1002738
158,1002738
159,1002738
160,1002738
161,1002329
162,1002329
163,1002329
164,1002329
165,1002329
166,1002329
167,1002329
168,1002329
169,1001777
170,1001777
171,1001777
172,1001777
173,1001777
174,1001777
175,1001777
176,1002778
177,1002831
178,1002831
179,1002831
180,1002831
181,1002831
182,1002835
183,1002835
184,1002835
185,1002835
186,1002835
187,1002835
188,1002835
189,1002835
190,1002835
191,1002835
192,1002835
193,1002835
194,1002835
195,1003070
196,1003070
197,1003070
198,1003070
199,1003070
200,1003070
201,1003070
202,1003070
203,1003070
204,1003070
205,1003070
206,1003070
207,1003070
208,1003070
209,1003415
210,1003415
211,1003415
212,1003415
213,1003415
214,1003415
215,1003415
216,1003415
217,1003461
218,1003461
219,1003461
220,1003461
221,1003461
222,1003513
223,1003513
224,1003523
225,1003523
226,1003523
227,1003523
228,1003523
229,1003523
230,1003523
231,1003523
232,1003523
233,1003523
234,1003523
235,1003523
236,1003523
237,1003523
238,1003523
239,1003523
240,1003523
241,1003523
242,1003523
243,1003523
244,1003523
245,1003523
246,1003523
247,1003523
248,1003523
249,1003523
250,1003699
251,1003699
252,1003699
253,1003699
254,1003707
255,1003707
256,1003707
257,1003707
258,1003711
259,1003711
260,1003711
261,1003711
262,1003711
263,1003711
264,1003711
265,1003711
266,1003711
267,1003713
268,1003713
269,1003713
270,1003713
271,1003993
272,1003993
273,1003993
274,1003993
275,1003993
276,1003993
277,1003993
278,1003993
279,1003993
280,1003993
281,1003993
282,1004326
283,1004400
284,1004400
285,1004400
286,1004400
287,1004476
288,1004476
289,1004476
290,1004476
291,1004476
292,1004476
293,1004476
294,1004590
295,1004590
296,1004590
297,1004590
298,1004590
299,1004590
300,1004590
301,1004650
302,1004650
303,1004650
304,1004694
305,1004696
306,1004698
307,1004698
308,1004705
309,1004719
310,1004719
311,1004737
312,1004737
313,1004737
314,1004737
315,1004737
316,1004737
317,1004737
318,1004737
319,1004758
320,1004758
321,1004758
322,1004758
323,1004758
324,1004758
325,1004758
326,1004758
327,1004758
328,1004792
329,1004819
330,1004819
331,1004827
332,1004827
333,1004827
334,1004827
335,1004827
336,1004861
337,1004861
338,1004861
339,1004861
340,1004861
341,1004861
342,1004861
343,1004861
344,1004861
345,1003987
346,1003987
347,1003987
348,1003987
349,1003987
350,1003987
351,1003987
352,1003987
353,1003987
354,1003987
355,1004739
356,1004739
357,1004739
358,1004848
359,1004885
360,1004885
361,1004930
362,1004946
363,1004946
364,1004946
365,1004946
366,1004958
367,1004958
368,1004967
369,1004967
370,1004974
371,1004974
372,1004974
373,1004974
374,1004974
375,1004974
376,1004934
377,1004934
378,1004934
379,1004934
380,1004934
381,1004934
382,1004934
383,1004934
384,1004934
385,1004934
386,1004676
387,1004676
388,1004996
389,1005010
390,1005010
391,1005017
392,1005094
393,1005094
394,1005094
395,1005094
396,1005094
397,1005094
398,1005094
399,1005094
400,1005094
401,1005094
402,1005094
403,1005117
404,1005117
405,1005117
406,1005117
407,1005117
408,1004162
409,1004162
410,1004162
411,1004162
412,1004162
413,1004162
414,1004162
415,1004162
416,1004162
417,1004162
418,1004148
419,1004148
420,1004148
421,1004786
422,1004786
423,1004844
424,1004844
425,1004958
426,1004958
427,1004958
428,1004973
429,1004973
430,1004973
431,1004973
432,1004973
433,1004973
434,1004973
435,1004973
436,1004756
437,1004822
438,1004871
439,1004871
440,1004908
441,1004936
442,1004936
443,1005010
444,1005010
445,1005010
446,1005012
447,1005012
448,1005012
449,1005021
450,1005052
451,1005052
452,1005052
453,1005052
454,1005052
455,1005052
456,1005052
457,1005052
458,1005052
459,1005052
460,1005052
461,1005052
462,1005052
463,1005052
464,1005052
465,1005052
466,1005052
467,1005052
468,1005052
469,1005081
470,1005081
471,1005081
472,1005081
473,1005081
474,1005135
475,1005135
476,1005135
477,1005135
478,1005135
479,1005135
480,1005135
481,1005135
482,1005135
483,1005135
484,1005135
485,1005135
486,1005135
487,1005135
488,1005135
489,1005135
490,1005135
491,1005135
492,1005135
493,1005135
494,1005135
495,1005135
496,1005135
497,1005135
498,1005135
499,1005135
500,1005135
501,1005166
502,1005166
503,1005166
504,1005172
505,1005172
506,1005172
507,1005177
508,1005177
509,1005177
510,1005177
511,1005177
512,1005177
513,1005177
514,1005177
515,1005177
516,1005194
517,1005194
518,1005194
519,1005194
520,1005195
521,1005196
522,1005196
523,1005196
524,1005196
525,1005201
526,1005201
527,1005201
528,1005201
529,1005204
530,1005204
531,1005204
532,1005204
533,1005205
534,1005205
535,1005207
536,1005209
537,1005209
538,1005215
539,1005215
540,1005215
541,1005215
542,1005215
543,1005215
544,1005215
545,1005215
546,1005215
547,1005235
548,1005235
549,1005235
550,1005235
551,1005235
552,1005235
553,1005237
554,1005237
555,1005237
556,1005237
557,1005237
558,1005237
559,1005237
560,1005237
561,1005239
562,1005239
563,1005239
564,1005239
565,1005239
566,1005239
567,1005239
568,1005239
569,1005239
570,1005239
571,1005239
572,1005239
573,1005239
574,1005239
575,1005239
576,1005239
577,1005239
578,1005226
579,1005226
580,1005226
581,1005226
582,1005226
583,1005226
584,1005266
585,1005266
586,1005266
587,1005266
588,1005266
589,1005266
590,1005266
591,1005266
592,1005266
593,1005266
594,1005266
595,1005266
596,1005266
597,1005266
598,1005383
599,1005383
600,1005383
601,1005383
602,1005383
603,1005383
604,1005383
605,1005383
606,1005383
607,1005383
608,1005383
609,1005383
610,1005539
611,1005539
612,1005539
613,1005539
614,1005539
615,1005561
616,1005561
617,1005561
618,1005561
619,1005561
620,1005561
621,1005561
622,1005561
623,1005718
624,1005718
625,1005718
626,1005718
627,1005718
628,1005718
629,1005718
630,1005718
631,1005718
632,1005718
633,1005718
634,1005718
635,1005718
636,1005718
637,1005718
638,1005718
639,1005718
640,1005896
641,1005896
642,1005896
643,1005896
644,1005896
645,1005896
646,1005896
647,1006099
648,1006099
649,1006099
650,1006127
651,1006140
652,1006153
653,1006159
654,1006159
655,1006159
656,1006159
657,1006159
658,1006159
659,1006159
660,1006159
661,1006155
662,1006155
663,1006185
664,1006185
665,1006185
666,1006185
667,1006185
668,1006185
669,1006214
670,1006214
671,1006214
672,1006214
673,1006232
674,1006239
675,1006239
676,1006239
677,1006239
678,1006239
679,1006239
680,1006239
681,1006239
682,1006239
683,1006239
684,1006239
685,1005249
686,1005249
687,1005249
688,1005249
689,1005249
690,1006240
691,1005245
692,1005245
693,1005245
694,1005245
695,1005245
696,1006245
697,1006245
698,1006245
699,1006245
700,1006245
701,1006251
702,1006253
703,1006255
704,1006256
705,1006256
706,1006256
707,1006256
708,1006256
709,1006256
710,1006256
711,1006261
712,1006274
713,1006282
714,1006282
715,1006282
716,1006282
717,1006282
718,1006282
719,1006320
720,1006322
721,1006322
722,1006322
723,1006322
724,1006322
725,1006322
726,1006322
727,1006329
728,1006329
729,1006329
730,1006329
731,1006329
732,1006412
733,1006412
734,1006412
735,1006412
736,1006428
737,1006428
738,1006440
739,1006449
740,1006449
741,1006449
742,1006449
743,1006449
744,1006449
745,1006449
746,1006449
747,1006449
748,1006449
749,1006456
750,1006456
751,1006456
752,1006456
753,1006456
754,1006468
755,1006470
756,1006470
757,1006470
758,1006470
759,1006470
760,1006470
761,1006470
762,1006470
763,1006277
764,1006327
765,1006327
766,1006327
767,1006392
768,1006392
769,1006392
770,1006392
771,1006392
772,1006392
773,1006392
774,1006392
775,1006392
776,1006392
777,1006392
778,1006392
779,1006392
780,1006392
781,1006392
782,1006392
783,1006392
784,1006392
785,1006392
786,1006463
787,1006463
788,1006463
789,1006463
790,1006463
791,1006463
792,1006463
793,1006463
794,1006470
795,1006470
796,1006471
797,1006472
798,1006473
799,1006473
800,1006473
801,1006473
802,1006473
803,1006473
804,1006473
805,1006473
806,1006473
807,1006473
808,1006473
809,1006473
810,1006473
811,1006473
812,1006473
813,1006473
814,1006473
815,1006473
816,1006473
817,1006473
818,1006473
819,1006473
820,1006473
821,1006473
822,1006473
823,1006473
824,1006378
825,1006378
826,1006378
827,1006402
828,1006420
829,1006420
830,1006420
831,1006434
832,1006434
833,1006434
834,1006434
835,1006477
836,1006477
837,1006477
838,1006477
839,1006477
840,1006201
841,1006201
842,1006201
843,1006201
844,1006201
845,1006201
846,1006201
847,1006201
848,1006201
849,1006201
850,1006201
851,1006666
852,1006666
853,1006666
854,1006666
855,1006666
856,1006666
857,1006666
858,1006666
859,1006666
860,1006666
861,1006666
862,1006666
863,1006666
864,1006666
865,1006666
866,1006666
867,1006666
868,1006799
869,1006799
870,1006914
871,1006914
872,1006914
873,1006322
874,1006322
875,1006322
876,1006322
877,1006322
878,1006976
879,1006976
880,1006987
881,1006987
882,1006987
883,1006995
884,1006995
885,1006995
886,1006995
887,1006995
888,1007001
889,1007001
890,1007001
891,1007001
892,1007001
893,1007001
894,1007001
895,1007001
896,1007020
897,1007020
898,1007034
899,1007034
900,1007034
901,1007034
902,1007034
903,1007034
904,1007224
905,1007253
906,1007253
907,1007299
908,1007299
909,1007299
910,1007299
911,1007299
912,1007299
913,1007299
914,1007299
915,1007299
916,1007299
917,1007299
918,1007299
919,1007299
920,1007299
921,1007299
922,1007299
923,1007299
924,1007299
925,1007299
926,1007299
927,1007299
928,1007363
929,1007363
930,1007363
931,1007393
932,1007393
933,1007393
934,1007393
935,1007393
936,1007393
937,1007393
938,1007393
939,1007393
940,1007393
941,1007393
942,1007393
943,1007393
944,1007393
945,1007393
946,1007393
947,1007393
948,1007393
949,1007393
950,1007506
951,1007616
952,1007616
953,1007616
954,1007616
955,1007709
956,1007709
957,1007709
958,1007709
959,1007709
960,1007709
961,1007709
962,1007731
963,1007733
964,1007733
965,1007733
966,1007735
967,1007735
968,1007735
969,1007735
970,1007735
971,1007769
972,1007769
973,1007800
974,1007800
975,1007800
976,1007800
977,1007816
978,1007816
979,1007816
980,1007817
981,1007817
982,1007820
983,1006910
984,1006910
985,1006910
986,1007826
987,1007826
988,1007826
989,1007826
990,1007826
991,1007835
992,1007835
993,1007835
994,1007835
995,1007835
996,1007835
997,1007835
998,1007835
999,1007864
1000,1007864
1001,1007864
1002,1007864
1003,1007864
1004,1007868
1005,1007868
1006,1007871
1007,1007871
1008,1007871
1009,1007871
1010,1007742
1011,1007742
1012,1007742
1013,1007742
1014,1007742
1015,1007742
1016,1007805
1017,1007805
1018,1007805
1019,1007805
1020,1007805
1021,1007832
1022,1007832
1023,1007832
1024,1006858
1025,1006858
1026,1007436
1027,1007436
1028,1007436
1029,1007635
1030,1007635
1031,1007635
1032,1007635
1033,1007635
1034,1007635
1035,1007747
1036,1007747
1037,1007747
1038,1007747
1039,1007747
1040,1007747
1041,1007747
1042,1007747
1043,1007747
1044,1007858
1045,1007858
1046,1007858
1047,1007858
1048,1007778
1049,1007810
1050,1007810
1051,1007810
1052,1007810
1053,1007810
1054,1007810
1055,1007810
1056,1007810
1057,1007810
1058,1007810
1059,1007810
1060,1007810
1061,1007723
1062,1007769
1063,1007769
1064,1007769
1065,1007769
1066,1007769
1067,1007769
1068,1007769
1069,1007681
1070,1007681
1071,1007681
1072,1007681
1073,1007681
1074,1007681
1075,1007681
1076,1007835
1077,1007835
1078,1007853
1079,1007866
1080,1007866
1081,1007866
1082,1007866
1083,1007866
1084,1007866
1085,1007866
1086,1007866
1087,1007866
1088,1007866
1089,1007866
1090,1007866
1091,1007866
1092,1007866
1093,1007879
1094,1007879
1095,1007879
1096,1007879
1097,1007879
1098,1007879
1099,1007879
1100,1007879
1101,1007879
1102,1007879
1103,1007879
1104,1007879
1105,1007879
1106,1007879
1107,1007745
1108,1007745
1109,1007745
1110,1007745
1111,1007745
1112,1007745
1113,1007745
1114,1007745
1115,1007745
1116,1007755
1117,1007755
1118,1007755
1119,1007755
1120,1007755
1121,1007755
1122,1007755
1123,1007755
1124,1007755
1125,1007835
1126,1007835
1127,1007853
1128,1007853
1129,1007853
1130,1007876
1131,1007876
1132,1007876
1133,1006888
1134,1006888
1135,1006888
1136,1007641
1137,1007641
1138,1007641
1139,1007753
1140,1007753
1141,1007753
1142,1007753
1143,1007753
1144,1007753
1145,1007753
1146,1007753
1147,1007753
1148,1007753
1149,1007753
1150,1007753
1151,1007753
1152,1007753
1153,1007753
1154,1007742
1155,1007742
1156,1007742
1157,1007742
1158,1007742
1159,1007742
1160,1007810
1161,1007834
1162,1007852
1163,1007852
1164,1007852
1165,1007852
1166,1007865
1167,1007875
1168,1007875
1169,1007875
1170,1007875
1171,1007790
1172,1007819
1173,1007819
1174,1007841
1175,1007841
1176,1007841
1177,1007841
1178,1007841
1179,1007865
1180,1007865
1181,1007865
1182,1007865
1183,1007865
1184,1007879
1185,1007886
1186,1007886
1187,1007886
1188,1007891
1189,1007891
1190,1007891
1191,1007891
1192,1007891
1193,1007891
1194,1007891
1195,1007891
1196,1007891
1197,1007891
1198,1007891
1199,1007891
1200,1007898
1201,1007898
1202,1007898
1203,1007898
1204,1007898
1205,1007898
1206,1007898
1207,1007907
1208,1007907
1209,1007907
1210,1007907
1211,1007948
1212,1007948
1213,1007948
1214,1007948
1215,1007948
1216,1008067
1217,1008067
1218,1008067
1219,1008067
1220,1008067
1221,1008067
1222,1008085
1223,1008085
1224,1008085
1225,1008085
1226,1008085
1227,1008085
1228,1008199
1229,1008212
1230,1008243
1231,1008252
1232,1008252
1233,1008258
1234,1008258
1235,1008258
1236,1008261
1237,1008261
1238,1008261
1239,1008261
1240,1008261
1241,1008261
1242,1008261
1243,1008317
1244,1008317
1245,1008317
1246,1008317
1247,1008317
1248,1008317
1249,1008317
1250,1008317
1251,1008317
1252,1008377
1253,1008377
1254,1008377
1255,1008377
1256,1008377
1257,1008398
1258,1008398
1259,1008398
1260,1008398
1261,1008398
1262,1008398
1263,1008398
1264,1008428
1265,1008428
1266,1008448
1267,1008452
1268,1008452
1269,1008452
1270,1008452
1271,1008452
1272,1008469
1273,1008469
1274,1008469
1275,1008469
1276,1008469
1277,1008469
1278,1008469
1279,1008504
1280,1008504
1281,1008504
1282,1008504
1283,1008506
1284,1008506
1285,1008506
1286,1008507
1287,1008513
1288,1008513
1289,1008513
1290,1008513
1291,1007875
1292,1007875
1293,1008423
1294,1008423
1295,1008423
1296,1008423
1297,1008555
1298,1008555
1299,1008555
1300,1008555
1301,1008555
1302,1008620
1303,1008620
1304,1008620
1305,1008620
1306,1008620
1307,1008625
1308,1008642
1309,1008642
1310,1008642
1311,1008657
1312,1008657
1313,1008657
1314,1008657
1315,1008657
1316,1007709
1317,1007709
1318,1008695
1319,1008695
1320,1008695
1321,1008695
1322,1008695
1323,1008695
1324,1008695
1325,1008695
1326,1008695
1327,1008695
1328,1008695
1329,1008695
1330,1008706
1331,1008708
1332,1008708
1333,1008708
1334,1008708
1335,1008712
1336,1008712
1337,1008712
1338,1008714
1339,1008714
1340,1008660
1341,1008660
1342,1008660
1343,1008660
1344,1008660
1345,1008660
1346,1008660
1347,1008660
1348,1008660
1349,1008660
1350,1008660
1351,1008660
1352,1008660
1353,1008660
1354,1008725
1355,1008731
1356,1008731
1357,1008731
1358,1008731
1359,1008731
1360,1008803
1361,1008803
1362,1008803
1363,1008803
1364,1008803
1365,1008819
1366,1008819
1367,1008819
1368,1008819
1369,1008819
1370,1008819
1371,1008819
1372,1008819
1373,1008819
1374,1008841
1375,1008841
1376,1008902
1377,1008902
1378,1008902
1379,1008902
1380,1008902
1381,1008902
1382,1008902
1383,1008902
1384,1008902
1385,1008902
1386,1008902
1387,1008902
1388,1008902
1389,1008902
1390,1008902
1391,1008966
1392,1008966
1393,1008966
1394,1008988
1395,1008988
1396,1008988
1397,1008988
1398,1008988
1399,1008988
1400,1008988
1401,1008988
1402,1008988
1403,1008988
1404,1008990
1405,1008990
1406,1008990
1407,1008990
1408,1008990
1409,1008990
1410,1008990
1411,1008990
1412,1008990
1413,1008990
1414,1008886
1415,1008886
1416,1008886
1417,1008886
1418,1008886
1419,1008886
1420,1008886
1421,1008886
1422,1008797
1423,1008848
1424,1008848
1425,1008848
1426,1008848
1427,1008848
1428,1008848
1429,1008848
1430,1008848
1431,1008817
1432,1008817
1433,1008817
1434,1008817
1435,1008817
1436,1008817
1437,1008817
1438,1008817
1439,1008817
1440,1009004
1441,1009024
1442,1009024
1443,1009024
1444,1009024
1445,1009035
1446,1009035
1447,1009035
1448,1009068
1449,1009068
1450,1009076
1451,1009076
1452,1009076
1453,1009076
1454,1009076
1455,1009076
1456,1009076
1457,1009076
1458,1009076
1459,1009076
1460,1009076
1461,1009076
1462,1009076
1463,1009076
1464,1008087
1465,1008087
1466,1008087
1467,1009086
1468,1009086
1469,1009086
1470,1009086
1471,1009086
1472,1009086
1473,1009086
1474,1009086
1475,1009086
1476,1009086
1477,1009086
1478,1009086
1479,1009086
1480,1009086
1481,1009086
1482,1009086
1483,1009086
1484,1009086
1485,1009086
1486,1009086
1487,1009086
1488,1009086
1489,1009086
1490,1009086
1491,1009086
1492,1009086
1493,1009086
1494,1009086
1495,1009086
1496,1009086
1497,1009086
1498,1009086
1499,1009086
1500,1009086
1501,1009086
1502,1009086
1503,1009086
1504,1009086
1505,1009086
1506,1009086
1507,1009086
1508,1009086
1509,1009086
1510,1009086
1511,1009086
1512,1009086
1513,1009086
1514,1009086
1515,1009086
1516,1009086
1517,1009086
1518,1009086
1519,1009086
1520,1009086
1521,1009086
1522,1009086
1523,1009086
1524,1009086
1525,1009086
1526,1009086
1527,1009086
1528,1009086
1529,1009086
