,PRICE,TIME,ID
0,1000182,6195,194
1,1000183,2295,294
2,1000183,2864,863
3,1000183,15621,620
4,1000183,19197,196
5,1000184,987,986
6,1000184,1953,952
7,1000184,12915,914
8,1000184,15666,665
9,1000185,15034,33
10,1000185,15795,794
11,1000186,3827,826
12,1000186,11140,139
13,1000187,3437,436
14,1000187,4619,618
15,1000187,4802,801
16,1000187,11281,280
17,1000187,14259,258
18,1000187,16142,141
19,1000187,18926,925
20,1000188,4680,679
21,1000188,11859,858
22,1000188,13008,7
23,1000188,15640,639
24,1000188,16848,847
25,1000188,19566,565
26,1000189,1608,607
27,1000189,4582,581
28,1000189,4773,772
29,1000189,19975,974
30,1000190,2204,203
31,1000190,3329,328
32,1000190,17953,952
33,1000191,2060,59
34,1000191,8696,695
35,1000191,10965,964
36,1000192,10193,192
37,1000193,2277,276
38,1000193,2601,600
39,1000193,5781,780
40,1000193,11310,309
41,1000193,14741,740
42,1000194,3071,70
43,1000194,3363,362
44,1000194,4617,616
45,1000194,4983,982
46,1000194,7091,90
47,1000194,9245,244
48,1000194,12603,602
49,1000195,1104,103
50,1000195,1971,970
51,1000195,12858,857
52,1000195,13943,942
53,1000195,14268,267
54,1000195,17365,364
55,1000195,19910,909
56,1000196,1933,932
57,1000196,3817,816
58,1000196,10621,620
59,1000196,12013,12
60,1000196,12568,567
61,1000196,16792,791
62,1000197,5811,810
63,1000197,18161,160
64,1000197,19782,781
65,1000198,7919,918
66,1000198,12327,326
67,1000199,12495,494
68,1000200,13604,603
69,1000200,14512,511
70,1000200,14930,929
71,1000200,18142,141
72,1000200,18781,780
73,1000201,5817,816
74,1000201,9989,988
75,1000201,15251,250
76,1000201,16136,135
77,1000202,10479,478
78,1000202,14630,629
79,1000202,19044,43
80,1000203,2785,784
81,1000203,6064,63
82,1000203,11835,834
83,1000204,7895,894
84,1000205,1315,314
85,1000205,3017,16
86,1000205,3267,266
87,1000205,13099,98
88,1000205,14380,379
89,1000206,16132,131
90,1000206,18429,428
91,1000207,4293,292
