,PRICE
0,1000000
1,1000000
2,1000000
3,1000000
4,1000000
5,1000000
6,1000000
7,1000000
8,1000000
9,1000000
10,999769
11,999769
12,999769
13,999769
14,999769
15,999769
16,999769
17,999769
18,999769
19,992671
20,992544
21,992544
22,992544
23,992544
24,992544
25,986318
26,986318
27,986318
28,983797
29,983797
30,983797
31,983797
32,983797
33,979808
34,979808
35,979808
36,979808
37,979808
38,979808
39,975581
40,975788
41,975788
42,975788
43,972227
44,972227
45,972227
46,972227
47,972227
48,972227
49,972227
50,972227
51,972227
52,972227
53,970750
54,970750
55,970750
56,970750
57,970750
58,970750
59,971053
60,969597
61,969597
62,960493
63,960493
64,960493
65,949792
66,949792
67,949792
68,949792
69,949792
70,949792
71,949792
72,949792
73,947785
74,947785
75,947785
76,947785
77,935113
78,935113
79,935113
80,935113
81,935113
82,935113
83,935113
84,935113
85,925278
86,925278
87,922566
88,922566
89,922566
90,922566
91,905567
92,905567
93,905567
94,905567
95,905567
96,905567
97,905567
98,905567
99,875837
100,856259
101,856259
102,856259
103,856259
104,856259
105,856259
106,856259
107,856259
108,856259
109,856259
110,856259
111,856259
112,856259
113,856259
114,829393
115,829393
116,824854
117,824854
118,824644
119,824644
120,823946
121,823946
122,813740
123,812504
124,812504
125,808743
126,802424
127,802424
128,802424
129,742745
130,742745
131,742745
132,742745
133,742745
134,742745
135,742745
136,742745
137,735070
138,731011
139,731011
140,724686
141,724686
142,724686
143,905144
144,714436
145,714436
146,714436
147,699771
148,699771
149,699771
150,699771
151,699771
152,699771
153,699771
154,681278
155,681278
156,681278
157,681278
158,681278
159,681278
160,681278
161,681278
162,603436
163,603436
164,598523
165,598523
166,598523
167,598523
168,598523
169,598523
170,598523
171,598523
172,598523
173,578282
174,578282
175,578282
176,578282
177,574698
178,574698
179,571614
180,571614
181,571614
182,571614
183,533503
184,533503
185,533503
186,523752
187,523752
188,523752
189,523752
190,523752
191,523752
192,523752
193,523752
194,504297
195,504297
196,504297
197,504297
198,504297
199,504297
200,504297
201,504297
202,504297
203,435679
204,435679
205,435679
206,435679
207,435679
208,435679
209,435679
210,435679
211,435679
212,435679
213,435679
214,435679
215,435679
216,417611
217,417611
218,410481
219,455302
220,400897
221,400897
222,400897
223,492231
224,492231
225,492231
226,397257
227,397257
228,397257
229,397257
230,397257
231,390050
232,384590
233,384590
234,382451
235,374762
236,374762
237,374762
238,374762
239,374762
240,365469
241,365469
242,365469
243,365469
244,365469
245,365469
246,340112
247,340112
248,340112
249,340112
250,340112
251,340112
252,333915
253,333915
254,360346
255,360346
256,316866
257,316866
258,316866
259,305153
260,305153
261,305153
262,287615
263,287615
264,287615
265,287615
266,287615
267,287615
268,281018
269,281018
270,281018
271,281018
272,281018
273,281018
274,281018
275,263822
276,263822
277,263822
278,263822
279,259251
280,259251
281,259251
282,259251
283,259251
284,259251
285,259251
286,259251
287,259251
288,259251
289,259251
290,237131
291,237131
292,235142
293,235142
294,235142
295,235142
296,235142
297,235142
298,235142
299,235142
300,235142
301,235142
302,235142
303,235142
304,235142
305,214732
306,214732
307,214732
308,214732
309,214732
310,214732
311,191424
312,189711
313,189711
314,184170
315,184170
316,184170
317,172653
318,172653
319,170255
320,170255
321,170255
322,170255
323,170255
324,170255
325,170255
326,167335
327,167335
328,167335
329,167335
330,357909
331,357909
332,357909
333,158415
334,158415
335,158415
336,158415
337,158415
338,158415
339,139930
340,135325
341,135325
342,135325
343,131785
344,131785
345,131785
346,131785
347,131785
348,131785
349,131785
350,131785
351,131785
352,127169
353,127169
354,126651
355,126651
356,126651
357,126651
358,126651
359,114043
360,112825
361,112825
362,112825
363,112825
364,112825
365,112825
366,112825
367,112825
368,112825
369,112580
370,103665
371,103403
372,103403
373,103403
374,103403
375,97324
376,97324
377,97324
378,97324
379,97324
380,97324
381,91356
382,90741
383,90741
384,90741
385,86211
386,86211
387,86211
388,86211
389,86211
390,86211
391,86211
392,86211
393,86211
394,86211
395,86211
396,83331
397,83331
398,82250
399,82250
400,78494
401,78494
402,78494
403,74765
404,74765
405,74765
406,74765
407,74765
408,72383
409,72383
410,67363
411,67363
412,67363
413,67363
414,67363
415,67363
416,67363
417,67363
418,67363
419,60120
420,60120
421,51907
422,51907
423,51907
424,51907
425,47025
426,47025
427,47025
428,47025
429,47025
430,43873
431,43469
432,43469
433,43469
434,43469
435,43469
436,43469
437,43469
438,40792
439,40792
440,40792
441,40792
442,40792
443,40792
444,40792
445,40792
446,37970
447,37970
448,37970
449,37970
450,37970
451,37970
452,37970
453,37970
454,37970
455,37970
456,37970
457,34699
458,34699
459,32794
460,32794
461,31922
462,31922
463,31922
464,31922
465,31922
466,31922
467,31922
468,31922
469,31922
470,31922
471,31922
472,31922
473,31922
474,31922
475,31922
476,31922
477,31922
478,31922
479,31922
480,31922
481,26563
482,26563
483,25694
484,25694
485,25694
486,25694
487,25694
488,25694
489,24815
490,24815
491,24815
492,23423
493,22477
494,22194
495,22194
496,22194
497,22765
498,22765
499,22765
500,22765
501,22765
502,22765
503,22765
504,22765
505,22765
506,22765
507,22765
508,20531
509,20531
510,19123
511,19123
512,19123
513,19123
514,17520
515,17520
516,17520
517,17520
518,17520
519,17520
520,17520
521,17520
522,17145
523,17145
524,17145
525,17145
526,17145
527,17145
528,17145
529,17145
530,17145
531,17145
532,17145
533,17145
534,17145
535,13578
536,13578
537,13578
538,13578
539,13578
540,13578
541,13578
542,13578
543,13578
544,13578
545,13578
546,12699
547,12478
548,12478
549,12478
550,12478
551,12478
552,12478
553,12478
554,9360
555,9360
556,9360
557,8814
558,8814
559,8814
560,8814
561,8814
562,8814
563,7116
564,7116
565,7116
566,7116
567,7116
568,6844
569,6844
570,6785
571,5989
572,5989
573,5989
574,5989
575,5826
576,5826
577,5465
578,5465
579,5465
580,5465
581,4460
582,4460
583,4460
584,4460
585,4460
586,4032
587,4032
588,4032
589,4032
590,4032
591,3993
592,3993
593,3993
594,3157
595,3157
596,3157
597,3096
598,3096
599,3096
600,3096
601,3096
602,3096
603,3096
604,3096
605,3096
606,3096
607,3096
608,2795
609,2795
610,2795
611,2416
612,2416
613,2398
614,2398
615,2398
616,2398
617,2398
618,2398
619,2398
620,2177
621,2177
622,2177
623,2177
624,2177
625,2177
626,2177
627,2177
628,2004
629,2004
630,2004
631,1851
632,1838
633,1838
634,1838
635,1838
636,1792
637,1781
638,1781
639,1781
640,1781
641,1781
642,1781
643,1710
644,1668
645,1552
646,1552
647,1552
648,1551
649,1530
650,1530
651,1530
652,1530
653,1530
654,1530
655,1223
656,1190
657,1190
658,1190
659,1159
660,1120
661,1024
662,1024
663,1021
664,946
665,877
666,868
667,868
668,844
669,804
670,804
671,804
672,804
673,804
674,776
675,776
676,776
677,776
678,776
679,776
680,610
681,610
682,558
683,544
684,544
685,544
686,544
687,544
688,544
689,544
690,494
691,484
692,484
693,484
694,484
695,484
696,484
697,484
698,484
699,376
700,376
701,285
702,247
703,247
704,247
705,247
706,247
707,224
708,224
709,224
710,224
711,224
712,224
713,224
714,224
715,224
716,147
717,147
718,107
719,107
720,107
721,107
722,107
723,107
724,107
725,64
726,64
727,64
728,45
729,45
730,45
731,45
732,45
733,45
734,45
735,45
736,45
737,45
738,34
739,34
740,34
741,34
742,28
743,28
744,28
745,28
746,28
747,28
748,28
749,28
750,28
751,28
752,28
753,13
754,13
755,13
756,13
757,13
758,13
759,13
760,13
761,13
762,13
763,13
764,13
765,13
766,13
767,13
768,13
769,13
770,13
771,13
772,13
773,13
774,13
775,13
776,13
777,13
778,18
779,18
780,18
781,18
782,18
783,18
784,18
785,18
786,18
787,18
788,18
789,18
790,18
791,18
792,18
793,18
794,18
795,18
796,18
797,18
798,18
799,18
800,18
801,18
802,18
803,18
804,18
805,18
806,18
807,18
808,18
809,18
810,18
811,18
812,18
813,18
814,18
815,18
816,18
817,18
818,18
819,18
820,18
821,18
822,18
823,18
824,18
825,18
826,18
827,18
828,18
829,18
830,18
831,18
832,18
833,18
834,18
835,18
836,18
837,18
838,18
839,18
840,18
841,18
842,18
843,18
844,18
845,18
846,18
847,18
848,18
849,18
850,18
851,18
852,18
853,18
854,18
855,18
856,18
857,18
858,18
859,18
860,18
861,18
862,18
863,18
864,18
865,18
866,18
867,18
868,18
869,18
870,18
871,18
872,18
873,18
874,18
875,18
876,18
877,18
878,18
879,18
880,18
881,18
882,18
883,18
884,18
885,18
886,18
887,18
888,18
889,18
890,18
891,18
892,18
893,18
894,18
895,18
896,18
897,18
898,2
899,2
900,2
901,2
902,2
903,2
904,2
905,2
906,2
907,2
908,2
909,2
910,2
911,2
912,2
913,2
914,2
915,2
916,2
917,2
918,2
919,2
920,2
921,2
922,2
923,2
924,2
925,2
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,3
1149,3
1150,3
1151,3
1152,3
1153,3
1154,3
1155,3
1156,3
1157,3
1158,3
1159,3
1160,3
1161,3
1162,3
1163,3
1164,3
1165,3
1166,3
1167,3
1168,3
1169,3
1170,3
1171,3
1172,3
1173,3
1174,3
1175,3
1176,3
1177,3
1178,3
1179,3
1180,3
1181,3
1182,3
1183,3
1184,3
1185,3
1186,3
1187,3
1188,3
1189,3
1190,3
1191,3
1192,3
1193,3
1194,3
1195,3
1196,3
1197,3
1198,3
1199,3
1200,3
1201,3
1202,3
1203,3
1204,3
1205,3
1206,3
1207,3
1208,3
1209,3
1210,3
1211,3
1212,3
1213,3
1214,3
1215,3
1216,3
1217,3
1218,3
1219,2
1220,2
1221,2
1222,2
1223,2
1224,2
1225,2
1226,2
1227,2
1228,2
1229,2
1230,2
1231,2
1232,2
1233,2
1234,2
1235,2
1236,2
1237,2
1238,2
1239,2
1240,2
1241,2
1242,2
1243,2
1244,2
1245,2
1246,2
1247,2
1248,2
1249,2
1250,2
1251,2
1252,2
1253,2
1254,2
1255,2
1256,2
1257,2
1258,2
1259,2
1260,2
1261,2
1262,2
1263,2
1264,2
1265,2
1266,2
1267,2
1268,2
1269,2
1270,2
1271,2
1272,2
1273,2
1274,2
1275,2
1276,2
1277,2
1278,2
1279,2
1280,2
1281,2
1282,2
1283,2
1284,2
1285,2
1286,2
1287,2
1288,2
1289,2
1290,2
1291,2
1292,2
1293,2
1294,2
1295,2
1296,2
1297,2
1298,2
1299,2
1300,2
1301,2
1302,2
1303,2
1304,2
1305,2
1306,2
1307,2
1308,2
1309,2
1310,2
1311,2
1312,2
1313,2
1314,2
1315,2
1316,2
1317,2
1318,2
1319,2
1320,2
1321,2
1322,2
1323,2
1324,2
1325,2
1326,2
1327,2
1328,2
1329,2
1330,2
1331,2
1332,2
1333,2
1334,2
1335,2
1336,2
1337,2
1338,2
1339,2
1340,2
1341,2
1342,2
1343,2
1344,2
1345,2
1346,2
1347,2
1348,2
1349,2
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
1546,1
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,1
1670,1
1671,1
1672,1
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1679,1
1680,1
1681,1
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,1
1690,1
1691,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,1
1731,1
1732,1
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,1
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,1
1885,1
1886,1
1887,1
1888,1
1889,1
1890,1
1891,1
1892,1
1893,1
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,1
1934,1
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,1
2004,1
2005,1
2006,1
2007,1
