,PRICE,TIME,BUY_PRICE,BUY_TIME,BUY_ID,SELL_PRICE,SELL_TIME,SELL_ID
0,999998,2,1000455,2,1,999998,-19219,781
1,999998,4,1000485,4,3,999998,-18858,142
2,999998,9,1000738,9,8,999998,-14760,240
3,999998,10,1000134,10,9,999998,-14723,277
4,999998,11,1000273,11,10,999998,-14488,512
5,999998,26,1000549,26,25,999998,-13869,131
6,999998,30,1000066,30,29,999998,-13593,407
7,999998,31,1000304,31,30,999998,-13305,695
8,999998,36,1000751,36,35,999998,-13286,714
9,999998,37,1000420,37,36,999998,-12496,504
10,999998,41,1000335,41,40,999998,-11970,30
11,999998,56,1000005,56,55,999998,-11647,353
12,999998,58,1000015,58,57,999998,-10540,460
13,999998,62,1000538,62,61,999998,-10378,622
14,999998,63,1000835,63,62,999998,-10362,638
15,999998,67,1001189,67,66,999998,-10160,840
16,999998,68,1000461,68,67,999998,-10007,993
17,999998,71,1000127,71,70,999998,-9787,213
18,999998,75,1000469,75,74,999998,-8143,857
19,999998,76,1000042,76,75,999998,-6815,185
20,999998,84,1000419,84,83,999998,-4238,762
21,999998,88,1000220,88,87,999998,-3970,30
22,999998,95,1000177,95,94,999998,-2516,484
23,999998,99,1000724,99,98,999998,-680,320
24,999998,112,1002186,112,111,999998,-10,990
25,999999,115,1000235,115,114,999999,-13957,43
26,999999,129,1000248,129,128,999999,-12495,505
27,999999,134,1000058,134,133,999999,-11772,228
28,999999,145,1000076,145,144,999999,-4841,159
29,999999,149,1000374,149,148,999999,-2768,232
30,999999,153,1000043,153,152,999999,-2315,685
31,999999,161,1000380,161,160,999999,-2095,905
32,999999,162,1000056,162,161,999999,-1329,671
33,999999,171,1000111,171,170,999999,-455,545
34,1000000,178,1000105,178,177,1000000,-18689,311
35,1000000,180,1000200,180,179,1000000,-16780,220
36,1000000,181,1000116,181,180,1000000,-16727,273
37,1000000,183,1000799,183,182,1000000,-14424,576
38,1000000,185,1000094,185,184,1000000,-12606,394
39,1000000,191,1000014,191,190,1000000,-12550,450
40,1000000,197,1000066,197,196,1000000,-9792,208
41,1000000,201,1000157,201,200,1000000,-8990,10
42,1000000,203,1000230,203,202,1000000,-8968,32
43,1000000,213,1000096,213,212,1000000,-6794,206
44,1000000,214,1000020,214,213,1000000,-5566,434
45,1000000,215,1000298,215,214,1000000,-4225,775
46,1000000,216,1000010,216,215,1000000,-4080,920
47,1000000,222,1000064,222,221,1000000,-3568,432
48,1000001,224,1000308,224,223,1000001,-18604,396
49,1000001,227,1000407,227,226,1000001,-17308,692
50,1000001,234,1000101,234,233,1000001,-16942,58
51,1000001,235,1000938,235,234,1000001,-15097,903
52,1000001,237,1000132,237,236,1000001,-14522,478
53,1000001,240,1000116,240,239,1000001,-9193,807
54,1000001,242,1000263,242,241,1000001,-9181,819
55,1000001,243,1000727,243,242,1000001,-8516,484
56,1000001,245,1000043,245,244,1000001,-7466,534
57,1000001,251,1000501,251,250,1000001,-5883,117
58,1000001,253,1000662,253,252,1000001,-5655,345
59,1000001,259,1000174,259,258,1000001,-4833,167
60,1000001,260,1001083,260,259,1000001,-4400,600
61,1000001,269,1000312,269,268,1000001,-1970,30
62,1000001,280,1000433,280,279,1000001,-1413,587
63,1000001,291,1000481,291,290,1000001,-1003,997
64,1000001,294,1001244,294,293,1000001,-812,188
65,1000001,296,1000210,296,295,1000001,-781,219
66,1000001,301,1000376,301,300,1000001,-722,278
67,999997,307,999997,-6498,502,999835,307,306
68,1000001,309,1000193,309,308,1000001,-374,626
69,1000002,315,1000483,315,314,1000002,-17075,925
70,999997,320,999997,-3109,891,996942,320,319
71,1000002,323,1000223,323,322,1000002,-15780,220
72,999997,325,999997,-787,213,999981,325,324
73,999996,343,999996,-19411,589,999461,343,342
74,999996,347,999996,-17682,318,999922,347,346
75,1000002,351,1001031,351,350,1000002,-14338,662
76,999996,355,999996,-15990,10,998394,355,354
77,999996,374,999996,-12385,615,997745,374,373
78,999996,383,999996,-12110,890,999553,383,382
79,1000002,386,1001683,386,385,1000002,-14286,714
80,999996,388,999996,-10883,117,999836,388,387
81,999996,389,999996,-5786,214,998930,389,388
82,999996,391,999996,-4720,280,999829,391,390
83,1000002,396,1000342,396,395,1000002,-13885,115
84,1000002,404,1000450,404,403,1000002,-13876,124
85,1000002,407,1000063,407,406,1000002,-13451,549
86,999996,410,999996,-4102,898,999118,410,409
87,1000002,419,1000347,419,418,1000002,-12622,378
88,1000002,420,1001419,420,419,1000002,-12437,563
89,1000002,434,1000740,434,433,1000002,-12251,749
90,999996,436,999996,-1914,86,999902,436,435
91,1000002,439,1000586,439,438,1000002,-11962,38
92,1000002,457,1000145,457,456,1000002,-10308,692
93,1000002,460,1000286,460,459,1000002,-7161,839
94,1000002,462,1000513,462,461,1000002,-6896,104
95,1000002,469,1000126,469,468,1000002,-5558,442
96,1000002,473,1000174,473,472,1000002,-2943,57
97,999996,476,999996,-1887,113,999452,476,475
98,1000002,478,1001105,478,477,1000002,-1114,886
99,1000002,488,1000859,488,487,1000002,-407,593
100,999996,491,999996,-1396,604,999432,491,490
101,999995,493,999995,-18989,11,998671,493,492
102,999995,495,999995,-18543,457,998870,495,494
103,999995,501,999995,-17458,542,999903,501,500
104,999995,506,999995,-14478,522,999825,506,505
105,999995,507,999995,-12241,759,998239,507,506
106,999995,520,999995,-11498,502,999921,520,519
107,1000003,523,1000145,523,522,1000003,-16515,485
108,1000003,526,1000567,526,525,1000003,-16236,764
109,1000003,530,1000067,530,529,1000003,-15568,432
110,999995,547,999995,-7412,588,996724,547,546
111,999995,549,999995,-6580,420,999548,549,548
112,1000003,551,1000542,551,550,1000003,-13324,676
113,999995,569,999995,-6558,442,998665,569,568
114,999995,580,999995,-5972,28,999782,580,579
115,999995,581,999995,-5621,379,999328,581,580
116,999995,585,999995,-4812,188,999639,585,584
117,1000003,586,1000945,586,585,1000003,-13261,739
118,999999,589,999999,588,587,999607,589,588
119,999995,593,999995,-3673,327,999958,593,592
120,1000003,595,1000349,595,594,1000003,-11794,206
121,999996,603,1000056,603,602,999996,601,600
122,1000003,604,1000567,604,603,1000003,-9976,24
123,999995,605,999995,-2101,899,999994,605,604
124,999995,607,999995,-1461,539,999703,607,606
125,999995,614,999995,-815,185,999593,614,613
126,1000003,620,1001896,620,619,1000003,-7498,502
127,1000003,628,1000037,628,627,1000003,-7197,803
128,1000003,636,1000072,636,635,1000003,-6081,919
129,1000003,644,1000461,644,643,1000003,-5943,57
130,999994,648,999994,-19061,939,999513,648,647
131,1000003,650,1000643,650,649,1000003,-2787,213
132,1000003,651,1000099,651,650,1000003,-1640,360
133,999994,654,999994,-17580,420,998157,654,653
134,999994,660,999994,-16846,154,993105,660,659
135,1000004,677,1000341,677,676,1000004,-18031,969
136,1000004,684,1004698,684,683,1000004,-16498,502
137,1000002,685,1000002,676,675,999592,685,684
138,999994,686,999994,-16238,762,999601,686,685
139,1000004,695,1000566,695,694,1000004,-14892,108
140,999994,705,999994,-13325,675,999047,705,704
141,1000004,707,1000381,707,706,1000004,-14637,363
142,999994,708,999994,-12722,278,999366,708,707
143,1000004,709,1000273,709,708,1000004,-13313,687
144,999994,716,999994,-12356,644,999966,716,715
145,1000004,719,1000553,719,718,1000004,-13263,737
146,999994,720,999994,-12286,714,999226,720,719
147,999994,725,999994,-11686,314,999923,725,724
148,1000004,727,1000723,727,726,1000004,-13049,951
149,1000004,731,1000334,731,730,1000004,-12558,442
150,1000004,734,1000108,734,733,1000004,-9195,805
151,999994,737,999994,-11540,460,999472,737,736
152,1000004,740,1000134,740,739,1000004,-8712,288
153,1000004,742,1000935,742,741,1000004,-8622,378
154,1000004,745,1000233,745,744,1000004,-7821,179
155,1000004,747,1000037,747,746,1000004,-7273,727
156,1000004,749,1001535,749,748,1000004,-4811,189
157,999999,758,999999,744,743,999801,758,757
158,999994,760,999994,-11462,538,999873,760,759
159,1000004,761,1000236,761,760,1000004,-4505,495
160,999994,766,999994,-11132,868,999985,766,765
161,1000004,769,1000074,769,768,1000004,-3815,185
162,999994,771,999994,-6392,608,999237,771,770
163,999994,773,999994,-4565,435,999832,773,772
164,999994,778,999994,-3159,841,999977,778,777
165,999994,781,999994,-2325,675,999909,781,780
166,999994,782,999994,-2268,732,999876,782,781
167,999994,784,999994,-408,592,997616,784,783
168,999993,791,999993,-16910,90,999935,791,790
169,999993,797,999993,-15938,62,999903,797,796
170,1000004,800,1000288,800,799,1000004,-3558,442
171,1000004,805,1000092,805,804,1000004,-3398,602
172,999993,806,999993,-13224,776,999853,806,805
173,1000004,808,1000038,808,807,1000004,-2204,796
174,999993,810,999993,-12835,165,999558,810,809
175,1000004,811,1000235,811,810,1000004,-1959,41
176,1000004,814,1000038,814,813,1000004,-1276,724
177,1000004,822,1000051,822,821,1000004,-318,682
178,999993,823,999993,-11091,909,999516,823,822
179,999993,830,999993,-6169,831,999313,830,829
180,999993,832,999993,-2891,109,999860,832,831
181,999993,836,999993,-2362,638,999018,836,835
182,1000005,847,1000387,847,846,1000005,-19139,861
183,1000005,849,1001857,849,848,1000005,-19109,891
184,999993,850,999993,-1203,797,999122,850,849
185,1000005,853,1000016,853,852,1000005,-17801,199
186,1000005,863,1000524,863,862,1000005,-16463,537
187,1000005,867,1000219,867,866,1000005,-13996,4
188,1000005,868,1000029,868,867,1000005,-13498,502
189,1000005,881,1000089,881,880,1000005,-12600,400
190,1000005,882,1002198,882,881,1000005,-11308,692
191,1000005,901,1000131,901,900,1000005,-9053,947
192,999992,916,999992,-18534,466,999878,916,915
193,1000005,921,1000467,921,920,1000005,-7572,428
194,1000005,927,1000186,927,926,1000005,-6883,117
195,1000005,933,1000065,933,932,1000005,-6543,457
196,1000005,937,1000221,937,936,1000005,-6175,825
197,999992,938,999992,-18075,925,999261,938,937
198,1000005,941,1000263,941,940,1000005,-4706,294
199,1000005,946,1000023,946,945,1000005,-2075,925
200,1000005,948,1000015,948,947,1000005,-160,840
201,1000005,950,1000461,950,949,1000005,379,378
202,1000006,957,1000257,957,956,1000006,-18640,360
203,1000006,959,1000560,959,958,1000006,-15012,988
204,1000006,964,1000472,964,963,1000006,-14831,169
205,999992,967,999992,-17734,266,995170,967,966
206,1000005,970,1000843,970,969,1000005,968,967
207,1000006,974,1000245,974,973,1000006,-13529,471
208,1000006,977,1000336,977,976,1000006,-9557,443
209,999992,981,999992,-15364,636,999459,981,980
210,1000006,989,1000316,989,988,1000006,-8860,140
211,1000006,996,1000380,996,995,1000006,-7660,340
212,999992,1002,999992,-11507,493,999710,1002,1
213,1000006,1014,1000907,1014,13,1000006,-6680,320
214,999993,1030,1000266,1030,29,999993,1028,27
215,999992,1036,999992,-10618,382,999840,1036,35
216,1000006,1044,1000318,1044,43,1000006,-6284,716
217,999992,1046,999992,-8996,4,998963,1046,45
218,999992,1051,999992,-7363,637,998899,1051,50
219,999992,1055,999992,-6396,604,999414,1055,54
220,999992,1061,999992,-5576,424,999449,1061,60
221,1000006,1064,1000273,1064,63,1000006,-3550,450
222,999992,1065,999992,-4196,804,999593,1065,64
