,PRICE,TIME,ID
0,999948,19999,998
1,1000160,8540,539
2,1000160,8925,924
3,1000160,9667,666
4,1000161,5130,129
5,1000161,14217,216
6,1000161,16213,212
7,1000161,17253,252
8,1000162,314,313
9,1000162,6060,59
10,1000162,6968,967
11,1000162,8848,847
12,1000162,11383,382
13,1000162,11421,420
14,1000162,13922,921
15,1000162,18847,846
16,1000163,591,590
17,1000163,4286,285
18,1000163,12869,868
19,1000163,16908,907
20,1000163,19936,935
21,1000164,2655,654
22,1000164,15595,594
23,1000165,2731,730
24,1000165,3689,688
25,1000165,3870,869
26,1000165,10719,718
27,1000165,15722,721
28,1000165,19721,720
29,1000165,19941,940
30,1000165,19996,995
31,1000166,1813,812
32,1000166,8940,939
33,1000166,9637,636
34,1000166,12244,243
35,1000166,12924,923
36,1000166,17787,786
37,1000167,1965,964
38,1000167,8776,775
39,1000167,15532,531
40,1000167,16996,995
41,1000168,11663,662
42,1000168,13379,378
43,1000169,3844,843
44,1000169,9062,61
45,1000169,11596,595
46,1000169,13278,277
47,1000169,17988,987
48,1000170,2288,287
49,1000170,6727,726
50,1000170,7986,985
51,1000170,8207,206
52,1000170,9783,782
53,1000170,14450,449
54,1000170,16074,73
55,1000170,18384,383
56,1000171,3471,470
57,1000171,4427,426
58,1000171,8916,915
59,1000171,12704,703
60,1000171,18173,172
61,1000172,2316,315
62,1000172,5950,949
63,1000172,9365,364
64,1000172,9557,556
65,1000172,10414,413
66,1000172,11093,92
67,1000172,13815,814
68,1000173,1912,911
69,1000173,4686,685
70,1000173,11722,721
71,1000173,13459,458
72,1000173,16168,167
73,1000174,5444,443
74,1000174,11561,560
75,1000174,14958,957
76,1000175,5226,225
77,1000175,11739,738
78,1000175,12090,89
79,1000175,14463,462
80,1000175,16275,274
81,1000176,363,362
82,1000176,2426,425
83,1000176,4692,691
84,1000176,7596,595
85,1000176,10391,390
86,1000177,4585,584
87,1000177,5717,716
88,1000177,9780,779
89,1000178,1047,46
90,1000178,11799,798
91,1000178,13253,252
92,1000179,8355,354
93,1000179,15865,864
94,1000179,17057,56
95,1000179,17361,360
96,1000180,7617,616
97,1000180,9736,735
98,1000180,11506,505
99,1000180,12506,505
100,1000180,19372,371
101,1000182,753,752
102,1000182,4492,491
103,1000182,8790,789
104,1000182,9599,598
105,1000182,9655,654
106,1000182,16988,987
107,1000183,3354,353
108,1000183,13223,222
109,1000183,18614,613
110,1000183,18761,760
111,1000184,1477,476
112,1000184,2392,391
113,1000184,7696,695
114,1000184,10637,636
115,1000184,14487,486
116,1000184,14577,576
117,1000185,14108,107
118,1000185,14905,904
119,1000185,16072,71
120,1000185,17356,355
121,1000185,19130,129
122,1000186,464,463
123,1000186,1996,995
124,1000186,5000,999
125,1000186,5709,708
126,1000186,6923,922
127,1000186,7019,18
128,1000186,8976,975
129,1000186,15424,423
130,1000186,15484,483
131,1000187,6933,932
132,1000187,13917,916
133,1000188,4764,763
134,1000188,6178,177
135,1000188,12160,159
136,1000189,8765,764
137,1000189,8845,844
138,1000189,8936,935
139,1000189,16406,405
140,1000189,18341,340
141,1000190,5479,478
142,1000190,7720,719
143,1000190,10278,277
144,1000190,12761,760
145,1000190,19215,214
146,1000191,16493,492
147,1000191,17940,939
148,1000191,18137,136
149,1000191,19341,340
150,1000191,19887,886
151,1000192,6241,240
152,1000192,9106,105
153,1000192,12639,638
154,1000192,13833,832
155,1000193,3049,48
156,1000193,6511,510
157,1000193,12904,903
158,1000193,19297,296
159,1000194,3455,454
160,1000194,3569,568
161,1000194,3963,962
162,1000194,5800,799
163,1000194,9846,845
164,1000194,15449,448
165,1000195,17023,22
166,1000195,18846,845
167,1000196,11662,661
168,1000196,16440,439
169,1000197,4092,91
170,1000197,14335,334
171,1000197,16156,155
172,1000197,16749,748
173,1000197,16953,952
174,1000198,3641,640
175,1000198,7541,540
176,1000198,12609,608
177,1000198,14244,243
178,1000199,634,633
179,1000199,2854,853
180,1000199,4512,511
181,1000199,6619,618
182,1000199,9235,234
183,1000199,11645,644
184,1000199,13172,171
185,1000199,13952,951
186,1000199,17950,949
187,1000200,1880,879
188,1000200,9572,571
189,1000200,11306,305
190,1000200,13109,108
191,1000201,1685,684
192,1000201,5184,183
193,1000201,11805,804
194,1000201,12021,20
195,1000202,6935,934
196,1000202,8955,954
197,1000202,16408,407
198,1000202,19557,556
199,1000203,14841,840
200,1000203,16514,513
201,1000203,17561,560
202,1000204,4712,711
203,1000204,5997,996
204,1000204,16604,603
205,1000205,14236,235
206,1000206,983,982
